‘ I decided to make a go of it,’ she says	0 0 0 0 1 0 1 1 0 0 0	make a go of	figurative	identical	PUNCT PRON VERB PART VERB DET NOUN ADP NOUN PRON VERB
The flamboyant star has two failed marriages behind him, but he's determined to make a go of his third.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	make a go of	figurative	identical	DET ADJ NOUN VERB NUM VERB NOUN ADP PRON CCONJ PRON ADJ PART VERB DET NOUN ADP ADJ NOUN
Their case is that they were effectively forced to er complete unwillingly without the or the finance to make a go of the business and they suffered the losses which are claimed er set out in heading form initially on page sixty two of the pleadings bundle in further and better particulars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	ADJ NOUN VERB ADP PRON VERB ADV VERB PART INTJ ADJ ADV ADP DET CCONJ DET NOUN PART VERB DET NOUN ADP DET NOUN CCONJ PRON VERB DET NOUN ADJ VERB VERB INTJ VERB PART ADP VERB NOUN ADV ADP NOUN NUM NUM ADP DET NOUN VERB ADP ADV CCONJ ADJ NOUN
In our part of the world we keep up the brave talk for the sake of the image of the region, so that there may be at least some inward investment and so that those industrialists, small business, training centres, local enterprises and cooperatives which are struggling so hard to make a go of it, will not be discouraged from at least having a go, but there isn't much hope and conviction really.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	ADP ADJ NOUN ADP DET NOUN PRON VERB PART DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP ADP ADV VERB VERB ADP ADJ DET ADJ NOUN CCONJ ADP ADP DET NOUN ADJ NOUN NOUN NOUN ADJ NOUN CCONJ NOUN ADJ VERB VERB ADV ADV PART VERB DET NOUN ADP PRON VERB ADV VERB VERB ADP ADP ADJ VERB DET NOUN CCONJ ADV VERB ADJ NOUN CCONJ NOUN ADV
Ronni frowned at him as he continued, ‘ I think they 'll make a go of it.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	make a go of	figurative	identical	PROPN VERB ADP PRON ADP PRON VERB PUNCT PRON VERB PRON VERB VERB DET NOUN ADP PRON
‘ She would like to make a go of it but there is nothing there — it is so sad.’	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PUNCT PRON VERB VERB PART VERB DET NOUN ADP PRON CCONJ ADV VERB NOUN ADV PUNCT PRON VERB ADV ADJ
I know about market gardening and I could make a go of that.	0 0 0 0 0 0 0 0 1 0 1 1 0	make a go of	figurative	identical	PRON VERB ADP NOUN NOUN CCONJ PRON VERB VERB DET NOUN ADP DET
A marriage can do the same, provided the couple are prepared to talk things through and really want to make a go of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	make a go of	figurative	identical	DET NOUN VERB VERB DET ADJ VERB DET NOUN VERB VERB PART VERB NOUN ADV CCONJ ADV VERB PART VERB DET NOUN ADP PRON
They therefore faced no option other than to make a go of the business.	0 0 0 0 0 0 0 0 1 0 1 1 0 0	make a go of	figurative	identical	PRON ADV VERB DET NOUN ADJ ADP PART VERB DET NOUN ADP DET NOUN
She spent four days with her husband over Christmas and vowed to make a go of their marriage, denying she was involved with Gilbey, 36.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PRON VERB NUM NOUN ADP ADJ NOUN ADP PROPN CCONJ VERB PART VERB DET NOUN ADP ADJ NOUN VERB PRON VERB VERB ADP PROPN NUM
I think for me I love erm er er er I love a challenge, and er I suspect the fact that before I went into it people said it was erm something which was erm absolutely impossible er er and that the their was no way that one could make a go of it erm made it made it made it perhaps all the more challenging to try to prove them wrong.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	make a go of	figurative	identical	PRON VERB ADP PRON PRON VERB X INTJ INTJ INTJ PRON VERB DET NOUN CCONJ INTJ PRON VERB DET NOUN ADP ADP PRON VERB ADP PRON NOUN VERB PRON VERB ADV NOUN ADJ VERB ADV ADV ADJ INTJ INTJ CCONJ ADP DET ADJ VERB DET NOUN ADP PRON VERB VERB DET NOUN ADP PRON ADV VERB PRON VERB PRON VERB PRON ADV ADJ DET ADV ADJ PART VERB PART VERB PRON ADJ
But curious growths appeared : Green Grow The Rushes ( 1951 ) was the film technicians ' union's attempt to make a go of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	make a go of	figurative	identical	CCONJ ADJ NOUN VERB PUNCT PROPN VERB DET PROPN PUNCT NUM PUNCT VERB DET NOUN NOUN PART NOUN NOUN PART VERB DET NOUN ADP PRON
