One journalist said : ' Staff are foaming at the mouth.	0 0 0 0 0 0 0 1 1 0 1	foam at the mouth	figurative	inflection	NUM NOUN VERB PUNCT PUNCT NOUN VERB VERB ADP DET NOUN
He was near foaming at the mouth she said. '	0 0 0 1 1 0 1 0 0 0	foam at the mouth	figurative	inflection	PRON VERB ADP VERB ADP DET NOUN PRON VERB PUNCT
She says he was shaking and foaming at the mouth — she was terrified.	0 0 0 0 0 0 1 1 0 1 0 0 0 0	foam at the mouth	literal	inflection	PRON VERB PRON VERB VERB CCONJ VERB ADP DET NOUN PUNCT PRON VERB VERB
Now, with just two, the more perfervid chauvinists, as you would expect, are foaming at the mouth.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	foam at the mouth	figurative	inflection	ADV ADP ADV NUM DET ADV ADJ NOUN ADP PRON VERB VERB VERB VERB ADP DET NOUN
Janet Pressley, of the Legal Protection Group, legal insurers, says : ' In one case our client, his family and their dog were crossing the road, reached a traffic island and the dog went completely berserk — screaming, writhing and foaming at the mouth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	foam at the mouth	literal	inflection	PROPN PROPN ADP DET PROPN PROPN PROPN ADJ NOUN VERB PUNCT PUNCT ADP NUM NOUN ADJ NOUN ADJ NOUN CCONJ ADJ NOUN VERB VERB DET NOUN VERB DET NOUN NOUN CCONJ DET NOUN VERB ADV ADJ PUNCT VERB VERB CCONJ VERB ADP DET NOUN
Foaming at the mouth, the maths master, now on his knees, raised both hands above his head and shook them violently.	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	foam at the mouth	figurative	combined-inflection	VERB ADP DET NOUN DET NOUN NOUN ADV ADP ADJ NOUN VERB DET NOUN ADP ADJ NOUN CCONJ VERB PRON ADV
I mean, one minute he's foaming at the mouth and the next … laughing and joking. '	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	foam at the mouth	figurative	inflection	PRON VERB NUM NOUN PRON VERB ADP DET NOUN CCONJ DET ADJ PUNCT VERB CCONJ VERB PUNCT
foam at the mouth dramatically,	1 1 0 1 0	foam at the mouth	literal	identical	NOUN ADP DET NOUN ADV
I have become expert at avoiding him, but on the unlucky occasions when I am forced to talk to him, he foams at the mouth and talks gibberish.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	foam at the mouth	figurative	inflection	PRON VERB VERB NOUN ADP VERB PRON CCONJ ADP DET ADJ NOUN ADV PRON VERB VERB PART VERB ADP PRON PRON VERB ADP DET NOUN CCONJ NOUN VERB
Within seconds, the toxins from the toad's skin enter the dog's bloodstream through the thin mouth tissues, resulting in retching, foaming at the mouth, and, in extreme cases, death.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	foam at the mouth	literal	inflection	ADP NOUN DET NOUN ADP DET NOUN NOUN VERB DET NOUN NOUN ADP DET ADJ NOUN NOUN VERB ADP VERB VERB ADP DET NOUN CCONJ ADP ADJ NOUN NOUN
He was, of course, the man who had once brought in a cup, painted black on the inside and white on the outside, and, after pointing out its close resemblance to the soul of the average sinner, had jumped up and down on it, foaming at the mouth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	foam at the mouth	figurative	inflection	PRON VERB ADP NOUN DET NOUN NOUN VERB ADV VERB PART DET NOUN VERB ADJ ADP DET ADJ CCONJ ADJ ADP DET NOUN CCONJ ADP VERB PART ADJ ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN VERB VERB PART CCONJ ADV ADP PRON VERB ADP DET NOUN
One man is foaming at the mouth and moaning.	0 0 0 1 1 0 1 0 0	foam at the mouth	figurative	inflection	NUM NOUN VERB VERB ADP DET NOUN CCONJ NOUN
Foaming at the mouth?	1 1 0 1	foam at the mouth	figurative	combined-inflection	VERB ADP DET NOUN
The watering hole that's got them foaming at the mouth.	0 0 0 0 0 0 1 1 0 1	foam at the mouth	figurative	inflection	DET NOUN NOUN ADJ VERB PRON VERB ADP DET NOUN
' Get inside, the lot of you, or I 'll call the police, ' shouted the prebendary, foaming at the mouth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	foam at the mouth	figurative	inflection	PUNCT VERB ADV DET NOUN ADP PRON CCONJ PRON VERB VERB DET NOUN PUNCT VERB DET NOUN VERB ADP DET NOUN
