Well it was long and it was straggly and it got on my nerves!	0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	INTJ PRON VERB ADJ CCONJ PRON VERB ADV CCONJ PRON VERB ADP ADJ NOUN	▁Well ▁it ▁was ▁long ▁and ▁it ▁was ▁ stra gg ly ▁and ▁it ▁got ▁on ▁my ▁nerve s !	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	INTJ PRON VERB ADJ CCONJ PRON VERB ADV ADV ADV ADV CCONJ PRON VERB ADP ADJ NOUN NOUN NOUN
Who d'ya really hate who really gets on your nerves?	0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	NOUN VERB ADV VERB NOUN ADV VERB ADP ADJ NOUN	▁Who ▁d ' ya ▁really ▁hate ▁who ▁really ▁get s ▁on ▁your ▁nerve s ?	0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	NOUN VERB VERB VERB ADV VERB NOUN ADV VERB VERB ADP ADJ NOUN NOUN NOUN
There were other people in Hillmarden who also got on her nerves.	0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	ADV VERB ADJ NOUN ADP PROPN NOUN ADV VERB ADP ADJ NOUN	▁There ▁were ▁other ▁people ▁in ▁Hill mar den ▁who ▁also ▁got ▁on ▁her ▁nerve s .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADV VERB ADJ NOUN ADP PROPN PROPN PROPN NOUN ADV VERB ADP ADJ NOUN NOUN NOUN
I don't mean to be horrible or anything but he really gets on my nerves!	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	combined-inflection	PRON VERB VERB PART VERB ADJ CCONJ NOUN CCONJ PRON ADV VERB ADP ADJ NOUN	▁I ▁don ' t ▁mean ▁to ▁be ▁horr ible ▁or ▁anything ▁but ▁he ▁really ▁get s ▁on ▁my ▁nerve s !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1	PRON VERB VERB VERB VERB PART VERB ADJ ADJ CCONJ NOUN CCONJ PRON ADV VERB VERB ADP ADJ NOUN NOUN NOUN
I can't play it properly anyway and I know the sound of it gets on Mum's nerves. '	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	get on someone's nerves	figurative	combined-inflection	PRON VERB VERB PRON ADV ADV CCONJ PRON VERB DET NOUN ADP PRON VERB ADP PROPN NOUN PUNCT	▁I ▁can ' t ▁play ▁it ▁properly ▁anyway ▁and ▁I ▁know ▁the ▁sound ▁of ▁it ▁get s ▁on ▁M um ' s ▁nerve s . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0	PRON VERB VERB VERB VERB PRON ADV ADV CCONJ PRON VERB DET NOUN ADP PRON VERB VERB ADP PROPN PROPN PROPN PROPN NOUN NOUN NOUN PUNCT
sober he can do more than they do I mean i that ain't the sort bloke you wanna lose, and I 'm, when he balls and shouts at them well he gets on your nerves really but at the end of the day I 'll you know, I 'll put up with it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	NOUN PRON VERB VERB ADJ ADP PRON VERB PRON VERB PRON ADJ VERB DET NOUN VERB PRON ADV VERB CCONJ PRON NOUN ADV PRON VERB CCONJ VERB ADP PRON ADV PRON VERB ADP ADJ NOUN ADV CCONJ ADP DET NOUN ADP DET NOUN PRON VERB PRON VERB PRON VERB VERB PART ADP PRON	▁so ber ▁he ▁can ▁do ▁more ▁than ▁they ▁do ▁I ▁mean ▁i ▁that ▁a in ' t ▁the ▁sort ▁b lo ke ▁you ▁w anna ▁lose , ▁and ▁I ▁' m , ▁when ▁he ▁balls ▁and ▁shout s ▁at ▁them ▁well ▁he ▁get s ▁on ▁your ▁nerve s ▁really ▁but ▁at ▁the ▁end ▁of ▁the ▁day ▁I ▁' ll ▁you ▁know , ▁I ▁' ll ▁put ▁up ▁with ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN PRON VERB VERB ADJ ADP PRON VERB PRON VERB PRON ADJ VERB VERB VERB VERB DET NOUN VERB VERB VERB PRON ADV ADV VERB VERB CCONJ PRON NOUN NOUN NOUN ADV PRON VERB CCONJ VERB VERB ADP PRON ADV PRON VERB VERB ADP ADJ NOUN NOUN ADV CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB PRON VERB VERB PRON VERB VERB VERB PART ADP PRON PRON
Gets on my nerves sometimes.	1 1 1 1 0	get on someone's nerves	figurative	combined-inflection	VERB ADP ADJ NOUN ADV	▁G ets ▁on ▁my ▁nerve s ▁sometimes .	1 1 1 1 1 1 0 0	VERB VERB ADP ADJ NOUN NOUN ADV ADV
It was getting on everyone's nerves out there.	0 0 1 1 1 1 0 0	get on someone's nerves	figurative	combined-inflection	PRON VERB VERB ADP NOUN NOUN ADV ADV	▁It ▁was ▁gett ing ▁on ▁everyone ' s ▁nerve s ▁out ▁there .	0 0 1 1 1 1 1 1 1 1 0 0 0	PRON VERB VERB VERB ADP NOUN NOUN NOUN NOUN NOUN ADV ADV ADV
No unattached man, should he by some miracle present himself at Four Winds, would want to have anything to do with a dejected and increasingly agoraphobic young mother, still in her teens, and a baby whose fretfulness was beginning to get on even Harriet's nerves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	get on someone's nerves	figurative	combined-other	DET ADJ NOUN VERB PRON ADP DET NOUN VERB PRON ADP PROPN PROPN VERB VERB PART VERB NOUN PART VERB ADP DET ADJ CCONJ ADV ADJ ADJ NOUN ADV ADP ADJ NOUN CCONJ DET NOUN ADJ NOUN VERB VERB PART VERB PART ADV PROPN NOUN	▁No ▁un attached ▁man , ▁should ▁he ▁by ▁some ▁miracle ▁present ▁himself ▁at ▁Four ▁Wind s , ▁would ▁want ▁to ▁have ▁anything ▁to ▁do ▁with ▁a ▁de ject ed ▁and ▁increasingly ▁ago ra pho b ic ▁young ▁mother , ▁still ▁in ▁her ▁te ens , ▁and ▁a ▁baby ▁whose ▁fre t fulness ▁was ▁beginning ▁to ▁get ▁on ▁even ▁Har rie t ' s ▁nerve s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1 1	DET ADJ ADJ NOUN NOUN VERB PRON ADP DET NOUN VERB PRON ADP PROPN PROPN PROPN PROPN VERB VERB PART VERB NOUN PART VERB ADP DET ADJ ADJ ADJ CCONJ ADV ADJ ADJ ADJ ADJ ADJ ADJ NOUN NOUN ADV ADP ADJ NOUN NOUN NOUN CCONJ DET NOUN ADJ NOUN NOUN NOUN VERB VERB PART VERB PART ADV PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN
No, it wasn't this that got on his nerves, but the monotony of his surrounding, the long, long road through the camp, the huts going off here and there, the airfield dotted with little planes, looking like toys, the new hall that was used for entertainments, pictures and the church services, standing out like a sore thumb.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get on someone's nerves	figurative	combined-inflection	INTJ PRON VERB DET DET VERB ADP ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN DET ADJ ADJ NOUN ADP DET NOUN DET NOUN VERB PART ADV CCONJ ADV DET NOUN VERB ADP ADJ NOUN VERB ADP NOUN DET ADJ NOUN ADJ VERB VERB ADP NOUN NOUN CCONJ DET NOUN NOUN VERB PART ADP DET ADJ NOUN	▁No , ▁it ▁was n ' t ▁this ▁that ▁got ▁on ▁his ▁nerve s , ▁but ▁the ▁mono ton y ▁of ▁his ▁surrounding , ▁the ▁long , ▁long ▁road ▁through ▁the ▁camp , ▁the ▁hu ts ▁going ▁off ▁here ▁and ▁there , ▁the ▁air field ▁do tted ▁with ▁little ▁planes , ▁looking ▁like ▁toys , ▁the ▁new ▁hall ▁that ▁was ▁used ▁for ▁entertainment s , ▁pictures ▁and ▁the ▁church ▁services , ▁standing ▁out ▁like ▁a ▁sore ▁thumb .	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ PRON VERB VERB VERB VERB DET DET VERB ADP ADJ NOUN NOUN NOUN CCONJ DET NOUN NOUN NOUN ADP ADJ NOUN NOUN DET ADJ ADJ ADJ NOUN ADP DET NOUN NOUN DET NOUN NOUN VERB PART ADV CCONJ ADV ADV DET NOUN NOUN VERB VERB ADP ADJ NOUN NOUN VERB ADP NOUN NOUN DET ADJ NOUN ADJ VERB VERB ADP NOUN NOUN NOUN NOUN CCONJ DET NOUN NOUN NOUN VERB PART ADP DET ADJ NOUN NOUN
eh, its a free country and you should be able to choose what you want to do yourself er, if something is damaging to your health then I would agree, yes, smoking I don't agree with smoking but if people want to smoke that's entirely up to them, they know the risks, I wouldn't smoke, I know the risks but vegetarianism is purely a matter of choice and there's no peop people that harp on about you shouldn't eat meat, get on my nerves	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	get on someone's nerves	figurative	possessive	INTJ ADJ DET ADJ NOUN CCONJ PRON VERB VERB ADJ PART VERB NOUN PRON VERB PART VERB PRON INTJ ADP NOUN VERB VERB ADP ADJ NOUN ADV PRON VERB VERB INTJ VERB PRON VERB VERB ADP NOUN CCONJ ADP NOUN VERB PART VERB DET ADV ADP ADP PRON PRON VERB DET NOUN PRON VERB VERB PRON VERB DET NOUN CCONJ NOUN VERB ADV DET NOUN ADP NOUN CCONJ ADV DET NOUN NOUN ADJ VERB PART ADP PRON VERB VERB NOUN VERB ADP ADJ NOUN	▁ eh , ▁its ▁a ▁free ▁country ▁and ▁you ▁should ▁be ▁able ▁to ▁choose ▁what ▁you ▁want ▁to ▁do ▁yourself ▁er , ▁if ▁something ▁is ▁damaging ▁to ▁your ▁health ▁then ▁I ▁would ▁agree , ▁yes , ▁smoking ▁I ▁don ' t ▁agree ▁with ▁smoking ▁but ▁if ▁people ▁want ▁to ▁smoke ▁that ' s ▁entirely ▁up ▁to ▁them , ▁they ▁know ▁the ▁risks , ▁I ▁would n ' t ▁smoke , ▁I ▁know ▁the ▁risks ▁but ▁vegeta r ian ism ▁is ▁pure ly ▁a ▁matter ▁of ▁choice ▁and ▁there ' s ▁no ▁peo p ▁people ▁that ▁harp ▁on ▁about ▁you ▁should n ' t ▁eat ▁meat , ▁get ▁on ▁my ▁nerve s	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	INTJ INTJ INTJ ADJ DET ADJ NOUN CCONJ PRON VERB VERB ADJ PART VERB NOUN PRON VERB PART VERB PRON INTJ INTJ ADP NOUN VERB VERB ADP ADJ NOUN ADV PRON VERB VERB VERB INTJ INTJ VERB PRON VERB VERB VERB VERB ADP NOUN CCONJ ADP NOUN VERB PART VERB DET DET DET ADV ADP ADP PRON PRON PRON VERB DET NOUN NOUN PRON VERB VERB VERB VERB VERB VERB PRON VERB DET NOUN CCONJ NOUN NOUN NOUN NOUN VERB ADV ADV DET NOUN ADP NOUN CCONJ ADV ADV ADV DET NOUN NOUN NOUN ADJ VERB PART ADP PRON VERB VERB VERB VERB VERB NOUN NOUN VERB ADP ADJ NOUN NOUN
