' By the by, Cornelius.	0 0 0 1 0	by the by	figurative	misc	PUNCT ADP DET NOUN PROPN	▁' ▁By ▁the ▁by , ▁Corneli us .	0 0 0 1 1 0 0 0	PUNCT ADP DET NOUN NOUN PROPN PROPN PROPN
We said they couldn't have the corpse if we didn't get it — that's by the by— but it's understood by both sides that this is the last of such meetings.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	dashes	PRON VERB PRON VERB VERB DET NOUN ADP PRON VERB VERB PRON PUNCT DET ADP DET NOUN CCONJ PRON VERB ADP DET NOUN ADJ DET VERB DET ADJ ADP ADJ NOUN	▁We ▁said ▁they ▁could n ' t ▁have ▁the ▁corps e ▁if ▁we ▁did n ' t ▁get ▁it ▁ — ▁that ' s ▁by ▁the ▁by — ▁but ▁it ' s ▁understood ▁by ▁both ▁sides ▁that ▁this ▁is ▁the ▁last ▁of ▁such ▁meetings .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON VERB VERB VERB VERB VERB DET NOUN NOUN ADP PRON VERB VERB VERB VERB VERB PRON PUNCT PUNCT DET DET DET ADP DET NOUN NOUN CCONJ PRON PRON PRON VERB ADP DET NOUN ADJ DET VERB DET ADJ ADP ADJ NOUN NOUN
Your Mr Bernard is, by the by, even if unwell, a terrific fellow.	0 0 0 0 1 0 1 0 0 0 0 0 0	by the by	figurative	identical	ADJ PROPN PROPN VERB ADP DET NOUN ADV ADP ADJ DET ADJ NOUN	▁Your ▁Mr ▁Bernard ▁is , ▁by ▁the ▁by , ▁even ▁if ▁un well , ▁a ▁terr ific ▁fellow .	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	ADJ PROPN PROPN VERB VERB ADP DET NOUN NOUN ADV ADP ADJ ADJ ADJ DET ADJ ADJ NOUN NOUN
Okay, fair enough, it was turned over on appeal eventually erm but erm it was a bit of a miscarriage of justice being kept in prison for that period of time until it was overturned pleaded guilty to another murder but that's by the by.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the by	figurative	identical	INTJ ADJ ADV PRON VERB VERB PART ADP NOUN ADV NOUN CCONJ NOUN PRON VERB DET NOUN ADP DET NOUN ADP NOUN VERB VERB ADP NOUN ADP DET NOUN ADP NOUN ADP PRON VERB VERB VERB ADJ ADP DET NOUN CCONJ DET ADP DET NOUN	▁O ka y , ▁fair ▁enough , ▁it ▁was ▁turned ▁over ▁on ▁appeal ▁eventually ▁er m ▁but ▁er m ▁it ▁was ▁a ▁bit ▁of ▁a ▁mis car ri age ▁of ▁justice ▁being ▁kept ▁in ▁prison ▁for ▁that ▁period ▁of ▁time ▁until ▁it ▁was ▁overturn ed ▁plead ed ▁guilty ▁to ▁another ▁murder ▁but ▁that ' s ▁by ▁the ▁by .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	INTJ INTJ INTJ INTJ ADJ ADV ADV PRON VERB VERB PART ADP NOUN ADV NOUN NOUN CCONJ NOUN NOUN PRON VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN ADP NOUN VERB VERB ADP NOUN ADP DET NOUN ADP NOUN ADP PRON VERB VERB VERB VERB VERB ADJ ADP DET NOUN CCONJ DET DET DET ADP DET NOUN NOUN
As always Bernard, at the end of each season or at the beginning of a new season, one or two clubs go by the by ; we 've lost a couple this year haven't we?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	by the by	figurative	identical	ADP ADV PROPN ADP DET NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP DET ADJ NOUN NUM CCONJ NUM NOUN VERB ADP DET NOUN PUNCT PRON VERB VERB DET NOUN DET NOUN VERB PRON	▁As ▁always ▁Bernard , ▁at ▁the ▁end ▁of ▁each ▁season ▁or ▁at ▁the ▁beginning ▁of ▁a ▁new ▁season , ▁one ▁or ▁two ▁clubs ▁go ▁by ▁the ▁by ▁ ; ▁we ▁' ve ▁lost ▁a ▁couple ▁this ▁year ▁have n ' t ▁we ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV PROPN PROPN ADP DET NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP DET ADJ NOUN NOUN NUM CCONJ NUM NOUN VERB ADP DET NOUN PUNCT PUNCT PRON VERB VERB VERB DET NOUN DET NOUN VERB VERB VERB VERB PRON PRON
one or two companies may have gone as we know by the by as it were.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	by the by	figurative	identical	NUM CCONJ NUM NOUN VERB VERB VERB ADP PRON VERB ADP DET NOUN ADP PRON VERB	▁one ▁or ▁two ▁companies ▁may ▁have ▁gone ▁as ▁we ▁know ▁by ▁the ▁by ▁as ▁it ▁were .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	NUM CCONJ NUM NOUN VERB VERB VERB ADP PRON VERB ADP DET NOUN ADP PRON VERB VERB
No that's that's completely gone by the by yeah, yeah.	0 0 0 0 0 1 0 1 0 0	by the by	figurative	identical	INTJ DET DET ADV VERB ADP DET NOUN INTJ INTJ	▁No ▁that ' s ▁that ' s ▁completely ▁gone ▁by ▁the ▁by ▁ye ah , ▁ye ah .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	INTJ DET DET DET DET DET DET ADV VERB ADP DET NOUN INTJ INTJ INTJ INTJ INTJ INTJ
Me, I 'd take half a dozen ski trips a year, spend a lot of time on the beach, have a lot of fun in pubs and clubs ( and, by the by, give Middlesbrough FC enough money to win the Football League and FA Cup ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	identical	PRON PRON VERB VERB ADJ DET NOUN NOUN VERB DET NOUN VERB DET NOUN ADP NOUN ADP DET NOUN VERB DET NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT CCONJ ADP DET NOUN VERB PROPN PROPN ADJ NOUN PART VERB DET PROPN PROPN CCONJ PROPN PROPN PUNCT	▁Me , ▁I ▁' d ▁take ▁half ▁a ▁dozen ▁ski ▁trips ▁a ▁year , ▁spend ▁a ▁lot ▁of ▁time ▁on ▁the ▁be ach , ▁have ▁a ▁lot ▁of ▁fun ▁in ▁pub s ▁and ▁clubs ▁( ▁and , ▁by ▁the ▁by , ▁give ▁Middle s b rough ▁FC ▁enough ▁money ▁to ▁win ▁the ▁F ootball ▁League ▁and ▁FA ▁C up ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON VERB VERB VERB ADJ DET NOUN NOUN VERB DET NOUN NOUN VERB DET NOUN ADP NOUN ADP DET NOUN NOUN NOUN VERB DET NOUN ADP NOUN ADP NOUN NOUN CCONJ NOUN PUNCT CCONJ CCONJ ADP DET NOUN NOUN VERB PROPN PROPN PROPN PROPN PROPN ADJ NOUN PART VERB DET PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT PUNCT
Oh, and by the by, I want you to promise me that you will not go out on the rampage with Rose again.’	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	identical	INTJ CCONJ ADP DET NOUN PRON VERB PRON PART VERB PRON ADP PRON VERB ADV VERB PART ADP DET NOUN ADP PROPN NUM	▁O h , ▁and ▁by ▁the ▁by , ▁I ▁want ▁you ▁to ▁promise ▁me ▁that ▁you ▁will ▁not ▁go ▁out ▁on ▁the ▁ramp age ▁with ▁Rose ▁again . ’	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ CCONJ ADP DET NOUN NOUN PRON VERB PRON PART VERB PRON ADP PRON VERB ADV VERB PART ADP DET NOUN NOUN ADP PROPN NUM NUM NUM
By the by, he called in at London on his way from New York. '	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	misc	ADP DET NOUN PRON VERB PART ADP PROPN ADP ADJ NOUN ADP PROPN PROPN PUNCT	▁By ▁the ▁by , ▁he ▁called ▁in ▁at ▁London ▁on ▁his ▁way ▁from ▁New ▁York . ▁'	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN PRON VERB PART ADP PROPN ADP ADJ NOUN ADP PROPN PROPN PROPN PUNCT
they say oh tax is too high, I mean Labour want to put it up any way, but by the by, this answered them any way, what they say is oh its too high, erm even the American tax is four per cent, who gives a dam, because the thing is in America what you 're loosing, what you gain in your tax you have to pay out through the nose for health care	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	identical	PRON VERB INTJ NOUN VERB ADV ADJ PRON VERB PROPN VERB PART VERB PRON PART DET NOUN CCONJ ADP DET NOUN DET VERB PRON DET NOUN NOUN PRON VERB VERB INTJ ADJ ADV ADJ ADV ADV DET ADJ NOUN VERB NUM ADP NOUN NOUN VERB DET NOUN ADP DET NOUN VERB ADP PROPN NOUN PRON VERB VERB NOUN PRON VERB ADP ADJ NOUN PRON VERB PART VERB PART ADP DET NOUN ADP NOUN NOUN	▁they ▁say ▁ oh ▁tax ▁is ▁too ▁high , ▁I ▁mean ▁Labour ▁want ▁to ▁put ▁it ▁up ▁any ▁way , ▁but ▁by ▁the ▁by , ▁this ▁answered ▁them ▁any ▁way , ▁what ▁they ▁say ▁is ▁ oh ▁its ▁too ▁high , ▁er m ▁even ▁the ▁American ▁tax ▁is ▁four ▁per ▁cent , ▁who ▁gives ▁a ▁dam , ▁because ▁the ▁thing ▁is ▁in ▁America ▁what ▁you ▁' re ▁ loos ing , ▁what ▁you ▁gain ▁in ▁your ▁tax ▁you ▁have ▁to ▁pay ▁out ▁through ▁the ▁nose ▁for ▁health ▁care	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB INTJ INTJ NOUN VERB ADV ADJ ADJ PRON VERB PROPN VERB PART VERB PRON PART DET NOUN NOUN CCONJ ADP DET NOUN NOUN DET VERB PRON DET NOUN NOUN NOUN PRON VERB VERB INTJ INTJ ADJ ADV ADJ ADJ ADV ADV ADV DET ADJ NOUN VERB NUM ADP NOUN NOUN NOUN VERB DET NOUN NOUN ADP DET NOUN VERB ADP PROPN NOUN PRON VERB VERB VERB VERB VERB VERB NOUN PRON VERB ADP ADJ NOUN PRON VERB PART VERB PART ADP DET NOUN ADP NOUN NOUN
The fact that they are in effect, being made serfs on their own land, and that the only fortunes being made in logging are by corrupt politicians and businessmen seems by the by.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1	by the by	figurative	misc	DET NOUN ADP PRON VERB ADP NOUN VERB VERB NOUN ADP ADJ ADJ NOUN CCONJ ADP DET ADJ NOUN VERB VERB ADP NOUN VERB ADP ADJ NOUN CCONJ NOUN VERB ADP DET NOUN	▁The ▁fact ▁that ▁they ▁are ▁in ▁effect , ▁being ▁made ▁ser f s ▁on ▁their ▁own ▁land , ▁and ▁that ▁the ▁only ▁fortune s ▁being ▁made ▁in ▁logging ▁are ▁by ▁corrupt ▁politician s ▁and ▁business men ▁seems ▁by ▁the ▁by .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	DET NOUN ADP PRON VERB ADP NOUN NOUN VERB VERB NOUN NOUN NOUN ADP ADJ ADJ NOUN NOUN CCONJ ADP DET ADJ NOUN NOUN VERB VERB ADP NOUN VERB ADP ADJ NOUN NOUN CCONJ NOUN NOUN VERB ADP DET NOUN NOUN
Mr C. is looking like Dr Jekyll after a nasty spell as Mr Hyde, by the by.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the by	figurative	identical	PROPN PROPN VERB VERB ADP PROPN PROPN ADP DET ADJ NOUN ADP PROPN PROPN ADP DET NOUN	▁Mr ▁C . ▁is ▁looking ▁like ▁Dr ▁Je ky ll ▁after ▁a ▁na s ty ▁spell ▁as ▁Mr ▁Hy de , ▁by ▁the ▁by .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN VERB VERB ADP PROPN PROPN PROPN PROPN ADP DET ADJ ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN ADP DET NOUN NOUN
By the by, Caroline, you have taken my idea, I was also going to knit budgie sweaters.	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the by	figurative	misc	ADP DET NOUN PROPN PRON VERB VERB ADJ NOUN PRON VERB ADV VERB PART VERB ADJ NOUN	▁By ▁the ▁by , ▁Carolin e , ▁you ▁have ▁taken ▁my ▁idea , ▁I ▁was ▁also ▁going ▁to ▁knit ▁bud g ie ▁sweat ers .	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN PROPN PROPN PROPN PRON VERB VERB ADJ NOUN NOUN PRON VERB ADV VERB PART VERB ADJ ADJ ADJ NOUN NOUN NOUN
Got these at the baker's for next to nothin', by the by. '	0 0 0 0 0 0 0 0 0 0 0 1 0	by the by	figurative	misc	VERB DET ADP DET NOUN ADP ADJ ADP NOUN ADP DET NOUN PUNCT	▁Go t ▁these ▁at ▁the ▁baker ' s ▁for ▁next ▁to ▁not hin ' , ▁by ▁the ▁by . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	VERB VERB DET ADP DET NOUN NOUN NOUN ADP ADJ ADP NOUN NOUN NOUN NOUN ADP DET NOUN NOUN PUNCT
' Where's Hector, by the by? '	0 0 0 0 0 1 0	by the by	figurative	misc	PUNCT ADV PROPN ADP DET NOUN PUNCT	▁' ▁Where ' s ▁H ector , ▁by ▁the ▁by ? ▁'	0 0 0 0 0 0 0 0 0 1 1 0	PUNCT ADV ADV ADV PROPN PROPN PROPN ADP DET NOUN NOUN PUNCT
