The Highways Department will sink or swim on the basis of everyone pulling together.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0	sink or swim	figurative	identical	DET PROPN PROPN VERB VERB CCONJ VERB ADP DET NOUN ADP NOUN VERB NOUN	▁The ▁High ways ▁Department ▁will ▁sink ▁or ▁sw im ▁on ▁the ▁basis ▁of ▁everyone ▁pull ing ▁together . ’	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN VERB VERB CCONJ VERB VERB ADP DET NOUN ADP NOUN VERB VERB NOUN NOUN NOUN
Activists also like being thrown in the deep end they quite like the challenge of being thrown in and sink or swim and learn from the experience, rather than actually talking about too much and then a little bit of action later.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sink or swim	figurative	identical	NOUN ADV VERB VERB VERB ADP DET ADJ NOUN PRON ADV ADP DET NOUN ADP VERB VERB ADV CCONJ VERB CCONJ VERB CCONJ VERB ADP DET NOUN ADV ADP ADV VERB ADP ADV ADV CCONJ ADV DET ADJ NOUN ADP NOUN ADV	▁Act iv ists ▁also ▁like ▁being ▁thrown ▁in ▁the ▁deep ▁end ▁they ▁quite ▁like ▁the ▁challenge ▁of ▁being ▁thrown ▁in ▁and ▁sink ▁or ▁sw im ▁and ▁learn ▁from ▁the ▁experience , ▁rather ▁than ▁actually ▁talking ▁about ▁too ▁much ▁and ▁then ▁a ▁little ▁bit ▁of ▁action ▁later .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN ADV VERB VERB VERB ADP DET ADJ NOUN PRON ADV ADP DET NOUN ADP VERB VERB ADV CCONJ VERB CCONJ VERB VERB CCONJ VERB ADP DET NOUN NOUN ADV ADP ADV VERB ADP ADV ADV CCONJ ADV DET ADJ NOUN ADP NOUN ADV ADV
‘ He threw him in there newly dead, and Benedetta with him living, to sink or swim together.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	sink or swim	figurative	identical	PUNCT PRON VERB PRON ADV ADV ADV ADJ CCONJ PROPN ADP PRON VERB PART VERB CCONJ VERB ADV	▁ ‘ ▁He ▁threw ▁him ▁in ▁there ▁newly ▁dead , ▁and ▁Ben ed etta ▁with ▁him ▁living , ▁to ▁sink ▁or ▁sw im ▁together .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	PUNCT PUNCT PRON VERB PRON ADV ADV ADV ADJ ADJ CCONJ PROPN PROPN PROPN ADP PRON VERB VERB PART VERB CCONJ VERB VERB ADV ADV
Why shouldn't Gay come to Sunset Cottage, and sink or swim with them?	0 0 0 0 0 0 0 0 1 1 1 0 0	sink or swim	figurative	identical	ADV VERB VERB VERB ADP PROPN PROPN CCONJ VERB CCONJ VERB ADP PRON	▁Why ▁should n ' t ▁Ga y ▁come ▁to ▁S unset ▁Cot t age , ▁and ▁sink ▁or ▁sw im ▁with ▁them ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	ADV VERB VERB VERB VERB VERB VERB VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN CCONJ VERB CCONJ VERB VERB ADP PRON PRON
There is little doubt that some of the 700 million dollars would be at the expense of others and some practitioners of ‘ small’ science, whose projects can sink or swim on fluctuations of tens of thousands of dollars, see calls for 700 million with less than total enthusiasm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sink or swim	figurative	identical	ADV VERB ADJ NOUN ADP DET ADP DET NUM NUM NOUN VERB VERB ADP DET NOUN ADP NOUN CCONJ DET NOUN ADP PUNCT PROPN NOUN ADJ NOUN VERB VERB CCONJ VERB ADP NOUN ADP NOUN ADP NOUN ADP NOUN VERB NOUN ADP NUM NUM ADP ADJ ADP ADJ NOUN	▁There ▁is ▁little ▁doubt ▁that ▁some ▁of ▁the ▁700 ▁million ▁dollars ▁would ▁be ▁at ▁the ▁expense ▁of ▁others ▁and ▁some ▁practitioners ▁of ▁ ‘ ▁small ’ ▁science , ▁whose ▁projects ▁can ▁sink ▁or ▁sw im ▁on ▁fluctuations ▁of ▁ten s ▁of ▁thousands ▁of ▁dollars , ▁see ▁calls ▁for ▁700 ▁million ▁with ▁less ▁than ▁total ▁enthusiasm .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB ADJ NOUN ADP DET ADP DET NUM NUM NOUN VERB VERB ADP DET NOUN ADP NOUN CCONJ DET NOUN ADP PUNCT PUNCT PROPN PROPN NOUN NOUN ADJ NOUN VERB VERB CCONJ VERB VERB ADP NOUN ADP NOUN NOUN ADP NOUN ADP NOUN NOUN VERB NOUN ADP NUM NUM ADP ADJ ADP ADJ NOUN NOUN
IBM CUTS FOUR EURO - PLANTS LOOSE TO SINK OR SWIM	0 0 0 0 0 0 0 0 1 1 1	sink or swim	figurative	case	PROPN VERB NUM NOUN PUNCT NOUN ADJ ADP PROPN CCONJ PROPN	▁IBM ▁CU TS ▁F OUR ▁EURO ▁- ▁PLANTS ▁LO OSE ▁TO ▁SI NK ▁OR ▁SW IM	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PROPN VERB VERB NUM NUM NOUN PUNCT NOUN ADJ ADJ ADP PROPN PROPN CCONJ PROPN PROPN
Sink or swim!	1 1 1	sink or swim	figurative	case	PROPN CCONJ VERB	▁S ink ▁or ▁sw im !	1 1 1 1 1 1	PROPN PROPN CCONJ VERB VERB VERB
Now it was sink or swim.	0 0 0 1 1 1	sink or swim	figurative	identical	ADV PRON VERB ADJ CCONJ VERB	▁Now ▁it ▁was ▁sink ▁or ▁sw im .	0 0 0 1 1 1 1 1	ADV PRON VERB ADJ CCONJ VERB VERB VERB
‘ He 'll have to sink or swim,’ says the Sheffield United boss.	0 0 0 0 0 1 1 1 0 0 0 0 0	sink or swim	figurative	dashes	PUNCT PRON VERB VERB PART VERB CCONJ PROPN VERB DET PROPN PROPN NOUN	▁ ‘ ▁He ▁' ll ▁have ▁to ▁sink ▁or ▁sw im , ’ ▁says ▁the ▁She f field ▁United ▁bo s s .	0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB PART VERB CCONJ PROPN PROPN PROPN PROPN VERB DET PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN
Time will tell whether, in trying to tailor the magic formula to their own requirements, Britain's new - look high - street off - licences will sink or swim into the Nineties.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	sink or swim	figurative	identical	PROPN VERB VERB ADP ADP VERB PART VERB DET ADJ NOUN ADP ADJ ADJ NOUN PROPN ADJ PUNCT VERB ADJ PUNCT NOUN ADP PUNCT NOUN VERB VERB CCONJ VERB ADP DET PROPN	▁Time ▁will ▁tell ▁whether , ▁in ▁trying ▁to ▁tailor ▁the ▁magic ▁formula ▁to ▁their ▁own ▁requirements , ▁Britain ' s ▁new ▁- ▁look ▁high ▁- ▁street ▁off ▁- ▁licences ▁will ▁sink ▁or ▁sw im ▁into ▁the ▁Nine ties .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	PROPN VERB VERB ADP ADP ADP VERB PART VERB DET ADJ NOUN ADP ADJ ADJ NOUN NOUN PROPN PROPN PROPN ADJ PUNCT VERB ADJ PUNCT NOUN ADP PUNCT NOUN VERB VERB CCONJ VERB VERB ADP DET PROPN PROPN PROPN
A decision by IBM Corp to collapse the work building storage systems for the AdStar unit in San Jose into just three plants from the present 10 is causing widespread concern across the IBM empire — and IBM Europe is simultaneously cutting an initial four plants loose to sink or swim, only one of which is directly affected by the AdStar decision.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	sink or swim	figurative	identical	DET NOUN ADP PROPN PROPN PART VERB DET NOUN NOUN NOUN NOUN ADP DET PROPN NOUN ADP PROPN PROPN ADP ADV NUM NOUN ADP DET ADJ NUM VERB VERB ADJ NOUN ADP DET PROPN NOUN PUNCT CCONJ PROPN PROPN VERB ADV VERB DET ADJ NUM NOUN ADJ PART VERB CCONJ VERB ADV NUM ADP ADJ VERB ADV VERB ADP DET PROPN NOUN	▁A ▁decision ▁by ▁IBM ▁Corp ▁to ▁collapse ▁the ▁work ▁building ▁storage ▁systems ▁for ▁the ▁Ad Star ▁unit ▁in ▁San ▁J ose ▁into ▁just ▁three ▁plants ▁from ▁the ▁present ▁10 ▁is ▁causing ▁widespread ▁concern ▁across ▁the ▁IBM ▁empire ▁ — ▁and ▁IBM ▁Europe ▁is ▁simultaneously ▁cutting ▁an ▁initial ▁four ▁plants ▁loose ▁to ▁sink ▁or ▁sw im , ▁only ▁one ▁of ▁which ▁is ▁directly ▁affected ▁by ▁the ▁Ad Star ▁decision .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP PROPN PROPN PART VERB DET NOUN NOUN NOUN NOUN ADP DET PROPN PROPN NOUN ADP PROPN PROPN PROPN ADP ADV NUM NOUN ADP DET ADJ NUM VERB VERB ADJ NOUN ADP DET PROPN NOUN PUNCT PUNCT CCONJ PROPN PROPN VERB ADV VERB DET ADJ NUM NOUN ADJ PART VERB CCONJ VERB VERB VERB ADV NUM ADP ADJ VERB ADV VERB ADP DET PROPN PROPN NOUN NOUN
