‘ I think I 'll go and take a bath, if you 'll excuse me.’	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take a bath	literal	identical	PUNCT PRON VERB PRON VERB VERB CCONJ VERB DET NOUN ADP PRON VERB VERB NOUN
Food manufacturers, already wobbly after Tuesday's pessimistic industry report, took another bath at this added blow to potential profits.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	take a bath	figurative	combined-inflection	NOUN NOUN ADV ADJ ADP PROPN ADJ NOUN NOUN VERB DET NOUN ADP DET VERB NOUN ADP ADJ NOUN
Warm scents rose from a honeysuckle hedge at Monboddo, the much - changed home of a man who, according to Sir Walter Scott, went out at night with a candle to inspect his turnips growing in the fields ; who, hating to sit behind a horse's backside, would not travel in a carriage and therefore — he was in his eighties — rode to London on horseback ; who took a cold bath every day and damaged his children's health by insisting they did the same ; and who, when in residence at Edinburgh, gave dinner parties at which his wine - flagons were wreathed in garlands of roses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	combined-inflection	ADJ NOUN VERB ADP DET NOUN NOUN ADP PROPN DET ADV PUNCT VERB NOUN ADP DET NOUN NOUN VERB ADP PROPN PROPN PROPN VERB PART ADP NOUN ADP DET NOUN PART VERB ADJ NOUN VERB ADP DET NOUN PUNCT NOUN VERB PART VERB ADP DET NOUN NOUN VERB ADV VERB ADP DET NOUN CCONJ ADV PUNCT PRON VERB ADP ADJ NOUN PUNCT VERB ADP PROPN ADP NOUN PUNCT NOUN VERB DET ADJ NOUN DET NOUN CCONJ VERB ADJ NOUN NOUN ADP VERB PRON VERB DET ADJ PUNCT CCONJ NOUN ADV ADP NOUN ADP PROPN VERB NOUN NOUN ADP ADJ ADJ NOUN PUNCT NOUN VERB VERB ADP NOUN ADP NOUN
Of course, if you 're more comfortable in a lounge suit or twin - set and pearls, prefer eggs and bacon for breakfast, insist on using the same boring toothbrush day and night, and like to take baths alone, then you can go to the Hilton.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	take a bath	literal	deletion-determiner	ADV ADV ADP PRON VERB ADV ADJ ADP DET NOUN NOUN CCONJ ADJ PUNCT NOUN CCONJ NOUN VERB NOUN CCONJ NOUN ADP NOUN VERB ADP VERB DET ADJ ADJ NOUN NOUN CCONJ NOUN CCONJ VERB PART VERB NOUN ADV ADV PRON VERB VERB ADP DET PROPN
‘ By the way, Rob,’ Merrill said quietly, ‘ Luke is here, but he's tired and he's taking a bath.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take a bath	literal	inflection	PUNCT ADP DET NOUN PROPN PROPN VERB ADV PUNCT PROPN VERB ADV CCONJ PRON ADJ CCONJ PRON VERB DET NOUN
What animal do you look like when you 're taking a bath?	0 0 0 0 0 0 0 0 0 1 0 1	take a bath	literal	inflection	ADJ NOUN VERB PRON VERB ADP ADV PRON VERB VERB DET NOUN
Drink your tea and take a bath?	0 0 0 0 1 0 1	take a bath	literal	identical	VERB ADJ NOUN CCONJ VERB DET NOUN
And another recommends the visitor to take a bath.	0 0 0 0 0 0 1 0 1	take a bath	literal	identical	CCONJ DET VERB DET NOUN PART VERB DET NOUN
He encouraged her to take public baths, he saw that she ate properly — though indifferent to food himself — and behaved with her like a caring mother, the kind of affectionate mother who had always inspired him.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	determiner-broad	PRON VERB PRON PART VERB ADJ NOUN PRON VERB ADP PRON VERB ADV PUNCT ADP NOUN ADP NOUN PRON PUNCT CCONJ VERB ADP PRON ADP DET ADJ NOUN DET NOUN ADP ADJ NOUN NOUN VERB ADV VERB PRON
You 'll need to take a bath tonight, won't you, my dear, so as to be clean as a new pin for tomorrow.’	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	identical	PRON VERB VERB PART VERB DET NOUN NOUN VERB PRON ADJ NOUN ADP ADP PART VERB ADJ ADP DET ADJ NOUN ADP DET
After the first three days she takes a purificatory bath, and then is given a complete mini - bridal trousseau by her father or, in his absence, her brother.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	combined-inflection	ADP DET ADJ NUM NOUN PRON VERB DET ADJ NOUN CCONJ ADV VERB VERB DET ADJ ADJ PUNCT ADJ NOUN ADP ADJ NOUN CCONJ ADP ADJ NOUN ADJ NOUN
I just want to go home, take a bath, and go to bed.	0 0 0 0 0 0 1 0 1 0 0 0 0	take a bath	literal	identical	PRON ADV VERB PART VERB ADV VERB DET NOUN CCONJ VERB ADP NOUN
Beth told Chris that if he didn't take a bath, she wouldn't go on a date with him.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take a bath	literal	identical	PROPN VERB PROPN ADP ADP PRON VERB VERB DET NOUN PRON VERB VERB ADP DET NOUN ADP PRON
So when he went to take his bath, she hired a fresh chaise, had her luggage transferred to it, and left at once for Dublin.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a bath	literal	determiner-broad	ADV ADV PRON VERB PART VERB ADJ NOUN PRON VERB DET ADJ NOUN VERB ADJ NOUN VERB ADP PRON CCONJ VERB ADP ADV ADP PROPN
