Well we 're not the best of friends, she just takes the piss.	0 0 0 0 0 0 0 0 0 0 1 0 1	take the piss	figurative	inflection	INTJ PRON VERB ADV DET ADJ ADP NOUN PRON ADV VERB DET NOUN
He goes shut up, you taking the piss out of me.	0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	PRON VERB VERB PART PRON VERB DET NOUN ADP ADP PRON
and they all take the piss out of her	0 0 0 1 0 1 0 0 0	take the piss	figurative	identical	CCONJ PRON DET VERB DET NOUN ADP ADP PRON
Don't take the piss!	0 1 0 1	take the piss	figurative	identical	VERB VERB DET NOUN
Well it's blatantly taking the piss, let's be honest, I mean, I can't muck around, I mean it's blatantly taking the piss isn't it?	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	INTJ PRON ADV VERB DET NOUN VERB VERB ADJ PRON VERB PRON VERB VERB ADV PRON VERB PRON ADV VERB DET NOUN VERB PRON
Three, he might have been taking the piss, provoking the crowd.	0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	NUM PRON VERB VERB VERB VERB DET NOUN VERB DET NOUN
‘ But when I got behind the typewriter I thought, ‘ That ain't gon na make a very good piece’ and so I took the piss out of her something rotten.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take the piss	literal	inflection	PUNCT CCONJ ADV PRON VERB ADP DET NOUN PRON VERB PUNCT DET VERB VERB PART VERB DET ADV ADJ PROPN CCONJ ADV PRON VERB DET NOUN ADP ADP ADJ NOUN ADJ
I couldn't hear exactly what he said, but I knew from Terry's tone that they were taking the piss out of me.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	PRON VERB VERB ADV NOUN PRON VERB CCONJ PRON VERB ADP PROPN NOUN ADP PRON VERB VERB DET NOUN ADP ADP NOUN
‘ People were waiting for us to sign things and it was like, you 're taking the piss out of us, aren't you?’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take the piss	figurative	inflection	PUNCT NOUN VERB VERB ADP PRON PART VERB NOUN CCONJ PRON VERB INTJ PRON VERB VERB DET NOUN ADP ADP PRON VERB NOUN
No I was taking the piss out of when you were in the remembrance service when	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	INTJ PRON VERB VERB DET NOUN ADP ADP ADV PRON VERB ADP DET NOUN NOUN ADV
But even treated as an inherently comic ‘ found object’, even taking the piss out of himself, it's clear that Brando could still blow most contemporary actors off the screen.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	CCONJ ADV VERB ADP DET ADV ADJ PRON VERB NOUN ADV VERB DET NOUN ADP ADP PRON PRON ADJ ADP PROPN VERB ADV VERB ADJ ADJ NOUN ADP DET NOUN
What happens with a student is they 're more likely to take the piss.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the piss	figurative	identical	NOUN VERB ADP DET NOUN VERB PRON VERB ADV ADJ PART VERB DET NOUN
oh this takes the piss man, I bet you there's no one in school with a cigarette in his arm	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	INTJ DET VERB DET ADJ NOUN PRON VERB PRON ADV DET NOUN ADP NOUN ADP DET NOUN ADP ADJ NOUN
or taking the piss — I 've never quite known which. )	0 1 0 1 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	CCONJ VERB DET NOUN PUNCT PRON VERB ADV ADV VERB ADJ PUNCT
er, it got that bad that I thought she was taking the piss out of me.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	INTJ PRON VERB ADV ADJ ADP PRON VERB PRON VERB VERB DET NOUN ADP ADP PRON
‘ If you put yourself in the position to be fashionable, then six months later everyone's going to take the piss out of you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	identical	PUNCT ADP PRON VERB PRON ADP DET NOUN PART VERB ADJ ADV NUM NOUN ADV NOUN VERB PART VERB DET NOUN ADP ADP PRON
I 'm not I 'm taking the piss out the way he said it.	0 0 0 0 0 1 0 1 0 0 0 0 0 0	take the piss	figurative	inflection	PRON VERB ADV PRON VERB VERB DET NOUN ADP DET NOUN PRON VERB PRON
‘ We 're taking the piss.’	0 0 0 1 0 1	take the piss	figurative	combined-inflection	PUNCT PRON VERB VERB DET NOUN
I don't take the piss out of him he goes turns all silent, he goes like	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	identical	PRON VERB VERB DET NOUN ADP ADP PRON PRON VERB VERB ADV ADJ PRON VERB ADP
ah you take the piss so bad	0 0 1 0 1 0 0	take the piss	figurative	identical	INTJ PRON VERB DET NOUN ADV ADJ
‘ He has the effing gall to say I suggested it myself and he knows bloody well I was taking the piss.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the piss	figurative	combined-inflection	PUNCT PRON VERB DET VERB NOUN PART VERB PRON VERB PRON PRON CCONJ PRON VERB ADJ INTJ PRON VERB VERB DET NOUN
I think they were just taking the piss.	0 0 0 0 0 1 0 1	take the piss	figurative	inflection	PRON VERB PRON VERB ADV VERB DET NOUN
He felt awkward and so he mostly just took the piss out of it to get through.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take the piss	figurative	inflection	PRON VERB ADJ CCONJ ADV PRON ADV ADV VERB DET NOUN ADP ADP PRON PART VERB PART
Oh that takes the piss.	0 0 1 0 1	take the piss	figurative	inflection	INTJ DET VERB DET NOUN
You could tell they were having a blast — and taking the piss’ Lenny Kaye	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	take the piss	figurative	combined-inflection	PRON VERB VERB PRON VERB VERB DET NOUN PUNCT CCONJ VERB DET PROPN PROPN PROPN
Taking the piss for a laff is one thing.	1 0 1 0 0 0 0 0 0	take the piss	figurative	combined-inflection	VERB DET NOUN ADP DET NOUN VERB NUM NOUN
These Chelsea - supporting, three - minute Johnnies have been taking the piss out of ordinary folk for too long, indulging their libidos at our nation's expense, laughing while communities crumble, hospitals are shut and the economy goes down the pan.’	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	inflection	DET PROPN PUNCT VERB NUM PUNCT NOUN NOUN VERB VERB VERB DET NOUN ADP ADP ADJ NOUN ADP ADV ADJ VERB ADJ NOUN ADP ADJ NOUN NOUN VERB ADP NOUN VERB NOUN VERB VERB CCONJ DET NOUN VERB ADP DET NOUN
he probably thought he was it because he was the new salesman, salesman director and I used to take the piss out of him!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	identical	PRON ADV VERB PRON VERB PRON ADP PRON VERB DET ADJ NOUN NOUN NOUN CCONJ PRON VERB PART VERB DET NOUN ADP ADP PRON
She said you were both taking the piss out of me.	0 0 0 0 0 1 0 1 0 0 0	take the piss	figurative	inflection	PRON VERB PRON VERB DET VERB DET NOUN ADP ADP PRON
it's not funny, you can't take the piss out of all those poor people that died.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take the piss	figurative	identical	PRON ADV ADJ PRON VERB VERB DET NOUN ADP ADP ADJ DET ADJ NOUN ADJ VERB
They 're taking the piss.	0 0 1 0 1	take the piss	figurative	inflection	PRON VERB VERB DET NOUN
It's alright I know I take the piss out of you every other day of the year but today I will not from now on.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the piss	figurative	identical	PRON INTJ PRON VERB PRON VERB DET NOUN ADP ADP PRON DET ADJ NOUN ADP DET NOUN CCONJ NOUN PRON VERB ADV ADP ADV ADV
