Stretch bra tops and slip dresses in pink and cream are painted with delicate flowers.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	in the pink	literal	deletion-determiner	ADJ NOUN NOUN CCONJ VERB NOUN ADP NOUN CCONJ NOUN VERB VERB ADP ADJ NOUN
‘ To get you in the pink.	0 0 0 0 1 0 1	in the pink	figurative	identical	PUNCT PART VERB PRON ADP DET NOUN
In the pink or just slightly red?	1 0 1 0 0 0 0	in the pink	figurative	case	ADP DET NOUN CCONJ ADV ADV ADJ
A second type, in dull pink embroidered on khaki serge — see ( 2 ), 2¼in. at widest — was later encountered, certainly as sewn to shoulder slides.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pink	literal	determiner-broad	DET ADJ NOUN ADP ADJ NOUN VERB ADP NOUN VERB PUNCT VERB PUNCT NUM PUNCT NUM ADP ADJ PUNCT VERB ADV VERB ADV ADP VERB PART VERB NOUN
Keeping Basslets in the pink	0 0 1 0 1	in the pink	figurative	identical	VERB NOUN ADP DET NOUN
And it's in a Rome pink it is, like a sort of a nice pink.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	in the pink	literal	combined-other	CCONJ PRON ADP DET PROPN NOUN PRON VERB ADP DET NOUN ADP DET ADJ NOUN
even the little cocksucker in pink.	0 0 0 0 1 1	in the pink	literal	deletion-determiner	ADV DET ADJ NOUN ADP NOUN
They 're in the pink	0 0 1 0 1	in the pink	figurative	identical	PRON VERB ADP DET NOUN
It was around Lake Baikal that the woman in pink had been able to share in her daughter's delight with the journey.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	in the pink	literal	deletion-determiner	PRON VERB ADP PROPN PROPN ADP DET NOUN ADP NOUN VERB VERB ADJ PART VERB ADP ADJ NOUN NOUN ADP DET NOUN
Benny was large and square, but she wouldn't look like that in the pink velvet dress.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the pink	literal	identical	PROPN VERB ADJ CCONJ ADJ CCONJ PRON VERB VERB ADP DET ADP DET ADJ NOUN NOUN
Repeat this until you have done 12 rows of stocking stitch in pink ( around 4cms ).	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	in the pink	literal	deletion-determiner	VERB DET ADP PRON VERB VERB NUM NOUN ADP VERB NOUN ADP NOUN PUNCT ADP NUM PUNCT
The column is in the pink granite of the quarries of Baveno on the western shore of Lake Maggiore.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pink	literal	identical	DET NOUN VERB ADP DET ADJ NOUN ADP DET NOUN ADP PROPN ADP DET ADJ NOUN ADP PROPN PROPN
