It tastes horrible and I spit it out.	0 0 0 0 0 1 1 1	spit it out	literal	identical	PRON VERB ADJ CCONJ PRON VERB PRON PART	▁It ▁taste s ▁horr ible ▁and ▁I ▁sp it ▁it ▁out .	0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB ADJ ADJ CCONJ PRON VERB VERB PRON PART PART
Now spit it out, man.	0 1 1 1 0	spit it out	figurative	identical	ADV VERB PRON PART NOUN	▁Now ▁sp it ▁it ▁out , ▁man .	0 1 1 1 1 1 0 0	ADV VERB VERB PRON PART PART NOUN NOUN
putting water in and spitting it out.	0 0 0 0 1 1 1	spit it out	literal	inflection	VERB NOUN ADP CCONJ VERB PRON PART	▁putting ▁water ▁in ▁and ▁sp itting ▁it ▁out .	0 0 0 0 1 1 1 1 1	VERB NOUN ADP CCONJ VERB VERB PRON PART PART
Took it down to our bedroom and spitting it out!	0 0 0 0 0 0 0 1 1 1	spit it out	literal	inflection	VERB PRON PART ADP ADJ NOUN CCONJ VERB PRON PART	▁To ok ▁it ▁down ▁to ▁our ▁be d room ▁and ▁sp itting ▁it ▁out !	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	VERB VERB PRON PART ADP ADJ NOUN NOUN NOUN CCONJ VERB VERB PRON PART PART
If it comes out of your mouth spit it out, rather than let it go back down to your tummy.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	spit it out	literal	identical	ADP PRON VERB ADP ADP ADJ NOUN VERB PRON PART ADV ADP VERB PRON VERB ADV ADV ADP ADJ NOUN	▁If ▁it ▁comes ▁out ▁of ▁your ▁mouth ▁sp it ▁it ▁out , ▁rather ▁than ▁let ▁it ▁go ▁back ▁down ▁to ▁your ▁tum my .	0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB ADP ADP ADJ NOUN VERB VERB PRON PART PART ADV ADP VERB PRON VERB ADV ADV ADP ADJ NOUN NOUN NOUN
She had hated the taste of it and spat it out immediately.	0 0 0 0 0 0 0 0 1 1 1 0	spit it out	literal	inflection	PRON VERB VERB DET NOUN ADP PRON CCONJ VERB PRON PART ADV	▁She ▁had ▁hat ed ▁the ▁taste ▁of ▁it ▁and ▁sp at ▁it ▁out ▁immediately .	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	PRON VERB VERB VERB DET NOUN ADP PRON CCONJ VERB VERB PRON PART ADV ADV
Its complete lack of any taste was so nauseating that I spat it out and decided to eat the rest of the bread by itself I was finishing this when there was the sound of boots in the passage again.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	spit it out	literal	inflection	ADJ ADJ NOUN ADP DET NOUN VERB ADV ADJ ADP PRON VERB PRON PART CCONJ VERB PART VERB DET NOUN ADP DET NOUN ADP PRON PRON VERB VERB DET ADV ADV VERB DET NOUN ADP NOUN ADP DET NOUN ADV	▁It s ▁complete ▁lack ▁of ▁any ▁taste ▁was ▁so ▁nause ating ▁that ▁I ▁sp at ▁it ▁out ▁and ▁decided ▁to ▁eat ▁the ▁rest ▁of ▁the ▁bread ▁by ▁itself ▁I ▁was ▁finishing ▁this ▁when ▁there ▁was ▁the ▁sound ▁of ▁boot s ▁in ▁the ▁passage ▁again .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ NOUN ADP DET NOUN VERB ADV ADJ ADJ ADP PRON VERB VERB PRON PART CCONJ VERB PART VERB DET NOUN ADP DET NOUN ADP PRON PRON VERB VERB DET ADV ADV VERB DET NOUN ADP NOUN NOUN ADP DET NOUN ADV ADV
‘ You 're wondering something, boy, cough it up, spit it out, expel it, vomit it forth.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	spit it out	figurative	identical	PUNCT PRON VERB VERB NOUN NOUN VERB PRON PART VERB PRON PART VERB PRON VERB PRON ADV	▁ ‘ ▁You ▁' re ▁wonder ing ▁something , ▁boy , ▁cough ▁it ▁up , ▁sp it ▁it ▁out , ▁expel ▁it , ▁vo mit ▁it ▁forth .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB VERB NOUN NOUN NOUN NOUN VERB PRON PART PART VERB VERB PRON PART PART VERB PRON PRON VERB VERB PRON ADV ADV
It claimed Elton John was hooked on eating food and spitting it out and it claimed he told guests at a Los Angeles party, I 'm on the don't swallow and get thin diet.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	spit it out	literal	inflection	PRON VERB PROPN PROPN VERB VERB ADP VERB NOUN CCONJ VERB PRON PART CCONJ PRON VERB PRON VERB NOUN ADP DET PROPN PROPN NOUN PRON VERB ADP DET VERB VERB CCONJ VERB ADJ NOUN	▁It ▁claimed ▁El ton ▁John ▁was ▁hook ed ▁on ▁eating ▁food ▁and ▁sp itting ▁it ▁out ▁and ▁it ▁claimed ▁he ▁told ▁guest s ▁at ▁a ▁Lo s ▁Angel es ▁party , ▁I ▁' m ▁on ▁the ▁don ' t ▁swallow ▁and ▁get ▁thin ▁diet .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PROPN PROPN PROPN VERB VERB VERB ADP VERB NOUN CCONJ VERB VERB PRON PART CCONJ PRON VERB PRON VERB NOUN NOUN ADP DET PROPN PROPN PROPN PROPN NOUN NOUN PRON VERB VERB ADP DET VERB VERB VERB VERB CCONJ VERB ADJ NOUN NOUN
Spit it out.	1 1 1	spit it out	figurative	case	VERB PRON PART	▁S pit ▁it ▁out .	1 1 1 1 1	VERB VERB PRON PART PART
Many young children chew meat into small balls and then spit it out ( Howard 1984 ).	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	spit it out	literal	identical	ADJ ADJ NOUN VERB NOUN ADP ADJ NOUN CCONJ ADV VERB PRON PART PUNCT PROPN NUM PUNCT	▁Many ▁young ▁children ▁chew ▁meat ▁into ▁small ▁balls ▁and ▁then ▁sp it ▁it ▁out ▁( ▁How ard ▁1984 ▁ ).	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	ADJ ADJ NOUN VERB NOUN ADP ADJ NOUN CCONJ ADV VERB VERB PRON PART PUNCT PROPN PROPN NUM PUNCT PUNCT
