One mistake could blow his cover and ruin years of careful work in the North.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	blow someone's cover	figurative	possessive	NUM NOUN VERB VERB ADJ NOUN CCONJ NOUN NOUN ADP ADJ NOUN ADP DET PROPN	▁One ▁mistake ▁could ▁blow ▁his ▁cover ▁and ▁ruin ▁years ▁of ▁careful ▁work ▁in ▁the ▁North .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	NUM NOUN VERB VERB ADJ NOUN CCONJ NOUN NOUN ADP ADJ NOUN ADP DET PROPN PROPN
And after such a lengthy period of secrecy, was Lucy going to blow her cover so comprehensively in a single gesture?	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	blow someone's cover	figurative	possessive	CCONJ ADP ADJ DET ADJ NOUN ADP NOUN VERB PROPN VERB PART VERB ADJ NOUN ADV ADV ADP DET ADJ NOUN	▁And ▁after ▁such ▁a ▁lengthy ▁period ▁of ▁secrecy , ▁was ▁Luc y ▁going ▁to ▁blow ▁her ▁cover ▁so ▁comprehensive ly ▁in ▁a ▁single ▁gesture ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	CCONJ ADP ADJ DET ADJ NOUN ADP NOUN NOUN VERB PROPN PROPN VERB PART VERB ADJ NOUN ADV ADV ADV ADP DET ADJ NOUN NOUN
She was more than capable of defending herself if the need arose, but what if her pursuer was someone who had recognized her from a previous UNACO assignment, someone out to blow her cover?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	blow someone's cover	figurative	possessive	PRON VERB ADJ ADP ADJ ADP VERB PRON ADP DET NOUN VERB CCONJ NOUN ADP ADJ NOUN VERB NOUN NOUN VERB VERB PRON ADP DET ADJ PROPN NOUN NOUN PART PART VERB ADJ NOUN	▁She ▁was ▁more ▁than ▁capable ▁of ▁defend ing ▁herself ▁if ▁the ▁need ▁arose , ▁but ▁what ▁if ▁her ▁pursue r ▁was ▁someone ▁who ▁had ▁recognized ▁her ▁from ▁a ▁previous ▁UN A CO ▁assignment , ▁someone ▁out ▁to ▁blow ▁her ▁cover ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB ADJ ADP ADJ ADP VERB VERB PRON ADP DET NOUN VERB VERB CCONJ NOUN ADP ADJ NOUN NOUN VERB NOUN NOUN VERB VERB PRON ADP DET ADJ PROPN PROPN PROPN NOUN NOUN NOUN PART PART VERB ADJ NOUN NOUN
In fact, that single action was the one thing that blew their cover, caused the failure of the entire operation.’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	blow someone's cover	figurative	misc	ADP NOUN DET ADJ NOUN VERB DET NUM NOUN ADJ VERB ADJ NOUN VERB DET NOUN ADP DET ADJ NOUN	▁In ▁fact , ▁that ▁single ▁action ▁was ▁the ▁one ▁thing ▁that ▁ble w ▁their ▁cover , ▁caused ▁the ▁failure ▁of ▁the ▁entire ▁operation . ’	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN DET ADJ NOUN VERB DET NUM NOUN ADJ VERB VERB ADJ NOUN NOUN VERB DET NOUN ADP DET ADJ NOUN NOUN NOUN
‘ Don't you dare blow her cover,’ I warn, ‘ or I 'll make you stand on your head and sing ‘ We Wish You a Merry Christmas’in the middle of the dancefloor.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	blow someone's cover	figurative	combined-other	PUNCT VERB PRON VERB VERB PRON PROPN PRON VERB PUNCT CCONJ PRON VERB VERB PRON VERB ADP ADJ NOUN CCONJ VERB PRON PRON VERB PRON DET PROPN PROPN DET NOUN ADP DET NOUN	▁ ‘ ▁Don ' t ▁you ▁dare ▁blow ▁her ▁cover , ’ ▁I ▁warn , ▁ ‘ ▁or ▁I ▁' ll ▁make ▁you ▁stand ▁on ▁your ▁head ▁and ▁s ing ▁ ‘ ▁We ▁W ish ▁You ▁a ▁Mer ry ▁Christmas ’ in ▁the ▁middle ▁of ▁the ▁dance floor . ’	0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT VERB VERB VERB PRON VERB VERB PRON PROPN PROPN PROPN PRON VERB VERB PUNCT PUNCT CCONJ PRON VERB VERB VERB PRON VERB ADP ADJ NOUN CCONJ VERB VERB PRON PRON PRON VERB VERB PRON DET PROPN PROPN PROPN PROPN PROPN DET NOUN ADP DET NOUN NOUN NOUN NOUN
‘ All I have to do is make one phone call to the plant manager and I can blow your cover.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	blow someone's cover	figurative	combined-other	PUNCT DET PRON VERB PART VERB VERB VERB NUM NOUN NOUN ADP DET NOUN NOUN CCONJ PRON VERB VERB ADJ NOUN	▁ ‘ ▁All ▁I ▁have ▁to ▁do ▁is ▁make ▁one ▁phone ▁call ▁to ▁the ▁plant ▁manager ▁and ▁I ▁can ▁blow ▁your ▁cover . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT DET PRON VERB PART VERB VERB VERB NUM NOUN NOUN ADP DET NOUN NOUN CCONJ PRON VERB VERB ADJ NOUN NOUN NOUN
If this has blown my cover, you may not hear from me again.	0 0 0 1 1 1 0 0 0 0 0 0 0	blow someone's cover	figurative	misc	ADP DET VERB VERB ADJ NOUN PRON VERB ADV VERB ADP PRON ADV	▁If ▁this ▁has ▁blown ▁my ▁cover , ▁you ▁may ▁not ▁hear ▁from ▁me ▁again .	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	ADP DET VERB VERB ADJ NOUN NOUN PRON VERB ADV VERB ADP PRON ADV ADV
‘ You didn't blow your cover?’	0 0 0 1 1 1	blow someone's cover	figurative	combined-other	PUNCT PRON VERB VERB ADJ NOUN	▁ ‘ ▁You ▁did n ' t ▁blow ▁your ▁cover ? ’	0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT PRON VERB VERB VERB VERB VERB ADJ NOUN NOUN NOUN
Stirling, however, was worried that their cover was blown and decided on a change of plan.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	blow someone's cover	figurative	misc	VERB ADV VERB ADJ ADP ADJ NOUN VERB VERB CCONJ VERB ADP DET NOUN ADP NOUN	▁St ir ling , ▁however , ▁was ▁worried ▁that ▁their ▁cover ▁was ▁blown ▁and ▁decided ▁on ▁a ▁change ▁of ▁plan .	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	VERB VERB VERB VERB ADV ADV VERB ADJ ADP ADJ NOUN VERB VERB CCONJ VERB ADP DET NOUN ADP NOUN NOUN
More serious from the point of view of his personal safety, by blowing his cover and stressing that he no longer enjoyed the government's protection, the CNN broadcast, in effect, declared open season on Lester Coleman.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	blow someone's cover	figurative	misc	ADV ADJ ADP DET NOUN ADP NOUN ADP ADJ ADJ NOUN ADP VERB ADJ NOUN CCONJ VERB ADP PRON ADV ADV VERB DET NOUN NOUN DET PROPN NOUN ADP NOUN VERB ADJ NOUN ADP PROPN PROPN	▁More ▁serious ▁from ▁the ▁point ▁of ▁view ▁of ▁his ▁personal ▁safety , ▁by ▁blow ing ▁his ▁cover ▁and ▁stressing ▁that ▁he ▁no ▁longer ▁enjoyed ▁the ▁government ' s ▁protection , ▁the ▁CN N ▁broadcast , ▁in ▁effect , ▁declared ▁open ▁season ▁on ▁L ester ▁C ole man .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADJ ADP DET NOUN ADP NOUN ADP ADJ ADJ NOUN NOUN ADP VERB VERB ADJ NOUN CCONJ VERB ADP PRON ADV ADV VERB DET NOUN NOUN NOUN NOUN NOUN DET PROPN PROPN NOUN NOUN ADP NOUN NOUN VERB ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN
His cover would have been blown.	1 1 0 0 0 1	blow someone's cover	figurative	misc	ADJ NOUN VERB VERB VERB VERB	▁His ▁cover ▁would ▁have ▁been ▁blown .	1 1 0 0 0 1 1	ADJ NOUN VERB VERB VERB VERB VERB
