flying the flag of Lorraine	1 0 1 0 0	fly the flag	figurative	inflection	VERB DET NOUN ADP PROPN	▁flying ▁the ▁flag ▁of ▁Lorraine	1 0 1 0 0	VERB DET NOUN ADP PROPN
That night he boarded a small ship flying a Finnish flag and fell asleep in the deserted wheelhouse.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	fly the flag	literal	combined-inflection	DET NOUN PRON VERB DET ADJ NOUN VERB DET ADJ NOUN CCONJ VERB ADJ ADP DET ADJ NOUN	▁That ▁night ▁he ▁board ed ▁a ▁small ▁ship ▁flying ▁a ▁Finnish ▁flag ▁and ▁fell ▁asleep ▁in ▁the ▁desert ed ▁wheel house .	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	DET NOUN PRON VERB VERB DET ADJ NOUN VERB DET ADJ NOUN CCONJ VERB ADJ ADP DET ADJ ADJ NOUN NOUN NOUN
It was customary to fly a flag at half - mast when anyone connected with the May weekend died so, not to be beaten, committee members managed to obtain a telegraph pole, paint and erect it in one weekend so that old Amos would not be cheated of this sign of respect.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	literal	determiner-narrow	PRON VERB ADJ PART VERB DET NOUN ADP ADJ PUNCT NOUN ADV NOUN VERB ADP DET PROPN NOUN VERB ADV ADV PART VERB VERB NOUN NOUN VERB PART VERB DET NOUN NOUN NOUN CCONJ VERB PRON ADP NUM NOUN ADP ADP ADJ PROPN VERB ADV VERB VERB ADP DET NOUN ADP NOUN	▁It ▁was ▁custom ary ▁to ▁fly ▁a ▁flag ▁at ▁half ▁- ▁mast ▁when ▁anyone ▁connected ▁with ▁the ▁May ▁weekend ▁died ▁so , ▁not ▁to ▁be ▁beat en , ▁committee ▁members ▁managed ▁to ▁obtain ▁a ▁telegraph ▁pole , ▁paint ▁and ▁erect ▁it ▁in ▁one ▁weekend ▁so ▁that ▁old ▁A mos ▁would ▁not ▁be ▁che ated ▁of ▁this ▁sign ▁of ▁respect .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADJ PART VERB DET NOUN ADP ADJ PUNCT NOUN ADV NOUN VERB ADP DET PROPN NOUN VERB ADV ADV ADV PART VERB VERB VERB VERB NOUN NOUN VERB PART VERB DET NOUN NOUN NOUN NOUN CCONJ VERB PRON ADP NUM NOUN ADP ADP ADJ PROPN PROPN VERB ADV VERB VERB VERB ADP DET NOUN ADP NOUN NOUN
Flying the flag : The Fijian team celebrates as it retains its grip on the Cup for the third year in succession:(l - r ) Fijian supporter, Waisale Serevi, Tomasi Cama, Vesito Rauluni ( captain ), Mesake Rasari, Viliami Rauluni, Filimone Seru, Ratu Sakeasi ( front ).	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	combined-inflection	VERB DET NOUN PUNCT DET ADJ NOUN VERB ADP PRON VERB ADJ NOUN ADP DET PROPN ADP DET ADJ NOUN ADP NOUN PUNCT NOUN PUNCT ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT NOUN PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT NOUN PUNCT	▁Fly ing ▁the ▁flag ▁ : ▁The ▁Fiji an ▁team ▁celebrate s ▁as ▁it ▁retain s ▁its ▁grip ▁on ▁the ▁C up ▁for ▁the ▁third ▁year ▁in ▁succession : ( l ▁- ▁r ▁ ) ▁Fiji an ▁support er , ▁Wai sale ▁Ser e vi , ▁To mas i ▁C ama , ▁V es ito ▁Ra ul uni ▁( ▁captain ▁ ), ▁Me s ake ▁Ra s ari , ▁V ili ami ▁Ra ul uni , ▁Fil im one ▁Ser u , ▁R atu ▁Sak ea si ▁( ▁front ▁ ).	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN PUNCT PUNCT DET ADJ ADJ NOUN VERB VERB ADP PRON VERB VERB ADJ NOUN ADP DET PROPN PROPN ADP DET ADJ NOUN ADP NOUN NOUN NOUN NOUN PUNCT NOUN PUNCT PUNCT ADJ ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT NOUN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT NOUN PUNCT PUNCT
The Greek Government considered that that view was borne out by the fact that the Community legislation on the fishing industry referred to vessels ‘ flying the flag of a member state’ or ‘ registered in a member state’and regarded those concepts as having been defined by the laws of the member states.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	inflection	DET PROPN PROPN VERB ADP DET NOUN VERB VERB PART ADP DET NOUN ADP DET PROPN NOUN ADP DET NOUN NOUN VERB ADP NOUN PRON VERB DET NOUN ADP DET NOUN NOUN CCONJ PRON VERB ADP DET NOUN NOUN VERB DET NOUN ADP VERB VERB VERB ADP DET NOUN ADP DET NOUN NOUN	▁The ▁Greek ▁Government ▁considered ▁that ▁that ▁view ▁was ▁borne ▁out ▁by ▁the ▁fact ▁that ▁the ▁Community ▁legislation ▁on ▁the ▁fishing ▁industry ▁referred ▁to ▁vessels ▁ ‘ ▁flying ▁the ▁flag ▁of ▁a ▁member ▁state ’ ▁or ▁ ‘ ▁registered ▁in ▁a ▁member ▁state ’ and ▁regarded ▁those ▁concepts ▁as ▁having ▁been ▁defined ▁by ▁the ▁laws ▁of ▁the ▁member ▁states .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN VERB ADP DET NOUN VERB VERB PART ADP DET NOUN ADP DET PROPN NOUN ADP DET NOUN NOUN VERB ADP NOUN PRON PRON VERB DET NOUN ADP DET NOUN NOUN NOUN CCONJ PRON PRON VERB ADP DET NOUN NOUN NOUN NOUN VERB DET NOUN ADP VERB VERB VERB ADP DET NOUN ADP DET NOUN NOUN NOUN
He passed beside them all, seeing no one, his eyes fixed on the sea and the skiff, and the two great ships and the galleys beyond, all of them flying the Lusignan flag.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	fly the flag	figurative	combined-inflection	PRON VERB ADP PRON DET VERB DET NOUN ADJ NOUN VERB ADP DET NOUN CCONJ DET NOUN CCONJ DET NUM ADJ NOUN CCONJ DET NOUN ADP DET ADP PRON VERB DET PROPN NOUN	▁He ▁passed ▁be side ▁them ▁all , ▁seeing ▁no ▁one , ▁his ▁eyes ▁fixed ▁on ▁the ▁sea ▁and ▁the ▁ski ff , ▁and ▁the ▁two ▁great ▁ships ▁and ▁the ▁gall ey s ▁beyond , ▁all ▁of ▁them ▁flying ▁the ▁Lu sign an ▁flag .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1	PRON VERB ADP ADP PRON DET DET VERB DET NOUN NOUN ADJ NOUN VERB ADP DET NOUN CCONJ DET NOUN NOUN NOUN CCONJ DET NUM ADJ NOUN CCONJ DET NOUN NOUN NOUN ADP ADP DET ADP PRON VERB DET PROPN PROPN PROPN NOUN NOUN
The Divisional Court referred to the Court of Justice of the European Communities the question whether Community law affected the conditions which a member state might prescribe for the entry of vessels in its national register and the right of vessels to fly its flag and carry its nationality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	fly the flag	figurative	determiner-broad	DET PROPN PROPN VERB ADP DET PROPN ADP PROPN ADP DET PROPN PROPN DET NOUN ADP PROPN NOUN VERB DET NOUN ADJ DET NOUN NOUN VERB VERB ADP DET NOUN ADP NOUN ADP ADJ ADJ NOUN CCONJ DET NOUN ADP NOUN PART VERB ADJ NOUN CCONJ VERB ADJ NOUN	▁The ▁Division al ▁Court ▁referred ▁to ▁the ▁Court ▁of ▁Justice ▁of ▁the ▁European ▁Communities ▁the ▁question ▁whether ▁Community ▁law ▁affected ▁the ▁conditions ▁which ▁a ▁member ▁state ▁might ▁prescribe ▁for ▁the ▁entry ▁of ▁vessels ▁in ▁its ▁national ▁register ▁and ▁the ▁right ▁of ▁vessels ▁to ▁fly ▁its ▁flag ▁and ▁carry ▁its ▁nationality .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	DET PROPN PROPN PROPN VERB ADP DET PROPN ADP PROPN ADP DET PROPN PROPN DET NOUN ADP PROPN NOUN VERB DET NOUN ADJ DET NOUN NOUN VERB VERB ADP DET NOUN ADP NOUN ADP ADJ ADJ NOUN CCONJ DET NOUN ADP NOUN PART VERB ADJ NOUN CCONJ VERB ADJ NOUN NOUN
' Each state shall fix the conditions for the grant of its nationality to ships, for the registration of ships in its territory, and for the right to fly its flag.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	fly the flag	figurative	determiner-broad	PUNCT DET NOUN VERB VERB DET NOUN ADP DET NOUN ADP ADJ NOUN ADP NOUN ADP DET NOUN ADP NOUN ADP ADJ NOUN CCONJ ADP DET NOUN PART VERB ADJ NOUN	▁' ▁E ach ▁state ▁shall ▁fix ▁the ▁conditions ▁for ▁the ▁grant ▁of ▁its ▁nationality ▁to ▁ships , ▁for ▁the ▁registration ▁of ▁ships ▁in ▁its ▁territory , ▁and ▁for ▁the ▁right ▁to ▁fly ▁its ▁flag .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PUNCT DET DET NOUN VERB VERB DET NOUN ADP DET NOUN ADP ADJ NOUN ADP NOUN NOUN ADP DET NOUN ADP NOUN ADP ADJ NOUN NOUN CCONJ ADP DET NOUN PART VERB ADJ NOUN NOUN
Consequently, the answer to question ( 1 ) must be that, as Community law stands at present, it is for the member states to determine, in accordance with the general rules of international law, the conditions which must be fulfilled in order for a vessel to be registered in their registers and granted the right to fly their flag, but, in exercising that power, the member states must comply with the rules of Community law.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	figurative	determiner-broad	ADV DET NOUN PART VERB PUNCT NUM PUNCT VERB VERB DET ADP PROPN NOUN VERB ADP NOUN PRON VERB ADP DET NOUN NOUN PART VERB ADP NOUN ADP DET ADJ NOUN ADP ADJ NOUN DET NOUN ADJ VERB VERB VERB ADP NOUN ADP DET NOUN PART VERB VERB ADP ADJ NOUN CCONJ VERB DET NOUN PART VERB ADJ NOUN CCONJ ADP VERB DET NOUN DET NOUN NOUN VERB VERB ADP DET NOUN ADP PROPN NOUN	▁Consequently , ▁the ▁answer ▁to ▁question ▁( ▁1 ▁ ) ▁must ▁be ▁that , ▁as ▁Community ▁law ▁stands ▁at ▁present , ▁it ▁is ▁for ▁the ▁member ▁states ▁to ▁determine , ▁in ▁accordance ▁with ▁the ▁general ▁rules ▁of ▁international ▁law , ▁the ▁conditions ▁which ▁must ▁be ▁fulfilled ▁in ▁order ▁for ▁a ▁vessel ▁to ▁be ▁registered ▁in ▁their ▁registers ▁and ▁granted ▁the ▁right ▁to ▁fly ▁their ▁flag , ▁but , ▁in ▁exercising ▁that ▁power , ▁the ▁member ▁states ▁must ▁comply ▁with ▁the ▁rules ▁of ▁Community ▁law .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET NOUN PART VERB PUNCT NUM PUNCT PUNCT VERB VERB DET DET ADP PROPN NOUN VERB ADP NOUN NOUN PRON VERB ADP DET NOUN NOUN PART VERB VERB ADP NOUN ADP DET ADJ NOUN ADP ADJ NOUN NOUN DET NOUN ADJ VERB VERB VERB ADP NOUN ADP DET NOUN PART VERB VERB ADP ADJ NOUN CCONJ VERB DET NOUN PART VERB ADJ NOUN NOUN CCONJ CCONJ ADP VERB DET NOUN NOUN DET NOUN NOUN VERB VERB ADP DET NOUN ADP PROPN NOUN NOUN
NME flies the flag!	0 1 0 1	fly the flag	figurative	inflection	PROPN VERB DET NOUN	▁N ME ▁fl ies ▁the ▁flag !	0 0 1 1 0 1 1	PROPN PROPN VERB VERB DET NOUN NOUN
‘ ( 2 ) In the light of the provisions and principles of Community law and in particular(but without limitation ) the principle of non - discrimination on grounds of nationality, the right of establishment and the requirement of proportionality, is a member state entitled to stipulate that in order to be registered in and entitled to fly the flag of that member state, a fishing vessel:(a ) must have its legal title vested as to 100 per cent.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fly the flag	literal	identical	PUNCT PUNCT NUM PUNCT ADP DET NOUN ADP DET NOUN CCONJ NOUN ADP PROPN NOUN CCONJ ADP NOUN ADP NOUN PUNCT DET NOUN ADP ADJ PUNCT NOUN ADP NOUN ADP NOUN DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN VERB DET NOUN NOUN VERB PART VERB ADP ADP NOUN PART VERB VERB ADP CCONJ VERB PART VERB DET NOUN ADP DET NOUN NOUN DET NOUN NOUN PUNCT VERB VERB ADJ ADJ NOUN VERB ADP ADP NUM NOUN NOUN	▁ ‘ ▁( ▁2 ▁ ) ▁In ▁the ▁light ▁of ▁the ▁provisions ▁and ▁principles ▁of ▁Community ▁law ▁and ▁in ▁particular ( but ▁without ▁limitation ▁ ) ▁the ▁principle ▁of ▁non ▁- ▁discrimination ▁on ▁grounds ▁of ▁nationality , ▁the ▁right ▁of ▁establishment ▁and ▁the ▁requirement ▁of ▁proportionality , ▁is ▁a ▁member ▁state ▁entitled ▁to ▁stipulate ▁that ▁in ▁order ▁to ▁be ▁registered ▁in ▁and ▁entitled ▁to ▁fly ▁the ▁flag ▁of ▁that ▁member ▁state , ▁a ▁fishing ▁vessel : ( a ▁ ) ▁must ▁have ▁its ▁legal ▁title ▁vested ▁as ▁to ▁100 ▁per ▁cent .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PUNCT NUM PUNCT PUNCT ADP DET NOUN ADP DET NOUN CCONJ NOUN ADP PROPN NOUN CCONJ ADP NOUN NOUN NOUN ADP NOUN PUNCT PUNCT DET NOUN ADP ADJ PUNCT NOUN ADP NOUN ADP NOUN NOUN DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN NOUN VERB DET NOUN NOUN VERB PART VERB ADP ADP NOUN PART VERB VERB ADP CCONJ VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN DET NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT VERB VERB ADJ ADJ NOUN VERB ADP ADP NUM NOUN NOUN NOUN
