Bok with a vengeance	0 1 0 1	with a vengeance	figurative	identical	NOUN ADP DET NOUN
However, with semen import restrictions off and markets opened up, that has changed with a vengeance.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	ADV ADP NOUN NOUN NOUN PART CCONJ NOUN VERB PART ADJ VERB VERB ADP DET NOUN
Fred cut into the pieces of meat with a vengeance, fighting the urge to shake the chattering Bessie Chandler by the scruff of her neck until she snuffed it.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PROPN VERB ADP DET NOUN ADP NOUN ADP DET NOUN VERB DET NOUN PART VERB DET NOUN PROPN PROPN ADP DET NOUN ADP ADJ NOUN ADP PRON VERB PRON
Clogs and platforms, which look great with cool summer flares, are back with a vengeance too.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	with a vengeance	figurative	identical	NOUN CCONJ NOUN ADJ VERB ADJ ADP ADJ NOUN NOUN VERB ADV ADP DET NOUN ADV
Digital Equipment Corp has shed the ‘ no borrowings’ regime of founder Ken Olsen with a vengeance, and is out there raising more new cash : it issued $ 250 m of 7.75 % noncallable debentures due April 1 2023, at $ 98.512 % to yield 7.88 %, via Lehman Brothers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PROPN PROPN PROPN VERB VERB DET PUNCT DET PROPN NOUN ADP NOUN PROPN PROPN ADP DET NOUN CCONJ VERB ADV ADV VERB ADJ ADJ NOUN PUNCT PRON VERB SYM NUM NOUN ADP NUM NOUN ADJ NOUN ADJ PROPN NUM NUM ADP SYM NUM NOUN PART VERB NUM NOUN ADP PROPN PROPN
‘ I can't bear those two who run it — English gentlewomen with a vengeance, I always think — the kind that have made England what she is.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	PUNCT PRON VERB VERB DET NUM NOUN VERB PRON PUNCT ADJ NOUN ADP DET NOUN PRON ADV VERB PUNCT DET NOUN ADJ VERB VERB PROPN NOUN PRON NOUN
Et Filioque with a vengeance.	0 0 1 0 1	with a vengeance	figurative	identical	PROPN PROPN ADP DET NOUN
And the big grin was back with a vengeance.	0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	CCONJ DET ADJ NOUN VERB ADV ADP DET NOUN
For fax has now arrived with a vengeance, doubling its United Kingdom sales annually and making possible a world in which a businessman in Croydon may instantly replicate his A4 thoughts complete with illegible signature — upon desks in Hull, Hoboken or Hong Kong.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with a vengeance	figurative	identical	ADP NOUN VERB ADV VERB ADP DET NOUN VERB ADJ PROPN PROPN NOUN ADV CCONJ VERB ADJ DET NOUN ADP ADJ DET NOUN ADP PROPN VERB ADV VERB ADJ PROPN NOUN ADJ ADP ADJ NOUN PUNCT ADP NOUN ADP PROPN PROPN CCONJ PROPN PROPN
Columbia's bloody past has caught up with its present with a vengeance.	0 0 0 0 0 0 0 0 0 1 0 1	with a vengeance	figurative	identical	PROPN ADJ NOUN VERB VERB PART ADP ADJ NOUN ADP DET NOUN
They didn't win in 1970, but they put that right with a vengeance in 1971.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	with a vengeance	figurative	identical	PRON VERB VERB ADP NUM CCONJ PRON VERB DET ADV ADP DET NOUN ADP NUM
