I managed to hammer out the brief for the marioc debate in the nick of time.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	PRON VERB PART VERB PART DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NOUN
In the nick of time he saw the yellow triangular patch on the shoulder.	1 0 1 1 1 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	case	ADP DET NOUN ADP NOUN PRON VERB DET ADJ ADJ NOUN ADP DET NOUN
ABOVE : Ben Weaver hooked this 19 lb 2 oz specimen in the nick of time — a few moments later gale force winds made fishing impossible.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADJ PUNCT PROPN PROPN VERB DET NUM ADP NUM NOUN NOUN ADP DET NOUN ADP NOUN PUNCT DET ADJ NOUN ADV NOUN NOUN NOUN VERB VERB ADJ
He was interrupted in the nick of time by his wife and he tried to cover up his tracks.	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	PRON VERB VERB ADP DET NOUN ADP NOUN ADP ADJ NOUN CCONJ PRON VERB PART VERB PART ADJ NOUN
He felt that he was restored to consciousness in the right nick of time, for the especial purpose of holding a conference with the second messenger despatched to him through Jacob ~ Marley's intervention.	0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	insertion-other	PRON VERB ADP PRON VERB VERB ADP NOUN ADP DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADP VERB DET NOUN ADP DET ADJ NOUN VERB ADP PRON ADP PROPN PUNCT PROPN NOUN
And in the nick of time.’	0 1 0 1 1 1	in the nick of time	figurative	dashes	CCONJ ADP DET NOUN ADP NOUN
It's a message that one entrepreneur in the region has already taken up … in the nick of time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	PRON DET NOUN ADJ NUM NOUN ADP DET NOUN VERB ADV VERB PART PUNCT ADP DET NOUN ADP NOUN
But all was well in the nick of time.	0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	CCONJ DET VERB ADV ADP DET NOUN ADP NOUN
Enter Taligent with its promised solution for rapid applications prototyping and customization in a hardware - independent environment just in the nick of time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	in the nick of time	figurative	identical	VERB NOUN ADP ADJ VERB NOUN ADP ADJ NOUN VERB CCONJ NOUN ADP DET NOUN PUNCT ADJ NOUN ADV ADP DET NOUN ADP NOUN
Chettle looking for Rozario and finds him and it goes towards Collimore just cleared in the nick of time by Whitlow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0	in the nick of time	figurative	identical	NOUN VERB ADP PROPN CCONJ VERB PRON CCONJ PRON VERB ADP PROPN ADV VERB ADP DET NOUN ADP NOUN ADP PROPN
In the nick of time : according to one recent report 80 out of 92 league clubs are technically insolvent.	1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	case	ADP DET NOUN ADP NOUN PUNCT VERB ADP NUM ADJ NOUN NUM ADP ADP NUM NOUN NOUN VERB ADV ADJ
More importantly, the ending escapes the cliché in countless films of a marriage being halted in the nick of time although it most resembles the climax of a 1928 Harold Lloyd comedy, Speedy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADV ADV DET NOUN NOUN DET NOUN ADP ADJ NOUN ADP DET NOUN VERB VERB ADP DET NOUN ADP NOUN ADP PRON ADV VERB DET NOUN ADP DET NUM PROPN PROPN NOUN PROPN
German socialism forgot, in the nick of time, that the French criticism, whose silly echo it was, presupposed the existence of modern bourgeois society, with its corresponding economic conditions of existence, and the political constitution adapted thereto, the very things those attainment was the object of the pending struggle in Germany.	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the nick of time	figurative	identical	ADJ NOUN NOUN ADP DET NOUN ADP NOUN ADP DET ADJ NOUN ADJ ADJ NOUN PRON VERB VERB DET NOUN ADP ADJ ADJ NOUN ADP ADJ VERB ADJ NOUN ADP NOUN CCONJ DET ADJ NOUN VERB NOUN DET ADV NOUN DET NOUN VERB DET NOUN ADP DET VERB NOUN ADP PROPN
