On this basis, Oxford and Cambridge had it easy.	0 0 0 0 0 0 1 1 1	have it easy	figurative	inflection	ADP DET NOUN PROPN CCONJ PROPN VERB PRON ADJ
But the Arcadians won't have it easy : from now on there will be no weather control, and the indigenous fauna and flora will start to predominate.’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have it easy	figurative	identical	CCONJ DET PROPN VERB VERB PRON ADJ PUNCT ADP ADV ADV ADV VERB VERB DET NOUN NOUN CCONJ DET ADJ NOUN CCONJ NOUN VERB VERB ADP NOUN
There are many who feel prisoners have had it too easy.	0 0 0 0 0 0 0 1 1 0 1	have it easy	figurative	combined-inflection	ADV VERB ADJ NOUN VERB NOUN VERB VERB PRON ADV ADJ
The Führer has it easy.	0 0 1 1 1	have it easy	figurative	inflection	DET PROPN VERB PRON ADJ
I think they 've had it easy so far.	0 0 0 0 1 1 1 0 0	have it easy	figurative	inflection	PRON VERB PRON VERB VERB PRON ADJ ADV ADV
Shakespeare's villains have it too easy, one sometimes feels.	0 0 1 1 0 1 0 0 0	have it easy	figurative	insertion-other	PROPN NOUN VERB PRON ADV ADJ NUM ADV VERB
Older people had it easy : they didn't have a problem with sex, they didn't have to wear rubbers so you won't die.	0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have it easy	figurative	misc	ADJ NOUN VERB PRON ADJ PUNCT PRON VERB VERB DET NOUN ADP NOUN PRON VERB VERB PART VERB NOUN ADP PRON VERB VERB
Men had it so much easier.	0 1 1 0 0 1	have it easy	figurative	misc	NOUN VERB PRON ADV ADV ADJ
Thus, a woman with two small children in the air - raid shelter is said to have commented : ‘ The Führer has it easy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	have it easy	figurative	inflection	ADV DET NOUN ADP NUM ADJ NOUN ADP DET NOUN PUNCT NOUN NOUN VERB VERB PART VERB VERB PUNCT PUNCT DET PROPN VERB PRON ADJ
Annabel's briskness brought Miranda back to herself ; she 'd had it easy, and besides, in her case, when people had noticed the caramel flavour of her looks, as they had in Paris, it had worked to her advantage.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have it easy	figurative	inflection	PROPN NOUN VERB PROPN ADV ADP PRON PUNCT PRON VERB VERB PRON ADJ CCONJ ADV ADP ADJ NOUN ADV NOUN VERB VERB DET ADJ NOUN ADP ADJ NOUN ADP PRON VERB ADP PROPN PRON VERB VERB ADP ADJ NOUN
Doctors in the ' thirties had it easy.	0 0 0 0 0 1 1 1	have it easy	figurative	inflection	NOUN ADP DET PUNCT NOUN VERB PRON ADJ
If you 've had it easy all the time, as soon as trouble comes, you don't know how to handle it.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have it easy	figurative	inflection	ADP PRON VERB VERB PRON ADJ ADJ DET NOUN ADV ADV ADP NOUN VERB PRON VERB VERB ADV PART VERB PRON
They have it easy!’	0 1 1 1	have it easy	figurative	dashes	PRON VERB PRON VERB
Ankhu and Nebamun would have it easier, but for the majority of privileged men work was a nominal activity as they laboured more or less intelligently in the upper ranks of the army, the civil service and the priesthood ; most of the graft was done for them at a humbler level.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	have it easy	figurative	misc	ADJ CCONJ PROPN VERB VERB PRON ADJ CCONJ ADP DET NOUN ADP ADJ NOUN NOUN VERB DET ADJ NOUN ADP PRON VERB ADV CCONJ ADV ADV ADP DET ADJ NOUN ADP DET NOUN DET ADJ NOUN CCONJ DET NOUN PUNCT ADJ ADP DET NOUN VERB VERB ADP PRON ADP DET ADJ NOUN
And all this time, people though he 'd always had it easy, him with his women and his cheekbones and his income.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	have it easy	figurative	inflection	CCONJ ADJ DET NOUN NOUN ADP PRON VERB ADV VERB PRON ADJ PRON ADP ADJ NOUN CCONJ ADJ NOUN CCONJ ADJ NOUN
But he has it easy.	0 0 1 1 1	have it easy	figurative	inflection	CCONJ PRON VERB PRON ADJ
And like, she has, like, although she's doing secondary teaching, she has it easier than anybody.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	have it easy	figurative	misc	CCONJ INTJ PRON VERB INTJ ADP PRON VERB ADJ NOUN PRON VERB PRON ADJ ADP NOUN
While PC makers have been battered by price wars, workstation manufacturers have had it easy.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	have it easy	figurative	inflection	ADP NOUN NOUN VERB VERB VERB ADP NOUN NOUN NOUN NOUN VERB VERB PRON ADJ
Even though women have children, I still think we have it easier.	0 0 0 0 0 0 0 0 0 1 1 1	have it easy	figurative	misc	ADV ADP NOUN VERB NOUN PRON ADV VERB PRON VERB PRON ADJ
