She was playing with fire, in Lydia's opinion.	0 0 1 1 1 0 0 0	play with fire	figurative	inflection	PRON VERB VERB ADP NOUN ADP PROPN NOUN
‘ I knew that I was playing with fire’, he confessed ; ‘ I ran the risk, and if I were set free I would still do the same.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play with fire	literal	combined-inflection	PUNCT PRON VERB ADP PRON VERB VERB ADP NOUN PRON VERB PUNCT PUNCT PRON VERB DET NOUN CCONJ ADP PRON VERB VERB ADJ PRON VERB ADV VERB DET NOUN
Why, almost right from the start she 'd known she was playing with fire, and the rest of the cliché was proving to be disastrously right.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	play with fire	figurative	inflection	ADV ADV ADV ADP DET NOUN PRON VERB VERB PRON VERB VERB ADP NOUN CCONJ DET NOUN ADP DET NOUN VERB VERB PART VERB ADV ADJ
A sudden reckless urge to play with fire made her deliberately provoke him.	0 0 0 0 0 1 1 1 0 0 0 0 0	play with fire	figurative	identical	DET ADJ ADJ NOUN PART VERB ADP NOUN VERB PRON ADV VERB PRON
The boy was mimicking her own ' play with the fire.	0 0 0 0 0 0 0 1 1 0 1	play with fire	figurative	insertion-determiner	DET NOUN VERB VERB ADJ ADJ PUNCT NOUN ADP DET NOUN
‘ You could end up playing with fire.’	0 0 0 0 0 1 1 1	play with fire	figurative	combined-inflection	PUNCT PRON VERB VERB PART VERB ADP X
She is, as she acknowledges, ‘ playing with fire’.	0 0 0 0 0 0 1 1 1	play with fire	figurative	combined-inflection	PRON VERB ADP PRON VERB PUNCT NOUN ADP PROPN
The selectors knew they were playing with fire when they decided to arrange a couple of club fixtures and they have duly been consumed in a conflagration of their own making.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play with fire	figurative	inflection	DET NOUN VERB PRON VERB VERB ADP NOUN ADV PRON VERB PART VERB DET NOUN ADP NOUN NOUN CCONJ PRON VERB ADV VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN
Failure to stick to the safety rules is simply playing with fire.	0 0 0 0 0 0 0 0 0 1 1 1	play with fire	figurative	inflection	NOUN PART VERB ADP DET NOUN NOUN VERB ADV VERB ADP NOUN
CAMBRIDGE – G-20 leaders who scoff at the United ~ States ’ proposal for numerical trade - balance limits should know that they are playing with fire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	play with fire	figurative	inflection	PROPN PUNCT PROPN NOUN NOUN VERB ADP DET PROPN PUNCT PROPN PART NOUN ADP ADJ NOUN PUNCT NOUN NOUN VERB VERB ADP PRON VERB VERB ADP NOUN
She tried to warn Maurice he was playing with fire.	0 0 0 0 0 0 0 1 1 1	play with fire	figurative	inflection	PRON VERB PART VERB PROPN PRON VERB VERB ADP NOUN
The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play with fire	figurative	identical	DET NOUN VERB PART DET ADJ NOUN ADP PROPN VERB PRON PART VERB ADP NOUN ADP DET ADJ NOUN CCONJ PRON VERB ADV ADV VERB ADJ NOUN ADP PRON
Charity stunt team warned … you're playing with fire.	0 0 0 0 0 0 1 1 1	play with fire	figurative	inflection	NOUN NOUN NOUN VERB PUNCT PRON VERB ADP NOUN
Roy Alon who appeared in many of the James Bond films said the team were playing with fire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	play with fire	figurative	inflection	PROPN PROPN NOUN VERB ADP ADJ ADP DET PROPN PROPN NOUN VERB DET NOUN VERB VERB ADP NOUN
Hinting at the possible use of force, he warned : " Those who play with fire will be burnt to ashes. "	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	play with fire	figurative	identical	VERB ADP DET ADJ NOUN ADP NOUN PRON VERB PUNCT PUNCT DET NOUN VERB ADP NOUN VERB VERB VERB ADP NOUN PUNCT
‘ We didn't know’, he says as the three embark on the master plan, ‘ that we were playing with fire — Greek fire,’ he adds, ‘ the kind that burns and destroys’, in case we don't know what playing with fire means.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	play with fire	figurative	inflection	PUNCT PRON VERB VERB PRON VERB ADP DET NUM NOUN ADP DET NOUN NOUN PUNCT ADP PRON VERB VERB ADP NOUN PUNCT ADJ PROPN PRON VERB PUNCT DET NOUN ADJ VERB CCONJ NOUN ADP NOUN PRON VERB VERB NOUN VERB ADP NOUN NOUN
‘ You should have been more careful before you started playing with fire!	0 0 0 0 0 0 0 0 0 0 1 1 1	play with fire	figurative	inflection	PUNCT PRON VERB VERB VERB ADV ADJ ADP PRON VERB VERB ADP NOUN
Even though she knew she was playing with fire, knew exactly how vulnerable she was, Shannon wanted to laugh in his arrogant face.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play with fire	figurative	inflection	ADV ADP PRON VERB PRON VERB VERB ADP NOUN VERB ADV ADV ADJ PRON VERB PROPN VERB PART VERB ADP ADJ ADJ NOUN
