Such a tax is often claimed to encourage saving but the argument can cut both ways.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	cut both ways	figurative	identical	ADJ DET NOUN VERB ADV VERB PART VERB NOUN CCONJ DET NOUN VERB VERB DET NOUN	▁Such ▁a ▁tax ▁is ▁often ▁claimed ▁to ▁encourage ▁saving ▁but ▁the ▁argument ▁can ▁cut ▁both ▁ways .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ DET NOUN VERB ADV VERB PART VERB NOUN CCONJ DET NOUN VERB VERB DET NOUN NOUN
The subsidiarity principle ( taking decisions at the lowest practicable level of government ), which the British government makes much of, is drafted in a form so soft that it will cut both ways if it cuts at all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	cut both ways	figurative	identical	DET NOUN NOUN PUNCT VERB NOUN ADP DET ADJ ADJ NOUN ADP NOUN PUNCT ADJ DET ADJ NOUN VERB ADJ ADP VERB VERB ADP DET NOUN ADV ADJ ADP PRON VERB VERB DET NOUN ADP PRON VERB ADV ADV	▁The ▁subsidiarity ▁principle ▁( ▁taking ▁decisions ▁at ▁the ▁lowest ▁practicable ▁level ▁of ▁government ▁ ), ▁which ▁the ▁British ▁government ▁makes ▁much ▁of , ▁is ▁drafted ▁in ▁a ▁form ▁so ▁soft ▁that ▁it ▁will ▁cut ▁both ▁ways ▁if ▁it ▁cuts ▁at ▁all .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	DET NOUN NOUN PUNCT VERB NOUN ADP DET ADJ ADJ NOUN ADP NOUN PUNCT PUNCT ADJ DET ADJ NOUN VERB ADJ ADP ADP VERB VERB ADP DET NOUN ADV ADJ ADP PRON VERB VERB DET NOUN ADP PRON VERB ADV ADV ADV
But coalitions do not hold together forever, and the pain of sanctions often cuts both ways, affecting buyers as well as sellers.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	cut both ways	figurative	inflection	CCONJ NOUN VERB ADV VERB ADV ADV CCONJ DET NOUN ADP NOUN ADV VERB DET NOUN VERB NOUN ADV ADV ADP NOUN	▁But ▁coal ition s ▁do ▁not ▁hold ▁together ▁for ever , ▁and ▁the ▁pain ▁of ▁sanctions ▁often ▁cuts ▁both ▁ways , ▁affecting ▁buyers ▁as ▁well ▁as ▁sellers .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	CCONJ NOUN NOUN NOUN VERB ADV VERB ADV ADV ADV ADV CCONJ DET NOUN ADP NOUN ADV VERB DET NOUN NOUN VERB NOUN ADV ADV ADP NOUN NOUN
Such inmost knowledge can cut both ways.	0 0 0 0 1 1 1	cut both ways	figurative	identical	ADJ NOUN NOUN VERB VERB DET NOUN	▁Such ▁in most ▁knowledge ▁can ▁cut ▁both ▁ways .	0 0 0 0 0 1 1 1 1	ADJ NOUN NOUN NOUN VERB VERB DET NOUN NOUN
It's a hoary one at that : the higher the interest, the greater the risk — which, of course, cuts both ways.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	cut both ways	figurative	inflection	PRON DET ADJ NOUN ADP DET PUNCT DET ADJ DET NOUN DET ADJ DET NOUN PUNCT ADJ ADP NOUN VERB DET NOUN	▁It ' s ▁a ▁ho ary ▁one ▁at ▁that ▁ : ▁the ▁higher ▁the ▁interest , ▁the ▁greater ▁the ▁risk ▁ — ▁which , ▁of ▁course , ▁cuts ▁both ▁ways .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON PRON PRON DET ADJ ADJ NOUN ADP DET PUNCT PUNCT DET ADJ DET NOUN NOUN DET ADJ DET NOUN PUNCT PUNCT ADJ ADJ ADP NOUN NOUN VERB DET NOUN NOUN
Walsh, chugging along on two cylinders for most of the match, suddenly sparked to life, making the ball cut both ways and always liable to produce one that scuttled through.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	cut both ways	figurative	identical	PROPN VERB PART ADP NUM NOUN ADP ADJ ADP DET NOUN ADV VERB ADP NOUN VERB DET NOUN VERB DET NOUN CCONJ ADV ADJ PART VERB NOUN ADJ VERB ADV	▁W al sh , ▁ chu gg ing ▁along ▁on ▁two ▁cylinders ▁for ▁most ▁of ▁the ▁match , ▁suddenly ▁spark ed ▁to ▁life , ▁making ▁the ▁ball ▁cut ▁both ▁ways ▁and ▁always ▁liable ▁to ▁produce ▁one ▁that ▁scu ttle d ▁through .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB VERB VERB VERB PART ADP NUM NOUN ADP ADJ ADP DET NOUN NOUN ADV VERB VERB ADP NOUN NOUN VERB DET NOUN VERB DET NOUN CCONJ ADV ADJ PART VERB NOUN ADJ VERB VERB VERB ADV ADV
It is clear from this example that inverse irreversibility can and often does, cut both ways, that is, Eysenck's bias in favour of race being a principal factor in inherent intelligence and the psychiatrists ' abuse of his statistics because of that, red herring in mad pursuit of red herring.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut both ways	figurative	identical	PRON VERB ADJ ADP DET NOUN DET ADJ NOUN VERB CCONJ ADV VERB VERB DET NOUN ADV ADV PROPN NOUN ADP NOUN ADP NOUN VERB DET ADJ NOUN ADP ADJ NOUN CCONJ DET NOUN PART NOUN ADP ADJ NOUN ADP ADP DET ADJ NOUN ADP ADJ NOUN ADP ADJ NOUN	▁It ▁is ▁clear ▁from ▁this ▁example ▁that ▁in verse ▁irre ver sibility ▁can ▁and ▁often ▁does , ▁cut ▁both ▁ways , ▁that ▁is , ▁E y sen ck ' s ▁bias ▁in ▁favour ▁of ▁race ▁being ▁a ▁principal ▁factor ▁in ▁inherent ▁intelligence ▁and ▁the ▁psychiatri sts ▁' ▁abuse ▁of ▁his ▁statistics ▁because ▁of ▁that , ▁red ▁herring ▁in ▁mad ▁pursuit ▁of ▁red ▁herring .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADP DET NOUN DET ADJ ADJ NOUN NOUN NOUN VERB CCONJ ADV VERB VERB VERB DET NOUN NOUN ADV ADV ADV PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADP NOUN ADP NOUN VERB DET ADJ NOUN ADP ADJ NOUN CCONJ DET NOUN NOUN PART NOUN ADP ADJ NOUN ADP ADP DET DET ADJ NOUN ADP ADJ NOUN ADP ADJ NOUN NOUN
There was some discussion as to hardship, but that could cut both ways according to whether a large or small part was surrendered, so that hardship was not a matter which could be taken into account.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cut both ways	figurative	identical	ADV VERB DET NOUN ADP ADP NOUN CCONJ DET VERB VERB DET NOUN VERB ADP ADP DET ADJ CCONJ ADJ NOUN VERB VERB ADP ADP NOUN VERB ADV DET NOUN ADJ VERB VERB VERB ADP NOUN	▁There ▁was ▁some ▁discussion ▁as ▁to ▁hardship , ▁but ▁that ▁could ▁cut ▁both ▁ways ▁according ▁to ▁whether ▁a ▁large ▁or ▁small ▁part ▁was ▁surrendered , ▁so ▁that ▁hardship ▁was ▁not ▁a ▁matter ▁which ▁could ▁be ▁taken ▁into ▁account .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET NOUN ADP ADP NOUN NOUN CCONJ DET VERB VERB DET NOUN VERB ADP ADP DET ADJ CCONJ ADJ NOUN VERB VERB VERB ADP ADP NOUN VERB ADV DET NOUN ADJ VERB VERB VERB ADP NOUN NOUN
It had occurred to some popular frontists that rearmament as an instrument of social control could cut both ways.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	cut both ways	figurative	identical	PRON VERB VERB ADP DET ADJ NOUN ADJ VERB ADP DET NOUN ADP ADJ NOUN VERB VERB DET NOUN	▁It ▁had ▁occurred ▁to ▁some ▁popular ▁front ists ▁that ▁rear ma ment ▁as ▁an ▁instrument ▁of ▁social ▁control ▁could ▁cut ▁both ▁ways .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB ADP DET ADJ NOUN NOUN ADJ VERB VERB VERB ADP DET NOUN ADP ADJ NOUN VERB VERB DET NOUN NOUN
That deep integration cuts both ways.	0 0 0 1 1 1	cut both ways	figurative	inflection	DET ADJ NOUN VERB DET NOUN	▁That ▁deep ▁integration ▁cuts ▁both ▁ways .	0 0 0 1 1 1 1	DET ADJ NOUN VERB DET NOUN NOUN
Any emotional pain, sense of frustration, or loss of freedom cuts both ways in this relationship, as it does in many others.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	cut both ways	figurative	inflection	DET ADJ NOUN NOUN ADP NOUN CCONJ NOUN ADP NOUN VERB DET NOUN ADP DET NOUN ADP PRON VERB ADP ADJ NOUN	▁Any ▁emotion al ▁pain , ▁sense ▁of ▁frustration , ▁or ▁loss ▁of ▁freedom ▁cuts ▁both ▁ways ▁in ▁this ▁relationship , ▁as ▁it ▁does ▁in ▁many ▁others .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ NOUN NOUN NOUN ADP NOUN NOUN CCONJ NOUN ADP NOUN VERB DET NOUN ADP DET NOUN NOUN ADP PRON VERB ADP ADJ NOUN NOUN
