The two of us threw caution to the winds and raced to the rescue.	0 0 0 0 1 1 1 0 1 0 0 0 0 0	throw caution to the wind	figurative	inflection	DET NUM ADP PRON VERB NOUN ADP DET NOUN CCONJ VERB ADP DET NOUN	▁The ▁two ▁of ▁us ▁threw ▁caution ▁to ▁the ▁wind s ▁and ▁race d ▁to ▁the ▁rescue .	0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0	DET NUM ADP PRON VERB NOUN ADP DET NOUN NOUN CCONJ VERB VERB ADP DET NOUN NOUN
Jaguar and Nissan, as if to celebrate the swansong of their turbocars, threw caution to the winds, and took the fight to Mercedes - Benz with devil - may - care enthusiasm.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	throw caution to the wind	figurative	inflection	PROPN CCONJ PROPN ADP ADP PART VERB DET NOUN ADP ADJ NOUN VERB NOUN ADP DET NOUN CCONJ VERB DET NOUN ADP PROPN PUNCT PROPN ADP NOUN PUNCT NOUN PUNCT NOUN NOUN	▁Ja gu ar ▁and ▁N issa n , ▁as ▁if ▁to ▁celebrate ▁the ▁sw anso ng ▁of ▁their ▁turbo car s , ▁threw ▁caution ▁to ▁the ▁wind s , ▁and ▁took ▁the ▁fight ▁to ▁Merc ed es ▁- ▁ Benz ▁with ▁devil ▁- ▁may ▁- ▁care ▁enthusiasm .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN ADP ADP PART VERB DET NOUN NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN VERB NOUN ADP DET NOUN NOUN NOUN CCONJ VERB DET NOUN ADP PROPN PROPN PROPN PUNCT PROPN PROPN ADP NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN
If either Karen or I had had any idea that it was possible for someone to drown so quickly, we would no doubt have thrown caution to the wind and dived in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0	throw caution to the wind	figurative	inflection	ADP DET PROPN CCONJ PRON VERB VERB DET NOUN ADP PRON VERB ADJ ADP NOUN PART VERB ADV ADV PRON VERB ADV ADV VERB VERB NOUN ADP DET NOUN CCONJ VERB PART	▁If ▁either ▁Kar en ▁or ▁I ▁had ▁had ▁any ▁idea ▁that ▁it ▁was ▁possible ▁for ▁someone ▁to ▁dr own ▁so ▁quickly , ▁we ▁would ▁no ▁doubt ▁have ▁thrown ▁caution ▁to ▁the ▁wind ▁and ▁di ved ▁in .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0	ADP DET PROPN PROPN CCONJ PRON VERB VERB DET NOUN ADP PRON VERB ADJ ADP NOUN PART VERB VERB ADV ADV ADV PRON VERB ADV ADV VERB VERB NOUN ADP DET NOUN CCONJ VERB VERB PART PART
In addition it was to be hoped that Max could come up with some fairly definite cause of death ; and it was even possible ( if only just ) that the surgeon might throw caution to the wind for once and volunteer a tentative approximation of the time it had actually happened.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	throw caution to the wind	figurative	identical	ADP NOUN PRON VERB PART VERB VERB ADP PROPN VERB VERB PART ADP DET ADV ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADV ADJ PUNCT ADP ADV ADV PUNCT ADP DET NOUN VERB VERB NOUN ADP DET NOUN ADP ADV CCONJ VERB DET ADJ NOUN ADP DET NOUN PRON VERB ADV VERB	▁In ▁addition ▁it ▁was ▁to ▁be ▁hoped ▁that ▁Max ▁could ▁come ▁up ▁with ▁some ▁fairly ▁definite ▁cause ▁of ▁death ▁ ; ▁and ▁it ▁was ▁even ▁possible ▁( ▁if ▁only ▁just ▁ ) ▁that ▁the ▁surgeon ▁might ▁throw ▁caution ▁to ▁the ▁wind ▁for ▁once ▁and ▁volunteer ▁a ▁tentative ▁approximation ▁of ▁the ▁time ▁it ▁had ▁actually ▁happened .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN PRON VERB PART VERB VERB ADP PROPN VERB VERB PART ADP DET ADV ADJ NOUN ADP NOUN PUNCT PUNCT CCONJ PRON VERB ADV ADJ PUNCT ADP ADV ADV PUNCT PUNCT ADP DET NOUN VERB VERB NOUN ADP DET NOUN ADP ADV CCONJ VERB DET ADJ NOUN ADP DET NOUN PRON VERB ADV VERB VERB
‘ Miss Phoebe,’ Jess said, throwing caution to the winds.	0 0 0 0 0 1 1 1 0 1	throw caution to the wind	figurative	inflection	PUNCT PROPN PROPN PROPN VERB VERB NOUN ADP DET NOUN	▁ ‘ ▁Miss ▁Ph oe be , ’ ▁Je s s ▁said , ▁throw ing ▁caution ▁to ▁the ▁wind s .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1	PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB VERB VERB NOUN ADP DET NOUN NOUN NOUN
Their combination of styles can lead to blandness occasionally, but when the Circus throw caution to the wind they can be both powerful and inventive.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0	throw caution to the wind	figurative	identical	ADJ NOUN ADP NOUN VERB VERB ADP NOUN ADV CCONJ ADV DET PROPN VERB NOUN ADP DET NOUN PRON VERB VERB DET ADJ CCONJ ADJ	▁The ir ▁combination ▁of ▁style s ▁can ▁lead ▁to ▁b land ness ▁occasionally , ▁but ▁when ▁the ▁Circus ▁throw ▁caution ▁to ▁the ▁wind ▁they ▁can ▁be ▁both ▁powerful ▁and ▁in ven tive .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN ADP NOUN NOUN VERB VERB ADP NOUN NOUN NOUN ADV ADV CCONJ ADV DET PROPN VERB NOUN ADP DET NOUN PRON VERB VERB DET ADJ CCONJ ADJ ADJ ADJ ADJ
The girl threw caution to the wind and tried to make the most of every minute via sex, drink, numerous abortions, and late - night revels.	0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	throw caution to the wind	figurative	inflection	DET NOUN VERB NOUN ADP DET NOUN CCONJ VERB PART VERB DET ADJ ADP DET NOUN ADP NOUN NOUN ADJ NOUN CCONJ ADJ PUNCT NOUN NOUN	▁The ▁girl ▁threw ▁caution ▁to ▁the ▁wind ▁and ▁tried ▁to ▁make ▁the ▁most ▁of ▁every ▁minute ▁via ▁sex , ▁drink , ▁numerous ▁abortion s , ▁and ▁late ▁- ▁night ▁rev els .	0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB NOUN ADP DET NOUN CCONJ VERB PART VERB DET ADJ ADP DET NOUN ADP NOUN NOUN NOUN NOUN ADJ NOUN NOUN NOUN CCONJ ADJ PUNCT NOUN NOUN NOUN NOUN
You may even throw caution to the wind and try one of our Mystery Trips.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0	throw caution to the wind	figurative	identical	PRON VERB ADV VERB NOUN ADP DET NOUN CCONJ VERB NUM ADP ADJ PROPN PROPN	▁You ▁may ▁even ▁throw ▁caution ▁to ▁the ▁wind ▁and ▁try ▁one ▁of ▁our ▁My s tery ▁Tri ps .	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB NOUN ADP DET NOUN CCONJ VERB NUM ADP ADJ PROPN PROPN PROPN PROPN PROPN PROPN
He decided to throw caution to the wind before Selwyn came over for his tea.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0	throw caution to the wind	figurative	identical	PRON VERB PART VERB NOUN ADP DET NOUN ADP PROPN VERB PART ADP ADJ NOUN	▁He ▁decided ▁to ▁throw ▁caution ▁to ▁the ▁wind ▁before ▁Sel wyn ▁came ▁over ▁for ▁his ▁tea .	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB NOUN ADP DET NOUN ADP PROPN PROPN VERB PART ADP ADJ NOUN NOUN
All her insecurities surged painfully as, throwing caution to the winds, she confronted him furiously, demanding imperiously, ‘ Why exactly have you brought me here, Rune?	0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	throw caution to the wind	figurative	inflection	DET ADJ NOUN VERB ADV ADP VERB NOUN ADP DET NOUN PRON VERB PRON ADV VERB ADV PUNCT ADV ADV VERB PRON VERB PRON ADV PROPN	▁All ▁her ▁in sec ur ities ▁surge d ▁painful ly ▁as , ▁throw ing ▁caution ▁to ▁the ▁wind s , ▁she ▁confronted ▁him ▁fur ious ly , ▁demanding ▁imp eri ously , ▁ ‘ ▁Why ▁exactly ▁have ▁you ▁brought ▁me ▁here , ▁R une ?	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN NOUN NOUN NOUN VERB VERB ADV ADV ADP ADP VERB VERB NOUN ADP DET NOUN NOUN NOUN PRON VERB PRON ADV ADV ADV ADV VERB ADV ADV ADV ADV PUNCT PUNCT ADV ADV VERB PRON VERB PRON ADV ADV PROPN PROPN PROPN
My friends and their little daughter went splashing blithely in so I threw caution to the winds and followed.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0	throw caution to the wind	figurative	inflection	ADJ NOUN CCONJ ADJ ADJ NOUN VERB VERB ADV ADP ADV PRON VERB NOUN ADP DET NOUN CCONJ VERB	▁My ▁friends ▁and ▁their ▁little ▁daughter ▁went ▁sp lash ing ▁b li the ly ▁in ▁so ▁I ▁threw ▁caution ▁to ▁the ▁wind s ▁and ▁followed .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0	ADJ NOUN CCONJ ADJ ADJ NOUN VERB VERB VERB VERB ADV ADV ADV ADV ADP ADV PRON VERB NOUN ADP DET NOUN NOUN CCONJ VERB VERB
