Hemmings has, in fact, played a first - class game in the West Indies.	0 0 0 0 1 0 0 0 0 1 0 0 0 0	play games	literal	combined-inflection	PROPN VERB ADP NOUN VERB DET ADJ PUNCT NOUN NOUN ADP DET PROPN PROPN
Stop playing games, Luke — there isn't time for that.	0 1 1 0 0 0 0 0 0 0	play games	figurative	inflection	VERB VERB NOUN PROPN PUNCT ADV VERB NOUN ADP DET
‘ I told you, I 'm not playing games with you.	0 0 0 0 0 0 0 1 1 0 0	play games	figurative	inflection	PUNCT PRON VERB PRON PRON VERB ADV VERB NOUN ADP PRON
The game is played again until one team reaches twenty five points.	0 1 0 1 0 0 0 0 0 0 0 0	play games	literal	misc	DET NOUN VERB VERB ADV ADP NUM NOUN VERB NUM NUM NOUN
Which are the smartest cards to put in the Skat when one plays a suit game or ~ Grand?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	play games	literal	combined-inflection	ADJ VERB DET ADJ NOUN PART VERB ADP DET PROPN ADV PRON VERB DET NOUN NOUN CCONJ PUNCT NOUN
Your duty tonight is not to wash up, but to allow the Master to slaughter you on the black and white field — unless you play a game as wicked as Papa's — in which case you may finish off what the Africans began on me! '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	figurative	combined-inflection	ADJ NOUN NOUN VERB ADV PART VERB PART CCONJ PART VERB DET PROPN PART VERB PRON ADP DET ADJ CCONJ ADJ NOUN PUNCT ADP PRON VERB DET NOUN ADV ADJ ADP NOUN PUNCT ADP ADJ NOUN PRON VERB VERB PART NOUN DET PROPN VERB ADP PRON PUNCT
As a child he had played a game with some of his friends where one child would stand behind another and put his hands round the other's chest.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	combined-inflection	ADP DET NOUN PRON VERB VERB DET NOUN ADP DET ADP ADJ NOUN ADV NUM NOUN VERB VERB ADP DET CCONJ VERB ADJ NOUN ADP DET ADJ NOUN
At the first sign we came to, women were bashing wheat sheaves against rocks and men squatted in the dust playing a game with pebbles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	play games	literal	combined-inflection	ADP DET ADJ NOUN PRON VERB ADP NOUN VERB VERB NOUN NOUN ADP NOUN CCONJ NOUN VERB ADP DET NOUN VERB DET NOUN ADP NOUN
Absolutely, you didn't come here and kick and rush, you didn't come here and defend, you played some delightful football, football I know you always like to play, that must have pleased you the way the game was played.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	play games	literal	misc	ADV PRON VERB VERB ADV CCONJ VERB CCONJ VERB PRON VERB VERB ADV CCONJ VERB PRON VERB DET ADJ NOUN NOUN PRON VERB PRON ADV VERB PART VERB ADJ VERB VERB VERB PRON DET NOUN DET NOUN VERB VERB
‘ Our members are reporting that children's social and educational development is already being affected by playing games to excess, and we are concerned that, long - term, there will be medical effects on them as well,’ said Ms Miller.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	play games	literal	inflection	PUNCT ADJ NOUN VERB VERB ADP NOUN ADJ CCONJ ADJ NOUN VERB ADV VERB VERB ADP VERB NOUN ADP NOUN CCONJ PRON VERB ADJ ADP ADJ PUNCT NOUN ADV VERB VERB ADJ NOUN ADP PRON ADP PRON VERB PROPN PROPN
It is essential, therefore, that you attempt the required number of questions, in order to play a winning game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	play games	literal	combined-inflection	PRON VERB ADJ ADV ADP PRON VERB DET VERB NOUN ADP NOUN ADP NOUN PART VERB DET VERB NOUN
