It was very difficult to keep a straight face.	0 0 0 0 0 1 0 1 1	keep a straight face	figurative	identical	PRON VERB ADV ADJ PART VERB DET ADJ NOUN
Julie agreed solemnly, having difficulty in keeping a straight face.	0 0 0 0 0 0 1 0 1 1	keep a straight face	figurative	inflection	PROPN VERB ADV VERB NOUN ADP VERB DET ADJ NOUN
It was really difficult to keep a straight face, but then Mr Taylor ‘ introduced’ us and I just forgot about my shyness and launched into my speech.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a straight face	figurative	identical	PRON VERB ADV ADJ PART VERB DET ADJ NOUN CCONJ ADV PROPN PROPN PUNCT ADP PRON CCONJ PRON ADV VERB ADP ADJ NOUN CCONJ VERB ADP ADJ NOUN
not easy playing a puppet or keeping a straight face.	0 0 0 0 0 0 1 0 1 1	keep a straight face	figurative	inflection	ADV ADJ VERB DET NOUN CCONJ VERB DET ADJ NOUN
He put his head on one side, but kept a straight face.	0 0 0 0 0 0 0 0 1 0 1 1	keep a straight face	figurative	inflection	PRON VERB ADJ NOUN ADP NUM NOUN CCONJ VERB DET ADJ NOUN
But the rolling series of scandals surrounding global megabanks makes it difficult for anyone to keep a straight face when executives insist that our largest banks must maintain their current scale and scope.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a straight face	figurative	identical	CCONJ DET ADJ NOUN ADP NOUN VERB ADJ NOUN VERB PRON ADJ ADP NOUN PART VERB DET ADJ NOUN ADV NOUN VERB ADP ADJ ADJ NOUN VERB VERB ADJ ADJ NOUN CCONJ NOUN
The po - faced and the pious may not find that funny, but to hear him tell it and keep a straight face is a considerable feat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	keep a straight face	figurative	identical	DET NOUN PUNCT VERB CCONJ DET ADJ VERB ADV VERB DET ADJ CCONJ PART VERB PRON VERB PRON CCONJ VERB DET ADJ NOUN VERB DET ADJ NOUN
How he kept a straight face Kath would never know.	0 0 1 0 1 1 0 0 0 0	keep a straight face	figurative	inflection	ADV PRON VERB DET ADJ NOUN PROPN VERB ADV VERB
The only thing is that the VIP treatment ( with ritual speeches, etc. ) sometimes gets a bit wearing and we sometimes have to keep a very straight face when the same political points are made to us over and over again by this or that party cadre when we go on official visits.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a straight face	figurative	insertion-other	DET ADJ NOUN VERB ADP DET NOUN NOUN PUNCT ADP ADJ NOUN X PUNCT ADV VERB DET NOUN VERB CCONJ PRON ADV VERB PART VERB DET ADV ADJ NOUN ADV DET ADJ ADJ NOUN VERB VERB ADP PRON PART CCONJ ADV ADV ADP DET CCONJ DET NOUN NOUN ADV PRON VERB ADP ADJ NOUN
How can you say that and keep a straight face?	0 0 0 0 0 0 1 0 1 1	keep a straight face	figurative	identical	ADV VERB PRON VERB DET CCONJ VERB DET ADJ NOUN
Her eyes innocently wide, she gave a slow smile, because she had known it was a viewing platform, of course ; and he knew that she knew, which meant that he was teasing her, and that he was one of those people who always managed to keep a straight face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a straight face	figurative	identical	ADJ NOUN ADV ADV PRON VERB DET ADJ NOUN ADP PRON VERB VERB PRON VERB DET VERB NOUN ADP NOUN PUNCT CCONJ PRON VERB ADP PRON VERB ADJ VERB ADP PRON VERB VERB PRON CCONJ ADP PRON VERB NUM ADP DET NOUN NOUN ADV VERB PART VERB DET ADJ NOUN
‘ But the dance classes here are such fun,’ said a spokesman, trying to keep a straight face, ‘ that we really don't think we need any of these Frownies.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	keep a straight face	figurative	identical	PUNCT CCONJ DET NOUN NOUN ADV VERB ADJ NOUN VERB DET NOUN VERB PART VERB DET ADJ NOUN PUNCT ADP PRON ADV VERB VERB PRON VERB DET ADP DET NOUN
And secondly, if she didn't see what she thought she was going to see, she wouldn't trust herself to keep a straight face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a straight face	figurative	identical	CCONJ ADV ADP PRON VERB VERB NOUN PRON VERB PRON VERB VERB PART VERB PRON VERB VERB PRON PART VERB DET ADJ NOUN
For the first hundred yards we keep straight faces.	0 0 0 0 0 0 1 1 1	keep a straight face	figurative	deletion-determiner	ADP DET ADJ NUM NOUN PRON VERB ADJ NOUN
Benedicta was trying hard to keep a straight face.	0 0 0 0 0 1 0 1 1	keep a straight face	figurative	identical	PROPN VERB VERB ADV PART VERB DET ADJ NOUN
I didn't know what to say, but I 'd been reading about mating in a book only a few days before, so I kept a perfectly straight face and replied.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0	keep a straight face	figurative	combined-inflection	PRON VERB VERB NOUN PART VERB CCONJ PRON VERB VERB VERB ADP VERB ADP DET NOUN ADV DET ADJ NOUN ADV CCONJ PRON VERB DET ADV ADJ NOUN CCONJ VERB
Any match of nine tries ( five by Stanley's ) is bound to be entertaining but Oxford committed so many errors in every department that it was hard to keep a straight face while assessing their contribution.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	keep a straight face	figurative	identical	DET NOUN ADP NUM NOUN PUNCT NUM ADP PROPN PUNCT VERB VERB PART VERB ADJ CCONJ PROPN VERB ADV ADJ NOUN ADP DET NOUN ADP PRON VERB ADJ PART VERB DET ADJ NOUN ADP VERB ADJ NOUN
The Dohnányi comes off particularly with the Toronto Orchestra revelling in their tongue - in - cheek opening tutti, and Ozolins successfully keeping a straight face in the solo part : an enjoyable alternative to the classic recording by the composer and Sir Adrian Boult ( on EMI and mid - price ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a straight face	figurative	inflection	DET PROPN VERB PART ADV ADP DET PROPN PROPN VERB ADP ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN CCONJ PROPN ADV VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ PROPN PROPN PROPN PUNCT ADP PROPN CCONJ ADJ PUNCT NOUN PUNCT
As soon as the ‘ framed’ person laughs, the next one takes over and tries to keep a straight face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a straight face	figurative	identical	ADV ADV ADP DET PUNCT ADJ NOUN VERB DET ADJ NUM VERB PART CCONJ VERB PART VERB DET ADJ NOUN
Glad I kept a straight face afterward.	0 0 1 0 1 1 0	keep a straight face	figurative	inflection	PROPN PRON VERB DET ADJ NOUN ADV
All about how terrible we 'd been to one of the new teachers, how you could understand some of the other classes doing that, but not us, and you banged the desk so hard all the books fell off and we fell about laughing, and you had to laugh too, you couldn't keep a straight face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a straight face	figurative	identical	DET ADP ADV ADJ PRON VERB VERB ADP NUM ADP DET ADJ NOUN ADV PRON VERB VERB DET ADP DET ADJ NOUN VERB DET CCONJ ADV PRON CCONJ PRON VERB DET NOUN ADV ADV ADJ DET NOUN VERB PART CCONJ PRON VERB ADP VERB CCONJ PRON VERB PART VERB ADV PRON VERB VERB DET ADJ NOUN
Klepner kept a straight face, but was overjoyed at the top man's response.	0 1 0 1 1 0 0 0 0 0 0 0 0	keep a straight face	figurative	inflection	PROPN VERB DET ADJ NOUN CCONJ VERB ADJ ADP DET ADJ NOUN NOUN
Jules Brookes, the multi - instrumentalist and driving force behind Raw Stylus, can't keep a straight face as he attempts to recount his version of the group's history.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	keep a straight face	figurative	identical	PROPN PROPN DET ADJ PUNCT NOUN CCONJ VERB NOUN ADP PROPN PROPN VERB VERB DET ADJ NOUN ADP PRON VERB PART VERB ADJ NOUN ADP DET NOUN NOUN
I try and keep a straight face, but I can't help grinning at myself.	0 0 0 1 0 1 1 0 0 0 0 0 0 0	keep a straight face	figurative	identical	PRON VERB CCONJ VERB DET ADJ NOUN CCONJ PRON VERB VERB VERB ADP PRON
Nora, unable to keep an entirely straight face, nodded.	0 0 0 1 0 0 1 1 0	keep a straight face	figurative	combined-other	PROPN ADJ PART VERB DET ADV ADJ NOUN VERB
