Bit below the belt that!	0 1 0 1 0	below the belt	figurative	identical	NOUN ADP DET NOUN ADJ
Most of what's most interesting in life goes on below the belt.’	0 0 0 0 0 0 0 0 0 1 0 1	below the belt	figurative	dashes	ADJ ADP NOUN ADV ADJ ADP NOUN VERB PART ADP DET NOUN
Belittle that, and you hit every patriotic American below the belt.	0 0 0 0 0 0 0 0 1 0 1	below the belt	figurative	identical	NOUN ADP CCONJ PRON VERB DET ADJ PROPN ADP DET NOUN
He summoned Yagüe to his presence and, in a well - calculated blow below Yagüe's military belt, appealed to his esprit de corps as a soldier and a veteran of the Moroccan campaigns.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	below the belt	literal	combined-other	PRON VERB PROPN ADP ADJ NOUN CCONJ ADP DET ADV PUNCT VERB NOUN ADP PROPN ADJ NOUN VERB ADP ADJ X X X ADP DET NOUN CCONJ DET NOUN ADP DET ADJ NOUN
They are examples of people thinking on their feet, trying to rationalize their responses to texts which ‘ hit below the belt’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	below the belt	figurative	dashes	PRON VERB NOUN ADP NOUN VERB ADP ADJ NOUN VERB PART VERB ADJ NOUN PART NOUN ADJ PUNCT NOUN ADP DET NOUN
That was below the belt, but instead of stopping there while she was still in one piece, she drove on in a high, hectoring voice, ‘ Don't you think your daughter deserves a little rest instead of going home to slave for you after she's been working all week?’	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	below the belt	figurative	identical	DET VERB ADP DET NOUN CCONJ ADV ADP VERB ADV ADP PRON VERB ADV ADP NUM NOUN PRON VERB PART ADP DET ADJ VERB NOUN PUNCT VERB PRON VERB ADJ NOUN VERB DET ADJ NOUN ADV ADP VERB ADV PART VERB ADP PRON ADP PRON VERB VERB DET ADJ
She walked in a wobbling, mincing way like a dressed - up penguin, bulging out like a squashed balloon above and below the cheap gold belt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	below the belt	literal	insertion-other	PRON VERB ADP DET NOUN VERB NOUN ADP DET VERB PUNCT PART NOUN VERB PART ADP DET ADJ NOUN ADP CCONJ ADP DET ADJ NOUN NOUN
That was definitely a blow below the belt!	0 0 0 0 0 1 0 1	below the belt	figurative	identical	DET VERB ADV DET NOUN ADP DET NOUN
But fans of the programme can savour the below - the - belt humour of two of its stars David Baddiel and Rob Newman during a 40date British tour which includes Newcastle's New Tyne Theatre on April 21 and Middlesbrough Town Hall on April 28.	0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	below the belt	figurative	dashes	CCONJ NOUN ADP DET NOUN VERB VERB DET ADP PUNCT DET PUNCT NOUN NOUN ADP NUM ADP ADJ NOUN PROPN PROPN CCONJ PROPN PROPN ADP DET NUM ADJ NOUN ADJ VERB PROPN PROPN PROPN PROPN ADP PROPN NUM CCONJ PROPN PROPN PROPN ADP PROPN NUM
The latter were incensed at what they regarded as hitting below the belt and retaliated with vicious shootings at policemen regardless of whether they were the men responsible.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	below the belt	figurative	identical	DET ADJ VERB VERB ADP NOUN PRON VERB ADP VERB ADP DET NOUN CCONJ VERB ADP ADJ NOUN ADP NOUN ADV ADP ADP PRON VERB DET NOUN ADJ
If that last sally was intended to go below the belt, it failed ; the ‘ better men than you’ line was worked out long ago.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	below the belt	figurative	identical	ADP DET ADJ ADV VERB VERB PART VERB ADP DET NOUN PRON VERB PUNCT DET PUNCT ADJ NOUN ADP NOUN NOUN VERB VERB PART ADV ADV
Well it's a pacemaker below the belt dear.	0 0 0 0 1 0 1 0	below the belt	figurative	identical	INTJ PRON DET NOUN ADP DET NOUN NOUN
