The swimming is safe and very tempting in the lake's crystal clear waters.	0 0 0 0 0 0 0 0 0 0 1 1 0	crystal clear	figurative	identical	DET NOUN VERB ADJ CCONJ ADV ADJ ADP DET NOUN NOUN ADJ NOUN	▁The ▁swimming ▁is ▁safe ▁and ▁very ▁tempt ing ▁in ▁the ▁lake ' s ▁crystal ▁clear ▁waters .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	DET NOUN VERB ADJ CCONJ ADV ADJ ADJ ADP DET NOUN NOUN NOUN NOUN ADJ NOUN NOUN
How typical it was of Luke to make his position so crystal - clear, drawing the line almost brutally in his determination that she shouldn't make any personal conclusions from his offer.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	ADV ADJ PRON VERB ADP PROPN PART VERB ADJ NOUN ADV NOUN PUNCT ADJ VERB DET NOUN ADV ADV ADP ADJ NOUN ADP PRON VERB VERB DET ADJ NOUN ADP ADJ NOUN	▁How ▁typical ▁it ▁was ▁of ▁L uke ▁to ▁make ▁his ▁position ▁so ▁crystal ▁- ▁clear , ▁drawing ▁the ▁line ▁almost ▁brutal ly ▁in ▁his ▁determination ▁that ▁she ▁should n ' t ▁make ▁any ▁personal ▁conclusions ▁from ▁his ▁offer .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADJ PRON VERB ADP PROPN PROPN PART VERB ADJ NOUN ADV NOUN PUNCT ADJ ADJ VERB DET NOUN ADV ADV ADV ADP ADJ NOUN ADP PRON VERB VERB VERB VERB VERB DET ADJ NOUN ADP ADJ NOUN NOUN
So, whatever else followed in the wretched little saga that I am about to describe, it is crystal clear that, right from the outset, the real object behind the Government's manoeuvrings was the cutting back — indeed, the large - scale elimination — of people's entitlement to back payments of benefits where there had been official error.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	ADV ADJ ADV VERB ADP DET ADJ ADJ NOUN ADJ PRON VERB ADJ PART VERB PRON VERB NOUN ADJ ADP ADV ADP DET NOUN DET ADJ NOUN ADP DET PROPN NOUN VERB DET VERB ADV PUNCT ADV DET ADJ PUNCT NOUN NOUN PUNCT ADP NOUN NOUN PART VERB NOUN ADP NOUN ADV ADV VERB VERB ADJ NOUN	▁So , ▁whatever ▁else ▁followed ▁in ▁the ▁w ret ched ▁little ▁s aga ▁that ▁I ▁am ▁about ▁to ▁describe , ▁it ▁is ▁crystal ▁clear ▁that , ▁right ▁from ▁the ▁outset , ▁the ▁real ▁object ▁behind ▁the ▁Government ' s ▁manoeuvring s ▁was ▁the ▁cutting ▁back ▁ — ▁indeed , ▁the ▁large ▁- ▁scale ▁elimination ▁ — ▁of ▁people ' s ▁entitlement ▁to ▁back ▁payments ▁of ▁benefits ▁where ▁there ▁had ▁been ▁official ▁error .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADJ ADV VERB ADP DET ADJ ADJ ADJ ADJ NOUN NOUN ADJ PRON VERB ADJ PART VERB VERB PRON VERB NOUN ADJ ADP ADP ADV ADP DET NOUN NOUN DET ADJ NOUN ADP DET PROPN PROPN PROPN NOUN NOUN VERB DET VERB ADV PUNCT PUNCT ADV ADV DET ADJ PUNCT NOUN NOUN PUNCT PUNCT ADP NOUN NOUN NOUN NOUN PART VERB NOUN ADP NOUN ADV ADV VERB VERB ADJ NOUN NOUN
One point the department is very clear on, the section paragraph five thirteen of P P G twelve is as crystal clear as it could be, the structure plan should indicate the general location of individual developments likely to have a significant effect on the plan area.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	NUM NOUN DET NOUN VERB ADV ADJ ADV DET NOUN NOUN NUM NUM ADP NOUN NOUN NOUN NOUN VERB ADP NOUN ADJ ADP PRON VERB VERB DET NOUN NOUN VERB VERB DET ADJ NOUN ADP ADJ NOUN ADJ PART VERB DET ADJ NOUN ADP DET NOUN NOUN	▁One ▁point ▁the ▁department ▁is ▁very ▁clear ▁on , ▁the ▁section ▁paragraph ▁five ▁thirteen ▁of ▁P ▁P ▁G ▁twelve ▁is ▁as ▁crystal ▁clear ▁as ▁it ▁could ▁be , ▁the ▁structure ▁plan ▁should ▁indicate ▁the ▁general ▁location ▁of ▁individual ▁developments ▁likely ▁to ▁have ▁a ▁significant ▁effect ▁on ▁the ▁plan ▁area .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN DET NOUN VERB ADV ADJ ADV ADV DET NOUN NOUN NUM NUM ADP NOUN NOUN NOUN NOUN VERB ADP NOUN ADJ ADP PRON VERB VERB VERB DET NOUN NOUN VERB VERB DET ADJ NOUN ADP ADJ NOUN ADJ PART VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN
Barber had an exceptional flair for expressing himself fluently in crystal clear prose.	0 0 0 0 0 0 0 0 0 0 1 1 0	crystal clear	figurative	identical	PROPN VERB DET ADJ NOUN ADP VERB PRON ADV ADP NOUN ADJ NOUN	▁Bar ber ▁had ▁an ▁exceptional ▁fl air ▁for ▁express ing ▁himself ▁flu ently ▁in ▁crystal ▁clear ▁pro se .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	PROPN PROPN VERB DET ADJ NOUN NOUN ADP VERB VERB PRON ADV ADV ADP NOUN ADJ NOUN NOUN NOUN
At a future review conference — such conferences will occur every few years in the Community — it might be desirable to go even further and press for a clause in the Community body of law that makes it crystal clear that all powers that are not specifically allocated to the Community should remain as of right with the member states, as is the case in the American constitution.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	ADP DET ADJ NOUN NOUN PUNCT ADJ NOUN VERB VERB DET ADJ NOUN ADP DET PROPN PUNCT PRON VERB VERB ADJ PART VERB ADV ADV CCONJ VERB ADP DET NOUN ADP DET PROPN NOUN ADP NOUN ADJ VERB PRON NOUN ADJ ADP DET NOUN ADJ VERB ADV ADV VERB ADP DET PROPN VERB VERB ADP ADP NOUN ADP DET NOUN NOUN ADP VERB DET NOUN ADP DET ADJ NOUN	▁At ▁a ▁future ▁review ▁conference ▁ — ▁such ▁conferences ▁will ▁occur ▁every ▁few ▁years ▁in ▁the ▁Community ▁ — ▁it ▁might ▁be ▁desirable ▁to ▁go ▁even ▁further ▁and ▁press ▁for ▁a ▁clause ▁in ▁the ▁Community ▁body ▁of ▁law ▁that ▁makes ▁it ▁crystal ▁clear ▁that ▁all ▁powers ▁that ▁are ▁not ▁specifically ▁allocated ▁to ▁the ▁Community ▁should ▁remain ▁as ▁of ▁right ▁with ▁the ▁member ▁states , ▁as ▁is ▁the ▁case ▁in ▁the ▁American ▁constitution .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN NOUN PUNCT PUNCT ADJ NOUN VERB VERB DET ADJ NOUN ADP DET PROPN PUNCT PUNCT PRON VERB VERB ADJ PART VERB ADV ADV CCONJ VERB ADP DET NOUN ADP DET PROPN NOUN ADP NOUN ADJ VERB PRON NOUN ADJ ADP DET NOUN ADJ VERB ADV ADV VERB ADP DET PROPN VERB VERB ADP ADP NOUN ADP DET NOUN NOUN NOUN ADP VERB DET NOUN ADP DET ADJ NOUN NOUN
The sea is as crystal clear as any spot in the Caribbean you might care to name.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN VERB ADP NOUN ADJ ADP DET NOUN ADP DET PROPN PRON VERB VERB ADP NOUN	▁The ▁sea ▁is ▁as ▁crystal ▁clear ▁as ▁any ▁spot ▁in ▁the ▁Caribbean ▁you ▁might ▁care ▁to ▁name .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADP NOUN ADJ ADP DET NOUN ADP DET PROPN PRON VERB VERB ADP NOUN NOUN
Through out the period the government made crystal clear its anxiety to shore up noble landownership.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	crystal clear	figurative	identical	ADP ADP DET NOUN DET NOUN VERB NOUN ADJ ADJ NOUN PART VERB PART ADJ NOUN	▁Through ▁out ▁the ▁period ▁the ▁government ▁made ▁crystal ▁clear ▁its ▁anxiety ▁to ▁shore ▁up ▁noble ▁land ownership .	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	ADP ADP DET NOUN DET NOUN VERB NOUN ADJ ADJ NOUN PART VERB PART ADJ NOUN NOUN NOUN
For Mahbubani, the “ lessons of Europe ” are crystal clear.	0 0 0 0 0 0 0 0 0 1 1	crystal clear	figurative	identical	ADP PROPN DET PUNCT NOUN ADP PROPN PUNCT VERB NOUN ADJ	▁For ▁Mah b ub ani , ▁the ▁ “ ▁lessons ▁of ▁Europe ▁ ” ▁are ▁crystal ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADP PROPN PROPN PROPN PROPN PROPN DET PUNCT PUNCT NOUN ADP PROPN PUNCT PUNCT VERB NOUN ADJ ADJ
The exercise also helped to make crystal clear that the sympathies of the city officials lay more with the tannery than with their electorate.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN ADV VERB PART VERB NOUN ADJ ADP DET NOUN ADP DET NOUN NOUN VERB ADV ADP DET NOUN ADP ADP ADJ NOUN	▁The ▁exercise ▁also ▁helped ▁to ▁make ▁crystal ▁clear ▁that ▁the ▁sympath ies ▁of ▁the ▁city ▁officials ▁lay ▁more ▁with ▁the ▁t anne ry ▁than ▁with ▁their ▁elector ate .	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADV VERB PART VERB NOUN ADJ ADP DET NOUN NOUN ADP DET NOUN NOUN VERB ADV ADP DET NOUN NOUN NOUN ADP ADP ADJ NOUN NOUN NOUN
The wonderful thing about the USPGA Tour's year - ending statistics is that a quick perusal leaves you with a crystal- clear picture of what transpired in the previous year : Which players improved the most ; which were at the top of their games ; who won what and where, and when, and how.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	dashes	DET ADJ NOUN ADP DET PROPN PROPN NOUN PUNCT VERB NOUN VERB ADP DET ADJ NOUN VERB PRON ADP DET ADJ ADJ NOUN ADP NOUN VERB ADP DET ADJ NOUN PUNCT ADJ NOUN VERB DET ADV PUNCT ADJ VERB ADP DET NOUN ADP ADJ NOUN PUNCT NOUN VERB NOUN CCONJ ADV CCONJ ADV CCONJ ADV	▁The ▁wonderful ▁thing ▁about ▁the ▁US PG A ▁Tour ' s ▁year ▁- ▁ending ▁statistics ▁is ▁that ▁a ▁quick ▁per us al ▁leaves ▁you ▁with ▁a ▁crystal - ▁clear ▁picture ▁of ▁what ▁transpire d ▁in ▁the ▁previous ▁year ▁ : ▁Which ▁players ▁improved ▁the ▁most ▁ ; ▁which ▁were ▁at ▁the ▁top ▁of ▁their ▁games ▁ ; ▁who ▁won ▁what ▁and ▁where , ▁and ▁when , ▁and ▁how .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN NOUN PUNCT VERB NOUN VERB ADP DET ADJ NOUN NOUN NOUN VERB PRON ADP DET ADJ ADJ ADJ NOUN ADP NOUN VERB VERB ADP DET ADJ NOUN PUNCT PUNCT ADJ NOUN VERB DET ADV PUNCT PUNCT ADJ VERB ADP DET NOUN ADP ADJ NOUN PUNCT PUNCT NOUN VERB NOUN CCONJ ADV ADV CCONJ ADV ADV CCONJ ADV ADV
