After all, how can anyone sort out their problems if they haven't come to grips with themselves?’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	come to grips with	figurative	identical	ADV ADV ADV VERB NOUN VERB PART ADJ NOUN ADP PRON VERB VERB ADP NOUN ADP NOUN
I don't regret it, of course— I might never have been a priest otherwise — but I often think that that's why I just don't seem able to come to grips with the modern world.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	come to grips with	figurative	identical	PRON VERB VERB PRON ADP NOUN PRON VERB ADV VERB VERB DET NOUN ADV PUNCT CCONJ PRON ADV VERB ADP DET ADV PRON ADV VERB VERB ADJ PART VERB ADP NOUN ADP DET ADJ NOUN
Their own proposals for reform are aimed at restructuring the British press but it can be argued that even they fail to come to grips with the sort of major ‘ shortcomings’ of the press ( and media ) identified above.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	ADJ ADJ NOUN ADP NOUN VERB VERB ADP VERB DET ADJ NOUN CCONJ PRON VERB VERB VERB ADP ADV PRON VERB PART VERB ADP NOUN ADP DET NOUN ADP ADJ DET NOUN ADP DET NOUN PUNCT CCONJ NOUN PUNCT VERB ADV
Yes, Chair, I, I mean I support the criteria that's been laid out in five two there, I think it's very important that we do actually, important that we do actually highlight the issue of low pay, and where it's occurring, and in, in some way that then prevents companies, the, the unscrupulous type of companies that would come in to exploit that, from actually doing it, since most people would then be aware it, and I think that the last speaker's just suggested that it's an extremely cheap way of obtaining masses of information about Shropshire's erm, earnings levels, and I think that's very important that we are, and do come to grips with that, and clearly couldn't afford officer time to be spent on, on merely collating that all the time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	INTJ PROPN PRON PRON VERB PRON VERB DET NOUN ADJ VERB VERB PART ADP NUM NUM ADV PRON VERB PRON ADV ADJ ADP PRON VERB ADV ADJ ADP PRON VERB ADV VERB DET NOUN ADP ADJ NOUN CCONJ ADV PRON VERB CCONJ ADV ADP DET NOUN ADJ ADV VERB NOUN DET DET ADJ NOUN ADP NOUN ADJ VERB VERB PART PART VERB DET ADP ADV VERB PRON ADP ADJ NOUN VERB ADV VERB ADJ PRON CCONJ PRON VERB ADP DET ADJ NOUN ADV VERB ADP PRON DET ADV ADJ NOUN ADP VERB NOUN ADP NOUN ADP PROPN NOUN NOUN NOUN CCONJ PRON VERB DET ADV ADJ ADP PRON VERB CCONJ VERB VERB ADP NOUN ADP DET CCONJ ADV VERB VERB NOUN NOUN PART VERB VERB ADP ADP ADV VERB ADP ADJ DET NOUN
He was well aware of the anthropomorphism and indeed found it satisfying ; it was as though, in the Britches, thigh - deep in lashing nettle and octopus strands of clutching bramble he was coming to grips at last with a great many things and, as often as not, getting the upper hand.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	combined-inflection	PRON VERB ADV ADJ ADP DET NOUN CCONJ ADV VERB PRON VERB PUNCT PRON VERB ADV ADV ADP DET PROPN NOUN PUNCT ADJ ADP VERB ADJ CCONJ ADJ NOUN ADP VERB NOUN PRON VERB VERB ADP NOUN ADP ADV ADP DET ADJ ADJ NOUN CCONJ ADV ADV ADP ADV VERB DET ADJ NOUN
But it is also essential, because China ’s new leadership seems determined to come to grips with a vast array of internal imbalances that threaten the environment, promote destabilizing income inequality, and exacerbate regional disparities.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	identical	CCONJ PRON VERB ADV ADJ ADP PROPN PART ADJ NOUN VERB ADJ PART VERB ADP NOUN ADP DET ADJ NOUN ADP ADJ NOUN ADJ VERB DET NOUN VERB ADJ NOUN NOUN CCONJ VERB ADJ NOUN
Either side of the Refuge, time closed in, with meetings, the children to be looked after, books to be read, until she felt light - headed with the sense of not coming to grips with anything, of being forced to spin like a top.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	DET NOUN ADP DET PROPN NOUN VERB ADV ADP NOUN DET NOUN PART VERB VERB ADP NOUN PART VERB VERB ADP PRON VERB ADJ PUNCT VERB ADP DET NOUN ADP ADV VERB ADP NOUN ADP NOUN ADP VERB VERB PART VERB ADP DET NOUN
in in coming to grips with this issue we have realised how particular they are met er and a number of members will prevent from getting to that meeting to to put their views on the table and for this reason er they decided to defer that.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	ADP ADP VERB ADP NOUN ADP DET NOUN PRON VERB VERB ADV ADJ PRON VERB VERB INTJ CCONJ DET NOUN ADP NOUN VERB VERB ADP VERB ADP DET NOUN ADP PART VERB ADJ NOUN ADP DET NOUN CCONJ ADP DET NOUN INTJ PRON VERB PART VERB DET
Their leaders seem unable to come to grips with the eurozone ’s debt crisis.	0 0 0 0 0 1 1 1 1 0 0 0 0 0	come to grips with	figurative	identical	ADJ NOUN VERB ADJ PART VERB ADP NOUN ADP DET NOUN PART NOUN NOUN
They had a lot to come to grips with.	0 0 0 0 0 1 1 1 1	come to grips with	figurative	identical	PRON VERB DET NOUN PART VERB ADP NOUN ADP
As she describes in her book, she was an adolescent girl coming to grips with growing up and kicking against conventions ‘ but only in this rather middle - class way.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	come to grips with	figurative	inflection	ADP PRON VERB ADP ADJ NOUN PRON VERB DET ADJ NOUN VERB ADP NOUN ADP VERB PART CCONJ VERB ADP NOUN PUNCT CCONJ ADV ADP DET ADV ADJ PUNCT NOUN NOUN
