Cold feet and hot head.	1 1 0 0 0	cold feet	literal	case	ADJ NOUN CCONJ ADJ NOUN
‘ I wonder why people get cold feet,’ Killion remarked.	0 0 0 0 0 0 1 1 0 0	cold feet	figurative	dashes	PUNCT PRON VERB ADV NOUN VERB ADJ NUM PROPN VERB
Instead, we 've got cold feet!’	0 0 0 0 1 1	cold feet	figurative	dashes	ADV PRON VERB VERB ADJ NOUN
He tightened the red scarf around his neck and blew on his hands, stamping his cold feet on the hard wet cobblestones.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	cold feet	literal	identical	PRON VERB DET ADJ NOUN ADP ADJ NOUN CCONJ VERB ADP ADJ NOUN VERB ADJ ADJ NOUN ADP DET ADJ ADJ NOUN
The crowd stirred in expectation and a chatter of conversation flickered around the ground accompanied by the stamping of cold feet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	cold feet	figurative	identical	DET NOUN VERB ADP NOUN CCONJ DET NOUN ADP NOUN VERB ADP DET NOUN VERB ADP DET NOUN ADP ADJ NOUN
The image of the cold wrinkled feet on the glimmering thresholds and the steam from the dim fields again shows Tithonus hopeless situation.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold feet	literal	insertion-other	DET NOUN ADP DET ADJ VERB NOUN ADP DET VERB NOUN CCONJ DET NOUN ADP DET ADJ NOUN ADV VERB PROPN ADJ NOUN
' Cold feet.	0 1 1	cold feet	literal	case	PUNCT ADJ NOUN
Why, then, the attack of cold feet when the programme was in the can and the billing in the Radio Times?	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold feet	figurative	identical	ADV ADV DET NOUN ADP ADJ NOUN ADV DET NOUN VERB ADP DET NOUN CCONJ DET NOUN ADP DET PROPN PROPN
‘ Got cold feet about meeting yourself face to face?’	0 0 1 1 0 0 0 0 0 0	cold feet	figurative	identical	PUNCT ADJ ADJ NOUN ADP VERB PRON NOUN ADP NOUN
Cayenne pepper to stop cold feet, camomile for children's diarrhoea.	0 0 0 0 1 1 0 0 0 0	cold feet	literal	identical	ADJ NOUN PART VERB ADJ NOUN ADJ ADP NOUN NOUN
The groom was getting cold feet just minutes before the wedding.	0 0 0 0 1 1 0 0 0 0 0	cold feet	figurative	identical	DET NOUN VERB VERB ADJ NOUN ADV NOUN ADP DET NOUN
I began to get cold feet, but these other two guys were totally positive and they were absolutely right.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	cold feet	figurative	identical	PRON VERB PART VERB ADJ NOUN CCONJ DET ADJ NUM NOUN VERB ADV ADJ CCONJ PRON VERB ADV ADJ
‘ There's no room fur cold feet on the sort of expedition we 're embarkin ' on.’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	cold feet	figurative	identical	PUNCT ADV DET NOUN NOUN ADJ NOUN ADP DET NOUN ADP NOUN PRON VERB VERB PUNCT NOUN
Sometime during the night, I was woken by my cold feet, a warm weight on my chest and the loudest purr I had ever heard.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold feet	literal	identical	ADV ADP DET NOUN PRON VERB VERB ADP ADJ ADJ NOUN DET ADJ NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN PRON VERB ADV VERB
Who, who if they 've cold feet lies awake, till they warm up?	0 0 0 0 0 1 1 0 0 0 0 0 0	cold feet	literal	identical	NOUN NOUN ADP PRON VERB ADJ NOUN VERB ADJ ADP PRON VERB PART
We are all tired, and have cold feet and hands.	0 0 0 0 0 0 1 1 0 0	cold feet	literal	identical	PRON VERB ADV ADJ CCONJ VERB ADJ NOUN CCONJ NOUN
We are following the commitment that we gave in 1973 to ever closer union, so why are we now beginning to get cold feet?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	cold feet	figurative	identical	PRON VERB VERB DET NOUN ADJ PRON VERB ADP NUM ADP ADV ADJ NOUN CCONJ ADV VERB PRON ADV VERB PART VERB ADJ NOUN
Another initiative that seems to be suffering from a bout of collective cold foot is the Common Operating System Interface effort sponsored by IBM Corp and Hewlett - Packard Co.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold feet	figurative	inflection	DET NOUN ADJ VERB PART VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN VERB DET PROPN PROPN PROPN PROPN NOUN VERB ADP PROPN PROPN CCONJ PROPN PUNCT PROPN PROPN
It was cold feet, but probably only on behalf of the ministry the government the whole structure that George derided and had committed his life to.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold feet	figurative	identical	PRON VERB ADJ NOUN CCONJ ADV ADV ADP NOUN ADP DET NOUN DET NOUN DET ADJ NOUN ADP PROPN VERB CCONJ VERB VERB ADJ NOUN ADP
