‘ Lee, take it easy.	0 0 1 1 1	take it easy	figurative	identical	PUNCT PROPN VERB PRON ADV
She is simply taking it easy.’	0 0 0 1 1 1	take it easy	figurative	combined-inflection	PRON VERB ADV VERB PRON ADV
My doctor has no advice except ‘ try and take it easy’.	0 0 0 0 0 0 0 0 0 1 1 1	take it easy	figurative	dashes	ADJ NOUN VERB DET NOUN ADP PUNCT NOUN CCONJ VERB PRON NOUN
‘ But next time take it easy, eh?	0 0 0 0 1 1 1 0	take it easy	figurative	identical	PUNCT CCONJ ADJ NOUN VERB PRON ADV INTJ
He tried to keep his eyes on her face as she examined him thoroughly, declared him fit, warned him to take it easy for a day or two and to drink sparingly because of the risk of delayed shock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it easy	figurative	identical	PRON VERB PART VERB ADJ NOUN ADP ADJ NOUN ADP PRON VERB PRON ADV VERB PRON ADJ VERB PRON PART VERB PRON ADJ ADP DET NOUN CCONJ NUM CCONJ PART VERB ADV ADP ADP DET NOUN ADP VERB NOUN
It was a warm, spring morning and I was lying in the garden, reflecting on life in general and taking it easy, when I heard this music coming from the top - floor flat where the windows were all open — and there was somebody singing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it easy	figurative	inflection	PRON VERB DET ADJ NOUN NOUN CCONJ PRON VERB VERB ADP DET NOUN VERB ADP NOUN ADP ADJ CCONJ VERB PRON ADV ADV PRON VERB DET NOUN VERB ADP DET ADJ PUNCT NOUN NOUN ADV DET NOUN VERB DET ADJ PUNCT CCONJ ADV VERB NOUN VERB
' Take it easy, son, ' said Dr Curtis.	0 1 1 1 0 0 0 0 0	take it easy	figurative	case	PUNCT VERB PRON ADJ NOUN PUNCT VERB PROPN PROPN
' Take it easy, Commander, ' he said quietly.	0 1 1 1 0 0 0 0 0	take it easy	figurative	case	PUNCT VERB PRON ADV PROPN PUNCT PRON VERB ADV
On canal and lakes that have not been fished since March it makes sense to take it easy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	take it easy	figurative	identical	ADP NOUN CCONJ NOUN ADJ VERB ADV VERB VERB ADP PROPN PRON VERB NOUN PART VERB PRON ADJ
I didn't accept er the opportunity to retire and take it easy, it seemed as if I had worked twenty seven years for nothing!	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take it easy	figurative	identical	PRON VERB VERB INTJ DET NOUN PART VERB CCONJ VERB PRON ADV PRON VERB ADP ADP PRON VERB VERB NUM NUM NOUN ADP NOUN
Our own mothers, giving birth in the Fifties and Sixties, took it fairly easy as well.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	take it easy	figurative	combined-inflection	ADJ ADJ NOUN VERB NOUN ADP DET PROPN CCONJ PROPN VERB PRON ADV ADV ADV ADV
