and they 've got no alternative, otherwise we 're gon na get walked all over.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	walk all over	figurative	inflection	CCONJ PRON VERB VERB DET NOUN ADV PRON VERB VERB PART VERB VERB ADV ADV	▁and ▁they ▁' ve ▁got ▁no ▁alternative , ▁otherwise ▁we ▁' re ▁ gon ▁na ▁get ▁walked ▁all ▁over .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ PRON VERB VERB VERB DET NOUN NOUN ADV PRON VERB VERB VERB VERB PART VERB VERB ADV ADV ADV
What was worse, within minutes people would be walking all over her back - breaking work — it did not bear thinking of.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	walk all over	figurative	inflection	NOUN VERB ADJ ADP NOUN NOUN VERB VERB VERB ADV ADP ADJ ADV PUNCT VERB NOUN PUNCT PRON VERB ADV VERB NOUN ADP	▁What ▁was ▁worse , ▁within ▁minutes ▁people ▁would ▁be ▁walking ▁all ▁over ▁her ▁back ▁- ▁breaking ▁work ▁ — ▁it ▁did ▁not ▁bear ▁thinking ▁of .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB ADJ ADJ ADP NOUN NOUN VERB VERB VERB ADV ADP ADJ ADV PUNCT VERB NOUN PUNCT PUNCT PRON VERB ADV VERB NOUN ADP ADP
What's the point of being aggressive with somebody when they 're gon na walk away feeling as if they 've just been walked all over, so you 've still got the same situation you 've got one person walking away feeling a little bit fed up and the other person not so if you talk about assertiveness in terms of aggression and in terms of submission i.e. there's going to be a winner and there's going to be a loser depending which way round you look at it then you still haven't quite grasped what we mean by assertiveness.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	walk all over	figurative	inflection	NOUN DET NOUN ADP VERB ADJ ADP NOUN ADV PRON VERB VERB PART VERB ADV NOUN ADP ADP PRON VERB ADV VERB VERB ADV ADV CCONJ PRON VERB ADV VERB DET ADJ NOUN PRON VERB VERB NUM NOUN VERB ADV VERB DET ADJ NOUN ADJ PART CCONJ DET ADJ NOUN ADV ADV ADP PRON VERB ADP ADV ADP NOUN ADP NOUN CCONJ ADP NOUN ADP NOUN X ADV VERB PART VERB DET NOUN CCONJ ADV VERB PART VERB DET NOUN VERB ADJ NOUN ADV PRON VERB ADP PRON ADV PRON ADV VERB ADV VERB NOUN PRON VERB ADP ADV	▁What ' s ▁the ▁point ▁of ▁being ▁aggressive ▁with ▁somebody ▁when ▁they ▁' re ▁ gon ▁na ▁walk ▁away ▁feeling ▁as ▁if ▁they ▁' ve ▁just ▁been ▁walked ▁all ▁over , ▁so ▁you ▁' ve ▁still ▁got ▁the ▁same ▁situation ▁you ▁' ve ▁got ▁one ▁person ▁walking ▁away ▁feeling ▁a ▁little ▁bit ▁fed ▁up ▁and ▁the ▁other ▁person ▁not ▁so ▁if ▁you ▁talk ▁about ▁as ser tiveness ▁in ▁terms ▁of ▁aggression ▁and ▁in ▁terms ▁of ▁submission ▁i . e . ▁there ' s ▁going ▁to ▁be ▁a ▁winner ▁and ▁there ' s ▁going ▁to ▁be ▁a ▁lose r ▁depending ▁which ▁way ▁round ▁you ▁look ▁at ▁it ▁then ▁you ▁still ▁have n ' t ▁quite ▁grasp ed ▁what ▁we ▁mean ▁by ▁as ser tiveness .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN DET NOUN ADP VERB ADJ ADP NOUN ADV PRON VERB VERB VERB VERB PART VERB ADV NOUN ADP ADP PRON VERB VERB ADV VERB VERB ADV ADV ADV CCONJ PRON VERB VERB ADV VERB DET ADJ NOUN PRON VERB VERB VERB NUM NOUN VERB ADV VERB DET ADJ NOUN ADJ PART CCONJ DET ADJ NOUN ADV ADV ADP PRON VERB ADP ADV ADV ADV ADP NOUN ADP NOUN CCONJ ADP NOUN ADP NOUN X X X X ADV ADV ADV VERB PART VERB DET NOUN CCONJ ADV ADV ADV VERB PART VERB DET NOUN NOUN VERB ADJ NOUN ADV PRON VERB ADP PRON ADV PRON ADV VERB VERB VERB VERB ADV VERB VERB NOUN PRON VERB ADP ADV ADV ADV ADV
The passive responder allows others to ‘ walk all over them’(doormat ).	0 0 0 0 0 0 0 1 1 1 0 0	walk all over	figurative	identical	DET ADJ NOUN VERB NOUN ADP PUNCT NOUN ADV ADP NOUN PUNCT	▁The ▁passive ▁respond er ▁allows ▁others ▁to ▁ ‘ ▁walk ▁all ▁over ▁them ’ ( door mat ▁ ).	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	DET ADJ NOUN NOUN VERB NOUN ADP PUNCT PUNCT NOUN ADV ADP NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT
I don't want to walk all over your carpet!	0 0 0 0 1 1 1 0 0	walk all over	literal	identical	PRON VERB VERB PART VERB ADV ADP ADJ NOUN	▁I ▁don ' t ▁want ▁to ▁walk ▁all ▁over ▁your ▁carpet !	0 0 0 0 0 0 1 1 1 0 0 0	PRON VERB VERB VERB VERB PART VERB ADV ADP ADJ NOUN NOUN
T that's it, walk all over me.	0 0 0 1 1 1 0	walk all over	figurative	identical	PROPN DET PRON VERB ADV ADP PRON	▁T ▁that ' s ▁it , ▁walk ▁all ▁over ▁me .	0 0 0 0 0 0 1 1 1 0 0	PROPN DET DET DET PRON PRON VERB ADV ADP PRON PRON
Be a bit firmer with the neds or they 'll walk all over you.	0 0 0 0 0 0 0 0 0 0 1 1 1 0	walk all over	figurative	identical	VERB DET NOUN ADJ ADP DET NOUN CCONJ PRON VERB VERB ADV ADP PRON	▁Be ▁a ▁bit ▁firm er ▁with ▁the ▁n ed s ▁or ▁they ▁' ll ▁walk ▁all ▁over ▁you .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	VERB DET NOUN ADJ ADJ ADP DET NOUN NOUN NOUN CCONJ PRON VERB VERB VERB ADV ADP PRON PRON
The individual who's gon na be assertive is likely to be open and honest or likely to admit things that are not so good at honest those, but they 're not gon na necessarily apologise for those, they 're gon na treat those as statements of fact and they 're certainly gon na try and involve other people and actually say what do you think this, what are some ways forward er but it doesn't mean that they 're gon na be walked all over and they still stand up for the things that they firmly believe in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	walk all over	figurative	inflection	DET NOUN NOUN VERB PART VERB ADJ VERB ADJ PART VERB ADJ CCONJ ADJ CCONJ ADJ PART VERB NOUN ADJ VERB ADV ADV ADJ ADP ADJ DET CCONJ PRON VERB ADV VERB PART ADV VERB ADP DET PRON VERB VERB PART VERB DET ADP NOUN ADP NOUN CCONJ PRON VERB ADV VERB PART VERB CCONJ VERB ADJ NOUN CCONJ ADV VERB NOUN VERB PRON VERB DET NOUN VERB DET NOUN ADV INTJ CCONJ PRON VERB VERB ADP PRON VERB VERB PART VERB VERB ADV ADV CCONJ PRON ADV VERB PART ADP DET NOUN ADJ PRON ADV VERB PART	▁The ▁individual ▁who ' s ▁ gon ▁na ▁be ▁assert ive ▁is ▁likely ▁to ▁be ▁open ▁and ▁honest ▁or ▁likely ▁to ▁admit ▁things ▁that ▁are ▁not ▁so ▁good ▁at ▁honest ▁those , ▁but ▁they ▁' re ▁not ▁ gon ▁na ▁necessarily ▁apolog ise ▁for ▁those , ▁they ▁' re ▁ gon ▁na ▁treat ▁those ▁as ▁statements ▁of ▁fact ▁and ▁they ▁' re ▁certainly ▁ gon ▁na ▁try ▁and ▁involve ▁other ▁people ▁and ▁actually ▁say ▁what ▁do ▁you ▁think ▁this , ▁what ▁are ▁some ▁ways ▁forward ▁er ▁but ▁it ▁does n ' t ▁mean ▁that ▁they ▁' re ▁ gon ▁na ▁be ▁walked ▁all ▁over ▁and ▁they ▁still ▁stand ▁up ▁for ▁the ▁things ▁that ▁they ▁firmly ▁believe ▁in .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN VERB VERB PART VERB ADJ ADJ VERB ADJ PART VERB ADJ CCONJ ADJ CCONJ ADJ PART VERB NOUN ADJ VERB ADV ADV ADJ ADP ADJ DET DET CCONJ PRON VERB VERB ADV VERB VERB PART ADV VERB VERB ADP DET DET PRON VERB VERB VERB VERB PART VERB DET ADP NOUN ADP NOUN CCONJ PRON VERB VERB ADV VERB VERB PART VERB CCONJ VERB ADJ NOUN CCONJ ADV VERB NOUN VERB PRON VERB DET DET NOUN VERB DET NOUN ADV INTJ CCONJ PRON VERB VERB VERB VERB VERB ADP PRON VERB VERB VERB VERB PART VERB VERB ADV ADV CCONJ PRON ADV VERB PART ADP DET NOUN ADJ PRON ADV VERB PART PART
He was used to walking all over the city, as if searching, as if dedicated to the act of searching, every single day ; and now he came to The Bar every single night, and did his searching there.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	walk all over	literal	inflection	PRON VERB VERB ADP VERB ADV ADP DET NOUN ADP ADP VERB ADP ADP VERB ADP DET NOUN ADP VERB DET ADJ NOUN PUNCT CCONJ ADV PRON VERB ADP DET PROPN DET ADJ NOUN CCONJ VERB ADJ VERB ADV	▁He ▁was ▁used ▁to ▁walking ▁all ▁over ▁the ▁city , ▁as ▁if ▁searching , ▁as ▁if ▁dedicated ▁to ▁the ▁act ▁of ▁searching , ▁every ▁single ▁day ▁ ; ▁and ▁now ▁he ▁came ▁to ▁The ▁Bar ▁every ▁single ▁night , ▁and ▁did ▁his ▁searching ▁there .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP VERB ADV ADP DET NOUN NOUN ADP ADP VERB VERB ADP ADP VERB ADP DET NOUN ADP VERB VERB DET ADJ NOUN PUNCT PUNCT CCONJ ADV PRON VERB ADP DET PROPN DET ADJ NOUN NOUN CCONJ VERB ADJ VERB ADV ADV
Well that walked all over him!	0 0 1 1 1 0	walk all over	figurative	inflection	INTJ DET VERB ADV ADP PRON	▁Well ▁that ▁walked ▁all ▁over ▁him !	0 0 1 1 1 0 0	INTJ DET VERB ADV ADP PRON PRON
usually look forward to half term to my feet to recover because the children walk all over me.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	walk all over	figurative	identical	ADV VERB ADV ADP ADJ NOUN ADP ADJ NOUN PART VERB ADP DET NOUN VERB ADV ADP PRON	▁usually ▁look ▁forward ▁to ▁half ▁term ▁to ▁my ▁feet ▁to ▁recover ▁because ▁the ▁children ▁walk ▁all ▁over ▁me .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	ADV VERB ADV ADP ADJ NOUN ADP ADJ NOUN PART VERB ADP DET NOUN VERB ADV ADP PRON PRON
