But the military has recently extended its brief to make all trade union leaders ‘ fair game’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	dashes	CCONJ DET NOUN VERB ADV VERB ADJ NOUN PART VERB DET NOUN NOUN NOUN PART ADJ NOUN
‘ Ankle Blues’ is musically perfect and lyrically revolting, assuming that all white people are fair game and that they all love John Lennon — the ultimate insult.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	PUNCT PROPN PROPN VERB ADV ADJ CCONJ ADV VERB VERB ADP DET ADJ NOUN VERB ADJ NOUN CCONJ ADP PRON DET VERB PROPN PROPN PUNCT DET ADJ NOUN
One would have thought that the principle of people living in glass houses not throwing stones would have warned Ivan off a career as a journalist, gossip, and so - called satirist, but it did not seem to occur to him that he was asking for trouble of a kind that she knew would cause him the most intimate anguish : but in fact, so appalling were Ivan's features and physique that comment on them was rare, even his worst enemies ( and he had hundreds ) not considering them fair game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	identical	PRON VERB VERB VERB ADP DET NOUN ADP NOUN VERB ADP NOUN NOUN ADV VERB NOUN VERB VERB VERB PROPN ADP DET NOUN ADP DET NOUN NOUN CCONJ ADV PUNCT VERB NOUN CCONJ PRON VERB ADV VERB PART VERB ADP PRON ADP PRON VERB VERB ADP NOUN ADP DET NOUN ADJ PRON VERB VERB VERB PRON DET ADV ADJ NOUN PUNCT CCONJ ADP NOUN ADV ADJ VERB PROPN NOUN CCONJ VERB DET NOUN ADP PRON VERB ADJ ADV ADJ ADJ NOUN PUNCT CCONJ PRON VERB NOUN PUNCT ADV VERB PRON ADJ NOUN
Because nearly everyone pays taxes but not everyone claims welfare, there is a feeling that tax evasion is fair game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	identical	ADP ADV NOUN VERB NOUN CCONJ ADV NOUN VERB NOUN ADV VERB DET NOUN ADP NOUN NOUN VERB ADJ NOUN
Now, it is well known in this country that sex and race discrimination are unlawful ( in Northern Ireland religious discrimination ) but that anything else is fair game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	identical	ADV PRON VERB ADV VERB ADP DET NOUN ADP NOUN CCONJ NOUN NOUN VERB ADJ PUNCT ADP PROPN PROPN ADJ NOUN PUNCT CCONJ ADP NOUN ADV VERB ADJ NOUN
So far too as creditors were concerned, the daughter would be fair game until she had obtained a formal release from liability.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	ADV ADV ADV ADP NOUN VERB VERB DET NOUN VERB VERB ADJ NOUN ADP PRON VERB VERB DET ADJ NOUN ADP NOUN
Your Valium and Benson & Hedges will be fair game, as will your weekly consumption of vodka.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	fair game	figurative	identical	ADJ NOUN CCONJ PROPN CCONJ PROPN VERB VERB ADJ NOUN ADP VERB ADJ ADJ NOUN ADP NOUN
Meanwhile the latter were looked upon by most Russian settlers as fair game to be preyed upon in a variety of ways.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	ADV DET ADJ VERB VERB ADP ADP ADJ ADJ NOUN ADP ADJ NOUN PART VERB VERB ADP ADP DET NOUN ADP NOUN
So far as he was concerned, she was fair game ; that accounted for his behaviour in her bedroom, the scene in the hired car last night.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	ADV ADV ADP PRON VERB VERB PRON VERB ADJ NOUN PUNCT ADJ VERB ADP ADJ NOUN ADP ADJ NOUN DET NOUN ADP DET VERB NOUN ADJ NOUN
He was trying to pick her up, of course, but any Wren new to the flotilla must expect to be fair game, she acknowledged, especially in a base so isolated, where women were outnumbered by fifty to one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	PRON VERB VERB PART VERB PRON PART ADP NOUN CCONJ DET PROPN ADJ ADP DET NOUN VERB VERB PART VERB ADJ NOUN PRON VERB ADV ADP DET NOUN ADV ADJ ADV NOUN VERB VERB ADP NUM ADP NUM
Having transgressed these invisible, but powerful, boundaries, the Teds were fair game for anything that could be thrown at them.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	fair game	figurative	identical	VERB VERB DET ADJ CCONJ ADJ NOUN DET PROPN VERB ADJ NOUN ADP NOUN ADJ VERB VERB VERB ADP PRON
The helicopter gunship killings in Iraq, the corruption of former Tunisian President Zine ~ el - Abidine ~ Ben ~ Ali ’s family, and the paucity of progress in Afghanistan are, by this standard, fair game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	identical	DET NOUN NOUN NOUN ADP PROPN DET NOUN ADP ADJ ADJ PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PART NOUN CCONJ DET NOUN ADP NOUN ADP PROPN VERB ADP DET ADJ ADJ NOUN
Or, as the prosecuting counsel said ‘ It is not the law … that if a girl crosses the threshold of the barracks she is fair game’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	dashes	CCONJ ADP DET VERB NOUN VERB PUNCT PRON VERB ADV DET NOUN PUNCT ADP ADP DET NOUN VERB DET NOUN ADP DET NOUN PRON VERB ADJ NOUN
Fuchsias are fair game to the grub ; ‘ Doreen Redfern’ needs defending	0 0 1 1 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	NOUN VERB ADJ NOUN ADP DET NOUN PUNCT PUNCT PROPN PROPN VERB VERB
Tell him that you have decided to wage unrestricted war ; that, from this moment on, he is fair game ; that you may attack him without warning at any time ; that he will be at risk whenever he is in or near the school or club where the bullying takes place.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	VERB PRON ADP PRON VERB VERB PART VERB ADJ NOUN PUNCT ADP ADP DET NOUN ADP PRON VERB ADJ NOUN PUNCT ADP PRON VERB VERB PRON ADP VERB ADP DET NOUN PUNCT ADP PRON VERB VERB ADP NOUN ADV PRON VERB ADP CCONJ ADP DET NOUN CCONJ NOUN ADV DET NOUN VERB NOUN
Not a cheery little forecast you 'll agree — but remember you don't have to stay in the jungle to be fair game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	identical	ADV DET ADJ ADJ NOUN PRON VERB VERB PUNCT CCONJ VERB PRON VERB VERB PART VERB ADP DET NOUN PART VERB ADJ NOUN
Unlike the Koran, however, the Bible has long been fair game for spirited literary re - readings.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	fair game	figurative	identical	ADP DET PROPN ADV DET PROPN VERB ADV VERB ADJ NOUN ADP ADJ ADJ NOUN PUNCT NOUN
So if in any way you 're different, if you 're black or if you 're short or if in any way you 're different, you 're fair game for the bullies perhaps?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	fair game	figurative	identical	CCONJ ADP ADP DET NOUN PRON VERB ADJ ADP PRON VERB ADJ CCONJ ADP PRON VERB ADJ CCONJ ADP ADP DET NOUN PRON VERB ADJ PRON VERB ADJ NOUN ADP DET NOUN ADV
It's a computer driven sound, shamelessly appropriating reggae, house, rap, African sounds, dub — you name it, it's fair game for these cyberpunk magpies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	fair game	figurative	identical	PRON DET NOUN VERB NOUN ADV NOUN NOUN NOUN NOUN ADJ NOUN NOUN PUNCT PRON VERB PRON PRON ADJ NOUN ADP DET NOUN NOUN
In addition, however, whole classes of people are what the sociologist Carol Brooks Gardner calls ‘ open persons’, fair game for comments from anyone, anytime.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	fair game	figurative	identical	ADP NOUN ADV ADJ NOUN ADP NOUN VERB NOUN DET NOUN PROPN PROPN PROPN VERB DET ADJ NOUN ADJ NOUN ADP NOUN ADP NOUN ADV
A purist could argue that it was class and function that set these store owners up for assault, but on the streets, in the full fury of those 48 hours, stretching from the mid - afternoon Wednesday verdict in Simi Valley, any Korean would have been fair game.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	identical	DET NOUN VERB VERB ADP PRON VERB NOUN CCONJ NOUN ADJ VERB DET NOUN NOUN PART ADP NOUN CCONJ ADP DET NOUN ADP DET ADJ NOUN ADP DET NUM NOUN VERB ADP DET ADJ PUNCT NOUN PROPN NOUN ADP PROPN PROPN DET PROPN VERB VERB VERB ADJ NOUN
Compared to sex offences on children, which cause universal shock and horror to policemen, in the masculine occupational culture of the station women are sex objects and, in other circumstances, would be considered ‘ fair game’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	fair game	figurative	dashes	VERB ADP NOUN NOUN ADP NOUN ADJ VERB ADJ NOUN CCONJ NOUN ADP NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN NOUN VERB NOUN NOUN CCONJ ADP ADJ NOUN VERB VERB VERB PUNCT ADJ NOUN
On the street, however, people are fair game.	0 0 0 0 0 0 1 1	fair game	figurative	identical	ADP DET NOUN ADV NOUN VERB ADJ NOUN
Any effect that a change in a gene has on its own replication probability is fair game for natural selection.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	fair game	figurative	identical	DET NOUN ADP DET NOUN ADP DET NOUN VERB ADP ADJ ADJ NOUN NOUN VERB ADJ NOUN ADP ADJ NOUN
Two cyclists seemed fair game to these pissed idiots so we took off for the hills, only a small range but, we were to discover, quite beautiful.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fair game	figurative	identical	NUM NOUN VERB ADJ NOUN ADP DET ADJ NOUN ADP PRON VERB PART ADP DET NOUN ADV DET ADJ NOUN CCONJ PRON VERB PART VERB ADV ADJ
