She is a fairly rare bird.	0 0 0 0 1 1	rare bird	figurative	identical	PRON VERB DET ADV ADJ NOUN
Villains snatched the rare bird when they entered Cockerton Aquatics in Darlington, using a spare key taken from a car two weeks earlier.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	identical	NOUN VERB DET ADJ NOUN ADV PRON VERB PROPN PROPN ADP PROPN VERB DET ADJ NOUN VERB ADP DET NOUN NUM NOUN ADV
As the Gypsey Race meanders through the estate it encourages and supports much wildlife and some quite rare birds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rare bird	literal	inflection	ADP DET PROPN PROPN VERB ADP DET NOUN PRON VERB CCONJ VERB ADJ NOUN CCONJ DET ADV ADJ NOUN
Renee Henry was a ‘ rare bird’, according to her surgeon.	0 0 0 0 0 1 1 0 0 0 0	rare bird	figurative	dashes	PROPN PROPN VERB DET PUNCT ADJ NOUN VERB ADP ADJ NOUN
Still to come : Britain's rare birds have their best breeding season for years, plus a look at the day's financial and sports news.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rare bird	literal	inflection	ADV PART VERB PUNCT PROPN ADJ NOUN VERB ADJ ADJ NOUN NOUN ADP NOUN CCONJ DET NOUN ADP DET NOUN ADJ CCONJ NOUN NOUN
At present an owl who can not fly and a rare river bird are enjoying four - star treatment at the surgery.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	rare bird	literal	insertion-other	ADP NOUN DET NOUN NOUN VERB ADV VERB CCONJ DET ADJ NOUN NOUN VERB VERB NUM PUNCT NOUN NOUN ADP DET NOUN
The Red Kite is one of the rare bird species protected in rural Wales	0 0 0 0 0 0 0 1 1 0 0 0 0 0	rare bird	literal	identical	DET PROPN PROPN VERB NUM ADP DET ADJ NOUN NOUN VERB ADP ADJ PROPN
Get tips on identification, good birdwatching areas and equipment and be guided on a walk around the reserve which is home to such rare birds as bitterns, marsh harriers and bearded tits.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	rare bird	literal	inflection	VERB NOUN ADP NOUN ADJ NOUN NOUN CCONJ NOUN CCONJ VERB VERB ADP DET NOUN ADP DET NOUN ADJ VERB NOUN ADP ADJ ADJ NOUN ADP NOUN ADJ NOUN CCONJ ADJ NOUN
Widespread killing of rare British birds outlined	0 0 0 1 0 1 0	rare bird	literal	combined-inflection	ADJ NOUN ADP ADJ ADJ NOUN VERB
Stud land Heath is one of the few localities where this rare and elusive bird builds its nest — in heather or gorse.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	rare bird	literal	insertion-other	VERB NOUN PROPN VERB NUM ADP DET ADJ NOUN ADV DET ADJ CCONJ ADJ NOUN VERB ADJ NOUN PUNCT ADP NOUN CCONJ VERB
Already, Community funds have led to some of Europe's best wildlife habitats — for example, Lake Prespa in Greece, home to wolf, bears, otter and rare birds such as the Dalmatian pelican and pygmy cormorant.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	rare bird	literal	inflection	ADV NOUN NOUN VERB VERB ADP DET ADP PROPN ADJ NOUN NOUN PUNCT ADP NOUN PROPN PROPN ADP PROPN ADV ADP NOUN NOUN NOUN CCONJ ADJ NOUN ADJ ADP DET ADJ NOUN CCONJ VERB ADJ
