Money talks	1 1	money talks	figurative	case	NOUN NOUN	▁Money ▁talks	1 1	NOUN NOUN
Money talks, and it is corrupting politics and markets all over the world.	1 1 0 0 0 0 0 0 0 0 0 0 0	money talks	figurative	case	NOUN NOUN CCONJ PRON VERB VERB NOUN CCONJ NOUN ADV ADP DET NOUN	▁Money ▁talks , ▁and ▁it ▁is ▁corrupt ing ▁politics ▁and ▁markets ▁all ▁over ▁the ▁world .	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN CCONJ PRON VERB VERB VERB NOUN CCONJ NOUN ADV ADP DET NOUN NOUN
But usually money talks in football, no matter what the club, and if United do raise their bid, Wednesday — despite their protestations — may find it hard to resist.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	money talks	figurative	identical	CCONJ ADV NOUN NOUN ADP NOUN ADV ADV NOUN DET NOUN CCONJ ADP PROPN VERB VERB ADJ NOUN PROPN PUNCT ADP ADJ NOUN PUNCT VERB VERB PRON ADJ PART VERB	▁But ▁usually ▁money ▁talks ▁in ▁f ootball , ▁no ▁matter ▁what ▁the ▁club , ▁and ▁if ▁United ▁do ▁raise ▁their ▁bid , ▁Wednesday ▁ — ▁despite ▁their ▁protest ations ▁ — ▁may ▁find ▁it ▁hard ▁to ▁resist .	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV NOUN NOUN ADP NOUN NOUN NOUN ADV ADV NOUN DET NOUN NOUN CCONJ ADP PROPN VERB VERB ADJ NOUN NOUN PROPN PUNCT PUNCT ADP ADJ NOUN NOUN PUNCT PUNCT VERB VERB PRON ADJ PART VERB VERB
Money talks. '	1 1 0	money talks	figurative	case	NOUN NOUN PUNCT	▁Money ▁talks . ▁'	1 1 1 0	NOUN NOUN NOUN PUNCT
At Geneva airport, there is an advertising hoarding welcoming travellers ‘ to a city where money talks but wealth whispers’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	money talks	figurative	identical	ADP PROPN NOUN ADV VERB DET NOUN VERB VERB NOUN PART ADP DET NOUN ADV NOUN NOUN CCONJ NOUN NOUN	▁At ▁Geneva ▁airport , ▁there ▁is ▁an ▁advertising ▁ho ard ing ▁welcoming ▁travellers ▁ ‘ ▁to ▁a ▁city ▁where ▁money ▁talks ▁but ▁wealth ▁whi s pers ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	ADP PROPN NOUN NOUN ADV VERB DET NOUN VERB VERB VERB VERB NOUN PART PART ADP DET NOUN ADV NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN NOUN
Money talks, is exactly what we warned about.	1 1 0 0 0 0 0 0	money talks	figurative	case	NOUN NOUN VERB ADV NOUN PRON VERB ADP	▁Money ▁talks , ▁is ▁exactly ▁what ▁we ▁warned ▁about .	1 1 1 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB ADV NOUN PRON VERB ADP ADP
Money - talks	1 0 1	money talks	figurative	combined-other	NOUN PUNCT NOUN	▁Money ▁- ▁talks	1 0 1	NOUN PUNCT NOUN
Money talks	1 1	money talks	figurative	case	NOUN NOUN	▁Money ▁talks	1 1	NOUN NOUN
Subject : Loyalty is one thing but money talks	0 0 0 0 0 0 0 1 1	money talks	figurative	identical	NOUN PUNCT NOUN VERB NUM NOUN CCONJ NOUN NOUN	▁Subject ▁ : ▁Lo ya lty ▁is ▁one ▁thing ▁but ▁money ▁talks	0 0 0 0 0 0 0 0 0 0 1 1	NOUN PUNCT PUNCT NOUN NOUN NOUN VERB NUM NOUN CCONJ NOUN NOUN
MONEY TALKS ENGLAND star Stuart Pearce thinks he's worth more at Forest — but his manager Brian Clough refuses to pay up	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	money talks	figurative	case	PROPN VERB PROPN NOUN PROPN PROPN VERB PRON ADJ ADJ ADP PROPN PUNCT CCONJ ADJ NOUN PROPN PROPN VERB PART VERB PART	▁MON EY ▁T AL KS ▁EN G LAND ▁star ▁S tu art ▁Pear ce ▁thinks ▁he ' s ▁worth ▁more ▁at ▁Forest ▁ — ▁but ▁his ▁manager ▁Brian ▁C lough ▁refuses ▁to ▁pay ▁up	1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB VERB PROPN PROPN PROPN NOUN PROPN PROPN PROPN PROPN PROPN VERB PRON PRON PRON ADJ ADJ ADP PROPN PUNCT PUNCT CCONJ ADJ NOUN PROPN PROPN PROPN VERB PART VERB PART
Money talks all right, she thought.	1 1 0 0 0 0	money talks	figurative	case	NOUN VERB ADV ADV PRON VERB	▁Money ▁talks ▁all ▁right , ▁she ▁thought .	1 1 0 0 0 0 0 0	NOUN VERB ADV ADV ADV PRON VERB VERB
