I 'm trying to kick the habit.’	0 0 0 0 1 0 1	kick the habit	figurative	dashes	PRON VERB VERB PART VERB DET NOUN	▁I ▁' m ▁trying ▁to ▁kick ▁the ▁habit . ’	0 0 0 0 0 1 0 1 1 1	PRON VERB VERB VERB PART VERB DET NOUN NOUN NOUN
George V had found Lloyd George's scattering of honours ‘ disagreeable and distasteful’, according to his private secretary, Lord Stamfordham, and while no subsequent prime minister has abused the system to anything like the same degree, they can not kick the habit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	PROPN PROPN VERB VERB PROPN PROPN NOUN ADP NOUN PART ADJ CCONJ NOUN VERB ADP ADJ ADJ NOUN PROPN PROPN CCONJ ADP DET ADJ ADJ NOUN VERB VERB DET NOUN ADP NOUN ADP DET ADJ NOUN PRON VERB ADV VERB DET NOUN	▁George ▁V ▁had ▁found ▁Lloyd ▁George ' s ▁scatter ing ▁of ▁honour s ▁ ‘ ▁disagree able ▁and ▁dis tas te ful ’ , ▁according ▁to ▁his ▁private ▁secretary , ▁Lord ▁Sta m ford ham , ▁and ▁while ▁no ▁subsequent ▁prime ▁minister ▁has ▁abused ▁the ▁system ▁to ▁anything ▁like ▁the ▁same ▁degree , ▁they ▁can ▁not ▁kick ▁the ▁habit .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN VERB VERB PROPN PROPN PROPN PROPN NOUN NOUN ADP NOUN NOUN PART PART ADJ ADJ CCONJ NOUN NOUN NOUN NOUN NOUN NOUN VERB ADP ADJ ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADP DET ADJ ADJ NOUN VERB VERB DET NOUN ADP NOUN ADP DET ADJ NOUN NOUN PRON VERB ADV VERB DET NOUN NOUN
Sobered by recession, Americans are kicking the plastic - debt habit.	0 0 0 0 0 1 0 0 0 0 1	kick the habit	figurative	combined-inflection	VERB ADP NOUN PROPN VERB VERB DET NOUN PUNCT NOUN NOUN	▁So ber ed ▁by ▁recession , ▁Americans ▁are ▁kick ing ▁the ▁plastic ▁- ▁debt ▁habit .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1	VERB VERB VERB ADP NOUN NOUN PROPN VERB VERB VERB DET NOUN PUNCT NOUN NOUN NOUN
Men are kicking the habit … but women aren't … lung cancer has overtaken breast cancer as killer.but despite the statistics people continue to smoke.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	inflection	NOUN VERB VERB DET NOUN PUNCT CCONJ NOUN VERB PUNCT NOUN NOUN VERB VERB NOUN NOUN ADP NOUN ADP DET NOUN NOUN VERB PART VERB	▁Men ▁are ▁kick ing ▁the ▁habit ▁... ▁but ▁women ▁are n ' t ▁... ▁lung ▁cancer ▁has ▁over taken ▁breast ▁cancer ▁as ▁kill er . but ▁despite ▁the ▁statistics ▁people ▁continue ▁to ▁smoke .	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB VERB DET NOUN PUNCT CCONJ NOUN VERB VERB VERB VERB PUNCT NOUN NOUN VERB VERB VERB NOUN NOUN ADP NOUN NOUN NOUN NOUN ADP DET NOUN NOUN VERB PART VERB VERB
Research has shown that each year, only one smoker in 100 is able to kick the habit without some kind of help.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	kick the habit	figurative	identical	NOUN VERB VERB ADP DET NOUN ADV NUM NOUN ADP NUM VERB ADJ PART VERB DET NOUN ADP DET NOUN ADP NOUN	▁Research ▁has ▁shown ▁that ▁each ▁year , ▁only ▁one ▁smoke r ▁in ▁100 ▁is ▁able ▁to ▁kick ▁the ▁habit ▁without ▁some ▁kind ▁of ▁help .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	NOUN VERB VERB ADP DET NOUN NOUN ADV NUM NOUN NOUN ADP NUM VERB ADJ PART VERB DET NOUN ADP DET NOUN ADP NOUN NOUN
He had been the one to persuade her brother, an alcoholic and addict, to flee New Orleans for the sobriety of the Midwest, where he kicked his bad habit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	kick the habit	figurative	combined-inflection	PRON VERB VERB DET NOUN PART VERB ADJ NOUN DET NOUN CCONJ NOUN PART VERB PROPN PROPN ADP DET NOUN ADP DET PROPN ADV PRON VERB ADJ ADJ NOUN	▁He ▁had ▁been ▁the ▁one ▁to ▁persuade ▁her ▁brother , ▁an ▁a lcoholic ▁and ▁addict , ▁to ▁flee ▁New ▁Or le ans ▁for ▁the ▁so br iety ▁of ▁the ▁Mid west , ▁where ▁he ▁kick ed ▁his ▁bad ▁habit .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1	PRON VERB VERB DET NOUN PART VERB ADJ NOUN NOUN DET NOUN NOUN CCONJ NOUN NOUN PART VERB PROPN PROPN PROPN PROPN ADP DET NOUN NOUN NOUN ADP DET PROPN PROPN PROPN ADV PRON VERB VERB ADJ ADJ NOUN NOUN
At one time a business proposition came up and, thinking it would help him kick his habit, I agreed to a joint overdraft.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	kick the habit	figurative	determiner-broad	ADP NUM NOUN DET NOUN NOUN VERB PART CCONJ VERB PRON VERB VERB PRON VERB ADJ NOUN PRON VERB ADP DET ADJ NOUN	▁At ▁one ▁time ▁a ▁business ▁proposition ▁came ▁up ▁and , ▁thinking ▁it ▁would ▁help ▁him ▁kick ▁his ▁habit , ▁I ▁agreed ▁to ▁a ▁joint ▁over draft .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	ADP NUM NOUN DET NOUN NOUN VERB PART CCONJ CCONJ VERB PRON VERB VERB PRON VERB ADJ NOUN NOUN PRON VERB ADP DET ADJ NOUN NOUN NOUN
But Liza ( with a ' Z ' ) kicked the bad habits today her only addictions are cigarettes and caffeine and gets back into the old song - and - dance routine for Stepping Out, released on CIC Video on March 20.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	combined-inflection	CCONJ PROPN PUNCT ADP DET PUNCT NOUN PUNCT PUNCT VERB DET ADJ NOUN NOUN ADJ ADJ NOUN VERB NOUN CCONJ NOUN CCONJ VERB ADV ADP DET ADJ NOUN PUNCT CCONJ PUNCT NOUN NOUN ADP VERB PART VERB ADP PROPN PROPN ADP PROPN NUM	▁But ▁L iza ▁( ▁with ▁a ▁' ▁Z ▁' ▁ ) ▁kick ed ▁the ▁bad ▁habits ▁today ▁her ▁only ▁addiction s ▁are ▁cigarettes ▁and ▁caffeine ▁and ▁get s ▁back ▁into ▁the ▁old ▁so ng ▁- ▁and ▁- ▁dance ▁routine ▁for ▁Step ping ▁Out , ▁released ▁on ▁C IC ▁Video ▁on ▁March ▁20 .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN PROPN PUNCT ADP DET PUNCT NOUN PUNCT PUNCT PUNCT VERB VERB DET ADJ NOUN NOUN ADJ ADJ NOUN NOUN VERB NOUN CCONJ NOUN CCONJ VERB VERB ADV ADP DET ADJ NOUN NOUN PUNCT CCONJ PUNCT NOUN NOUN ADP VERB VERB PART PART VERB ADP PROPN PROPN PROPN ADP PROPN NUM NUM
Former chest physician Dr Howard Williams and Jayne Devonald, the ‘ smoking’ health promotion adviser, will be on hand from 11 am to 3 pm at the Healthy Colchester Information Shop in Trinity Street to give help to anyone wanting to kick the habit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	ADJ NOUN NOUN PROPN PROPN PROPN CCONJ PROPN PROPN DET PUNCT NOUN NOUN NOUN NOUN VERB VERB ADP NOUN ADP NUM VERB ADP NUM NOUN ADP DET PROPN PROPN PROPN PROPN ADP PROPN PROPN PART VERB NOUN ADP NOUN VERB PART VERB DET NOUN	▁Former ▁chest ▁physician ▁Dr ▁How ard ▁William s ▁and ▁Ja y ne ▁De vo nal d , ▁the ▁ ‘ ▁smoking ’ ▁health ▁promotion ▁adviser , ▁will ▁be ▁on ▁hand ▁from ▁11 ▁am ▁to ▁3 ▁p m ▁at ▁the ▁Health y ▁Col ches ter ▁Information ▁S hop ▁in ▁Tri nity ▁Street ▁to ▁give ▁help ▁to ▁anyone ▁wanting ▁to ▁kick ▁the ▁habit .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET PUNCT PUNCT NOUN NOUN NOUN NOUN NOUN NOUN VERB VERB ADP NOUN ADP NUM VERB ADP NUM NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PART VERB NOUN ADP NOUN VERB PART VERB DET NOUN NOUN
PROPER planning is the key to success for the thousands of smokers hoping to kick the habit in the New Year, according to an expert.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	kick the habit	figurative	identical	ADJ NOUN VERB DET NOUN ADP NOUN ADP DET NOUN ADP NOUN VERB PART VERB DET NOUN ADP DET PROPN PROPN VERB ADP DET NOUN	▁PRO PER ▁planning ▁is ▁the ▁key ▁to ▁success ▁for ▁the ▁thousands ▁of ▁smokers ▁hoping ▁to ▁kick ▁the ▁habit ▁in ▁the ▁New ▁Year , ▁according ▁to ▁an ▁expert .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN VERB DET NOUN ADP NOUN ADP DET NOUN ADP NOUN VERB PART VERB DET NOUN ADP DET PROPN PROPN PROPN VERB ADP DET NOUN NOUN
They must also offer confidentiality and staff need to be nonjudgmental and ready to offer help, whether or not the individual is ready to ‘ kick the habit’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	dashes	PRON VERB ADV VERB NOUN CCONJ NOUN VERB PART VERB ADJ CCONJ ADJ PART VERB NOUN ADP CCONJ ADV DET NOUN VERB ADJ PART PUNCT VERB DET NOUN	▁They ▁must ▁also ▁offer ▁confidentiality ▁and ▁staff ▁need ▁to ▁be ▁non judgment al ▁and ▁ready ▁to ▁offer ▁help , ▁whether ▁or ▁not ▁the ▁individual ▁is ▁ready ▁to ▁ ‘ ▁kick ▁the ▁habit ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB ADV VERB NOUN CCONJ NOUN VERB PART VERB ADJ ADJ ADJ CCONJ ADJ PART VERB NOUN NOUN ADP CCONJ ADV DET NOUN VERB ADJ PART PUNCT PUNCT VERB DET NOUN NOUN NOUN
