‘ He's done us proud, as well,’ says Granville.	0 0 1 1 1 0 0 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB PRON ADJ ADP PRON VERB PROPN	▁ ‘ ▁He ' s ▁done ▁us ▁proud , ▁as ▁well , ’ ▁says ▁Gran ville .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON PRON PRON VERB PRON ADJ ADJ ADP PRON PRON PRON VERB PROPN PROPN PROPN
He hoped the rest of the lads would do him proud.	0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	objective	PRON VERB DET NOUN ADP DET NOUN VERB VERB PRON ADJ	▁He ▁hoped ▁the ▁rest ▁of ▁the ▁la ds ▁would ▁do ▁him ▁proud .	0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB DET NOUN ADP DET NOUN NOUN VERB VERB PRON ADJ ADJ
THE Coleraine club and local competitors again did us proud at the European Championship meeting at Kirkistown.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	DET PROPN NOUN CCONJ ADJ NOUN ADV VERB PRON ADJ ADP DET PROPN PROPN NOUN ADP PROPN	▁THE ▁Col era ine ▁club ▁and ▁local ▁competitors ▁again ▁did ▁us ▁proud ▁at ▁the ▁European ▁Cham p ion ship ▁meeting ▁at ▁Kirk ist own .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN NOUN CCONJ ADJ NOUN ADV VERB PRON ADJ ADP DET PROPN PROPN PROPN PROPN PROPN NOUN ADP PROPN PROPN PROPN PROPN
Glad to say the AEA crowd did themselves proud joining in with lots of gusto.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	ADJ PART VERB DET PROPN NOUN VERB PRON ADJ VERB PART ADP NOUN ADP NOUN	▁G lad ▁to ▁say ▁the ▁A EA ▁crowd ▁did ▁themselves ▁proud ▁joining ▁in ▁with ▁lots ▁of ▁gu s to .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	ADJ ADJ PART VERB DET PROPN PROPN NOUN VERB PRON ADJ VERB PART ADP NOUN ADP NOUN NOUN NOUN NOUN
The Hereford fans must have thought, but United did em proud with a second from Marcus Browning.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	DET PROPN NOUN VERB VERB VERB CCONJ PROPN VERB PRON ADJ ADP DET NOUN ADP PROPN PROPN	▁The ▁Here ford ▁fans ▁must ▁have ▁thought , ▁but ▁United ▁did ▁em ▁proud ▁with ▁a ▁second ▁from ▁Marc us ▁Brown ing .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	DET PROPN PROPN NOUN VERB VERB VERB VERB CCONJ PROPN VERB PRON ADJ ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN
Geoffrey, my brother, did him proud at the funeral and the young rabbi in Hull was moving and personal in his eulogy.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	PROPN ADJ NOUN VERB PRON ADJ ADP DET NOUN CCONJ DET ADJ NOUN ADP PROPN VERB VERB CCONJ ADJ ADP ADJ NOUN	▁Geo ffre y , ▁my ▁brother , ▁did ▁him ▁proud ▁at ▁the ▁funeral ▁and ▁the ▁young ▁ rab bi ▁in ▁H ull ▁was ▁moving ▁and ▁personal ▁in ▁his ▁eu logy .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN ADJ NOUN NOUN VERB PRON ADJ ADP DET NOUN CCONJ DET ADJ NOUN NOUN NOUN ADP PROPN PROPN VERB VERB CCONJ ADJ ADP ADJ NOUN NOUN NOUN
‘ Watts is really only sixth in the pecking order up front, but suddenly he found himself playing the biggest game of his life and he did himself proud.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	do someone proud	figurative	combined-inflection	PUNCT PROPN VERB ADV ADV ADJ ADP DET VERB NOUN ADP ADV CCONJ ADV PRON VERB PRON VERB DET ADJ NOUN ADP ADJ NOUN CCONJ PRON VERB PRON NOUN	▁ ‘ ▁Watts ▁is ▁really ▁only ▁sixth ▁in ▁the ▁p eck ing ▁order ▁up ▁front , ▁but ▁suddenly ▁he ▁found ▁himself ▁playing ▁the ▁biggest ▁game ▁of ▁his ▁life ▁and ▁he ▁did ▁himself ▁proud . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	PUNCT PUNCT PROPN VERB ADV ADV ADJ ADP DET VERB VERB VERB NOUN ADP ADV ADV CCONJ ADV PRON VERB PRON VERB DET ADJ NOUN ADP ADJ NOUN CCONJ PRON VERB PRON NOUN NOUN NOUN
‘ You 've done me proud again, Seb.	0 0 0 1 1 1 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB VERB PRON ADJ ADV VERB	▁ ‘ ▁You ▁' ve ▁done ▁me ▁proud ▁again , ▁Se b .	0 0 0 0 0 1 1 1 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB PRON ADJ ADV ADV VERB VERB VERB
‘ She's done him proud,’ said Mrs Flaherty, ‘ I 'll say that for her.’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB PRON VERB VERB PROPN PROPN PUNCT PRON VERB VERB ADP ADP NOUN	▁ ‘ ▁She ' s ▁done ▁him ▁proud , ’ ▁said ▁Mrs ▁F la her ty , ▁ ‘ ▁I ▁' ll ▁say ▁that ▁for ▁her . ’	0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON PRON PRON VERB PRON VERB VERB VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT PRON VERB VERB VERB ADP ADP NOUN NOUN NOUN
SCOTLAND will bid to lift their third Triple Crown in nine years when they travel to Twickenham on Saturday week with the same line - up which did them proud in the 20 - 0 victory over Wales.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	PROPN VERB VERB PART VERB ADJ ADJ ADJ PROPN ADP NUM NOUN ADV PRON VERB ADP PROPN ADP PROPN NOUN ADP DET ADJ NOUN PUNCT NOUN ADJ VERB PRON ADJ ADP DET NUM SYM NUM NOUN ADP PROPN	▁SC OT LAND ▁will ▁bid ▁to ▁lift ▁their ▁third ▁Tri ple ▁Crown ▁in ▁nine ▁years ▁when ▁they ▁travel ▁to ▁T wick en ham ▁on ▁Saturday ▁week ▁with ▁the ▁same ▁line ▁- ▁up ▁which ▁did ▁them ▁proud ▁in ▁the ▁20 ▁- ▁0 ▁victory ▁over ▁Wales .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB PART VERB ADJ ADJ ADJ ADJ PROPN ADP NUM NOUN ADV PRON VERB ADP PROPN PROPN PROPN PROPN ADP PROPN NOUN ADP DET ADJ NOUN PUNCT NOUN ADJ VERB PRON ADJ ADP DET NUM SYM NUM NOUN ADP PROPN PROPN
‘ He done us proud, the old gentleman.	0 0 1 1 1 0 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB PRON ADJ DET ADJ NOUN	▁ ‘ ▁He ▁done ▁us ▁proud , ▁the ▁old ▁gentleman .	0 0 0 1 1 1 1 0 0 0 0	PUNCT PUNCT PRON VERB PRON ADJ ADJ DET ADJ NOUN NOUN
