Good riddance to her. '	1 1 0 0 0	good riddance	figurative	case	ADJ NOUN ADP PRON PUNCT	▁Good ▁rid d ance ▁to ▁her . ▁'	1 1 1 1 0 0 0 0	ADJ NOUN NOUN NOUN ADP PRON PRON PUNCT
Yeah, it's good riddance probably.	0 0 1 1 0	good riddance	figurative	identical	INTJ PRON ADJ NOUN ADV	▁Ye ah , ▁it ' s ▁good ▁rid d ance ▁probably .	0 0 0 0 0 0 1 1 1 1 0 0	INTJ INTJ INTJ PRON PRON PRON ADJ NOUN NOUN NOUN ADV ADV
Far too many still favour the shock tactics of getting those who are no longer deemed useful out of the door as fast as possible — and good riddance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	good riddance	figurative	identical	ADV ADV ADJ ADV VERB DET NOUN NOUN ADP VERB DET NOUN VERB ADV ADV VERB ADJ ADP ADP DET NOUN ADV ADV ADP ADJ PUNCT CCONJ ADJ NOUN	▁Far ▁too ▁many ▁still ▁favour ▁the ▁shock ▁tactic s ▁of ▁gett ing ▁those ▁who ▁are ▁no ▁longer ▁deemed ▁useful ▁out ▁of ▁the ▁door ▁as ▁fast ▁as ▁possible ▁ — ▁and ▁good ▁rid d ance .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV ADV ADJ ADV VERB DET NOUN NOUN NOUN ADP VERB VERB DET NOUN VERB ADV ADV VERB ADJ ADP ADP DET NOUN ADV ADV ADP ADJ PUNCT PUNCT CCONJ ADJ NOUN NOUN NOUN NOUN
But if this is what the club resorts to than good riddance to them.	0 0 0 0 0 0 0 0 0 0 1 1 0 0	good riddance	figurative	identical	CCONJ ADP DET VERB NOUN DET NOUN VERB ADP ADP ADJ NOUN ADP PRON	▁But ▁if ▁this ▁is ▁what ▁the ▁club ▁resort s ▁to ▁than ▁good ▁rid d ance ▁to ▁them .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	CCONJ ADP DET VERB NOUN DET NOUN VERB VERB ADP ADP ADJ NOUN NOUN NOUN ADP PRON PRON
‘ Take him and good riddance.	0 0 0 0 1 1	good riddance	figurative	identical	PUNCT VERB PRON CCONJ ADJ NOUN	▁ ‘ ▁Take ▁him ▁and ▁good ▁rid d ance .	0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT VERB PRON CCONJ ADJ NOUN NOUN NOUN NOUN
To - night you marry Manfro Draper and to - morrow you 'll be on your way and good riddance. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	good riddance	figurative	identical	ADP PUNCT NOUN PRON VERB PROPN PROPN CCONJ PART PUNCT VERB PRON VERB VERB ADP ADJ NOUN CCONJ ADJ NOUN PUNCT	▁To ▁- ▁night ▁you ▁mar ry ▁Man f ro ▁D rap er ▁and ▁to ▁- ▁ morrow ▁you ▁' ll ▁be ▁on ▁your ▁way ▁and ▁good ▁rid d ance . ▁"	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0	ADP PUNCT NOUN PRON VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PART PUNCT VERB VERB PRON VERB VERB VERB ADP ADJ NOUN CCONJ ADJ NOUN NOUN NOUN NOUN PUNCT
Good riddance, she thought, scowling fiercely at the water.	1 1 0 0 0 0 0 0 0	good riddance	figurative	case	ADJ NOUN PRON VERB VERB ADV ADP DET NOUN	▁Good ▁rid d ance , ▁she ▁thought , ▁sc owl ing ▁fierce ly ▁at ▁the ▁water .	1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN NOUN NOUN PRON VERB VERB VERB VERB VERB ADV ADV ADP DET NOUN NOUN
‘ Good day and good riddance to you too,’ he said angrily.	0 0 0 0 1 1 0 0 0 0 0 0	good riddance	figurative	identical	PUNCT ADJ NOUN CCONJ ADJ NOUN ADP PRON ADP PRON VERB ADV	▁ ‘ ▁Good ▁day ▁and ▁good ▁rid d ance ▁to ▁you ▁too , ’ ▁he ▁said ▁an gr ily .	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADJ NOUN CCONJ ADJ NOUN NOUN NOUN ADP PRON ADP ADP ADP PRON VERB ADV ADV ADV ADV
Mum looked pleadingly at him but not a word was said between any of us until he was opening the door to leave and Dad said, ‘ Bloody good riddance, an ' don't bang the door when you go, I 've only just mended it.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	PROPN VERB ADV ADP PRON CCONJ ADV DET NOUN VERB VERB ADP DET ADP PRON ADP PRON VERB VERB DET NOUN PART VERB CCONJ PROPN VERB PUNCT ADJ ADJ NOUN DET PUNCT VERB VERB DET NOUN ADV PRON VERB PRON VERB ADV ADV VERB NOUN	▁M um ▁looked ▁plead ing ly ▁at ▁him ▁but ▁not ▁a ▁word ▁was ▁said ▁between ▁any ▁of ▁us ▁until ▁he ▁was ▁opening ▁the ▁door ▁to ▁leave ▁and ▁Da d ▁said , ▁ ‘ ▁Blood y ▁good ▁rid d ance , ▁an ▁' ▁don ' t ▁ban g ▁the ▁door ▁when ▁you ▁go , ▁I ▁' ve ▁only ▁just ▁ mended ▁it . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB ADV ADV ADV ADP PRON CCONJ ADV DET NOUN VERB VERB ADP DET ADP PRON ADP PRON VERB VERB DET NOUN PART VERB CCONJ PROPN PROPN VERB VERB PUNCT PUNCT ADJ ADJ ADJ NOUN NOUN NOUN NOUN DET PUNCT VERB VERB VERB VERB VERB DET NOUN ADV PRON VERB VERB PRON VERB VERB ADV ADV VERB VERB NOUN NOUN NOUN
Goodbye and good riddance to the propaganda parade Television coverage of the election campaign has been so much oil on shallow water.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	ADJ CCONJ ADJ NOUN ADP DET NOUN NOUN NOUN NOUN ADP DET NOUN NOUN VERB VERB ADV ADJ NOUN ADP ADJ NOUN	▁Good by e ▁and ▁good ▁rid d ance ▁to ▁the ▁propaganda ▁para de ▁Television ▁coverage ▁of ▁the ▁election ▁campaign ▁has ▁been ▁so ▁much ▁oil ▁on ▁shall ow ▁water .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ CCONJ ADJ NOUN NOUN NOUN ADP DET NOUN NOUN NOUN NOUN NOUN ADP DET NOUN NOUN VERB VERB ADV ADJ NOUN ADP ADJ ADJ NOUN NOUN
‘ And good riddance!’	0 0 1 1	good riddance	figurative	dashes	PUNCT CCONJ ADJ ADV	▁ ‘ ▁And ▁good ▁rid d ance ! ’	0 0 0 1 1 1 1 1 1	PUNCT PUNCT CCONJ ADJ ADV ADV ADV ADV ADV
