She was about to say so, in no uncertain terms, but stopped herself at the last moment.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON VERB ADJ PART VERB ADV ADP DET ADJ NOUN CCONJ VERB PRON ADP DET ADJ NOUN
Scott denounced the lady candidate in no uncertain terms, and the ensuing battle, which would have delighted the subject of Scott's most famous portrayal, General Patton, ended only with the timely arrival of the police.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PROPN VERB DET NOUN NOUN ADP DET ADJ NOUN CCONJ DET VERB NOUN ADJ VERB VERB VERB DET NOUN ADP PROPN ADV ADJ NOUN PROPN PROPN VERB ADV ADP DET ADJ NOUN ADP DET NOUN
His presence was immediately broadcast in no uncertain terms to all and sundry by the DJ's who made exaggerated claims that they were being boarded by an unauthorised government vessel.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	ADJ NOUN VERB ADV VERB ADP DET ADJ NOUN ADP DET CCONJ ADJ ADP DET PROPN NOUN VERB ADJ NOUN ADP PRON VERB VERB VERB ADP DET ADJ NOUN NOUN
In fact, there was another group who were not happy and who expressed their unhappiness in no uncertain terms to me on my return.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	in no uncertain terms	figurative	identical	ADP NOUN ADV VERB DET NOUN NOUN VERB ADV ADJ CCONJ NOUN VERB ADJ NOUN ADP DET ADJ NOUN ADP PRON ADP ADJ NOUN
With the honourable exception of L'Equipe, who condemned the incident in no uncertain terms on its front page, the French press had an ambiguous, if not sympathetic, reaction.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	ADP DET ADJ NOUN ADP PROPN NOUN VERB DET NOUN ADP DET ADJ NOUN ADP ADJ ADJ NOUN DET ADJ NOUN VERB DET ADJ ADP ADV ADJ NOUN
Von Zwehl now dispatched his Chief of Staff to the Crown Prince to urge once again, and in no uncertain terms, that a full - scale attack be launched on the Left Bank.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PROPN PROPN ADV VERB ADJ PROPN ADP PROPN ADP DET PROPN PROPN PART VERB ADV ADV CCONJ ADP DET ADJ NOUN ADP DET ADJ PUNCT NOUN NOUN VERB VERB ADP DET PROPN PROPN
I 'm sorry, you know, the woman, I, er, I 've tried to tell her in no uncertain terms there	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	in no uncertain terms	figurative	identical	PRON VERB ADJ PRON VERB DET NOUN PRON INTJ PRON VERB VERB PART VERB PRON ADP DET ADJ NOUN ADV
One friend who was told of the contents of the letter reveals : ‘ He told her in no uncertain terms that she had to help maintain the dignity of the Crown and consider the repercussions of her actions to the Queen.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	NUM NOUN NOUN VERB VERB ADP DET NOUN ADP DET NOUN VERB PUNCT PUNCT PRON VERB PRON ADP DET ADJ NOUN ADP PRON VERB PART VERB VERB DET NOUN ADP DET PROPN CCONJ VERB DET NOUN ADP ADJ NOUN ADP DET PROPN
She wanted nothing at all from her father and she was about to tell Alain Lemarchand so in no uncertain terms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	in no uncertain terms	figurative	identical	PRON VERB NOUN ADV ADV ADP ADJ NOUN CCONJ PRON VERB ADJ PART VERB PROPN PROPN ADV ADP DET ADJ NOUN
Chinese mothers, according to Chua, believe that children, once they get past the toddler stage, need to be told, in no uncertain terms, when they have not met the high standards their parents expect of them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	ADJ NOUN VERB ADP PROPN VERB ADP NOUN ADP PRON VERB ADP DET NOUN NOUN VERB PART VERB VERB ADP DET ADJ NOUN ADV PRON VERB ADV VERB DET ADJ NOUN ADJ NOUN VERB ADP PRON
It argues, in no uncertain terms, that levels of exploitation undreamed of outside the sweatshops of the Third World are coming home to roost in the depressed urban ghettos of the West.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in no uncertain terms	figurative	identical	PRON VERB ADP DET ADJ NOUN ADP NOUN ADP NOUN VERB ADP ADP DET NOUN ADP DET PROPN PROPN VERB VERB ADV PART VERB ADP DET ADJ ADJ NOUN ADP DET PROPN
