Yet Oakland were also supposed to wipe the floor with Los Angeles a year ago.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	wipe the floor with	figurative	identical	CCONJ PROPN VERB ADV VERB PART VERB DET NOUN ADP PROPN PROPN DET NOUN ADV
He wiped the floor with her.	0 1 0 1 1 0	wipe the floor with	figurative	inflection	PRON VERB DET NOUN ADP PRON
Have your best conversationalists around to tea or dinner and Richard would wipe the floor with them.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	wipe the floor with	figurative	identical	VERB ADJ ADJ NOUN ADV ADP NOUN CCONJ NOUN CCONJ PROPN VERB VERB DET NOUN ADP PRON
You could wipe the floor with them.’	0 0 1 0 1 1 0	wipe the floor with	figurative	identical	PRON VERB VERB DET NOUN ADP PROPN
The dynamic due, who wiped the floor with 35 other couples, first teamed up in 1981 and have twice represented Canada in competitions.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wipe the floor with	figurative	inflection	DET ADJ ADJ NOUN VERB DET NOUN ADP NUM ADJ NOUN ADV VERB PART ADP NUM CCONJ VERB ADV VERB PROPN ADP NOUN
‘ They played Ards on the first day of the season and wiped the floor with us in a 3–0 win.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	wipe the floor with	figurative	inflection	PUNCT PRON VERB NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB DET NOUN ADP PRON ADP DET NUM NOUN
In fact, morally we wiped the floor with them, or that is what we would like to think anyway.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	wipe the floor with	figurative	inflection	ADP NOUN ADV PRON VERB DET NOUN ADP PRON CCONJ DET VERB NOUN PRON VERB VERB PART VERB ADV
In general Mac and Ed amicably agreed to differ, but in the October FlyPast ( p58)Mac succeeded in wiping the floor with Ed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	wipe the floor with	figurative	inflection	ADP ADJ PROPN CCONJ PROPN ADV VERB PART VERB CCONJ ADP DET PROPN PROPN PUNCT PROPN VERB ADP VERB DET NOUN ADP PROPN
And wipes the floor with her.	0 1 0 1 1 0	wipe the floor with	figurative	inflection	CCONJ VERB DET NOUN ADP PRON
PRECISION super bowlers struck out to scoop at £ 200 cash prize and prestigious trophy after wiping the floor with the opposition in a local contest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	wipe the floor with	figurative	inflection	NOUN ADJ NOUN VERB PART ADP VERB ADP SYM NUM NOUN NOUN CCONJ ADJ NOUN ADP VERB DET NOUN ADP DET NOUN ADP DET ADJ NOUN
In speed terms, it 'll wipe the floor with anything running under Windows.	0 0 0 0 0 1 0 1 1 0 0 0 0	wipe the floor with	figurative	identical	ADP NOUN NOUN PRON VERB VERB DET NOUN ADP NOUN VERB ADP PROPN
She was about to wipe the floor with her enemies.	0 0 0 0 1 0 1 1 0 0	wipe the floor with	figurative	identical	PRON VERB ADJ PART VERB DET NOUN ADP ADJ NOUN
She had thought he would wipe the floor with her if he ever learned of her deception.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	wipe the floor with	figurative	identical	PRON VERB VERB PRON VERB VERB DET NOUN ADP PRON ADP PRON ADV VERB ADP ADJ NOUN
The magazine Jamming saw the band wipe the floor with all opposition in all categories outside the female sections.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	wipe the floor with	figurative	identical	DET NOUN PROPN VERB DET NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN
He is a lying bastard and he has just used me and wiped the floor with me.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	wipe the floor with	figurative	inflection	PRON VERB DET VERB NOUN CCONJ PRON VERB ADV VERB PRON CCONJ VERB DET NOUN ADP PRON
As it happened, we wiped the floor with them, winning by an unprecedented margin of 80 % to 20 %.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	wipe the floor with	figurative	inflection	ADP PRON VERB PRON VERB DET NOUN ADP PRON VERB ADP DET ADJ NOUN ADP NUM NOUN PART NUM NOUN
Once it was clear Mr Smith had wiped the floor with the Premier, Mellor was used for what one Tory called his ‘ last good deed’.	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wipe the floor with	figurative	inflection	ADP PRON VERB ADJ PROPN PROPN VERB VERB DET NOUN ADP DET PROPN PROPN VERB VERB ADP NOUN NUM PROPN VERB ADJ PUNCT ADJ ADJ NOUN
Young John Lucas, who lived hard by and sat on Professor Ramsey's head to recite Greek verbs, heard stories from his father of Ramsey taking on atheists in the university in public debate and wiping the floor with them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0	wipe the floor with	figurative	inflection	PROPN PROPN PROPN NOUN VERB ADV ADV CCONJ VERB ADP PROPN PROPN NOUN PART VERB ADJ NOUN VERB NOUN ADP ADJ NOUN ADP PROPN VERB PART NOUN ADP DET NOUN ADP ADJ NOUN CCONJ VERB DET NOUN ADP PRON
