Payment on the nose and no questions asked.	0 0 0 0 0 1 1 1	no questions asked	figurative	identical	NOUN ADP DET NOUN CCONJ DET NOUN VERB
He whiffed a deal ; his insurance, no questions asked.	0 0 0 0 0 0 0 1 1 1	no questions asked	figurative	identical	PRON VERB DET NOUN PUNCT ADJ NOUN DET NOUN VERB
What I wanted was an area marked ‘ The sort of place where an average girl out on her own won't get mugged or raped and she can get a cheap bed for the night, no questions asked.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	no questions asked	figurative	dashes	NOUN PRON VERB VERB DET NOUN VERB PUNCT DET NOUN ADP NOUN ADV DET ADJ NOUN PART ADP ADJ ADJ VERB VERB VERB CCONJ VERB CCONJ PRON VERB VERB DET ADJ NOUN ADP DET NOUN DET NOUN PUNCT
Of course, in those days the mistress was generally kept by her lover, set up in a cosy little love - nest somewhere, her accounts settled with no questions asked …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	no questions asked	figurative	identical	ADV ADV ADP DET NOUN DET NOUN VERB ADV VERB ADP ADJ NOUN VERB PART ADP DET ADJ ADJ NOUN PUNCT NOUN ADV ADJ NOUN VERB ADP DET NOUN VERB PUNCT
The halfway point in the no - questions - asked surrender follows another weekend of violence in Strathclyde.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	no questions asked	figurative	dashes	DET NOUN NOUN ADP DET DET PUNCT NOUN PUNCT VERB NOUN VERB DET NOUN ADP NOUN ADP PROPN
There were no questions asked about my age then.’	0 0 1 1 1 0 0 0 0	no questions asked	figurative	identical	ADV VERB DET NOUN VERB ADP ADJ NOUN NUM
For many ‘ a simple way of raising money quickly with no questions asked’, as Steven Squire of the London Pledge Company put it, was still the pawnbroker whose business in 1991, according to the Sunday Times, was ‘ riding high’.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	no questions asked	figurative	dashes	ADP ADJ PRON DET ADJ NOUN ADP VERB NOUN ADV ADP DET NOUN VERB ADP PROPN PROPN ADP DET PROPN PROPN PROPN VERB PRON VERB ADV DET NOUN ADJ NOUN ADP NUM VERB ADP DET PROPN PROPN VERB PUNCT VERB ADV
Even in Sicily, where unemployment is high, Tunisians come to work on the boats for low pay, no questions asked.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	no questions asked	figurative	identical	ADV ADP PROPN ADV NOUN VERB ADJ PROPN VERB PART VERB ADP DET NOUN ADP ADJ NOUN DET NOUN VERB
With agonising clarity she realised that she couldn't fool herself that she would be content with that and, however tempting it was to take what he had to offer, no questions asked, it wasn't good enough for her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	no questions asked	figurative	identical	ADP ADJ NOUN PRON VERB ADP PRON VERB VERB PRON ADP PRON VERB VERB ADJ ADP DET CCONJ ADV VERB PRON VERB PART VERB NOUN PRON VERB PART VERB DET NOUN VERB PRON VERB ADJ ADV ADP PRON
If, after examining your first issue, you are not 100 % satisfied, we 'll send you a complete refund with no questions asked.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	no questions asked	figurative	identical	ADP ADP VERB ADJ ADJ NOUN PRON VERB ADV NUM NOUN ADJ PRON VERB VERB PRON DET ADJ NOUN ADP DET NOUN VERB
Then now is the time to return any stray objects to the Catering Department, no questions asked.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	no questions asked	figurative	identical	ADV ADV VERB DET NOUN PART VERB DET ADJ NOUN ADP DET PROPN PROPN DET NOUN VERB
There were a lot of very nasty people around, then as now, and if one of them turned up in no condition for a party, lying on the towpath, there was no questions asked.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	no questions asked	figurative	dashes	ADV VERB DET NOUN ADP ADV ADJ NOUN ADV ADV ADP ADV CCONJ ADP NUM ADP PRON VERB PART ADP DET NOUN ADP DET NOUN VERB ADP DET NOUN ADV VERB DET NOUN PUNCT
They pay you up front, no questions asked.	0 0 0 0 0 1 1 1	no questions asked	figurative	identical	PRON VERB PRON ADP ADV DET NOUN VERB
Once before they went ahead and believed, but it was a leap of faith with no questions asked and they fell and were hurt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	no questions asked	figurative	identical	ADV ADP PRON VERB ADV CCONJ VERB CCONJ PRON VERB DET NOUN ADP NOUN ADP DET NOUN VERB CCONJ PRON VERB CCONJ VERB VERB
