A tinker accosted me in the bar, asking for a glass of brandy, but I gave him short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	DET NOUN VERB PRON ADP DET NOUN VERB ADP DET NOUN ADP NOUN CCONJ PRON VERB PRON ADJ NOUN
Short shrift was given to the argument that the Minister could escape control by not giving reasons.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	case	ADJ NOUN VERB VERB ADP DET NOUN ADP DET PROPN VERB VERB NOUN ADP ADV VERB NOUN
You shouldn't do that,"got short shrift.	0 0 0 0 1 1	short shrift	figurative	identical	PRON VERB VERB VERB ADJ NOUN
These findings of fact were given remarkably short shrift by Lord Parker C.J. who held that the conduct could not amount to insulting behaviour.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	DET NOUN ADP NOUN VERB VERB ADV ADJ NOUN ADP PROPN PROPN PROPN NOUN VERB ADP DET NOUN VERB ADV VERB ADP VERB NOUN
The smaller nations get short shrift on somewhat different grounds : in so far as they are affected by general trends, their history recapitulates that of the major states.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	DET ADJ NOUN VERB ADJ NOUN ADP ADV ADJ NOUN PUNCT ADV ADV ADV ADP PRON VERB VERB ADP ADJ NOUN ADJ NOUN NOUN ADP ADP DET ADJ NOUN
The judge gave short shrift to an argument based on the right to free speech, and held that it did not affect his primary conclusion as stated above.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	DET NOUN VERB ADJ NOUN ADP DET NOUN VERB ADP DET NOUN ADP ADJ NOUN CCONJ VERB ADP PRON VERB ADV VERB ADJ ADJ NOUN ADP VERB ADV
In political systems heavily dependent on trading and dealing, matters of principle get short shrift, long - standing problems are not faced and there is little scope for more than modest incremental change.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	ADP ADJ NOUN ADV ADJ ADP NOUN CCONJ NOUN NOUN ADP NOUN VERB ADJ NOUN ADV PUNCT VERB NOUN VERB ADV VERB CCONJ ADV VERB ADJ NOUN ADP ADJ ADP ADJ ADJ NOUN
But any suggestion that it could lead to leaving the NHS, whose headquarters move to Leeds next year, gets short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	CCONJ DET NOUN ADP PRON VERB VERB ADP VERB DET PROPN ADJ NOUN VERB ADP PROPN ADJ NOUN VERB ADJ NOUN
And we think that Gen McCreery would have given short shrift to anyone who tried to pull the wool over his eyes.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	CCONJ PRON VERB ADP PROPN PROPN VERB VERB VERB ADJ NOUN ADP NOUN NOUN VERB PART VERB DET NOUN ADP ADJ NOUN
A call for opposition party pacts to put up single candidates against Conservative MPs and seek the ‘ total defeat’ of the Tories as the only way to ensure a Scottish parliament is also likely to get short shrift from the leadership.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	short shrift	figurative	identical	DET NOUN ADP NOUN NOUN NOUN PART VERB PART ADJ NOUN ADP ADJ NOUN CCONJ VERB DET ADJ ADJ NOUN ADP DET PROPN ADP DET ADJ NOUN PART VERB DET ADJ NOUN VERB ADV ADJ PART VERB ADJ NOUN ADP DET NOUN
For those whose scholarship he respected he was prepared to go to endless trouble, but to those whom he suspected of pretensions exceeding their knowledge or understanding he gave short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	ADP DET ADJ NOUN PRON VERB PRON VERB ADJ PART VERB ADP ADJ NOUN CCONJ ADP DET NOUN PRON VERB ADP NOUN VERB ADJ NOUN CCONJ NOUN PRON VERB ADJ NOUN
The wandering poor got short shrift — a burial is recorded in the Combsburgh register of an unknown man the neighbouring overseers had refused to receive when dying of cold.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	DET VERB ADJ VERB ADJ NOUN PUNCT DET NOUN VERB VERB ADP DET PROPN NOUN ADP DET ADJ NOUN DET NOUN NOUN VERB VERB PART VERB ADV VERB ADP ADJ
They get short shrift.	0 0 1 1	short shrift	figurative	identical	PRON VERB ADJ NOUN
You seem like a man who gives frailties of any kind short shrift.’	0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	dashes	PRON VERB ADP DET NOUN NOUN VERB NOUN ADP DET NOUN ADV PUNCT
Regrettably for the Palace, Alan found it difficult to adjust to 2nd and then 3rd Division football, where his undoubted skills were given short shrift by our opponents and, although he always gave of his best, he was equally always a heavily marked man.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	ADV ADP DET PROPN PROPN VERB PRON ADJ PART VERB ADP NOUN CCONJ ADV PROPN PROPN NOUN ADV ADJ ADJ NOUN VERB VERB ADJ NOUN ADP ADJ NOUN CCONJ ADP PRON ADV VERB ADP ADJ ADJ PRON VERB ADV ADV DET ADV ADJ NOUN
The corrective to all this — a culture that stressed hard work, honesty, respect for others and respect for oneself — was given short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	DET NOUN ADP ADJ DET PUNCT DET NOUN ADJ VERB ADJ NOUN NOUN NOUN ADP NOUN CCONJ NOUN ADP PRON PUNCT VERB VERB ADJ NOUN
They will go, and they will go with short shrift …	0 0 0 0 0 0 0 0 1 1 0	short shrift	figurative	identical	PRON VERB VERB CCONJ PRON VERB VERB ADP ADJ NOUN PUNCT
Editors always assume that photographs from PR sources can be used free of charge, and any PR outfit which tries to charge for pictures is likely to get short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	NOUN ADV VERB ADP NOUN ADP NOUN NOUN VERB VERB VERB ADJ ADP NOUN CCONJ DET NOUN NOUN ADJ VERB PART VERB ADP NOUN VERB ADJ PART VERB ADJ NOUN
This is spoken in the north and also understood in the eastern and western states ; but it receives short shrift once it ventures to enter the south.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	short shrift	figurative	identical	DET VERB VERB ADP DET NOUN CCONJ ADV VERB ADP DET ADJ CCONJ ADJ NOUN PUNCT CCONJ PRON VERB ADJ NOUN ADP PRON VERB PART VERB DET NOUN
‘ Aye, except he pointed out that if she was new to the job and she tried to muzzle in around that quarter, the others would soon make short shrift of her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	short shrift	figurative	identical	PUNCT PROPN ADP PRON VERB PART ADP ADP PRON VERB ADJ ADP DET NOUN CCONJ PRON VERB PART VERB PART ADP DET NOUN DET NOUN VERB ADV VERB ADJ NOUN ADP PRON
Classic techniques, including radioisotope work, get rather short shrift : on the other hand, there is a welcome chapter on the physical chemistry of intracellular Ca.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	ADJ NOUN VERB NOUN NOUN VERB ADV ADJ NOUN PUNCT ADP DET ADJ NOUN ADV VERB DET ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN
He could have complained to the top about my basic lack of professionalism but instead he went out of his way to try and help — and sometimes got pretty short shrift in return.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	short shrift	figurative	identical	PRON VERB VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN ADP NOUN CCONJ ADV PRON VERB ADP ADP ADJ NOUN PART VERB CCONJ VERB PUNCT CCONJ ADV VERB ADV ADJ NOUN ADP NOUN
As we shall see later these sources often receive short shrift in many of the papers.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	short shrift	figurative	identical	ADP PRON VERB VERB ADV DET NOUN ADV VERB ADJ NOUN ADP ADJ ADP DET NOUN
Though his first wife remains a shadowy and rather pathetic figure about whom one longs to know more, there is plenty here on the crowded, ramshackle household and its often hand - to - mouth existence constructed entirely around the demands of the workaholic, temperamental sculptor — the hoarded treasures, the art and music which pervaded the house, the much loved but somewhat casually raised children, the constantly changing and eccentric cast of live - in models, nannies, general factotums, portrait sitters, studio visitors, plaster moulders, musicians, friends and members of the press who were usually given short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	ADP ADJ ADJ NOUN VERB DET ADJ CCONJ ADV ADJ NOUN ADP NOUN NUM NOUN PART VERB ADJ ADV VERB ADJ ADV ADP DET ADJ ADJ NOUN CCONJ ADJ ADV NOUN PUNCT ADP PUNCT NOUN NOUN VERB ADV ADP DET NOUN ADP DET ADJ ADJ NOUN PUNCT DET ADJ NOUN DET NOUN CCONJ NOUN ADJ VERB DET NOUN DET ADV ADJ CCONJ ADV ADV VERB NOUN DET ADV VERB CCONJ ADJ NOUN ADP NOUN PUNCT PART NOUN NOUN ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN ADP DET NOUN NOUN VERB ADV VERB ADJ NOUN
Let no one mention horses to me or they will get very short shrift.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	dashes	VERB DET NOUN VERB NOUN ADP PRON CCONJ PRON VERB VERB ADV ADJ PUNCT
Jovial inquiries about illegal subsidies to industry, Rover for instance, got short shrift.	0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	ADJ NOUN ADP ADJ NOUN ADP NOUN PROPN ADP NOUN VERB ADJ NOUN
She seemed inclined to give Harry short shrift, but at his mention of Heather's name, she relented and showed him into the front room, where a meagre measure of calm and quiet prevailed.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	PRON VERB ADJ PART VERB PROPN ADJ NOUN CCONJ ADP ADJ NOUN ADP PROPN NOUN PRON VERB CCONJ VERB PRON ADP DET ADJ NOUN ADV DET NOUN NOUN ADP ADJ CCONJ ADJ VERB
Well women are getting short shrift.	0 0 0 0 1 1	short shrift	figurative	identical	INTJ NOUN VERB VERB ADJ NOUN
He has received short shrift from the CEGB, having recently been moved to an out - of - the - way office at Barnwood, the central headquarters base for the board's engineering development and design teams.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	PRON VERB VERB ADJ NOUN ADP DET PROPN VERB ADV VERB VERB ADP DET ADJ PUNCT ADP PUNCT DET PUNCT NOUN NOUN ADP PROPN DET ADJ NOUN NOUN ADP DET NOUN NOUN NOUN CCONJ NOUN NOUN
SCOTLAND captain David Sole has given short shrift to anyone who has blamed Martin Bayfield and Tim Rodber for the drastic change in Scottish scrummaging fortunes between the World Cup semi - final and the Five Nations opener, when his side scored their first pushover try against England for donkey's years, despite losing by a record score.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	ADJ NOUN PROPN PROPN VERB VERB ADJ NOUN ADP NOUN NOUN VERB VERB PROPN PROPN CCONJ PROPN PROPN ADP DET ADJ NOUN ADP ADJ NOUN NOUN ADP DET PROPN PROPN NOUN PUNCT ADJ CCONJ DET NUM PROPN NOUN ADV ADJ NOUN VERB ADJ ADJ NOUN NOUN ADP PROPN ADP NOUN NOUN ADP VERB ADP DET NOUN NOUN
I asked about feeding, but Bill makes short shrift of this too — once a fortnight with Phostrogen.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	PRON VERB ADP NOUN CCONJ PROPN VERB ADJ NOUN ADP DET ADV PUNCT ADV DET NOUN ADP PROPN
It's a fast - paced, illuminating and frequently hilarious show, but the portrait is left incomplete by the short shrift given to film of Fishbone onstage — surely the one place where their controlled chaos makes perfect sense — and a surprising lack of emphasis on the political apoplexy that makes them so fascinating.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	PRON DET ADV PUNCT VERB VERB CCONJ ADV ADJ NOUN CCONJ DET NOUN VERB VERB ADJ ADP DET ADJ NOUN VERB ADP NOUN ADP PROPN NOUN PUNCT ADV DET NUM NOUN ADV ADJ VERB NOUN VERB ADJ NOUN PUNCT CCONJ DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADJ VERB PRON ADV ADJ
Rumours were circulating last week that even OSF/1, its nominal raison d'etre, would be given short shrift in those re - prioritisations.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	short shrift	figurative	identical	NOUN VERB VERB ADJ NOUN ADP ADV PROPN ADJ ADJ NOUN NOUN VERB VERB VERB ADJ NOUN ADP DET NOUN PUNCT NOUN
Commanders who undervalued or ignored Ultra get short shrift.	0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	NOUN NOUN VERB CCONJ VERB PROPN VERB ADJ NOUN
He therefore gave every enquiring company, irrespective of their experience or worth, very short shrift indeed.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	short shrift	figurative	identical	PRON ADV VERB DET VERB NOUN ADV ADP ADJ NOUN CCONJ ADJ ADV ADJ NOUN ADV
It also compensated very thoroughly for the disaster of her relationship with Guy, who received short shrift when he telephoned on his return to London from Wales.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	PRON ADV VERB ADV ADV ADP DET NOUN ADP ADJ NOUN ADP PROPN NOUN VERB ADJ NOUN ADV PRON VERB ADP ADJ NOUN ADP PROPN ADP PROPN
One matron declared that if Ms Wilikins - the accent was on the Ms — came looking for a seat in Camberley she would receive short shrift.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	short shrift	figurative	identical	NUM NOUN VERB ADP ADP PROPN PROPN PUNCT DET NOUN VERB ADP DET PROPN PUNCT VERB VERB ADP DET NOUN ADP PROPN PRON VERB VERB ADJ NOUN
Malcolm McLaren got short shrift when he first called on Virgin records in the summer of 1976, one stop among many in his search for a recording contract for his new protégés.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	short shrift	figurative	identical	PROPN PROPN VERB ADJ NOUN ADV PRON ADV VERB ADP PROPN NOUN ADP DET NOUN ADP NUM NUM NOUN ADP ADJ ADP ADJ NOUN ADP DET NOUN NOUN ADP ADJ ADJ NOUN
His complaint under Article 12 received short shrift.	0 0 0 0 0 0 1 1	short shrift	figurative	identical	ADJ NOUN ADP NOUN NUM VERB ADJ NOUN
