All pleas fell on deaf ears.	0 0 1 1 1 1	fall on deaf ears	figurative	inflection	DET NOUN VERB ADP ADJ NOUN	▁All ▁plea s ▁fell ▁on ▁deaf ▁ears .	0 0 0 1 1 1 1 1	DET NOUN NOUN VERB ADP ADJ NOUN NOUN
Pleas from the Prince of Wales for corporate help to rebuild the inner cities has not fallen on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	NOUN ADP DET PROPN ADP PROPN ADP ADJ NOUN PART VERB DET ADJ NOUN VERB ADV VERB ADP ADJ NOUN	▁P lea s ▁from ▁the ▁Prince ▁of ▁Wales ▁for ▁corporate ▁help ▁to ▁rebuild ▁the ▁inner ▁cities ▁has ▁not ▁fallen ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN NOUN NOUN ADP DET PROPN ADP PROPN ADP ADJ NOUN PART VERB DET ADJ NOUN VERB ADV VERB ADP ADJ NOUN NOUN
National campaigns, like the support for Edward VIII during the abdication crisis of 1936, and the portrayal of the BUF as a peace movement in the later 1930s, either fell on deaf ears or were only partially successful in changing the focus of fascist politics from the parish pump and the anti - immigrant concerns of the East End of London to wider issues.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall on deaf ears	figurative	inflection	ADJ NOUN ADP DET NOUN ADP PROPN PROPN ADP DET NOUN NOUN ADP NUM CCONJ DET NOUN ADP DET PROPN ADP DET NOUN NOUN ADP DET ADJ NOUN CCONJ VERB ADP ADJ NOUN CCONJ VERB ADV ADV ADJ ADP VERB DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN CCONJ DET ADV PUNCT ADJ NOUN ADP DET PROPN PROPN ADP PROPN PART ADJ NOUN	▁National ▁campaigns , ▁like ▁the ▁support ▁for ▁Edward ▁VIII ▁during ▁the ▁a b dication ▁crisis ▁of ▁193 6, ▁and ▁the ▁portray al ▁of ▁the ▁B UF ▁as ▁a ▁peace ▁movement ▁in ▁the ▁later ▁19 30 s , ▁either ▁fell ▁on ▁deaf ▁ears ▁or ▁were ▁only ▁partially ▁successful ▁in ▁changing ▁the ▁focus ▁of ▁ fascist ▁politics ▁from ▁the ▁par ish ▁pump ▁and ▁the ▁anti ▁- ▁immigrant ▁concerns ▁of ▁the ▁East ▁End ▁of ▁London ▁to ▁wider ▁issues .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN ADP DET NOUN ADP PROPN PROPN ADP DET NOUN NOUN NOUN NOUN ADP NUM NUM CCONJ DET NOUN NOUN ADP DET PROPN PROPN ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN NOUN NOUN CCONJ VERB ADP ADJ NOUN CCONJ VERB ADV ADV ADJ ADP VERB DET NOUN ADP ADJ ADJ NOUN ADP DET ADJ ADJ NOUN CCONJ DET ADV PUNCT ADJ NOUN ADP DET PROPN PROPN ADP PROPN PART ADJ NOUN NOUN
Their courageous calls fell on deaf ears ; they now remain imprisoned.	0 0 0 1 1 1 1 0 0 0 0 0	fall on deaf ears	figurative	inflection	ADJ ADJ NOUN VERB ADP ADJ NOUN PUNCT PRON ADV VERB ADJ	▁The ir ▁courageous ▁calls ▁fell ▁on ▁deaf ▁ears ▁ ; ▁they ▁now ▁remain ▁imprisoned .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	ADJ ADJ ADJ NOUN VERB ADP ADJ NOUN PUNCT PUNCT PRON ADV VERB ADJ ADJ
DEMANDS to sound - proof up to 1,500 houses on a busy ring road look set to fall on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	identical	NOUN PART VERB PUNCT NOUN ADP ADP NUM NOUN ADP DET ADJ NOUN NOUN NOUN VERB PART VERB ADP ADJ NOUN	▁DEM AND S ▁to ▁sound ▁- ▁proof ▁up ▁to ▁1 , 500 ▁houses ▁on ▁a ▁busy ▁ring ▁road ▁look ▁set ▁to ▁fall ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN NOUN NOUN PART VERB PUNCT NOUN ADP ADP NUM NUM NUM NOUN ADP DET ADJ NOUN NOUN NOUN VERB PART VERB ADP ADJ NOUN NOUN
The POA says previous appeals for extra staff have fallen on deaf ears ; if the same happens this time, they fear they 'll soon have a riot on their hands.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall on deaf ears	figurative	inflection	DET NOUN VERB ADJ NOUN ADP ADJ NOUN VERB VERB ADP ADJ NOUN PUNCT ADP DET ADJ VERB DET NOUN PRON VERB PRON VERB ADV VERB DET NOUN ADP ADJ NOUN	▁The ▁PO A ▁says ▁previous ▁appeals ▁for ▁extra ▁staff ▁have ▁fallen ▁on ▁deaf ▁ears ▁ ; ▁if ▁the ▁same ▁happens ▁this ▁time , ▁they ▁fear ▁they ▁' ll ▁soon ▁have ▁a ▁riot ▁on ▁their ▁hands .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADJ NOUN ADP ADJ NOUN VERB VERB ADP ADJ NOUN PUNCT PUNCT ADP DET ADJ VERB DET NOUN NOUN PRON VERB PRON VERB VERB ADV VERB DET NOUN ADP ADJ NOUN NOUN
As this book demonstrates, shortage of manpower ( as women also discovered ) will work wonders where political agitation falls on deaf ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	ADP DET NOUN VERB NOUN ADP NOUN PUNCT ADP NOUN ADV VERB PUNCT VERB VERB NOUN ADV ADJ NOUN VERB ADP ADJ NOUN	▁As ▁this ▁book ▁demonstrates , ▁shortage ▁of ▁manpower ▁( ▁as ▁women ▁also ▁discovered ▁ ) ▁will ▁work ▁wonder s ▁where ▁political ▁agitation ▁falls ▁on ▁deaf ▁ears .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP DET NOUN VERB VERB NOUN ADP NOUN PUNCT ADP NOUN ADV VERB PUNCT PUNCT VERB VERB NOUN NOUN ADV ADJ NOUN VERB ADP ADJ NOUN NOUN
It is a package with measures to promote investment and provide capital allowances similar to those that industry and commerce are begging for — pleas that are falling on the deaf ears of the Chancellor.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0	fall on deaf ears	figurative	combined-inflection	PRON VERB DET NOUN ADP NOUN PART VERB NOUN CCONJ VERB NOUN NOUN ADJ ADP DET DET NOUN CCONJ NOUN VERB VERB ADP PUNCT NOUN ADJ VERB VERB ADP DET ADJ NOUN ADP DET PROPN	▁It ▁is ▁a ▁package ▁with ▁measures ▁to ▁promote ▁investment ▁and ▁provide ▁capital ▁allowances ▁similar ▁to ▁those ▁that ▁industry ▁and ▁commerce ▁are ▁be gg ing ▁for ▁ — ▁plea s ▁that ▁are ▁falling ▁on ▁the ▁deaf ▁ears ▁of ▁the ▁Chancellor .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0	PRON VERB DET NOUN ADP NOUN PART VERB NOUN CCONJ VERB NOUN NOUN ADJ ADP DET DET NOUN CCONJ NOUN VERB VERB VERB VERB ADP PUNCT PUNCT NOUN NOUN ADJ VERB VERB ADP DET ADJ NOUN ADP DET PROPN PROPN
An attempt to contest Japan's control over Korean foreign policy at the Hague peace Conference in 1907 fell on deaf ears ; whether Korea was, or was not, independent meant little to most of the nations of the West.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fall on deaf ears	figurative	inflection	DET NOUN PART VERB PROPN NOUN ADP ADJ ADJ NOUN ADP DET PROPN NOUN PROPN ADP NUM VERB ADP ADJ NOUN PUNCT ADP PROPN VERB CCONJ VERB ADV ADJ VERB ADJ ADP ADJ ADP DET NOUN ADP DET PROPN	▁An ▁attempt ▁to ▁contest ▁Japan ' s ▁control ▁over ▁Korean ▁foreign ▁policy ▁at ▁the ▁Hague ▁peace ▁Conference ▁in ▁19 07 ▁fell ▁on ▁deaf ▁ears ▁ ; ▁whether ▁Korea ▁was , ▁or ▁was ▁not , ▁independent ▁meant ▁little ▁to ▁most ▁of ▁the ▁nations ▁of ▁the ▁West .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN PART VERB PROPN PROPN PROPN NOUN ADP ADJ ADJ NOUN ADP DET PROPN NOUN PROPN ADP NUM NUM VERB ADP ADJ NOUN PUNCT PUNCT ADP PROPN VERB VERB CCONJ VERB ADV ADV ADJ VERB ADJ ADP ADJ ADP DET NOUN ADP DET PROPN PROPN
Protests by hundreds of Dutch, Scandinavian, West German and British people fell on deaf ears as they were turned away.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	fall on deaf ears	figurative	inflection	NOUN ADP NOUN ADP ADJ ADJ ADJ ADJ CCONJ ADJ NOUN VERB ADP ADJ NOUN ADP PRON VERB VERB ADV	▁Prote sts ▁by ▁hundreds ▁of ▁Dutch , ▁Scandinavia n , ▁West ▁German ▁and ▁British ▁people ▁fell ▁on ▁deaf ▁ears ▁as ▁they ▁were ▁turned ▁away .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	NOUN NOUN ADP NOUN ADP ADJ ADJ ADJ ADJ ADJ ADJ ADJ CCONJ ADJ NOUN VERB ADP ADJ NOUN ADP PRON VERB VERB ADV ADV
Her vituperative comments fell on deaf ears.	0 0 0 1 1 1 1	fall on deaf ears	figurative	inflection	ADJ ADJ NOUN VERB ADP ADJ NOUN	▁Her ▁vi tu per ative ▁comments ▁fell ▁on ▁deaf ▁ears .	0 0 0 0 0 0 1 1 1 1 1	ADJ ADJ ADJ ADJ ADJ NOUN VERB ADP ADJ NOUN NOUN
