If pets stray, owners must pay for their keep in the dog pound and another £ 25 to reclaim.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	for keeps	literal	combined-inflection	ADP NOUN VERB NOUN VERB VERB ADP ADJ NOUN ADP DET NOUN NOUN CCONJ DET SYM NUM PART VERB
Vecchi was in for keeps now.	0 0 0 1 1 0	for keeps	figurative	identical	PROPN VERB ADV ADP NOUN ADV
Brilliant on permed or naturally curly hair, damp or dry hair and great for scrunch drying, ShockWaves Curl Shaper can also be used in - between washes to re - energise tired curls — perfect for keeping in the office for an end - of - the - day style boost!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	for keeps	literal	misc	ADJ ADP VERB CCONJ ADV ADJ NOUN VERB CCONJ ADJ NOUN CCONJ ADJ ADP NOUN VERB PROPN PROPN PROPN VERB ADV VERB VERB ADP PUNCT ADP NOUN PART VERB PUNCT NOUN ADJ NOUN PUNCT ADJ ADP VERB ADP DET NOUN ADP DET NOUN PUNCT ADP PUNCT DET PUNCT NOUN NOUN NOUN
William Hill have already reacted by installing him as 5 - 2 favourite to win the world after his record fifth successive victory in the Masters, a performance which earned him the gold trophy for keeps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	for keeps	figurative	identical	PROPN PROPN VERB ADV VERB ADP VERB PRON ADP NUM SYM NUM NOUN PART VERB DET NOUN ADP ADJ ADJ ADJ ADJ NOUN ADP DET PROPN DET NOUN ADJ VERB PRON DET ADJ NOUN ADP NOUN
And have you come for keeps?’	0 0 0 0 1 1	for keeps	figurative	dashes	CCONJ VERB PRON VERB ADP NOUN
‘ Australia are playing this game for keeps and so are we.	0 0 0 0 0 0 1 1 0 0 0 0	for keeps	figurative	identical	PUNCT PROPN VERB VERB DET NOUN ADP NOUN CCONJ ADV VERB PRON
That meant it was mine for keeps.	0 0 0 0 0 1 1	for keeps	figurative	identical	DET VERB PRON VERB PRON ADP NOUN
They ll have to give us the trophy for keeps if we win it again in the next quarter century.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	for keeps	figurative	identical	PRON VERB VERB PART VERB PRON DET NOUN ADP NOUN ADP PRON VERB PRON ADV ADP DET ADJ NOUN NOUN
He travelled around the County, staying at various homes where he was apparently always made welcome for the sake of his interesting tales and where he ' paid ' for his keep by means of pencil sketches of his hosts.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	for keeps	literal	combined-inflection	PRON VERB ADP DET PROPN VERB ADP ADJ NOUN ADV PRON VERB ADV ADV VERB ADJ ADP DET NOUN ADP ADJ ADJ NOUN CCONJ ADV PRON VERB VERB PUNCT ADP ADJ NOUN ADP NOUN ADP NOUN NOUN ADP ADJ NOUN
Last year, before I decided to settle here for keeps, my business took me to one of the great northern cities, chief among those of the prosperous world.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	for keeps	figurative	identical	ADJ NOUN ADP PRON VERB PART VERB ADV ADP NOUN ADJ NOUN VERB PRON ADP NUM ADP DET ADJ ADJ NOUN ADJ ADP DET ADP DET ADJ NOUN
Hendry pocketed a first prize of £ 110,000, took his unbeaten run in the tournament — since 1989 — to 20 matches and claimed the antique gold trophy for keeps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	for keeps	figurative	identical	PROPN VERB DET ADJ NOUN ADP SYM NUM VERB ADJ ADJ NOUN ADP DET NOUN PUNCT ADP NUM PUNCT PART NUM NOUN CCONJ VERB DET ADJ NOUN NOUN ADP NOUN
Victors ' trophy until it was given to Brazil for keeps on their third win in 1970.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	for keeps	figurative	identical	NOUN PART NOUN ADP PRON VERB VERB ADP PROPN ADP NOUN ADP ADJ ADJ NOUN ADP NUM
Lady Luck is yours for keeps today.	0 0 0 0 1 1 0	for keeps	figurative	identical	PROPN PROPN VERB ADJ ADP NOUN NOUN
We are on the map for keeps.	0 0 0 0 0 1 1	for keeps	figurative	identical	PRON VERB ADP DET NOUN ADP NOUN
Once she had, after she had listened with a gentle face to Jack's admission, his ultimatum, that Alison was different, Alison was ‘ for keeps’, believed that nothing could be worse, that she had now experienced the worst.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	for keeps	figurative	dashes	ADP PRON VERB ADP PRON VERB VERB ADP DET ADJ NOUN ADP PROPN NOUN ADJ NOUN ADP PROPN VERB ADJ PROPN VERB PUNCT ADP PROPN VERB ADP NOUN VERB VERB ADJ ADP PRON VERB ADV VERB DET ADJ
