Here's how to repair, and to make your book look as good as new.	0 0 0 0 0 0 0 0 0 0 1 1 1 1	as good as new	figurative	identical	ADV ADV PART VERB CCONJ PART VERB ADJ NOUN VERB ADV ADJ ADP ADJ	▁Here ' s ▁how ▁to ▁repair , ▁and ▁to ▁make ▁your ▁book ▁look ▁as ▁good ▁as ▁new .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV ADV ADV ADV PART VERB VERB CCONJ PART VERB ADJ NOUN VERB ADV ADJ ADP ADJ ADJ
These tend to rot in the sun and though the treads might be as good as new, they will have to be changed because of the cracks in the walls.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	as good as new	figurative	identical	DET VERB PART VERB ADP DET NOUN CCONJ ADP DET NOUN VERB VERB ADV ADJ ADP ADJ PRON VERB VERB PART VERB VERB ADP ADP DET NOUN ADP DET NOUN	▁These ▁tend ▁to ▁rot ▁in ▁the ▁sun ▁and ▁though ▁the ▁tread s ▁might ▁be ▁as ▁good ▁as ▁new , ▁they ▁will ▁have ▁to ▁be ▁changed ▁because ▁of ▁the ▁crack s ▁in ▁the ▁walls .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB PART VERB ADP DET NOUN CCONJ ADP DET NOUN NOUN VERB VERB ADV ADJ ADP ADJ ADJ PRON VERB VERB PART VERB VERB ADP ADP DET NOUN NOUN ADP DET NOUN NOUN
As good as new.	1 1 1 1	as good as new	figurative	case	ADV ADJ ADP ADJ	▁As ▁good ▁as ▁new .	1 1 1 1 1	ADV ADJ ADP ADJ ADJ
At the end of this test I can find no failings in the manufacture or materials of the Veta V. Despite all the use I 've made of them they are as good as new.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	as good as new	figurative	identical	ADP DET NOUN ADP DET NOUN PRON VERB VERB DET NOUN ADP DET NOUN CCONJ NOUN ADP DET PROPN PROPN ADP ADJ DET NOUN PRON VERB VERB ADP PRON PRON VERB ADV ADJ ADP ADJ	▁At ▁the ▁end ▁of ▁this ▁test ▁I ▁can ▁find ▁no ▁failing s ▁in ▁the ▁manufacture ▁or ▁materials ▁of ▁the ▁V et a ▁V . ▁D espite ▁all ▁the ▁use ▁I ▁' ve ▁made ▁of ▁them ▁they ▁are ▁as ▁good ▁as ▁new .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP DET NOUN ADP DET NOUN PRON VERB VERB DET NOUN NOUN ADP DET NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN PROPN PROPN ADP ADP ADJ DET NOUN PRON VERB VERB VERB ADP PRON PRON VERB ADV ADJ ADP ADJ ADJ
The court held that a new car which is damaged and then repaired so as to be " as good as new " can still be regarded as " new ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	as good as new	figurative	identical	DET NOUN VERB ADP DET ADJ NOUN ADJ VERB VERB CCONJ ADV VERB ADP ADP PART VERB PUNCT ADV ADJ ADP ADJ PUNCT VERB ADV VERB VERB ADP PUNCT ADJ PUNCT	▁The ▁court ▁held ▁that ▁a ▁new ▁car ▁which ▁is ▁damaged ▁and ▁then ▁repair ed ▁so ▁as ▁to ▁be ▁" ▁as ▁good ▁as ▁new ▁" ▁can ▁still ▁be ▁regarded ▁as ▁" ▁new ▁" .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADP DET ADJ NOUN ADJ VERB VERB CCONJ ADV VERB VERB ADP ADP PART VERB PUNCT ADV ADJ ADP ADJ PUNCT VERB ADV VERB VERB ADP PUNCT ADJ PUNCT PUNCT
At the very moment that the weak and young and old were brought from the Sprinkleroom to the railway station, as good as new, so their menfolk completed the appointed term of labour service and ventured forth to claim them, on the ramp, a trifle dishevelled to be sure, but strong and sleek from their regime of hard work and strict diet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	as good as new	figurative	identical	ADP DET ADJ NOUN ADP DET ADJ CCONJ ADJ CCONJ ADJ VERB VERB ADP DET PROPN ADP DET NOUN NOUN ADV ADJ ADP ADJ CCONJ ADJ NOUN VERB DET VERB NOUN ADP NOUN NOUN CCONJ VERB ADV PART VERB PRON ADP DET NOUN DET ADV ADJ PART VERB ADJ CCONJ ADJ CCONJ ADJ ADP ADJ NOUN ADP ADJ NOUN CCONJ ADJ NOUN	▁At ▁the ▁very ▁moment ▁that ▁the ▁weak ▁and ▁young ▁and ▁old ▁were ▁brought ▁from ▁the ▁S pr ink le room ▁to ▁the ▁railway ▁station , ▁as ▁good ▁as ▁new , ▁so ▁their ▁men f ol k ▁completed ▁the ▁appointed ▁term ▁of ▁labour ▁service ▁and ▁venture d ▁forth ▁to ▁claim ▁them , ▁on ▁the ▁ramp , ▁a ▁tri fl e ▁dish e vel led ▁to ▁be ▁sure , ▁but ▁strong ▁and ▁sl e ek ▁from ▁their ▁regime ▁of ▁hard ▁work ▁and ▁strict ▁diet .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN ADP DET ADJ CCONJ ADJ CCONJ ADJ VERB VERB ADP DET PROPN PROPN PROPN PROPN PROPN ADP DET NOUN NOUN NOUN ADV ADJ ADP ADJ ADJ CCONJ ADJ NOUN NOUN NOUN NOUN VERB DET VERB NOUN ADP NOUN NOUN CCONJ VERB VERB ADV PART VERB PRON PRON ADP DET NOUN NOUN DET ADV ADV ADV ADJ ADJ ADJ ADJ PART VERB ADJ ADJ CCONJ ADJ CCONJ ADJ ADJ ADJ ADP ADJ NOUN ADP ADJ NOUN CCONJ ADJ NOUN NOUN
After several hundred miles they are as good as new with a reassuring grip in most conditions.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	as good as new	figurative	identical	ADP ADJ NUM NOUN PRON VERB ADV ADJ ADP ADJ ADP DET ADJ NOUN ADP ADJ NOUN	▁After ▁several ▁hundred ▁miles ▁they ▁are ▁as ▁good ▁as ▁new ▁with ▁a ▁reassur ing ▁grip ▁in ▁most ▁conditions .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0	ADP ADJ NUM NOUN PRON VERB ADV ADJ ADP ADJ ADP DET ADJ ADJ NOUN ADP ADJ NOUN NOUN
Fords won their appeal, the court holding that a new car which is damaged but then repaired so as to be ‘ as good as new’ can still be regarded as new.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	as good as new	figurative	dashes	NOUN VERB ADJ NOUN DET NOUN VERB ADP DET ADJ NOUN ADJ VERB VERB CCONJ ADV VERB ADP ADP PART VERB ADJ ADV ADJ ADP PROPN VERB ADV VERB VERB ADP ADJ	▁Ford s ▁won ▁their ▁appeal , ▁the ▁court ▁holding ▁that ▁a ▁new ▁car ▁which ▁is ▁damaged ▁but ▁then ▁repair ed ▁so ▁as ▁to ▁be ▁ ‘ ▁as ▁good ▁as ▁new ’ ▁can ▁still ▁be ▁regarded ▁as ▁new .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0	NOUN NOUN VERB ADJ NOUN NOUN DET NOUN VERB ADP DET ADJ NOUN ADJ VERB VERB CCONJ ADV VERB VERB ADP ADP PART VERB ADJ ADJ ADV ADJ ADP PROPN PROPN VERB ADV VERB VERB ADP ADJ ADJ
I 've managed to get them pretty manky from time to time and a spin through the washing machine brings them up as good as new.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	as good as new	figurative	identical	PRON VERB VERB PART VERB PRON ADJ NOUN ADP NOUN ADP NOUN CCONJ DET NOUN ADP DET NOUN NOUN VERB PRON PART ADV ADJ ADP ADJ	▁I ▁' ve ▁managed ▁to ▁get ▁them ▁pretty ▁man ky ▁from ▁time ▁to ▁time ▁and ▁a ▁spin ▁through ▁the ▁washing ▁machine ▁bring s ▁them ▁up ▁as ▁good ▁as ▁new .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB VERB PART VERB PRON ADJ NOUN NOUN ADP NOUN ADP NOUN CCONJ DET NOUN ADP DET NOUN NOUN VERB VERB PRON PART ADV ADJ ADP ADJ ADJ
and now it's as good as new!	0 0 0 1 1 1 1	as good as new	figurative	identical	CCONJ ADV PRON ADV ADJ ADP ADJ	▁and ▁now ▁it ' s ▁as ▁good ▁as ▁new !	0 0 0 0 0 1 1 1 1 1	CCONJ ADV PRON PRON PRON ADV ADJ ADP ADJ ADJ
Photographs show that the shape of the sails is as good as new, whereas a six - month old Dacron sail has bagged - out and the draft moved aft dramatically.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	as good as new	figurative	identical	NOUN VERB ADP DET NOUN ADP DET NOUN VERB ADV ADJ ADP ADJ ADP DET NUM PUNCT NOUN ADJ PROPN NOUN VERB VERB PUNCT PART CCONJ DET NOUN VERB NOUN ADV	▁Photo graph s ▁show ▁that ▁the ▁shape ▁of ▁the ▁sail s ▁is ▁as ▁good ▁as ▁new , ▁whereas ▁a ▁six ▁- ▁month ▁old ▁D ac ron ▁sail ▁has ▁b agged ▁- ▁out ▁and ▁the ▁draft ▁moved ▁a ft ▁dramatically .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB ADP DET NOUN ADP DET NOUN NOUN VERB ADV ADJ ADP ADJ ADJ ADP DET NUM PUNCT NOUN ADJ PROPN PROPN PROPN NOUN VERB VERB VERB PUNCT PART CCONJ DET NOUN VERB NOUN NOUN ADV ADV
‘ Look at that, the ancient Barmaid Inn, rebuilt in 1420 and still as good as new!’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	as good as new	figurative	dashes	PUNCT VERB ADP DET DET ADJ PROPN PROPN VERB ADP NUM CCONJ ADV ADV ADJ ADP NOUN	▁ ‘ ▁Look ▁at ▁that , ▁the ▁ancient ▁Bar m aid ▁In n , ▁re built ▁in ▁14 20 ▁and ▁still ▁as ▁good ▁as ▁new ! ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PUNCT PUNCT VERB ADP DET DET DET ADJ PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADP NUM NUM CCONJ ADV ADV ADJ ADP NOUN NOUN NOUN
Then they magically reappear, leaving your T - shirt looking as good as new!	0 0 0 0 0 0 0 0 0 0 1 1 1 1	as good as new	figurative	identical	ADV PRON ADV VERB VERB ADJ NOUN PUNCT NOUN VERB ADV ADJ ADP ADJ	▁Then ▁they ▁magic ally ▁re app ear , ▁leaving ▁your ▁T ▁- ▁sh ir t ▁looking ▁as ▁good ▁as ▁new !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV PRON ADV ADV VERB VERB VERB VERB VERB ADJ NOUN PUNCT NOUN NOUN NOUN VERB ADV ADJ ADP ADJ ADJ
‘ It's all right, Chris, I 'll be as good as new in a week or so.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	as good as new	figurative	identical	PUNCT PRON ADV ADJ PROPN PRON VERB VERB ADV ADJ ADP ADJ ADP DET NOUN CCONJ ADV	▁ ‘ ▁It ' s ▁all ▁right , ▁Chr is , ▁I ▁' ll ▁be ▁as ▁good ▁as ▁new ▁in ▁a ▁week ▁or ▁so .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	PUNCT PUNCT PRON PRON PRON ADV ADJ ADJ PROPN PROPN PROPN PRON VERB VERB VERB ADV ADJ ADP ADJ ADP DET NOUN CCONJ ADV ADV
