Mostly she deals with moral issues, though some are topical or ‘ tongue in cheek’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	dashes	ADV PRON VERB ADP ADJ NOUN ADP DET VERB ADJ CCONJ PUNCT NOUN ADP NOUN	▁Most ly ▁she ▁deals ▁with ▁moral ▁issues , ▁though ▁some ▁are ▁topical ▁or ▁ ‘ ▁tongue ▁in ▁che ek ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADV ADV PRON VERB ADP ADJ NOUN NOUN ADP DET VERB ADJ CCONJ PUNCT PUNCT NOUN ADP NOUN NOUN NOUN NOUN
Although this former psychiatric ward sister can appear world weary, cynicism dropping from every pore, there is a tongue in cheek panache that produces a double reaction as the barbs strike home ; the ‘ oof’ gut jerk followed immediately in some cases by a form of enlightenment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADP DET ADJ ADJ NOUN NOUN VERB VERB NOUN ADJ NOUN VERB ADP DET NOUN ADV VERB DET NOUN ADP NOUN NOUN ADJ VERB DET ADJ NOUN ADP DET NOUN VERB ADV PUNCT DET ADJ NOUN NOUN NOUN VERB ADV ADP DET NOUN ADP DET NOUN ADP NOUN	▁Although ▁this ▁former ▁psychiatri c ▁ward ▁sister ▁can ▁appear ▁world ▁we ary , ▁cyn icism ▁dropping ▁from ▁every ▁p ore , ▁there ▁is ▁a ▁tongue ▁in ▁che ek ▁pan ache ▁that ▁produces ▁a ▁double ▁reaction ▁as ▁the ▁barb s ▁strike ▁home ▁ ; ▁the ▁ ‘ ▁o of ’ ▁gut ▁je rk ▁followed ▁immediately ▁in ▁some ▁cases ▁by ▁a ▁form ▁of ▁enlighten ment .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ ADJ ADJ NOUN NOUN VERB VERB NOUN ADJ ADJ ADJ NOUN NOUN VERB ADP DET NOUN NOUN NOUN ADV VERB DET NOUN ADP NOUN NOUN NOUN NOUN ADJ VERB DET ADJ NOUN ADP DET NOUN NOUN VERB ADV PUNCT PUNCT DET ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN VERB ADV ADP DET NOUN ADP DET NOUN ADP NOUN NOUN NOUN
For a second or two he said nothing further, then, apparently going along with her unspoken wish to change the subject, he asked, tongue in cheek, ‘ And what did you think of our transport?’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADP DET ADJ CCONJ NUM PRON VERB NOUN ADV ADV ADV VERB PART ADP ADJ ADJ NOUN PART VERB DET NOUN PRON VERB NOUN ADP NOUN PUNCT CCONJ NOUN VERB PRON VERB ADP ADJ NOUN	▁For ▁a ▁second ▁or ▁two ▁he ▁said ▁nothing ▁further , ▁then , ▁apparently ▁going ▁along ▁with ▁her ▁un s po ken ▁wish ▁to ▁change ▁the ▁subject , ▁he ▁asked , ▁tongue ▁in ▁che ek , ▁ ‘ ▁And ▁what ▁did ▁you ▁think ▁of ▁our ▁transport ? ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ CCONJ NUM PRON VERB NOUN ADV ADV ADV ADV ADV VERB PART ADP ADJ ADJ ADJ ADJ ADJ NOUN PART VERB DET NOUN NOUN PRON VERB VERB NOUN ADP NOUN NOUN NOUN PUNCT PUNCT CCONJ NOUN VERB PRON VERB ADP ADJ NOUN NOUN NOUN
She was mature enough to accept an olive branch, even if it was being handed out tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	PRON VERB ADJ ADV PART VERB DET NOUN NOUN ADV ADP PRON VERB VERB VERB PART NOUN ADP NOUN	▁She ▁was ▁mature ▁enough ▁to ▁accept ▁an ▁olive ▁branch , ▁even ▁if ▁it ▁was ▁being ▁handed ▁out ▁tongue ▁in ▁che ek .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB ADJ ADV PART VERB DET NOUN NOUN NOUN ADV ADP PRON VERB VERB VERB PART NOUN ADP NOUN NOUN NOUN
Corbett loved the brilliant logic delivered so tongue - in - cheek that only those who wished to take offence would be affronted.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN VERB DET ADJ NOUN VERB ADV NOUN PUNCT ADP PUNCT NOUN ADP ADV DET NOUN VERB PART VERB NOUN VERB VERB VERB	▁Cor b ett ▁love d ▁the ▁brilliant ▁logic ▁delivered ▁so ▁tongue ▁- ▁in ▁- ▁che ek ▁that ▁only ▁those ▁who ▁wished ▁to ▁take ▁offence ▁would ▁be ▁a f front ed .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB DET ADJ NOUN VERB ADV NOUN PUNCT ADP PUNCT NOUN NOUN ADP ADV DET NOUN VERB PART VERB NOUN VERB VERB VERB VERB VERB VERB VERB
Could I make a constructive suggestion in this context of board salaries or remunerations or compensation packages or bonuses I 'm saying that in a slightly tongue in cheek way because I believe that the majority of shareholders don't understand the differences between these concepts, as you gentlemen evidently do.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	VERB PRON VERB DET ADJ NOUN ADP DET NOUN ADP NOUN NOUN CCONJ NOUN CCONJ NOUN NOUN CCONJ NOUN PRON VERB VERB ADP ADP DET ADJ NOUN ADP NOUN NOUN ADP PRON VERB ADP DET NOUN ADP NOUN VERB VERB DET NOUN ADP DET NOUN ADP PRON NOUN ADV VERB	▁Could ▁I ▁make ▁a ▁constructive ▁suggestion ▁in ▁this ▁context ▁of ▁board ▁salaries ▁or ▁remuneration s ▁or ▁compensation ▁packages ▁or ▁bonuses ▁I ▁' m ▁saying ▁that ▁in ▁a ▁slightly ▁tongue ▁in ▁che ek ▁way ▁because ▁I ▁believe ▁that ▁the ▁majority ▁of ▁shareholders ▁don ' t ▁understand ▁the ▁differences ▁between ▁these ▁concepts , ▁as ▁you ▁gentlemen ▁evident ly ▁do .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB PRON VERB DET ADJ NOUN ADP DET NOUN ADP NOUN NOUN CCONJ NOUN NOUN CCONJ NOUN NOUN CCONJ NOUN PRON VERB VERB VERB ADP ADP DET ADJ NOUN ADP NOUN NOUN NOUN ADP PRON VERB ADP DET NOUN ADP NOUN VERB VERB VERB VERB DET NOUN ADP DET NOUN NOUN ADP PRON NOUN ADV ADV VERB VERB
They 're they 're tongue in cheek going across the recreation ground, thinking that we 're going to pounce on them because they 're not allowed in there.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PRON VERB PRON VERB NOUN ADP NOUN VERB ADP DET NOUN NOUN VERB ADP PRON VERB VERB PART VERB ADP PRON ADP PRON VERB ADV VERB ADV ADV	▁They ▁' re ▁they ▁' re ▁tongue ▁in ▁che ek ▁going ▁across ▁the ▁recreation ▁ground , ▁thinking ▁that ▁we ▁' re ▁going ▁to ▁po unce ▁on ▁them ▁because ▁they ▁' re ▁not ▁allowed ▁in ▁there .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PRON VERB VERB NOUN ADP NOUN NOUN VERB ADP DET NOUN NOUN NOUN VERB ADP PRON VERB VERB VERB PART VERB VERB ADP PRON ADP PRON VERB VERB ADV VERB ADV ADV ADV
The magazine Field and Stream published this delightfully tongue - in - cheek review which says all that needs to be said about innocence and incorruptibility :	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN PROPN CCONJ PROPN VERB DET ADV NOUN PUNCT ADP PUNCT NOUN NOUN ADJ VERB DET ADJ VERB PART VERB VERB ADP NOUN CCONJ NOUN PUNCT	▁The ▁magazine ▁Field ▁and ▁Str e am ▁published ▁this ▁delight fully ▁tongue ▁- ▁in ▁- ▁che ek ▁review ▁which ▁says ▁all ▁that ▁needs ▁to ▁be ▁said ▁about ▁in no c ence ▁and ▁in corr up t ibility ▁ :	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN PROPN CCONJ PROPN PROPN PROPN VERB DET ADV ADV NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADJ VERB DET ADJ VERB PART VERB VERB ADP NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT
The show is a crazy tongue - in - cheek cocktail of Rocky Horror Show meets St. Trinian's, where a group of school - girls decide to stage Herman Melville's classic ' Moby Dick '.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN VERB DET ADJ NOUN PUNCT ADP PUNCT NOUN NOUN ADP PROPN PROPN PROPN VERB PROPN PROPN ADV DET NOUN ADP NOUN PUNCT NOUN VERB PART VERB PROPN PROPN ADJ PUNCT PROPN PROPN PUNCT	▁The ▁show ▁is ▁a ▁c raz y ▁tongue ▁- ▁in ▁- ▁che ek ▁ cock tail ▁of ▁Rock y ▁Ho rr or ▁S how ▁meets ▁St . ▁Tri n ian ' s , ▁where ▁a ▁group ▁of ▁school ▁- ▁girls ▁decide ▁to ▁stage ▁Herman ▁Mel ville ' s ▁classic ▁' ▁Mo by ▁D ick ▁' .	0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB DET ADJ ADJ ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADV DET NOUN ADP NOUN PUNCT NOUN VERB PART VERB PROPN PROPN PROPN PROPN PROPN ADJ PUNCT PROPN PROPN PROPN PROPN PUNCT PUNCT
I swear there's a universal female conspiracy against men! ' he complained, tongue - in - cheek, and led her away.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	tongue in cheek	figurative	dashes	PRON VERB ADV DET ADJ ADJ NOUN ADP NOUN PUNCT PRON VERB NOUN PUNCT ADP PUNCT NOUN CCONJ VERB PRON ADV	▁I ▁swear ▁there ' s ▁a ▁universal ▁female ▁con spira cy ▁against ▁men ! ▁' ▁he ▁complained , ▁tongue ▁- ▁in ▁- ▁che ek , ▁and ▁led ▁her ▁away .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0	PRON VERB ADV ADV ADV DET ADJ ADJ NOUN NOUN NOUN ADP NOUN NOUN PUNCT PRON VERB VERB NOUN PUNCT ADP PUNCT NOUN NOUN NOUN CCONJ VERB PRON ADV ADV
The speculation follows a mildly tongue in cheek piece by Bill Brooker in the journal of the Scottish Mountaineering Club — the august guardians of Munro's Tables.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	DET NOUN VERB DET ADV NOUN ADP NOUN NOUN ADP PROPN PROPN ADP DET NOUN ADP DET PROPN PROPN PROPN PUNCT DET ADJ NOUN ADP PROPN NOUN	▁The ▁speculation ▁follows ▁a ▁mild ly ▁tongue ▁in ▁che ek ▁piece ▁by ▁Bill ▁Br ook er ▁in ▁the ▁journal ▁of ▁the ▁Scottish ▁Mountain eering ▁Club ▁ — ▁the ▁a ug ust ▁guardian s ▁of ▁Mun ro ' s ▁Tables .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB DET ADV ADV NOUN ADP NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN PUNCT PUNCT DET ADJ ADJ ADJ NOUN NOUN ADP PROPN PROPN PROPN PROPN NOUN NOUN
