‘ So you 're here on the fly.’	0 0 0 0 0 1 0 1	on the fly	figurative	dashes	PUNCT ADV PRON VERB ADV ADP DET ADJ	▁ ‘ ▁So ▁you ▁' re ▁here ▁on ▁the ▁fly . ’	0 0 0 0 0 0 0 1 0 1 1 1	PUNCT PUNCT ADV PRON VERB VERB ADV ADP DET ADJ ADJ ADJ
Tandem expects the technology to eliminate any remaining unplanned downtime users experience as well as any planned downtime needed for housekeeping chores like changing operating systems on the fly, a key facility in any mission - critical application from E - mail to fare collections.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the fly	figurative	identical	PROPN VERB DET NOUN PART VERB DET VERB ADJ ADJ NOUN NOUN ADV ADV ADP DET VERB NOUN VERB ADP NOUN NOUN ADP VERB NOUN NOUN ADP DET NOUN DET ADJ NOUN ADP DET NOUN PUNCT ADJ NOUN ADP NOUN PUNCT NOUN PART VERB NOUN	▁ Tandem ▁expects ▁the ▁technology ▁to ▁eliminate ▁any ▁remaining ▁un planned ▁down time ▁users ▁experience ▁as ▁well ▁as ▁any ▁planned ▁down time ▁needed ▁for ▁house keeping ▁ch ores ▁like ▁changing ▁operating ▁systems ▁on ▁the ▁fly , ▁a ▁key ▁facility ▁in ▁any ▁mission ▁- ▁critical ▁application ▁from ▁E ▁- ▁mail ▁to ▁far e ▁collection s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB DET NOUN PART VERB DET VERB ADJ ADJ ADJ ADJ NOUN NOUN ADV ADV ADP DET VERB NOUN NOUN VERB ADP NOUN NOUN NOUN NOUN ADP VERB NOUN NOUN ADP DET NOUN NOUN DET ADJ NOUN ADP DET NOUN PUNCT ADJ NOUN ADP NOUN PUNCT NOUN PART VERB VERB NOUN NOUN NOUN
This company already holds the dominant position in add - on type for the PC and has now announced a product called Facelift that, like ATM, will build screen fonts on - the - fly in Windows 3.0.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	on the fly	figurative	dashes	DET NOUN ADV VERB DET ADJ NOUN ADP VERB PUNCT PART NOUN ADP DET NOUN CCONJ VERB ADV VERB DET NOUN VERB PROPN ADP ADP PROPN VERB VERB NOUN NOUN ADP PUNCT DET PUNCT NOUN ADP PROPN NUM	▁This ▁company ▁already ▁holds ▁the ▁dominant ▁position ▁in ▁add ▁- ▁on ▁type ▁for ▁the ▁PC ▁and ▁has ▁now ▁announced ▁a ▁product ▁called ▁Fac e lift ▁that , ▁like ▁ATM , ▁will ▁build ▁screen ▁fo nt s ▁on ▁- ▁the ▁- ▁fly ▁in ▁Window s ▁3.0 .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	DET NOUN ADV VERB DET ADJ NOUN ADP VERB PUNCT PART NOUN ADP DET NOUN CCONJ VERB ADV VERB DET NOUN VERB PROPN PROPN PROPN ADP ADP ADP PROPN PROPN VERB VERB NOUN NOUN NOUN NOUN ADP PUNCT DET PUNCT NOUN ADP PROPN PROPN NUM NUM
Even now trout are being taken from the upper layers of the water and on more than one evening fish have surprisingly been caught on dry flies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the fly	literal	combined-inflection	ADV ADV NOUN VERB VERB VERB ADP DET ADJ NOUN ADP DET NOUN CCONJ ADP ADJ ADP NUM NOUN NOUN VERB ADV VERB VERB ADP ADJ NOUN	▁Even ▁now ▁trout ▁are ▁being ▁taken ▁from ▁the ▁upper ▁layers ▁of ▁the ▁water ▁and ▁on ▁more ▁than ▁one ▁evening ▁fish ▁have ▁surprising ly ▁been ▁caught ▁on ▁dry ▁fl ies .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADV ADV NOUN VERB VERB VERB ADP DET ADJ NOUN ADP DET NOUN CCONJ ADP ADJ ADP NUM NOUN NOUN VERB ADV ADV VERB VERB ADP ADJ NOUN NOUN NOUN
If you only require mono images for eventual in - house mono printing then a video player is quite adequate as VidiPC can capture mono images ' on - the - fly '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0	on the fly	figurative	dashes	ADP PRON ADV VERB ADJ NOUN ADP ADJ ADP PUNCT NOUN NOUN VERB ADV DET NOUN NOUN VERB ADV ADJ ADP NOUN VERB VERB NOUN NOUN PART ADP PUNCT DET PUNCT NOUN PUNCT	▁If ▁you ▁only ▁require ▁mono ▁images ▁for ▁eventual ▁in ▁- ▁house ▁mono ▁printing ▁then ▁a ▁video ▁player ▁is ▁quite ▁adequate ▁as ▁V idi PC ▁can ▁capture ▁mono ▁images ▁' ▁on ▁- ▁the ▁- ▁fly ▁' .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0	ADP PRON ADV VERB ADJ NOUN ADP ADJ ADP PUNCT NOUN NOUN VERB ADV DET NOUN NOUN VERB ADV ADJ ADP NOUN NOUN NOUN VERB VERB NOUN NOUN PART ADP PUNCT DET PUNCT NOUN PUNCT PUNCT
The Grant Arms Hotel, run by Colin Hart, offers excellent salmon and trout fishing opportunities, comfortable accommodation and first - class advice on the fly of the moment ; and which fingers to cross.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the fly	figurative	identical	DET PROPN PROPN PROPN VERB ADP PROPN PROPN VERB ADJ NOUN CCONJ NOUN NOUN NOUN ADJ NOUN CCONJ ADJ PUNCT NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT CCONJ ADJ NOUN PART VERB	▁The ▁Grant ▁Arms ▁Hotel , ▁run ▁by ▁Col in ▁Har t , ▁offers ▁excellent ▁salmon ▁and ▁trout ▁fishing ▁opportunities , ▁comfortable ▁accommodation ▁and ▁first ▁- ▁class ▁advice ▁on ▁the ▁fly ▁of ▁the ▁moment ▁ ; ▁and ▁which ▁fingers ▁to ▁cross .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN VERB ADP PROPN PROPN PROPN PROPN PROPN VERB ADJ NOUN CCONJ NOUN NOUN NOUN NOUN ADJ NOUN CCONJ ADJ PUNCT NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT PUNCT CCONJ ADJ NOUN PART VERB VERB
Indeed, these weightings could possibly be adjusted’ on the fly’, according to the degree of confidence associated with each analyser.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the fly	figurative	dashes	ADV DET NOUN VERB ADV VERB ADJ ADP DET NOUN VERB ADP DET NOUN ADP NOUN VERB ADP DET NOUN	▁Indeed , ▁these ▁weightings ▁could ▁possibly ▁be ▁adjusted ’ ▁on ▁the ▁fly ’ , ▁according ▁to ▁the ▁degree ▁of ▁confidence ▁associated ▁with ▁each ▁analyser .	0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET NOUN VERB ADV VERB ADJ ADJ ADP DET NOUN NOUN NOUN VERB ADP DET NOUN ADP NOUN VERB ADP DET NOUN NOUN
All applications, and the bulk of Taos itself is written in Virtual Processor code, so that at run - time the code is loaded onto a real processor and translated on the fly into the chip's native instruction set.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the fly	figurative	identical	DET NOUN CCONJ DET NOUN ADP PROPN PRON VERB VERB ADP PROPN PROPN NOUN ADP ADP ADP NOUN PUNCT NOUN DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN ADJ NOUN NOUN	▁All ▁applications , ▁and ▁the ▁bulk ▁of ▁Ta os ▁itself ▁is ▁written ▁in ▁Virtual ▁Process or ▁code , ▁so ▁that ▁at ▁run ▁- ▁time ▁the ▁code ▁is ▁loaded ▁onto ▁a ▁real ▁processor ▁and ▁translated ▁on ▁the ▁fly ▁into ▁the ▁ chip ' s ▁native ▁instruction ▁set .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN CCONJ DET NOUN ADP PROPN PROPN PRON VERB VERB ADP PROPN PROPN PROPN NOUN NOUN ADP ADP ADP NOUN PUNCT NOUN DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN ADJ NOUN NOUN NOUN
Toronto had scored on a sacrifice fly and a single in the second inning and on a home run by Ernie Whitt in the fourth inning.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the fly	literal	combined-other	PROPN VERB VERB ADP DET NOUN NOUN CCONJ DET ADJ ADP DET ADJ NOUN CCONJ ADP DET NOUN NOUN ADP PROPN PROPN ADP DET ADJ NOUN	▁To ron to ▁had ▁score d ▁on ▁a ▁sacrifice ▁fly ▁and ▁a ▁single ▁in ▁the ▁second ▁in ning ▁and ▁on ▁a ▁home ▁run ▁by ▁Er nie ▁Whit t ▁in ▁the ▁fourth ▁in ning .	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB VERB ADP DET NOUN NOUN CCONJ DET ADJ ADP DET ADJ NOUN NOUN CCONJ ADP DET NOUN NOUN ADP PROPN PROPN PROPN PROPN ADP DET ADJ NOUN NOUN NOUN
The package also comes with a data compression utility that works ‘ on the fly’ so that it expands your files while they are being used, before re - shrinking them once you have finished using them.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the fly	figurative	dashes	DET NOUN ADV VERB ADP DET NOUN NOUN NOUN ADJ VERB PUNCT ADP DET NOUN ADP ADP PRON VERB ADJ NOUN ADP PRON VERB VERB VERB ADP NOUN PUNCT VERB PRON ADP PRON VERB VERB VERB PRON	▁The ▁package ▁also ▁comes ▁with ▁a ▁data ▁compression ▁utility ▁that ▁works ▁ ‘ ▁on ▁the ▁fly ’ ▁so ▁that ▁it ▁expand s ▁your ▁files ▁while ▁they ▁are ▁being ▁used , ▁before ▁re ▁- ▁shrink ing ▁them ▁once ▁you ▁have ▁finished ▁using ▁them .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADV VERB ADP DET NOUN NOUN NOUN ADJ VERB PUNCT PUNCT ADP DET NOUN NOUN ADP ADP PRON VERB VERB ADJ NOUN ADP PRON VERB VERB VERB VERB ADP NOUN PUNCT VERB VERB PRON ADP PRON VERB VERB VERB PRON PRON
All this talk of bits of code being pulled out of disk and cache, being translated on the fly and wandering around networks sounds horrendously slow, but appears in practice to be blindingly fast.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the fly	figurative	identical	ADJ DET NOUN ADP NOUN ADP NOUN VERB VERB ADP ADP NOUN CCONJ NOUN VERB VERB ADP DET NOUN CCONJ VERB ADP NOUN VERB ADV ADJ CCONJ VERB ADP NOUN PART VERB ADV ADJ	▁All ▁this ▁talk ▁of ▁bit s ▁of ▁code ▁being ▁pulled ▁out ▁of ▁disk ▁and ▁c ache , ▁being ▁translated ▁on ▁the ▁fly ▁and ▁wa nder ing ▁around ▁networks ▁sound s ▁horr end ously ▁slow , ▁but ▁appears ▁in ▁practice ▁to ▁be ▁blind ing ly ▁fast .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ DET NOUN ADP NOUN NOUN ADP NOUN VERB VERB ADP ADP NOUN CCONJ NOUN NOUN NOUN VERB VERB ADP DET NOUN CCONJ VERB VERB VERB ADP NOUN VERB VERB ADV ADV ADV ADJ ADJ CCONJ VERB ADP NOUN PART VERB ADV ADV ADV ADJ ADJ
