Call it a day out here? '	1 1 0 1 0 0 0	call it a day	figurative	case	VERB PRON DET NOUN ADV ADV PUNCT
In the end he slippered Pickerage and called it a day.	0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	inflection	ADP DET NOUN PRON VERB PROPN CCONJ VERB PRON DET NOUN
A desperate mix of pride and masochism would have kept me wallowing around until dark, but I was forcefully persuaded to call it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	DET ADJ NOUN ADP NOUN CCONJ NOUN VERB VERB VERB PRON VERB PART ADP NOUN CCONJ PRON VERB ADV VERB PART VERB PRON DET NOUN
It was time she also called it a day ; she would continue with the work she was doing after she 'd eaten.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	inflection	PRON VERB NOUN PRON ADV VERB PRON DET NOUN PUNCT PRON VERB VERB ADP DET NOUN PRON VERB VERB ADP PRON VERB VERB
By the end of the season, Moores ' partners called it a day.	0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	inflection	ADP DET NOUN ADP DET NOUN PROPN PART NOUN VERB PRON DET NOUN
A quick handshake, and a heartfelt tribute to the beauty of his voice, and she could call it a day and go home gracefully.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	call it a day	figurative	identical	DET ADJ NOUN CCONJ DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN CCONJ PRON VERB VERB PRON DET NOUN CCONJ VERB ADV ADV
We 've got ta call it, call it a day now.	0 0 0 0 0 0 1 1 0 1 0	call it a day	figurative	identical	PRON VERB VERB PART VERB PRON VERB PRON DET NOUN ADV
THE party's over, it's time to call it a day — but Catherine Zeta Jones was having such a perfick time she just didn't notice.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	call it a day	figurative	identical	DET NOUN ADV PRON NOUN PART VERB PRON DET NOUN PUNCT CCONJ PROPN PROPN PROPN VERB VERB ADJ DET ADJ NOUN PRON ADV VERB VERB
Then Wyllie just kept thumping the ball downfield and soon time ran out on Musselburgh, whose only crumb of comfort is that their coach, Raymond Clark, who had planned to call it a day, is now likely to stay on next season.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	call it a day	figurative	identical	ADV PROPN ADV VERB VERB DET NOUN NOUN CCONJ ADV NOUN VERB PART ADP PROPN ADJ ADV NOUN ADP NOUN VERB ADP ADJ NOUN PROPN PROPN NOUN VERB VERB PART VERB PRON DET NOUN VERB ADV ADJ PART VERB ADP ADJ NOUN
‘ I would like to play through to the Canada tournament then call it a day, hopefully going out in a blaze of glory.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	call it a day	figurative	identical	PUNCT PRON VERB VERB PART VERB PART ADP DET PROPN NOUN ADV VERB PRON DET NOUN ADV VERB PART ADP DET NOUN ADP PUNCT
Polls suggested that up to one in four Conservative MPs wanted her to go before the next general election : growing numbers of backbenchers were prepared openly to declare that the time had come for her to call it a day.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	call it a day	figurative	identical	NOUN VERB ADP ADP ADP NUM ADP NUM PROPN NOUN VERB PRON PART VERB ADP DET ADJ ADJ NOUN PUNCT VERB NOUN ADP NOUN VERB VERB ADV PART VERB ADP DET NOUN VERB VERB ADP PRON PART VERB PRON DET NOUN
