It's a close call, but days like these when there are ‘ highs’ make it all worthwhile.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	close call	figurative	identical	PRON DET ADJ NOUN CCONJ NOUN ADP DET ADV ADV VERB PUNCT NOUN VERB PRON DET ADJ
Close call, though.	1 1 0	close call	figurative	case	ADJ NOUN ADV
Laba, who was later to become one of our shipmates, had been a fruit farmer and had only recently taken up sailing on the advice of the local shaman after a string of close calls with pythons.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	close call	figurative	inflection	PROPN NOUN VERB ADV PART VERB NUM ADP ADJ NOUN VERB VERB DET NOUN NOUN CCONJ VERB ADV ADV VERB PART NOUN ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADP NOUN
The farthest phrases, and the closest calls,	0 0 0 0 0 1 1	close call	figurative	misc	DET ADJ NOUN CCONJ DET ADJ NOUN
Even so it was a close call.	0 0 0 0 0 1 1	close call	figurative	identical	ADV ADP PRON VERB DET ADJ NOUN
Class B was won by Tranmere contestant Jim Gavin aboard Salamandra but it was a close call with Catch 32 owned by Jim Myerscough from Blundellsands.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	close call	figurative	identical	NOUN PROPN VERB VERB ADP PROPN ADJ PROPN PROPN ADP PROPN CCONJ PRON VERB DET ADJ NOUN ADP PROPN NUM VERB ADP PROPN PROPN ADP PROPN
And the Roker goal had another close call when Middlesbrough's influential midfielder, Andy Peake, struck a powerful drive which Owers managed to scramble away.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	close call	figurative	identical	CCONJ DET PROPN NOUN VERB DET ADJ NOUN ADV PROPN ADJ NOUN PROPN PROPN VERB DET ADJ NOUN ADJ NOUN VERB PART VERB ADV
One close call the barman.	0 1 1 0 0	close call	figurative	identical	NUM ADJ VERB DET NOUN
She then launched into an account so detailed that Johnson said to Boswell, ‘ All this should be written down,’ and Boswell did, in a faithful rendition that traces every move made by the prince and those who wished him to escape — every hardship, close call and incident, every hope, frustration and despair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	close call	figurative	identical	PRON ADV VERB ADP DET NOUN ADV ADJ ADP PROPN VERB ADP PROPN PUNCT ADJ DET VERB VERB VERB NOUN CCONJ PROPN VERB ADP DET ADJ NOUN ADJ VERB DET NOUN VERB ADP DET NOUN CCONJ DET NOUN VERB PRON PART VERB PUNCT DET NOUN ADJ NOUN CCONJ NOUN DET NOUN NOUN CCONJ NOUN
He left the ground via a close call with an ambulance and came very close to running over your correspondent.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	close call	figurative	identical	PRON VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB ADV ADV ADP VERB ADP ADJ NOUN
‘ There has been a number of close calls this year like the recent UFF attack on the bookmakers in North Belfast,’ said a detective.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	close call	figurative	inflection	PUNCT ADV VERB VERB DET NOUN ADP ADJ NOUN DET NOUN ADP DET ADJ PROPN NOUN ADP DET NOUN ADP PROPN PROPN VERB DET NOUN
Close call for Stich	1 1 0 0	close call	figurative	case	ADJ NOUN ADP PROPN
If you are a Swindon fan, you 're bias of course, but it was a close call.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	close call	figurative	identical	ADP PRON VERB DET PROPN NOUN PRON VERB NOUN ADP NOUN CCONJ PRON VERB DET ADJ NOUN
Indeed, because of unsatisfactory conditions and a close call last season, Kent have forsaken Dartford this summer and, for economic reasons, will not play at Folkestone.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	close call	figurative	identical	ADV ADP ADP ADJ NOUN CCONJ DET ADJ NOUN ADJ NOUN PROPN VERB VERB PROPN DET NOUN CCONJ ADP ADJ NOUN VERB ADV VERB ADP PROPN
That calm, matter - of - fact voice belonged to Jack Swigert, the command module pilot, who survived that close call but died of cancer a few weeks ago.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	close call	figurative	identical	DET ADJ NOUN PUNCT ADP PUNCT NOUN NOUN VERB ADP PROPN PROPN DET NOUN NOUN NOUN NOUN VERB DET ADJ NOUN CCONJ VERB ADP NOUN DET ADJ NOUN ADV
