Soviet culture is slipping down the drain	0 0 0 0 1 0 1	down the drain	figurative	identical	ADJ NOUN VERB VERB PART DET NOUN
Mind you, he paid, I 'll say that for him, but it might just as well have been her — the money was thrown down the drain all the same! "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	down the drain	figurative	identical	VERB PRON PRON VERB PRON VERB VERB ADP ADP PRON CCONJ PRON VERB ADV ADV ADV VERB VERB PRON PUNCT DET NOUN VERB VERB PART DET NOUN ADJ DET ADJ PUNCT
Money down the drain?	0 1 0 1	down the drain	figurative	identical	NOUN ADP DET NOUN
You select which device you want, put it on the end of the drain rods and push them down the drain or the rodding point.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	down the drain	literal	identical	PRON VERB ADJ NOUN PRON VERB VERB PRON ADP DET NOUN ADP DET NOUN NOUN CCONJ VERB PRON ADP DET NOUN CCONJ DET NOUN NOUN
Then suddenly, right out of the blue, it had gone straight down the drain.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	ADV ADV ADV ADP ADP DET ADJ PRON VERB VERB ADV ADP DET NOUN
Yer know that our ole boxin ' Club's gone down the drain since those new geezers took over.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	down the drain	figurative	identical	INTJ VERB ADP ADJ ADJ NOUN PUNCT PROPN VERB ADP DET NOUN ADP DET ADJ NOUN VERB PART
But that can't be true, Sabine thought, or she 'd have burned the lot, and put the key down the nearest drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	down the drain	literal	insertion-other	CCONJ DET VERB VERB ADJ PROPN VERB CCONJ PRON VERB VERB VERB DET NOUN CCONJ VERB DET NOUN ADP DET ADJ NOUN
There are fears of family life going down the drain, as staff may get only two complete weekends off in seven.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	down the drain	figurative	identical	ADV VERB NOUN ADP NOUN NOUN VERB ADP DET NOUN ADP NOUN VERB VERB ADV NUM ADJ NOUN ADV ADP NUM
One biggish living room and a little back kitchen with no water and no sanitation and if you wanted to dispose of your water you 'd have to take it out on the roadside and chuck it down the main drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	down the drain	literal	insertion-other	NUM ADJ NOUN NOUN CCONJ DET ADJ ADJ NOUN ADP DET NOUN CCONJ DET NOUN CCONJ ADP PRON VERB PART VERB ADP ADJ NOUN PRON VERB VERB PART VERB PRON PART ADP DET NOUN CCONJ VERB PRON ADP DET ADJ NOUN
Mr Brown was livid at the way £ 1 billion in precious foreign reserves was poured down the drain during the sterling fiasco a fortnight ago.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	down the drain	figurative	identical	PROPN PROPN VERB ADJ ADP DET NOUN SYM NUM NUM ADP ADJ ADJ NOUN VERB VERB PART DET NOUN ADP DET NOUN NOUN DET NOUN ADV
If they can achieve that, and get it patented, all your hard work goes down the drain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the drain	figurative	identical	ADP PRON VERB VERB DET CCONJ VERB PRON VERB DET ADJ ADJ NOUN VERB ADP DET NOUN
