But now with that well I 've done my head in!	0 0 0 0 0 0 0 1 1 1 1	do someone's head in	figurative	combined-inflection	CCONJ ADV ADP DET INTJ PRON VERB VERB ADJ NOUN ADV	▁But ▁now ▁with ▁that ▁well ▁I ▁' ve ▁done ▁my ▁head ▁in !	0 0 0 0 0 0 0 0 1 1 1 1 1	CCONJ ADV ADP DET INTJ PRON VERB VERB VERB ADJ NOUN ADV ADV
He comes over ours at Christmas and he does my head in cos he keeps on kicking me at the dinner table!	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	do someone's head in	figurative	combined-inflection	PRON VERB ADP NOUN ADP PROPN CCONJ PRON VERB ADJ NOUN ADV ADP PRON VERB PART VERB PRON ADP DET NOUN NOUN	▁He ▁comes ▁over ▁our s ▁at ▁Christmas ▁and ▁he ▁does ▁my ▁head ▁in ▁co s ▁he ▁keeps ▁on ▁kick ing ▁me ▁at ▁the ▁dinner ▁table !	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP NOUN NOUN ADP PROPN CCONJ PRON VERB ADJ NOUN ADV ADP ADP PRON VERB PART VERB VERB PRON ADP DET NOUN NOUN NOUN
In twentieth century slang, this planet was ‘ doing her head in’.	0 0 0 0 0 0 0 0 1 1 1 1	do someone's head in	figurative	combined-inflection	ADP ADJ NOUN NOUN DET NOUN VERB PUNCT VERB ADJ NOUN PROPN	▁In ▁twentieth ▁century ▁s lang , ▁this ▁planet ▁was ▁ ‘ ▁doing ▁her ▁head ▁in ’ .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADP ADJ NOUN NOUN NOUN NOUN DET NOUN VERB PUNCT PUNCT VERB ADJ NOUN PROPN PROPN PROPN
blunted my edges and did my head in.	0 0 0 0 1 1 1 1	do someone's head in	figurative	combined-inflection	VERB ADJ NOUN CCONJ VERB ADJ NOUN ADV	▁blunt ed ▁my ▁edges ▁and ▁did ▁my ▁head ▁in .	0 0 0 0 0 1 1 1 1 1	VERB VERB ADJ NOUN CCONJ VERB ADJ NOUN ADV ADV
Well you leaving your fucking crusts on the top do my head in!	0 0 0 0 0 0 0 0 0 1 1 1 1	do someone's head in	figurative	possessive	INTJ PRON VERB ADJ ADJ NOUN ADP DET NOUN VERB ADJ NOUN ADV	▁Well ▁you ▁leaving ▁your ▁f uck ing ▁crust s ▁on ▁the ▁top ▁do ▁my ▁head ▁in !	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	INTJ PRON VERB ADJ ADJ ADJ ADJ NOUN NOUN ADP DET NOUN VERB ADJ NOUN ADV ADV
They do your head in.	0 1 1 1 1	do someone's head in	figurative	possessive	PRON VERB ADJ NOUN ADV	▁They ▁do ▁your ▁head ▁in .	0 1 1 1 1 1	PRON VERB ADJ NOUN ADV ADV
Don't think, I can't remember, you 're doing my head in tramp, fuck off!	0 0 0 0 0 0 0 1 1 1 1 0 0 0	do someone's head in	figurative	combined-inflection	VERB VERB PRON VERB VERB PRON VERB VERB ADJ NOUN ADP NOUN VERB PART	▁Don ' t ▁think , ▁I ▁can ' t ▁remember , ▁you ▁' re ▁doing ▁my ▁head ▁in ▁tram p , ▁f uck ▁off !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	VERB VERB VERB VERB VERB PRON VERB VERB VERB VERB VERB PRON VERB VERB VERB ADJ NOUN ADP NOUN NOUN NOUN VERB VERB PART PART
‘ Anyhow, I was so busy last year doing five things at once that it really did my head in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	do someone's head in	figurative	combined-inflection	PUNCT ADV PRON VERB ADV ADJ ADJ NOUN VERB NUM NOUN ADP ADV ADP PRON ADV VERB ADJ NOUN ADV	▁ ‘ ▁Any how , ▁I ▁was ▁so ▁busy ▁last ▁year ▁doing ▁five ▁things ▁at ▁once ▁that ▁it ▁really ▁did ▁my ▁head ▁in .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT ADV ADV ADV PRON VERB ADV ADJ ADJ NOUN VERB NUM NOUN ADP ADV ADP PRON ADV VERB ADJ NOUN ADV ADV
He done my head in so I shot him in it.	0 1 1 1 1 0 0 0 0 0 0	do someone's head in	figurative	combined-inflection	PRON VERB ADJ NOUN ADV ADV PRON VERB PRON ADP PRON	▁He ▁done ▁my ▁head ▁in ▁so ▁I ▁shot ▁him ▁in ▁it .	0 1 1 1 1 0 0 0 0 0 0 0	PRON VERB ADJ NOUN ADV ADV PRON VERB PRON ADP PRON PRON
‘ It did our heads in a bit, freaked us out just for the fact that everybody who's ever met us in the business knows exactly how we are.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone's head in	figurative	combined-inflection	PUNCT PRON VERB ADJ NOUN ADP DET NOUN VERB PRON PART ADV ADP DET NOUN ADP NOUN NOUN ADV VERB PRON ADP DET NOUN VERB ADV ADV PRON VERB	▁ ‘ ▁It ▁did ▁our ▁heads ▁in ▁a ▁bit , ▁fre ak ed ▁us ▁out ▁just ▁for ▁the ▁fact ▁that ▁everybody ▁who ' s ▁ever ▁met ▁us ▁in ▁the ▁business ▁knows ▁exactly ▁how ▁we ▁are .	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB ADJ NOUN ADP DET NOUN NOUN VERB VERB VERB PRON PART ADV ADP DET NOUN ADP NOUN NOUN NOUN NOUN ADV VERB PRON ADP DET NOUN VERB ADV ADV PRON VERB VERB
It does my head in.	0 1 1 1 1	do someone's head in	figurative	combined-inflection	PRON VERB ADJ NOUN ADV	▁It ▁does ▁my ▁head ▁in .	0 1 1 1 1 1	PRON VERB ADJ NOUN ADV ADV
