It was back to square one.	0 0 1 1 1 1	back to square one	figurative	identical	PRON VERB ADV ADP ADJ NUM	▁It ▁was ▁back ▁to ▁square ▁one .	0 0 1 1 1 1 1	PRON VERB ADV ADP ADJ NUM NUM
Never shut the filter down, or the beneficial bacteria will die and you will be back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	ADV VERB DET NOUN PART CCONJ DET ADJ NOUN VERB VERB CCONJ PRON VERB VERB ADV ADP ADJ NUM	▁Never ▁shut ▁the ▁filter ▁down , ▁or ▁the ▁beneficial ▁bacteria ▁will ▁die ▁and ▁you ▁will ▁be ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV VERB DET NOUN PART PART CCONJ DET ADJ NOUN VERB VERB CCONJ PRON VERB VERB ADV ADP ADJ NUM NUM
But if you blow the whole lot on celebrating you will be back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	CCONJ ADP PRON VERB DET ADJ NOUN ADP VERB PRON VERB VERB ADV ADP ADJ NUM	▁But ▁if ▁you ▁blow ▁the ▁whole ▁lot ▁on ▁celebrat ing ▁you ▁will ▁be ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	CCONJ ADP PRON VERB DET ADJ NOUN ADP VERB VERB PRON VERB VERB ADV ADP ADJ NUM NUM
It is not impossible for a No answer in the last lozenge to result in the project going back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	PRON VERB ADV ADJ ADP DET NOUN NOUN ADP DET ADJ NOUN PART VERB ADP DET NOUN VERB ADV ADP ADJ NUM	▁It ▁is ▁not ▁impossible ▁for ▁a ▁No ▁answer ▁in ▁the ▁last ▁lo zen ge ▁to ▁result ▁in ▁the ▁project ▁going ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB ADV ADJ ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN NOUN PART VERB ADP DET NOUN VERB ADV ADP ADJ NUM NUM
They were back to square one.	0 0 1 1 1 1	back to square one	figurative	identical	PRON VERB ADV ADP ADJ NUM	▁They ▁were ▁back ▁to ▁square ▁one .	0 0 1 1 1 1 1	PRON VERB ADV ADP ADJ NUM NUM
But if we go back to square one ( and so back to the roots, back to the foundations, back to the beginning ), we will find a faith which is solid and secure.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	back to square one	figurative	identical	CCONJ ADP PRON VERB ADV ADP ADJ NUM PUNCT CCONJ ADV ADV ADP DET NOUN ADV ADP DET NOUN ADV ADP DET NOUN PUNCT PRON VERB VERB DET NOUN ADJ VERB ADJ CCONJ ADJ	▁But ▁if ▁we ▁go ▁back ▁to ▁square ▁one ▁( ▁and ▁so ▁back ▁to ▁the ▁roots , ▁back ▁to ▁the ▁foundations , ▁back ▁to ▁the ▁beginning ▁ ), ▁we ▁will ▁find ▁a ▁faith ▁which ▁is ▁solid ▁and ▁secure .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP PRON VERB ADV ADP ADJ NUM PUNCT CCONJ ADV ADV ADP DET NOUN NOUN ADV ADP DET NOUN NOUN ADV ADP DET NOUN PUNCT PUNCT PRON VERB VERB DET NOUN ADJ VERB ADJ CCONJ ADJ ADJ
If something didn't break, and soon, they would be back to square one.	0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	ADP NOUN VERB VERB CCONJ ADV PRON VERB VERB ADV ADP ADJ NUM	▁If ▁something ▁did n ' t ▁break , ▁and ▁soon , ▁they ▁would ▁be ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP NOUN VERB VERB VERB VERB VERB VERB CCONJ ADV ADV PRON VERB VERB ADV ADP ADJ NUM NUM
I mean there ought to be someone who can make a lead for us in house, that sort of thing, which we don't have at the moment, because we 've got things like complicated split leads for rigging up two monitors, and we 've had those twice we 've had those made, outside, but they only need to get sort of broken, and we 're back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	PRON VERB ADV VERB PART VERB NOUN NOUN VERB VERB DET NOUN ADP PRON ADP NOUN DET NOUN ADP NOUN ADJ PRON VERB VERB ADP DET NOUN ADP PRON VERB VERB NOUN ADP ADJ ADJ NOUN ADP VERB PART NUM NOUN CCONJ PRON VERB VERB DET ADV PRON VERB VERB DET VERB ADV CCONJ PRON ADV VERB PART VERB ADV ADV ADJ CCONJ PRON VERB ADV ADP ADJ NUM	▁I ▁mean ▁there ▁ought ▁to ▁be ▁someone ▁who ▁can ▁make ▁a ▁lead ▁for ▁us ▁in ▁house , ▁that ▁sort ▁of ▁thing , ▁which ▁we ▁don ' t ▁have ▁at ▁the ▁moment , ▁because ▁we ▁' ve ▁got ▁things ▁like ▁complicated ▁split ▁leads ▁for ▁rig g ing ▁up ▁two ▁monitors , ▁and ▁we ▁' ve ▁had ▁those ▁twice ▁we ▁' ve ▁had ▁those ▁made , ▁outside , ▁but ▁they ▁only ▁need ▁to ▁get ▁sort ▁of ▁broken , ▁and ▁we ▁' re ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB ADV VERB PART VERB NOUN NOUN VERB VERB DET NOUN ADP PRON ADP NOUN NOUN DET NOUN ADP NOUN NOUN ADJ PRON VERB VERB VERB VERB ADP DET NOUN NOUN ADP PRON VERB VERB VERB NOUN ADP ADJ ADJ NOUN ADP VERB VERB VERB PART NUM NOUN NOUN CCONJ PRON VERB VERB VERB DET ADV PRON VERB VERB VERB DET VERB VERB ADV ADV CCONJ PRON ADV VERB PART VERB ADV ADV ADJ ADJ CCONJ PRON VERB VERB ADV ADP ADJ NUM NUM
She was back to square one.	0 0 1 1 1 1	back to square one	figurative	identical	PRON VERB ADV ADP ADJ NUM	▁She ▁was ▁back ▁to ▁square ▁one .	0 0 1 1 1 1 1	PRON VERB ADV ADP ADJ NUM NUM
Within days Charlie had lost all the profit he had made in the past year and suddenly found himself back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	ADP NOUN PROPN VERB VERB ADJ DET NOUN PRON VERB VERB ADP DET ADJ NOUN CCONJ ADV VERB PRON ADV ADP ADJ NUM	▁Within ▁days ▁Char lie ▁had ▁lost ▁all ▁the ▁profit ▁he ▁had ▁made ▁in ▁the ▁past ▁year ▁and ▁suddenly ▁found ▁himself ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP NOUN PROPN PROPN VERB VERB ADJ DET NOUN PRON VERB VERB ADP DET ADJ NOUN CCONJ ADV VERB PRON ADV ADP ADJ NUM NUM
It can be much worse if you are selling as well as buying, for you are then involved in a dreaded thing called ‘ the chain ', which only moves at the pace of the slowest, if it does not disintegrate along the way and put you back to square one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	back to square one	figurative	identical	PRON VERB VERB ADV ADJ ADP PRON VERB VERB ADV ADV ADP NOUN ADP PRON VERB ADV VERB ADP DET ADJ NOUN VERB PRON DET NOUN PUNCT ADJ ADV VERB ADP DET NOUN ADP DET ADJ ADP PRON VERB ADV VERB ADP DET NOUN CCONJ VERB PRON ADV ADP ADJ NUM	▁It ▁can ▁be ▁much ▁worse ▁if ▁you ▁are ▁selling ▁as ▁well ▁as ▁buying , ▁for ▁you ▁are ▁then ▁involved ▁in ▁a ▁d read ed ▁thing ▁called ▁ ‘ ▁the ▁chain ▁' , ▁which ▁only ▁moves ▁at ▁the ▁pace ▁of ▁the ▁slow est , ▁if ▁it ▁does ▁not ▁dis in tegra te ▁along ▁the ▁way ▁and ▁put ▁you ▁back ▁to ▁square ▁one .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PRON VERB VERB ADV ADJ ADP PRON VERB VERB ADV ADV ADP NOUN NOUN ADP PRON VERB ADV VERB ADP DET ADJ ADJ ADJ NOUN VERB PRON PRON DET NOUN PUNCT PUNCT ADJ ADV VERB ADP DET NOUN ADP DET ADJ ADJ ADJ ADP PRON VERB ADV VERB VERB VERB VERB ADP DET NOUN CCONJ VERB PRON ADV ADP ADJ NUM NUM
