Keegan keeps low profile	0 1 1 1	keep a low profile	figurative	combined-inflection	PROPN VERB ADJ NOUN	▁Ke e gan ▁keeps ▁low ▁profile	0 0 0 1 1 1	PROPN PROPN PROPN VERB ADJ NOUN
‘ No one would blame you if you wanted to keep a low profile.’	0 0 0 0 0 0 0 0 0 0 1 0 1 1	keep a low profile	figurative	dashes	PUNCT DET NOUN VERB VERB PRON ADP PRON VERB PART VERB DET ADJ NOUN	▁ ‘ ▁No ▁one ▁would ▁blame ▁you ▁if ▁you ▁wanted ▁to ▁keep ▁a ▁low ▁profile . ’	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	PUNCT PUNCT DET NOUN VERB VERB PRON ADP PRON VERB PART VERB DET ADJ NOUN NOUN NOUN
PRINCE Charles kept a low profile during an official visit yesterday when he was taken 20 ft underground into a sewer.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	PROPN PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN NOUN ADV PRON VERB VERB NUM ADV ADV ADP DET NOUN	▁P RIN CE ▁Charles ▁kept ▁a ▁low ▁profile ▁during ▁an ▁official ▁visit ▁yesterday ▁when ▁he ▁was ▁taken ▁20 ▁ft ▁underground ▁into ▁a ▁se wer .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN NOUN ADV PRON VERB VERB NUM ADV ADV ADP DET NOUN NOUN NOUN
In this climate, the academic in English and other subjects in the humanities, who is busy, who publishes a lot, who goes to conferences, can not but be preferred to the quiet scholar, who keeps a low profile, even seems rather idle, but is taking his time over a major piece of scholarly writing that may involve many years ' work and which he does not intend to give to the world until he is ready.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	ADP DET NOUN DET ADJ ADP PROPN CCONJ ADJ NOUN ADP DET NOUN NOUN VERB ADJ NOUN VERB DET NOUN NOUN VERB ADP NOUN VERB ADV CCONJ VERB VERB ADP DET ADJ NOUN NOUN VERB DET ADJ NOUN ADV VERB ADV ADJ CCONJ VERB VERB ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN ADJ VERB VERB ADJ NOUN PART NOUN CCONJ ADJ PRON VERB ADV VERB PART VERB ADP DET NOUN ADP PRON VERB ADJ	▁In ▁this ▁climate , ▁the ▁academic ▁in ▁English ▁and ▁other ▁subjects ▁in ▁the ▁human ities , ▁who ▁is ▁busy , ▁who ▁publishes ▁a ▁lot , ▁who ▁goes ▁to ▁conferences , ▁can ▁not ▁but ▁be ▁preferred ▁to ▁the ▁quiet ▁scholar , ▁who ▁keeps ▁a ▁low ▁profile , ▁even ▁seems ▁rather ▁idle , ▁but ▁is ▁taking ▁his ▁time ▁over ▁a ▁major ▁piece ▁of ▁scholar ly ▁writing ▁that ▁may ▁involve ▁many ▁years ▁' ▁work ▁and ▁which ▁he ▁does ▁not ▁intend ▁to ▁give ▁to ▁the ▁world ▁until ▁he ▁is ▁ready .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN DET ADJ ADP PROPN CCONJ ADJ NOUN ADP DET NOUN NOUN NOUN NOUN VERB ADJ ADJ NOUN VERB DET NOUN NOUN NOUN VERB ADP NOUN NOUN VERB ADV CCONJ VERB VERB ADP DET ADJ NOUN NOUN NOUN VERB DET ADJ NOUN NOUN ADV VERB ADV ADJ ADJ CCONJ VERB VERB ADJ NOUN ADP DET ADJ NOUN ADP ADJ ADJ NOUN ADJ VERB VERB ADJ NOUN PART NOUN CCONJ ADJ PRON VERB ADV VERB PART VERB ADP DET NOUN ADP PRON VERB ADJ ADJ
Neighbours say he has kept a low profile since moving in, prefering to stay by the pool than go out on the town.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	NOUN VERB PRON VERB VERB DET ADJ NOUN ADP VERB PART VERB PART VERB ADP DET NOUN ADP VERB PART ADP DET NOUN	▁Ne igh bo urs ▁say ▁he ▁has ▁kept ▁a ▁low ▁profile ▁since ▁moving ▁in , ▁prefer ing ▁to ▁stay ▁by ▁the ▁pool ▁than ▁go ▁out ▁on ▁the ▁town .	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN VERB PRON VERB VERB DET ADJ NOUN ADP VERB PART PART VERB VERB PART VERB ADP DET NOUN ADP VERB PART ADP DET NOUN NOUN
But he's not the sort of politician to keep a low profile for long.	0 0 0 0 0 0 0 0 1 0 1 1 0 0	keep a low profile	figurative	identical	CCONJ PRON ADV DET NOUN ADP NOUN PART VERB DET ADJ NOUN ADP ADV	▁But ▁he ' s ▁not ▁the ▁sort ▁of ▁politician ▁to ▁keep ▁a ▁low ▁profile ▁for ▁long .	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	CCONJ PRON PRON PRON ADV DET NOUN ADP NOUN PART VERB DET ADJ NOUN ADP ADV ADV
Our orders were to keep a low profile while keeping watch on the yacht which we did for about twenty four hours.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	identical	ADJ NOUN VERB PART VERB DET ADJ NOUN ADP VERB NOUN ADP DET NOUN ADJ PRON VERB ADP ADV NUM NUM NOUN	▁Our ▁orders ▁were ▁to ▁keep ▁a ▁low ▁profile ▁while ▁keeping ▁watch ▁on ▁the ▁y ach t ▁which ▁we ▁did ▁for ▁about ▁twenty ▁four ▁hours .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB PART VERB DET ADJ NOUN ADP VERB NOUN ADP DET NOUN NOUN NOUN ADJ PRON VERB ADP ADV NUM NUM NOUN NOUN
Whatever, they would run from me, or shout rude things from a distance, so I kept a low profile and restricted my brief visits to the town to a taciturn minimum.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	keep a low profile	figurative	inflection	ADJ PRON VERB VERB ADP PRON CCONJ VERB ADJ NOUN ADP DET NOUN CCONJ PRON VERB DET ADJ NOUN CCONJ VERB ADJ ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN	▁What ever , ▁they ▁would ▁run ▁from ▁me , ▁or ▁shout ▁ru de ▁things ▁from ▁a ▁distance , ▁so ▁I ▁kept ▁a ▁low ▁profile ▁and ▁restricted ▁my ▁brief ▁visits ▁to ▁the ▁town ▁to ▁a ▁tacit urn ▁minimum .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ PRON VERB VERB ADP PRON PRON CCONJ VERB ADJ ADJ NOUN ADP DET NOUN NOUN CCONJ PRON VERB DET ADJ NOUN CCONJ VERB ADJ ADJ NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN NOUN
Morse keeps a low profile for life in Provence	0 1 0 1 1 0 0 0 0	keep a low profile	figurative	inflection	PROPN VERB DET ADJ NOUN ADP NOUN ADP PROPN	▁Mor se ▁keeps ▁a ▁low ▁profile ▁for ▁life ▁in ▁Provence	0 0 1 0 1 1 0 0 0 0	PROPN PROPN VERB DET ADJ NOUN ADP NOUN ADP PROPN
Priskin's back to his mischievous ways, though he now knows to keep a low profile on washing day.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	keep a low profile	figurative	identical	PROPN NOUN ADP ADJ ADJ NOUN ADP PRON ADV VERB PART VERB DET ADJ NOUN ADP NOUN NOUN	▁Pri skin ' s ▁back ▁to ▁his ▁mis chi ev ous ▁ways , ▁though ▁he ▁now ▁knows ▁to ▁keep ▁a ▁low ▁profile ▁on ▁washing ▁day .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	PROPN PROPN PROPN PROPN NOUN ADP ADJ ADJ ADJ ADJ ADJ NOUN NOUN ADP PRON ADV VERB PART VERB DET ADJ NOUN ADP NOUN NOUN NOUN
But since then they have kept a low profile and not made their findings public.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	keep a low profile	figurative	inflection	CCONJ ADP ADV PRON VERB VERB DET ADJ NOUN CCONJ ADV VERB ADJ NOUN ADJ	▁But ▁since ▁then ▁they ▁have ▁kept ▁a ▁low ▁profile ▁and ▁not ▁made ▁their ▁findings ▁public .	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0	CCONJ ADP ADV PRON VERB VERB DET ADJ NOUN CCONJ ADV VERB ADJ NOUN ADJ ADJ
