She picked up a piece of pottery and turned it over.	0 1 1 0 1 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PRON VERB PART DET NOUN ADP NOUN CCONJ VERB PRON PART
She picked up a small piece of paper lying beside her and began turning it over and over in her fingers.	0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PRON VERB PART DET ADJ NOUN ADP NOUN VERB ADP PRON CCONJ VERB VERB PRON ADV CCONJ ADV ADP ADJ NOUN
I only pick up pieces of broken glass where others collect coins and things.	0 0 1 1 1 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	deletion-determiner	PRON ADV VERB PART NOUN ADP ADJ NOUN ADV NOUN VERB NOUN CCONJ NOUN
Now the players have to pick up the pieces.’	0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	dashes	ADV DET NOUN VERB PART VERB PART DET NOUN
Her life - long friend, Catherine Quinn, 23, escaped serious injury because she had bent down to pick up a 20p piece, and she was flung over hand railings.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	ADJ NOUN PUNCT ADJ NOUN PROPN PROPN NUM VERB ADJ NOUN ADP PRON VERB VERB PART PART VERB PART DET NUM NOUN CCONJ PRON VERB VERB ADP NOUN NOUN
I just have a lot of respect for someone who can pick up a piece of wood or metal and make music out of it. '	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PRON ADV VERB DET NOUN ADP NOUN ADP NOUN NOUN VERB VERB PART DET NOUN ADP NOUN CCONJ NOUN CCONJ VERB NOUN ADP ADP PRON PUNCT
As proved by history, women are the ones who have to pick up the pieces in the aftermath of war.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	pick up the pieces	figurative	identical	ADP VERB ADP NOUN NOUN VERB DET NOUN NOUN VERB PART VERB PART DET NOUN ADP DET NOUN ADP NOUN
The structure of Angevin rule in Aquitaine had been severely shaken by the Young King's intervention, but once he was gone it was not difficult to pick up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	identical	DET NOUN ADP PROPN NOUN ADP PROPN VERB VERB ADV VERB ADP DET PROPN PROPN NOUN CCONJ ADP PRON VERB VERB PRON VERB ADV ADJ PART VERB PART DET NOUN
And long - suffering wife Bet — actress Julie Goodyear — will be left to pick up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	identical	CCONJ ADV PUNCT VERB NOUN PROPN PUNCT NOUN PROPN PROPN PUNCT VERB VERB VERB PART VERB PART DET NOUN
Picking up the pieces of his career, Hunt managed to move into F– at the end of the year.	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	combined-inflection	VERB PART DET NOUN ADP ADJ NOUN PROPN VERB PART VERB ADP PROPN ADP DET NOUN ADP DET NOUN
Yes, that's okay, it's just that originally you see, we had an outbound tonight as well mhm, yes okay I think we can pick up the pieces from there.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	pick up the pieces	figurative	identical	INTJ DET ADJ PRON ADV ADP ADV PRON VERB PRON VERB DET ADJ NOUN ADV ADV INTJ INTJ INTJ PRON VERB PRON VERB VERB PART DET NOUN ADP ADV
And if there's no money in it for me I 'm not gon na give priority to going picking up a piece of wood for a customer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	pick up the pieces	literal	combined-inflection	CCONJ ADP ADV DET NOUN ADP PRON ADP PRON PRON VERB ADV VERB PART VERB NOUN ADP VERB VERB PART DET NOUN ADP NOUN ADP DET NOUN
So we have to pick up the pieces on this one.’	0 0 0 0 1 1 0 1 0 0 0	pick up the pieces	figurative	identical	ADV PRON VERB PART VERB PART DET NOUN ADP DET NOUN
The Villa boss was still trying to pick up the pieces after his side's shock exit from the Coca - Cola Cup in Tuesday night's fourth round replay at Ipswich.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	DET PROPN NOUN VERB ADV VERB PART VERB PART DET NOUN ADP ADJ NOUN NOUN NOUN ADP DET PROPN PUNCT PROPN PROPN ADP PROPN NOUN ADJ ADJ NOUN ADP PROPN
How they 've managed to pick up the pieces, when the most fundamental element of their relationship — trust — may have been shattered forever.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	ADV PRON VERB VERB PART VERB PART DET NOUN ADV DET ADV ADJ NOUN ADP ADJ NOUN PUNCT NOUN PUNCT VERB VERB VERB VERB ADV
The R S P C A have to pick up the pieces and they 've launched a campaign to try and stop it and joining me now is Alan.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	DET NOUN PROPN NOUN NOUN NOUN VERB PART VERB PART DET NOUN CCONJ PRON VERB VERB DET NOUN PART VERB CCONJ VERB PRON CCONJ VERB PRON ADV VERB PROPN
It seemed years, ages later when she found herself picking up pieces of broken plate and wiping fried egg off the tiles — so that Gran, when she returned, would find the kitchen tidy.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	PRON VERB NOUN NOUN ADV ADV PRON VERB PRON VERB PART NOUN ADP ADJ NOUN CCONJ VERB VERB NOUN ADP DET NOUN PUNCT ADP ADP PROPN ADV PRON VERB VERB VERB DET NOUN NOUN
It is true that the recession has been putting their customers out of business, but accountants will always be kept busy picking up the pieces, or explaining in long reports why other accountancy firms got it wrong and are liable for a fortune in damages.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	inflection	PRON VERB ADJ ADP DET NOUN VERB VERB VERB ADJ NOUN ADP ADP NOUN CCONJ NOUN VERB ADV VERB VERB ADJ VERB PART DET NOUN CCONJ VERB ADP ADJ NOUN ADV ADJ NOUN NOUN VERB PRON ADJ CCONJ VERB ADJ ADP DET NOUN ADP NOUN
Though still it has all the marks of makeshift industrialisation and decline, with municipalism picking up the pieces, building endless estates of council houses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	pick up the pieces	figurative	inflection	ADP ADV PRON VERB ADJ DET NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN VERB PART DET NOUN VERB ADJ NOUN ADP NOUN NOUN
Trying to pick up the pieces of his life, he says his experiences have made it difficult for him to trust anybody.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	identical	VERB PART VERB PART DET NOUN ADP ADJ NOUN PRON VERB ADJ NOUN VERB VERB PRON ADJ ADP PRON PART VERB NOUN
Robins picked a piece up off the beach.	0 1 0 1 1 0 0 0	pick up the pieces	literal	misc	PROPN VERB DET NOUN ADP ADP DET NOUN
I am careful not to leave even the smallest scrap of yarn lying around as mother birds pick up the pieces and use them for lining their nests.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	pick up the pieces	literal	identical	PRON VERB ADJ ADV PART VERB ADV DET ADJ NOUN ADP NOUN VERB ADV ADP NOUN NOUN VERB PART DET NOUN CCONJ VERB PRON ADP VERB ADJ NOUN
About picking up the pieces and wondering where we go from there, even though I know there are other things he's interested in.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	inflection	ADP VERB PART DET NOUN CCONJ VERB ADV PRON VERB ADP ADV ADV ADP PRON VERB ADV VERB ADJ NOUN PRON ADJ ADP
This hopefully will cause them a fixture congestion around April / May with us hopefully been able to pick up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	identical	DET ADV VERB VERB PRON DET NOUN NOUN ADP PROPN SYM PROPN ADP PRON ADV VERB ADJ PART VERB PART DET NOUN
Whimper like a whipped puppy, Jay, have a drink and pick up the pieces.	0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	identical	NOUN ADP DET VERB NOUN PROPN VERB DET NOUN CCONJ VERB PART DET NOUN
As she lifted it out, a piece of flaking gold paper floated to the floor and, to her astonishment, Lucenzo picked the little piece up with finger and thumb.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0	pick up the pieces	literal	misc	ADP PRON VERB PRON PART DET NOUN ADP VERB NOUN NOUN VERB ADP DET NOUN CCONJ ADP ADJ NOUN PROPN VERB DET ADJ NOUN ADP ADP NOUN CCONJ NOUN
‘ If we can get through to July 1 we will be okay, but at the moment people ( other clubs ) are sitting around like vultures waiting to pick up the pieces,’ added Beller.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	pick up the pieces	figurative	dashes	PUNCT ADP PRON VERB VERB ADP ADP PROPN NUM PRON VERB VERB ADJ CCONJ ADP DET NOUN NOUN PUNCT ADJ NOUN PUNCT VERB VERB PART ADP NOUN VERB PART VERB PART DET NOUN VERB PROPN
This has happened all over the Western world and we must now start to pick up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	identical	DET VERB VERB ADV ADP DET ADJ NOUN CCONJ PRON VERB ADV VERB PART VERB PART DET NOUN
Mark Bottomley is picking up the pieces of his life after being beaten around the head with a piece of scaffolding.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	inflection	PROPN PROPN VERB VERB PART DET NOUN ADP ADJ NOUN ADP VERB VERB ADP DET NOUN ADP DET NOUN ADP NOUN
Picking up the pieces was no easy task but Connors was one of the first traders to get back on its feet, temporarily setting up shop in a portacabin.	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	combined-inflection	VERB PART DET NOUN VERB DET ADJ NOUN CCONJ PROPN VERB NUM ADP DET ADJ NOUN PART VERB ADV ADP ADJ NOUN ADV VERB PART NOUN ADP DET NOUN
Can they pick up the pieces?	0 0 1 1 0 1	pick up the pieces	figurative	identical	VERB PRON VERB PART DET NOUN
The collection continues to expand, mostly by donation but a very small purchase grant enables Mr Rosoman to pick up the occasional piece at auction : he recently purchased some papier mache moulds at the Christie's Crowther sale.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	literal	combined-inflection	DET NOUN VERB PART VERB ADV ADP NOUN CCONJ DET ADV ADJ NOUN NOUN VERB PROPN PROPN PART VERB PART DET ADJ NOUN ADP NOUN PUNCT PRON ADV VERB DET ADJ NOUN NOUN ADP DET PROPN PROPN NOUN
He had picked up the pieces after the war and it must have come as a total shock to someone with his background to find players in his side who rocked the boat.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick up the pieces	figurative	inflection	PRON VERB VERB PART DET NOUN ADP DET NOUN CCONJ PRON VERB VERB VERB ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN PART VERB NOUN ADP ADJ NOUN NOUN VERB DET NOUN
Counselling is seldom provided in such matters : the social worker is often left to pick up the pieces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	pick up the pieces	figurative	identical	NOUN VERB ADV VERB ADP ADJ NOUN PUNCT DET ADJ NOUN VERB ADV VERB PART VERB PART DET NOUN
