‘ Nothing was said behind your back!’	0 0 0 0 1 1 1	behind someone's back	figurative	combined-other	PUNCT NOUN VERB VERB ADP ADJ NOUN
He then moved forward to the person on the ground and handcuffed his hands behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	PRON ADV VERB ADV ADP DET NOUN ADP DET NOUN CCONJ VERB ADJ NOUN ADP ADJ NOUN
What they offer out front is something completely different from what they 're really doing behind their backs or up their sleeves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	behind someone's back	figurative	combined-inflection	NOUN PRON VERB ADP NOUN VERB NOUN ADV ADJ ADP NOUN PRON VERB ADV VERB ADP ADJ NOUN CCONJ ADP ADJ NOUN
At this time of his life he always called Fisher behind his back Halieus, which is Greek for fisher.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	behind someone's back	figurative	possessive	ADP DET NOUN ADP ADJ NOUN PRON ADV VERB PROPN ADP ADJ NOUN PROPN ADJ VERB PROPN ADP NOUN
Ah, I was so angry, I was, he had my arm right, I forced, pushed him back it was, like, behind my back so I lent back thinking oh he 'll give me his arms then anyway old flipping hag came in didn't she!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	INTJ PRON VERB ADV ADJ PRON VERB PRON VERB ADJ NOUN INTJ PRON VERB VERB PRON ADV PRON VERB INTJ ADP ADJ NOUN ADV PRON VERB ADV VERB INTJ PRON VERB VERB PRON ADJ NOUN ADV INTJ ADJ NOUN NOUN VERB ADV VERB PRON
It was Simon who gave that impression behind my back.	0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	PRON VERB PROPN NOUN VERB DET NOUN ADP ADJ NOUN
I don't know what they say maybe behind your back or that but honestly I don't think, no	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	PRON VERB VERB NOUN PRON VERB ADV ADP ADJ NOUN CCONJ DET CCONJ ADV PRON VERB VERB INTJ
Also as usual, they began to talk differently as Mrs Bouverie approached, louder, more self - consciously, and the younger two, in their all - weather uniform of jeans, and bare feet thrust into stiletto - heeled shoes, put their cigarettes behind their backs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	combined-inflection	ADV ADP ADJ PRON VERB PART VERB ADV ADP PROPN PROPN VERB ADV ADV NOUN PUNCT ADV CCONJ DET ADJ NUM ADP ADJ DET PUNCT NOUN NOUN ADP NOUN CCONJ ADJ NOUN VERB ADP NOUN PUNCT VERB NOUN VERB ADJ NOUN ADP ADJ NOUN
She puts her head back with a nervous, resigned sigh when you put the gun to her head but she doesn't try anything as you cuff her hands behind her back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	PRON VERB ADJ NOUN ADV ADP DET ADJ VERB NOUN ADV PRON VERB DET NOUN ADP ADJ NOUN CCONJ PRON VERB VERB NOUN ADP PRON VERB ADJ NOUN ADP ADJ ADV
Ashe, his hands bound behind his back, was grabbed with 70 others for attacking US policy on Haitian refugees.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	INTJ ADJ NOUN VERB ADP ADJ NOUN VERB VERB ADP NUM NOUN ADP VERB PROPN NOUN ADP ADJ NOUN
He just stood there looking out, his large leathery hands clasped tight behind his back, while Ellie wondered what on earth it could have been that Madame Gautier had said to him.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	combined-other	PRON ADV VERB ADV VERB PART ADJ ADJ ADJ NOUN VERB ADV ADP ADJ NOUN ADP PROPN VERB NOUN ADP NOUN PRON VERB VERB VERB ADP PROPN PROPN VERB VERB ADP PRON
Creed stood with his gloved hands clasped behind his back.	0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	PROPN VERB ADP ADJ ADJ NOUN VERB ADP ADJ NOUN
‘ I can't say I care for the idea of you two discussing me behind my back, but if you must know I was suffering from reaction,’ said Leonora with dignity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	PUNCT PRON VERB VERB PRON VERB ADP DET NOUN ADP PRON NUM VERB PRON ADP ADJ NOUN CCONJ ADP PRON VERB VERB PRON VERB VERB ADP PROPN VERB PROPN ADP NOUN
They pulled me up off the floor with my hands up behind my back and they were walking me out of the chemist with my arms up and my head pushed down and one of them was kicking me in the back of my legs to get me over to the car.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	PRON VERB PRON PART ADP DET NOUN ADP ADJ NOUN PART ADP ADJ NOUN CCONJ PRON VERB VERB PRON ADP ADP DET NOUN ADP ADJ NOUN ADV CCONJ ADJ NOUN VERB ADV CCONJ NUM ADP PRON VERB VERB PRON ADP DET NOUN ADP ADJ NOUN PART VERB PRON PART ADP DET NOUN
Garry went for Leslie who grabbed his arms and held him tightly, pushing his arms up behind his back expertly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	behind someone's back	literal	possessive	PROPN VERB ADP PROPN NOUN VERB ADJ NOUN CCONJ VERB PRON ADV VERB ADJ NOUN PART ADP ADJ NOUN ADV
She wept again, talking through her snuffles of things done behind her back, of stabbings.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	behind someone's back	figurative	possessive	PRON VERB ADV VERB ADP ADJ NOUN ADP NOUN VERB ADP PRON ADV ADP NOUN
Elizabeth of Spalbeck imitated the Passion of Christ at the Canonical Hours : at Matins, beating herself as she remembered Christ being taken with swords and staves ; at Prime, walking with arms twisted behind her back like a bound thief to commemorate Christ being led from Caiaphas to Pilate and then Herod ; at Sext, None and Evensong, stretching herself in a cruciform posture.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	PROPN ADP PROPN VERB DET PROPN ADP PROPN ADP DET PROPN PROPN PUNCT ADP PROPN VERB PRON ADP PRON VERB PROPN VERB VERB ADP NOUN CCONJ NOUN PUNCT ADP PROPN VERB ADP NOUN VERB ADP PRON ADV ADP DET VERB NOUN PART VERB PROPN VERB VERB ADP PROPN ADP PROPN CCONJ ADV PROPN PUNCT ADP PROPN NOUN CCONJ PROPN VERB PRON ADP DET NOUN NOUN
" The political hypocrites who control this Congress, " he shouted, " told us we were to settle the question of Power - and it is being settled behind our backs, before the Congress opens!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	behind someone's back	figurative	combined-inflection	PUNCT DET ADJ NOUN NOUN VERB DET PROPN PUNCT PRON VERB PUNCT VERB PRON PRON VERB PART VERB DET NOUN ADP NOUN PUNCT CCONJ PRON VERB VERB VERB ADP ADJ NOUN ADP DET PROPN VERB
The younger man pressed forward, his hands tied behind his back.	0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	DET ADJ NOUN VERB ADV ADJ NOUN VERB ADP ADJ NOUN
She pushed herself up on one elbow and, a strong arm behind her back, he helped her into a sitting position.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	behind someone's back	literal	possessive	PRON VERB PRON PART ADP NUM NOUN CCONJ DET ADJ NOUN ADP PRON ADV PRON VERB PRON ADP DET VERB NOUN
