So I went all the way down to the door slightly irritated, and what did I see?	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	go all the way	literal	inflection	ADV PRON VERB ADJ DET NOUN ADV ADP DET NOUN ADV ADJ CCONJ NOUN VERB PRON VERB
In the early days of er navigation within the Mediterranean people used to actually have to navigate by going all the way round the coast.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	go all the way	literal	inflection	ADP DET ADJ NOUN ADP INTJ NOUN ADP DET PROPN NOUN VERB PART ADV VERB PART VERB ADP VERB ADJ DET NOUN ADP DET NOUN
Nilsson added : ‘ With a little luck I 'm sure we can go all the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	identical	PROPN VERB PUNCT PUNCT ADP DET ADJ NOUN PRON VERB ADJ PRON VERB VERB ADJ DET NOUN
It was then I noticed a small cut on his forearm, at least it looked small until it opened up and I realised it went all the way through all the underlying muscles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	go all the way	literal	inflection	PRON VERB ADV PRON VERB DET ADJ NOUN ADP ADJ NOUN ADP ADJ PRON VERB ADJ ADP PRON VERB PART CCONJ PRON VERB PRON VERB ADJ DET NOUN ADP ADJ DET VERB NOUN
No watch this, that, see that it's gon na go all the way round there, all the way round, all the way round there and all the way round again.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	literal	identical	DET NOUN DET ADP VERB ADP PRON VERB PART VERB ADJ DET NOUN ADV ADV ADJ DET NOUN ADV ADJ DET NOUN ADV ADV CCONJ ADJ DET NOUN ADV ADV
But Egypt's lesson is this : the only alternative to repression or revolution is reform : genuine political reform that goes all the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	inflection	CCONJ PROPN NOUN VERB DET PUNCT DET ADJ NOUN ADP NOUN CCONJ NOUN VERB NOUN PUNCT ADJ ADJ NOUN ADJ VERB ADJ DET NOUN
Last year at the RSC, she said, she 'd gone all the way through the season and had worked so hard that she had forgotten about drawing.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	inflection	ADJ NOUN ADP DET PROPN PRON VERB PRON VERB VERB ADJ DET NOUN ADP DET NOUN CCONJ VERB VERB ADV ADV ADP PRON VERB VERB ADP NOUN
( Well who could want such sloppy kisses anyway thought I ) And if you lay full length with them on the beach it was a " sign " you would go all the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	identical	PUNCT INTJ NOUN VERB VERB ADJ ADJ NOUN ADV VERB PRON PUNCT CCONJ ADP PRON VERB ADJ NOUN ADP PRON ADP DET NOUN PRON VERB DET PUNCT NOUN PUNCT PRON VERB VERB ADJ DET NOUN
I haven't toured for a few years now, apart from the World Cup and I made that an exception because I felt we could go all the way and win it.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	go all the way	figurative	identical	PRON VERB VERB ADP DET ADJ NOUN ADV ADV ADP DET PROPN PROPN CCONJ PRON VERB ADP DET NOUN ADP PRON VERB PRON VERB VERB ADJ DET NOUN CCONJ NOUN NOUN
I knew then that we were bound to go all the way, wherever it might lead, whether we wanted to or not.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	PRON VERB ADV ADP PRON VERB VERB PART VERB ADJ DET NOUN ADV PRON VERB VERB ADP PRON VERB PART CCONJ ADV
Delighted to see Norwich and the Arse doing well tho ', hope they go all the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	identical	ADJ PART VERB PROPN CCONJ DET NOUN VERB ADV NOUN PUNCT VERB PRON VERB ADJ DET NOUN
Once I went all the way home — but I never went in.	0 0 1 1 0 1 0 0 0 0 0 0 0	go all the way	literal	inflection	ADP PRON VERB ADJ DET NOUN ADV PUNCT CCONJ PRON ADV VERB ADV
Having argued this far Lorentz has to go all the way and he was forced to conclude that there will be no American M until Hollywood goes and until ' independent companies allow their directors to do away entirely with actors, and ( which is the only sensible way to manufacture movies at all ) pick types and faces off the streets '.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	VERB VERB DET ADJ PROPN VERB PART VERB ADJ DET NOUN CCONJ PRON VERB VERB PART VERB ADP ADV VERB VERB DET PROPN PROPN ADP PROPN VERB CCONJ ADP PUNCT ADJ NOUN VERB ADJ NOUN PART VERB ADV ADV ADP NOUN CCONJ PUNCT ADJ VERB DET ADJ ADJ NOUN PART VERB NOUN ADV ADV PUNCT VERB NOUN CCONJ VERB ADP DET NOUN PUNCT
Stage 5 shows that the leading edge dowels do NOT reach the extreme nose unlike the spine which goes all the way from trailing edge to nose.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	go all the way	literal	inflection	NOUN NUM VERB ADP DET VERB NOUN NOUN VERB ADV VERB DET ADJ NOUN ADP DET NOUN ADJ VERB ADJ DET NOUN ADP VERB NOUN PART VERB
I hope they go all the way in both.’	0 0 0 1 1 0 1 0 0	go all the way	figurative	identical	PRON VERB PRON VERB ADJ DET NOUN ADP NOUN
