He gives me the creeps, so I looked round, hmm hmm.	0 1 1 0 1 0 0 0 0 0 0	give someone the creeps	figurative	combined-inflection	PRON VERB PRON DET NOUN CCONJ PRON VERB ADV INTJ INTJ	▁He ▁gives ▁me ▁the ▁creep s , ▁so ▁I ▁looked ▁round , ▁h mm ▁h mm .	0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON DET NOUN NOUN NOUN CCONJ PRON VERB ADV ADV INTJ INTJ INTJ INTJ INTJ
They wriggle, they 're slimey and they give some people the creeps.	0 0 0 0 0 0 0 1 0 1 0 1	give someone the creeps	figurative	combined-inflection	PRON VERB PRON VERB ADJ CCONJ PRON VERB DET NOUN DET NOUN	▁They ▁w rig gle , ▁they ▁' re ▁sl ime y ▁and ▁they ▁give ▁some ▁people ▁the ▁creep s .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1	PRON VERB VERB VERB VERB PRON VERB VERB ADJ ADJ ADJ CCONJ PRON VERB DET NOUN DET NOUN NOUN NOUN
The prospect of being marooned on Gullholm for days with a Heathcliff bereft of his Cathy gave her the creeps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	DET NOUN ADP VERB VERB ADP PROPN ADP NOUN ADP DET PROPN NOUN ADP ADJ PROPN VERB PRON DET NOUN	▁The ▁prospect ▁of ▁being ▁mar oon ed ▁on ▁G ull hol m ▁for ▁days ▁with ▁a ▁He ath cl iff ▁be ref t ▁of ▁his ▁Cat hy ▁gave ▁her ▁the ▁creep s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	DET NOUN ADP VERB VERB VERB VERB ADP PROPN PROPN PROPN PROPN ADP NOUN ADP DET PROPN PROPN PROPN PROPN NOUN NOUN NOUN ADP ADJ PROPN PROPN VERB PRON DET NOUN NOUN NOUN
She remembered how he had given her the creeps.	0 0 0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	PRON VERB ADV PRON VERB VERB PRON DET NOUN	▁She ▁remembered ▁how ▁he ▁had ▁given ▁her ▁the ▁creep s .	0 0 0 0 0 1 1 0 1 1 1	PRON VERB ADV PRON VERB VERB PRON DET NOUN NOUN NOUN
They may give you the creeps, but not Ray Gabriel.	0 0 1 1 0 1 0 0 0 0	give someone the creeps	figurative	objective	PRON VERB VERB PRON DET NOUN CCONJ ADV PROPN PROPN	▁They ▁may ▁give ▁you ▁the ▁creep s , ▁but ▁not ▁Ray ▁Ga br iel .	0 0 1 1 0 1 1 1 0 0 0 0 0 0 0	PRON VERB VERB PRON DET NOUN NOUN NOUN CCONJ ADV PROPN PROPN PROPN PROPN PROPN
It gives me the creeps and I know it frightened the kiddies.	0 1 1 0 1 0 0 0 0 0 0 0	give someone the creeps	figurative	combined-inflection	PRON VERB PRON DET NOUN CCONJ PRON VERB PRON VERB DET NOUN	▁It ▁gives ▁me ▁the ▁creep s ▁and ▁I ▁know ▁it ▁f right ened ▁the ▁kid dies .	0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON DET NOUN NOUN CCONJ PRON VERB PRON VERB VERB VERB DET NOUN NOUN NOUN
It gives me the creeps, that's all.	0 1 1 0 1 0 0	give someone the creeps	figurative	combined-inflection	PRON VERB PRON DET NOUN DET DET	▁It ▁gives ▁me ▁the ▁creep s , ▁that ' s ▁all .	0 1 1 0 1 1 1 0 0 0 0 0	PRON VERB PRON DET NOUN NOUN NOUN DET DET DET DET DET
‘ To tell you the truth, it gave me the creeps.	0 0 0 0 0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	PUNCT PART VERB PRON DET NOUN PRON VERB PRON DET NOUN	▁ ‘ ▁To ▁tell ▁you ▁the ▁truth , ▁it ▁gave ▁me ▁the ▁creep s .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PUNCT PUNCT PART VERB PRON DET NOUN NOUN PRON VERB PRON DET NOUN NOUN NOUN
I think he's a charming man and he's certainly better than Major or Kinnock, who both give me the creeps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	give someone the creeps	figurative	objective	PRON VERB PRON DET ADJ NOUN CCONJ PRON ADV ADJ ADP PROPN CCONJ PROPN NOUN DET VERB PRON DET NOUN	▁I ▁think ▁he ' s ▁a ▁char ming ▁man ▁and ▁he ' s ▁certainly ▁better ▁than ▁Major ▁or ▁Kin nock , ▁who ▁both ▁give ▁me ▁the ▁creep s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PRON VERB PRON PRON PRON DET ADJ ADJ NOUN CCONJ PRON PRON PRON ADV ADJ ADP PROPN CCONJ PROPN PROPN PROPN NOUN DET VERB PRON DET NOUN NOUN NOUN
Funny, but even though she knew Delaney, Lawton and Forster were engaging Mahon — she could hear gun fire — the empty shadowy corridors of the place gave her the creeps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	ADJ CCONJ ADV ADP PRON VERB PROPN PROPN CCONJ PROPN VERB VERB PROPN PUNCT PRON VERB VERB NOUN NOUN PUNCT DET ADJ ADJ NOUN ADP DET NOUN VERB PRON DET NOUN	▁F un ny , ▁but ▁even ▁though ▁she ▁knew ▁Del ane y , ▁Law ton ▁and ▁For ster ▁were ▁engag ing ▁ Mahon ▁ — ▁she ▁could ▁hear ▁gun ▁fire ▁ — ▁the ▁empty ▁shadow y ▁corridors ▁of ▁the ▁place ▁gave ▁her ▁the ▁creep s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	ADJ ADJ ADJ ADJ CCONJ ADV ADP PRON VERB PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN VERB VERB VERB PROPN PROPN PUNCT PUNCT PRON VERB VERB NOUN NOUN PUNCT PUNCT DET ADJ ADJ ADJ NOUN ADP DET NOUN VERB PRON DET NOUN NOUN NOUN
It gave you the creeps.	0 1 1 0 1	give someone the creeps	figurative	combined-inflection	PRON VERB PRON DET NOUN	▁It ▁gave ▁you ▁the ▁creep s .	0 1 1 0 1 1 1	PRON VERB PRON DET NOUN NOUN NOUN
