' Water under the bridge, ' he mumbled.	0 1 1 0 1 0 0 0	water under the bridge	figurative	case	PUNCT NOUN ADP DET NOUN PUNCT PRON VERB
A Tory MP and a member of the Government Whips ' Office, he, too, had fallen under the spell of the late Emma Kerr, but that was water under another bridge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	water under the bridge	figurative	determiner-broad	DET PROPN PROPN CCONJ DET NOUN ADP DET PROPN PROPN PART PROPN PRON ADV VERB VERB ADP DET NOUN ADP DET ADJ PROPN PROPN CCONJ DET VERB NOUN ADP DET NOUN
After all, it's water under the bridge now, surely?’	0 0 0 1 1 0 1 0 0	water under the bridge	figurative	identical	ADV ADV PRON NOUN ADP DET NOUN ADV NOUN
‘ It is all —’ he hesitated —‘what I think you call water under the bridge, eh?	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	water under the bridge	figurative	identical	PUNCT PRON VERB ADV ADV PRON VERB ADP PRON VERB PRON VERB NOUN ADP DET NOUN INTJ
‘ His jockey Steve Raymont was just looking after an inexperienced horse, but I suppose it's water under the bridge now.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	water under the bridge	figurative	identical	PUNCT ADJ NOUN PROPN PROPN VERB ADV VERB ADP DET ADJ NOUN CCONJ PRON VERB PRON NOUN ADP DET NOUN NOUN
‘ The night before we were arrested, I had been to dinner with Nick Wells, and I asked him if he had heard anything, and he said : ‘ No, it's all water under the bridge, I suppose.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	water under the bridge	figurative	identical	PUNCT DET NOUN ADP PRON VERB VERB PRON VERB VERB ADP NOUN ADP PROPN PROPN CCONJ PRON VERB PRON ADP PRON VERB VERB NOUN CCONJ PRON VERB PUNCT PUNCT INTJ PRON DET NOUN ADP DET NOUN PRON VERB
But it's all water under the bridge for this season and Linfield must now concentrate on bridging the gap between themselves and their Danish visitors.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	water under the bridge	figurative	identical	CCONJ PRON DET NOUN ADP DET NOUN ADP DET NOUN CCONJ PROPN VERB ADV VERB ADP VERB DET NOUN ADP PRON CCONJ ADJ ADJ NOUN
There's a lot of blood and water under the bridge since her day.	0 0 0 0 0 0 1 1 0 1 0 0 0	water under the bridge	figurative	identical	ADV DET NOUN ADP NOUN CCONJ NOUN ADP DET NOUN ADP ADJ NOUN
Today, many people might think that all of this is water under the bridge.	0 0 0 0 0 0 0 0 0 0 1 1 0 1	water under the bridge	figurative	identical	NOUN ADJ NOUN VERB VERB ADP DET ADP DET VERB NOUN ADP DET NOUN
Mr Proctor said last night that it was all ‘ water under the bridge’.	0 0 0 0 0 0 0 0 0 0 1 1 0 1	water under the bridge	figurative	dashes	PROPN PROPN VERB ADJ NOUN ADP PRON VERB DET ADJ NOUN ADP DET NOUN
All water under the bridge until next year.	0 1 1 0 1 0 0 0	water under the bridge	figurative	identical	DET NOUN ADP DET NOUN ADP ADJ NOUN
They 're water under the bridge, and if it was murky water … ’	0 0 1 1 0 1 0 0 0 0 0 0 0 0	water under the bridge	figurative	identical	PRON VERB NOUN ADP DET NOUN CCONJ ADP PRON VERB ADJ NOUN PUNCT PUNCT
It's all water under the bridge.	0 0 1 1 0 1	water under the bridge	figurative	identical	PRON DET NOUN ADP DET NOUN
So, you know, whilst I 'm a little bit reluctant in a way I think that's water under the bridge, and in my view actually the extension improves it all.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	water under the bridge	figurative	identical	CCONJ PRON VERB ADP PRON VERB DET ADJ NOUN ADJ ADP DET NOUN PRON VERB DET NOUN ADP DET NOUN CCONJ ADP ADJ NOUN ADV DET NOUN VERB PRON DET
To some extent, that is water under the bridge.	0 0 0 0 0 1 1 0 1	water under the bridge	figurative	identical	ADP DET NOUN DET VERB NOUN ADP DET NOUN
That was a long time ago, there's been a lot of water under the bridge, why not talk again?	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	water under the bridge	figurative	identical	DET VERB DET ADJ NOUN ADV ADV VERB DET NOUN ADP NOUN ADP DET NOUN ADV ADV VERB ADV
It's all water under the bridge ; you don't want to hear it — I 'm sorry if you feel I 've been unfair to you.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	water under the bridge	figurative	identical	PRON DET NOUN ADP DET NOUN PUNCT PRON VERB VERB PART VERB PRON PUNCT PRON VERB ADJ ADP PRON VERB PRON VERB VERB ADJ ADP PRON
‘ It's water under the bridge now,’ I said.	0 0 1 1 0 1 0 0 0	water under the bridge	figurative	identical	PUNCT PRON NOUN ADP DET NOUN ADV PRON VERB
