‘ It is time they showed up and faced the music,’ he said.	0 0 0 0 0 0 0 0 1 0 1 0 0	face the music	figurative	combined-inflection	PUNCT PRON VERB NOUN PRON VERB PART CCONJ VERB DET NOUN PRON VERB
I had to face the music, I had to face myself.	0 0 0 1 0 1 0 0 0 0 0	face the music	figurative	identical	PRON VERB PART VERB DET NOUN PRON VERB PART VERB PRON
Even his enemies would have to applaud his courage in facing the music after one of the greatest embarrassments in England's history.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	face the music	figurative	inflection	ADV ADJ NOUN VERB VERB PART VERB ADJ NOUN ADP VERB DET NOUN ADP NUM ADP DET ADJ NOUN ADP PROPN NOUN
Therefore it was Adam's duty to come home and face the music, even though this might be no more than a short blast on a tin whistle.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	face the music	figurative	identical	ADV PRON VERB PROPN NOUN PART VERB ADV CCONJ VERB DET NOUN ADV ADP DET VERB VERB ADV ADJ ADP DET ADJ NOUN ADP DET ADJ NOUN
And if it comes to facing the music, you 're not thinking of shooting it out with the police, I hope?	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	face the music	figurative	inflection	CCONJ ADP PRON VERB ADP VERB DET NOUN PRON VERB ADV VERB ADP VERB PRON PART ADP DET NOUN PRON VERB
His defence advocate, James Reilly said : ‘ It is to his credit that he returned to face the music.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	face the music	figurative	dashes	ADJ NOUN NOUN PROPN PROPN VERB PUNCT PUNCT PRON VERB ADP ADJ NOUN ADP PRON VERB PART VERB DET NOUN
Even his enemies would have to applaud his courage in facing the music after one of the greatest embarrassments in England's history.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	face the music	figurative	inflection	ADV ADJ NOUN VERB VERB PART VERB ADJ NOUN ADP VERB DET NOUN ADP NUM ADP DET ADJ NOUN ADP PROPN NOUN
However, it is known Sir Peter Walters, chairman of the Midland, will be first to face the music.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	face the music	figurative	identical	ADV PRON VERB VERB PROPN PROPN PROPN NOUN ADP DET PROPN VERB VERB ADJ PART VERB DET NOUN
‘ Then I 'd clear off and leave you to face the music,’ he had sneered.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	face the music	figurative	dashes	PUNCT ADV PRON VERB VERB PART CCONJ VERB PRON PART VERB DET NOUN PRON VERB VERB
Let's face the music and dance.	0 1 0 1 0 0	face the music	figurative	identical	VERB VERB DET NOUN CCONJ NOUN
I went to several pubs looking for him but nobody had seen him, so, as it was getting late, I turned to go home to face the music.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	face the music	figurative	identical	PRON VERB ADP ADJ NOUN VERB ADP PRON CCONJ NOUN VERB VERB PRON ADV ADP PRON VERB VERB ADV PRON VERB PART VERB ADV PART VERB DET NOUN
I arrived to face the music.	0 0 0 1 0 1	face the music	figurative	identical	PRON VERB PART VERB DET NOUN
Constance knew the time had come to face the music and speak to Nora.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	face the music	figurative	identical	PROPN VERB DET NOUN VERB VERB PART VERB DET NOUN CCONJ VERB ADP PROPN
As a final tribute to the American male, one Girl literally jumped ship as the gangplank was being pulled away, leaving her sister to face the music with their parents.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	face the music	figurative	identical	ADP DET ADJ NOUN ADP DET ADJ NOUN NUM PROPN ADV VERB NOUN ADP DET NOUN VERB VERB VERB ADV VERB ADJ NOUN PART VERB DET NOUN ADP ADJ NOUN
It was not just Diana who had to face the music but her parents as well.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	face the music	figurative	identical	PRON VERB ADV ADV PROPN NOUN VERB PART VERB DET NOUN CCONJ ADJ NOUN ADV ADV
Then Gooch, calmly facing the thunderous music as ever, took a hurtful blow in the arm and then survived an easy catch to Malik at slip after cutting a ball from Aqib.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	face the music	figurative	combined-inflection	ADV PROPN ADV VERB DET ADJ NOUN ADP ADV VERB DET ADJ NOUN ADP DET NOUN CCONJ ADV VERB DET ADJ NOUN ADP PROPN ADP NOUN ADP VERB DET NOUN ADP PROPN
Dancing was a pleasure in itself, as holidays were, and if one has to take them alone or with friends, then why not face the music and — give it rock all!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	face the music	figurative	identical	NOUN VERB DET NOUN ADP PRON ADP NOUN VERB CCONJ ADP PRON VERB PART VERB PRON ADJ CCONJ ADP NOUN ADV ADV ADV VERB DET NOUN CCONJ PUNCT VERB PRON NOUN ADV
Instead of facing the music at Wembley on September 9, Taylor's team will play for expenses only on a Spanish Second Division ground that holds only 25,000 spectators and has never before staged a full international match.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	face the music	figurative	inflection	ADV ADP VERB DET NOUN ADP PROPN ADP PROPN NUM PROPN NOUN VERB VERB ADP NOUN ADV ADP DET PROPN PROPN PROPN NOUN ADJ VERB ADV NUM NOUN CCONJ VERB ADV ADV VERB DET ADJ ADJ NOUN
Malc and I decided we 'd have to face the music and tell his parents and my Pop.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	face the music	figurative	identical	PROPN CCONJ PRON VERB PRON VERB VERB PART VERB DET NOUN CCONJ VERB ADJ NOUN CCONJ ADJ NOUN
Still to come on Central News, facing the music.	0 0 0 0 0 0 1 0 1	face the music	figurative	inflection	ADV PART VERB ADP PROPN PROPN VERB DET NOUN
Mum covered her face with her apron and cried noisily, but she got no sympathy from Jack who pushed past Dad and left, leaving her to face the music.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	face the music	figurative	identical	PROPN VERB ADJ NOUN ADP ADJ NOUN CCONJ VERB NOUN CCONJ PRON VERB DET NOUN ADP PROPN NOUN VERB ADP PROPN CCONJ VERB VERB PRON PART VERB DET NOUN
