And as you say at that stage it really was just a matter of erm every man for himself really.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0	every man for himself	figurative	identical	CCONJ ADP PRON VERB ADP DET NOUN PRON ADV VERB ADV DET NOUN ADP NOUN DET NOUN ADP PRON ADV	▁And ▁as ▁you ▁say ▁at ▁that ▁stage ▁it ▁really ▁was ▁just ▁a ▁matter ▁of ▁er m ▁every ▁man ▁for ▁himself ▁really .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	CCONJ ADP PRON VERB ADP DET NOUN PRON ADV VERB ADV DET NOUN ADP NOUN NOUN DET NOUN ADP PRON ADV ADV
It's every man for himself.’	0 1 1 1 1	every man for himself	figurative	dashes	PRON DET NOUN ADP X	▁It ' s ▁every ▁man ▁for ▁himself . ’	0 0 0 1 1 1 1 1 1	PRON PRON PRON DET NOUN ADP X X X
Stirling shouted that it was every man for himself.	0 0 0 0 0 1 1 1 1	every man for himself	figurative	identical	VERB VERB ADP PRON VERB DET NOUN ADP PRON	▁St ir ling ▁shout ed ▁that ▁it ▁was ▁every ▁man ▁for ▁himself .	0 0 0 0 0 0 0 0 1 1 1 1 1	VERB VERB VERB VERB VERB ADP PRON VERB DET NOUN ADP PRON PRON
Every man for himself. '	1 1 1 1 0	every man for himself	figurative	case	DET NOUN ADP PRON PUNCT	▁Every ▁man ▁for ▁himself . ▁'	1 1 1 1 1 0	DET NOUN ADP PRON PRON PUNCT
What a contrast to the previous student flats she 'd shared, where it was every man for himself!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	every man for himself	figurative	identical	ADJ DET NOUN ADP DET ADJ NOUN NOUN PRON VERB VERB ADV PRON VERB DET NOUN ADP PRON	▁What ▁a ▁contrast ▁to ▁the ▁previous ▁student ▁flat s ▁she ▁' d ▁shared , ▁where ▁it ▁was ▁every ▁man ▁for ▁himself !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADJ DET NOUN ADP DET ADJ NOUN NOUN NOUN PRON VERB VERB VERB VERB ADV PRON VERB DET NOUN ADP PRON PRON
‘ Come on, chaps, every man for himself.’	0 0 0 0 1 1 1 1	every man for himself	figurative	dashes	PUNCT VERB PART NOUN DET NOUN ADP X	▁ ‘ ▁Com e ▁on , ▁chap s , ▁every ▁man ▁for ▁himself . ’	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PUNCT PUNCT VERB VERB PART PART NOUN NOUN NOUN DET NOUN ADP X X X
And er after that it was just well every man for himself I never really saw any of the guys except for the o one guy who was on the platform with me at the time.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	every man for himself	figurative	identical	CCONJ INTJ ADP ADP PRON VERB ADV ADV DET NOUN ADP PRON PRON ADV ADV VERB DET ADP DET NOUN ADP ADP DET NOUN NUM NOUN NOUN VERB ADP DET NOUN ADP PRON ADP DET NOUN	▁And ▁er ▁after ▁that ▁it ▁was ▁just ▁well ▁every ▁man ▁for ▁himself ▁I ▁never ▁really ▁saw ▁any ▁of ▁the ▁ guy s ▁except ▁for ▁the ▁o ▁one ▁ guy ▁who ▁was ▁on ▁the ▁platform ▁with ▁me ▁at ▁the ▁time .	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ INTJ ADP ADP PRON VERB ADV ADV DET NOUN ADP PRON PRON ADV ADV VERB DET ADP DET NOUN NOUN NOUN ADP ADP DET NOUN NUM NOUN NOUN NOUN VERB ADP DET NOUN ADP PRON ADP DET NOUN NOUN
Erm this is going to be extremely difficult because the British culture is one of every man for himself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	every man for himself	figurative	identical	NOUN DET VERB VERB PART VERB ADV ADJ ADP DET ADJ NOUN VERB NUM ADP DET NOUN ADP PRON	▁E rm ▁this ▁is ▁going ▁to ▁be ▁extremely ▁difficult ▁because ▁the ▁British ▁culture ▁is ▁one ▁of ▁every ▁man ▁for ▁himself .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	NOUN NOUN DET VERB VERB PART VERB ADV ADJ ADP DET ADJ NOUN VERB NUM ADP DET NOUN ADP PRON PRON
Not that there is anything to lose by keeping the door open, but really I believed it is every man for himself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	every man for himself	figurative	identical	ADV ADP ADV VERB NOUN PART VERB ADP VERB DET NOUN ADJ CCONJ ADV PRON VERB PRON VERB DET NOUN ADP PRON	▁Not ▁that ▁there ▁is ▁anything ▁to ▁lose ▁by ▁keeping ▁the ▁door ▁open , ▁but ▁really ▁I ▁believed ▁it ▁is ▁every ▁man ▁for ▁himself .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV ADP ADV VERB NOUN PART VERB ADP VERB DET NOUN ADJ ADJ CCONJ ADV PRON VERB PRON VERB DET NOUN ADP PRON PRON
‘ Take the mike, give us your dots, you 've got an eight - bar play on, then it's every man for himself.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	every man for himself	figurative	identical	PUNCT VERB DET NOUN VERB PRON ADJ NOUN PRON VERB VERB DET NUM PUNCT NOUN NOUN PART ADV PRON DET NOUN ADP PRON	▁ ‘ ▁Take ▁the ▁m ike , ▁give ▁us ▁your ▁do ts , ▁you ▁' ve ▁got ▁an ▁eight ▁- ▁bar ▁play ▁on , ▁then ▁it ' s ▁every ▁man ▁for ▁himself .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT VERB DET NOUN NOUN NOUN VERB PRON ADJ NOUN NOUN NOUN PRON VERB VERB VERB DET NUM PUNCT NOUN NOUN PART PART ADV PRON PRON PRON DET NOUN ADP PRON PRON
It was every man for himself and no concessions given.	0 0 1 1 1 1 0 0 0 0	every man for himself	figurative	identical	PRON VERB DET NOUN ADP PRON CCONJ DET NOUN VERB	▁It ▁was ▁every ▁man ▁for ▁himself ▁and ▁no ▁concessions ▁given .	0 0 1 1 1 1 0 0 0 0 0	PRON VERB DET NOUN ADP PRON CCONJ DET NOUN VERB VERB
