Whatever the bodyservant picks up may be grist to his master's mill.	0 0 0 0 0 0 0 1 1 0 0 1	grist to the mill	figurative	combined-other	ADJ DET NOUN VERB PART VERB VERB NOUN ADP ADJ NOUN NOUN
Then, as now, works such as Rachmaninov's Third Concerto, Balakirev's Islamey and Ravel's Gaspard de la Nuit were all grist to the virtuoso mill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	grist to the mill	figurative	insertion-other	ADV ADP ADV VERB ADJ ADP PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN X PROPN VERB DET NOUN ADP DET ADJ NOUN
It is all grist to the mill of those who like to argue that Japan has succeeded because it works by different rules from those in the West.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grist to the mill	figurative	identical	PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN VERB PART VERB ADP PROPN VERB VERB ADP PRON VERB ADP ADJ NOUN ADP DET ADP DET PROPN
confidential the then er that's all grist to the mill as well isn't it?	0 0 0 0 0 0 1 1 0 1 0 0 0 0	grist to the mill	figurative	identical	ADJ DET ADV INTJ DET DET NOUN ADP DET NOUN ADV ADV VERB PRON
It is unexplained why the radiometer readings in Bands 6 and 7 are lower in the second series, when the illumination is greater, but this was taken as grist to the mill of the idea that the radiometer method would probably be less reliable than the imaging method.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grist to the mill	figurative	identical	PRON VERB ADJ ADV DET NOUN NOUN ADP NOUN NUM CCONJ NUM VERB ADJ ADP DET ADJ NOUN ADV DET NOUN VERB ADJ CCONJ DET VERB VERB ADP NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN VERB ADV VERB ADV ADJ ADP DET NOUN NOUN
' They were, of course, both clients of Martinez, and all this free publicity was grist to his mill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grist to the mill	figurative	determiner-broad	PUNCT PRON VERB ADP NOUN DET NOUN ADP PROPN CCONJ ADJ DET ADJ NOUN VERB NOUN ADP ADJ NOUN
Background knowledge derived from population censuses, market research surveys, government annual abstracts of statistics, historical records and so on, are all grist to the mill of the social researcher.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	grist to the mill	figurative	identical	PROPN NOUN VERB ADP NOUN NOUN NOUN NOUN NOUN NOUN ADJ NOUN ADP NOUN ADJ NOUN CCONJ ADV ADV VERB DET NOUN ADP DET NOUN ADP DET ADJ NOUN
Besides, he would only make it grist to his mill.	0 0 0 0 0 0 1 1 0 1	grist to the mill	figurative	determiner-broad	ADV PRON VERB ADV VERB PRON VERB ADP ADJ NOUN
All of it grist to the mill of this young poet - in - the - making.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	grist to the mill	figurative	identical	DET ADP PRON VERB ADP DET NOUN ADP DET ADJ NOUN PUNCT ADP PUNCT DET PUNCT NOUN
In the middle of his harrowing report he let slip a sentence, and we hear from that monster of objectivity inside every artist who sees everything as grist to the mill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grist to the mill	figurative	identical	ADP DET NOUN ADP ADJ ADJ NOUN PRON VERB VERB DET NOUN CCONJ PRON VERB ADP DET NOUN ADP NOUN ADP DET NOUN NOUN VERB NOUN ADP NOUN ADP DET NOUN
The psychology of adolescence was crucial to the enterprise because it offered the possibility, indeed, the likelihood of change ; it was grist to the mill of those whom Peter Clarke has termed ‘ moral’ as opposed to‘mechanist’reformers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	grist to the mill	figurative	identical	DET NOUN ADP NOUN VERB ADJ ADP DET NOUN ADP PRON VERB DET NOUN ADV DET NOUN ADP NOUN PUNCT PRON VERB NOUN ADP DET NOUN ADP DET NOUN PROPN PROPN VERB VERB PRON PROPN ADP ADJ NOUN
' Grist to my mill?	0 1 1 0 1	grist to the mill	figurative	combined-other	PUNCT NOUN ADP ADJ NOUN
' I know anything you discover will only be grist to your mill! '	0 0 0 0 0 0 0 0 0 1 1 0 1 0	grist to the mill	figurative	determiner-broad	PUNCT PRON VERB NOUN PRON VERB VERB ADV VERB NOUN ADP ADJ NOUN PUNCT
It would be grist to the mill of the tabloids if anything so bizarre happened next week, especially after the kind of meticulous preparation all tournaments of this magnitude can expect.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grist to the mill	figurative	identical	PRON VERB VERB NOUN ADP DET NOUN ADP DET NOUN ADP NOUN ADV ADJ VERB ADJ NOUN ADV ADP DET NOUN ADP ADJ NOUN DET NOUN ADP DET NOUN VERB VERB
' It is the Russian word that covers all forms of deception, disinformation, trickery, subversion, character assassination, the re - writing of history — all the activities that are grist to the KGB mill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	grist to the mill	figurative	insertion-other	PUNCT PRON VERB DET ADJ NOUN ADJ VERB DET NOUN ADP NOUN NOUN NOUN NOUN NOUN NOUN DET NOUN PUNCT NOUN ADP NOUN PUNCT ADJ DET NOUN ADJ VERB NOUN ADP DET PROPN NOUN
Baudrillard would argue that radical initiatives only end in re - energizing the pop machine, are more grist to commerce's mill.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grist to the mill	figurative	combined-other	PROPN VERB VERB ADP ADJ NOUN ADV VERB PART NOUN PUNCT VERB DET NOUN NOUN VERB ADJ NOUN ADP NOUN NOUN
