a hair's breadth	yes	hair/NOUN s/PART breadth/NOUN	hair breadth	haar;haartje;kapsel;haartjes;haren breedheid;breedtes;breedten;wijdte;breedte
a little bird told me	yes	little/ADJ bird/NOUN told/VERB me/PRON tells/VERB	bird	vogeltje;vogeltjes;vogels;vogel
a penny for your thoughts	yes	penny/NOUN for/ADP your/DET thoughts/NOUN	penny thoughts	pence;muntje;centje;pens;cent;stuiver;geld;pency;penny;munt;centen;stuivertje hoofd;meningen;ideeën;idee;gedachtes;mening;gedachte;gedachten
a pretty penny	yes	pretty/ADJ penny/NOUN	penny	pence;muntje;centje;pens;cent;stuiver;geld;pency;penny;munt;centen;stuivertje
above board	yes	above/ADP board/NOUN	board	plankjes;plankenbord;bord;planken;borden;plank;bestuur;raad;boards;surfplank;plankenkast
above par	yes	above/ADP par/NOUN	par	pastor;par;paring;parasiet;pars;pastoor;pares;parcours;paragraaf;pastorie;parasit;paren;rol;pari;paraat;pare;paras;parel;pareltje;parade
across the board	yes	across/ADP board/NOUN	board	plankjes;plankenbord;bord;planken;borden;plank;bestuur;raad;boards;surfplank;plankenkast
act of god	yes	of/ADP god/PROPN act/NOUN	act	toneelstukje;acte;toneelstuk;toneel;toneelspelen;handelingen;daad;act;toneelstukjes;optredens;handeling;spel;acteur;handelt;toneelstukken;show;acties;toneelspel;daden;acts
add fuel to the fire	yes	fuel/NOUN to/ADP fire/NOUN	fuel fire	brandstoffen;benzine;benzines;brandstof vuren;vuurtjes;brand;brandjes;vuur;vuurtje;brandje;branden
add insult to injury	yes	insult/NOUN to/ADP injury/NOUN add/VERB	insult injury	dingen;beledigen;beledigends;gedrag;belediging;beledigingen blessure;blessures;verwondingen;letsel;letsels;wonden;wonde;wond;verwonding
against the grain	yes	against/ADP grain/NOUN	grain	korrel;graantje;koren;graankorreltje;graankorrels;korrels;graankorrel;graan;korreltje;korreltjes;granen;zaadje
ahead of the curve	yes	ahead/ADV of/ADP curve/NOUN	curve	cirkel;boog;bochten;kromming;cirkels;krommingen;krommen;curven;curves;bocht;kromtelijn;kromte;rondingen;curve;ronding;kromme
ahead of the game	yes	ahead/ADV of/ADP game/NOUN	game	spel;spelletjes;wedstrijd;game;wedstrijden;spelen;spellen;spelletje;games
alive and kicking	no	alive/ADJ and/CCONJ kicking/VERB		
all along	no	all/ADV along/ADV		
all and sundry	no	all/DET and/CCONJ sundry/ADJ		
all bets are off	yes	all/DET bets/NOUN were/AUX off/ADV are/AUX	bets	weddenschap;inzet;inzetten;gok;wedden;weddenschappen
all dressed up and nowhere to go	no	all/DET dressed/VERB up/ADP and/CCONJ nowhere/ADV to/PART go/VERB		
all hell broke loose	yes	all/DET hell/NOUN broke/VERB loose/ADV	hell	hellebollen;hellen;helletjes;hellegang;hels;hell;helletje;hel;hells;de hel;hellem;hellevuur
all in a day's work	yes	all/DET in/ADP day/NOUN s/PART work/NOUN	day work	dag;dagen;dagje;tijden;paar;aantal;tijd dingen;werkt;werk;werken;werkje;klusje;klusjes;klussen;werkzaamheden;baan;klus;stuk
all over bar the shouting	yes	all/ADV over/ADP bar/NOUN shouting/NOUN	bar shouting	tralies;streepjes;tralie;cafés;reep;bar;bars;kroegen;repen;kroeg;café;balken;staven;kroegje;stang geschreeuwen;kreet;roept;roep;kreten;gil;geroep;schreeuw;geschreeuw;gegil;schreeuwend;schreeuwt;geschreeuws;geluid
all over the map	yes	all/ADV over/ADP map/NOUN	map	map;kaart;plattegrond;maps;landkaarten;plattegronden;kaarten;kaartje;landkaart;kaartjes
all over the place	yes	all/ADV over/ADP place/NOUN	place	plaatsen;boel;flat;plaatsje;huis;plek;locaties;plekken;plekje;plaats
all over the shop	yes	all/ADV over/ADP shop/NOUN	shop	garage;winkeltje;winkels;winkeltjes;winkelen;zaak;werkplaats;winkel;shop
all over the show	yes	all/ADV over/ADP show/NOUN /PUNCT	show	serie;toon;voorstellingen;optredens;series;programma;show;tonen;programmas;voorstelling;toont;shows
all the rage	yes	all/DET rage/NOUN	rage	dingen;razzia;razen;boosheid;rage;woedes;woede;razernij;woestenij;woedeaanval;razernijen;razzias;woeden;woestheid;woesten;woedt;razerns
all things being equal	yes	all/DET things/NOUN being/AUX equal/ADJ	things	dingen;ding;hoop;dingetje;paar;aantal;zaak
all wet	no	all/ADV wet/ADJ		
along about	no	along/ADP about/ADP		
an englishman's home is his castle	yes	englishman/PROPN s/PART home/NOUN is/AUX his/DET castle/NOUN /PUNCT	home castle	woning;huis;woningen;tehuizen;tehuis;huizen kastelen;kasteel;burcht
an old flame	yes	old/ADJ flame/NOUN	flame	vlammenwerper;brand;vuur;vuurtje;blik;bliksem;vlam;vlammen
and all that jazz	yes	and/CCONJ all/DET that/DET jazz/NOUN	jazz	jazzie;jazze;jazzs;jazz;jazzen;jazzes
and then some	no	and/CCONJ then/ADV some/DET		
any port in a storm	yes	any/DET port/NOUN in/ADP storm/NOUN /PUNCT	port storm	bakboord;poorten;haven;port;havens;poort;deur;bakboorden;ports storm;onweersbuien;stormen;onweersbui;onweer
anyone's guess	yes	anyone/PRON s/PART guess/NOUN	guess	vermoeden;gissing;gok;gokje;gokjes;raadsel;gokwerk;raad
anything goes	no	anything/PRON goes/VERB		
apples and oranges	yes	apples/NOUN and/CCONJ oranges/NOUN	apples oranges	appelen;appels;appeltje;appeltjes;appel;apple sinasappelen;sinaasappels;oranje;sinaasappel;sinaasappeltje;oranjes;sinasappels;sinasappel;sinaasappelen
argue the toss	yes	argue/VERB toss/NOUN	toss	wip;toss;gooien;werpen;gooi;worp;worstelpartij;worsteling;gok;toer
armed to the teeth	yes	armed/VERB to/ADP teeth/NOUN	teeth	gebit;kies;tandjes;gebitten;tand;tanden;gebitjes;tandje
around the clock	yes	around/ADP clock/NOUN	clock	klok;klokkenspel;horloges;klokjes;uur;klokken;klokje;tijd
arse about face	yes	arse/ADJ about/ADP face/NOUN	face	gezichten;gezichtje;gezicht;gelaat
as a rule	yes	as/SCONJ rule/NOUN	rule	wet;spelregels;regels;regel;regeltje
as good as new	no	as/ADV good/ADJ new/ADJ		
as luck would have it	yes	as/SCONJ luck/NOUN would/VERB have/AUX it/PRON	luck	geluksbrengers;mazzel;pech;geluk;succes;geluksvogel;gelukstreffers;gelukstreffer;geluksbrenger;geluksvogels
as the actress said to the bishop	yes	as/SCONJ actress/NOUN said/VERB to/ADP bishop/NOUN	actress bishop	actrice bisschops;bishop;bisschopsen;bishops;bisschop;bisschoppen;loper
as the crow flies	yes	as/SCONJ crow/NOUN flies/VERB	crow	kraai;kraaien
ask for the moon	yes	asked/VERB for/ADP moon/NOUN	moon	maantjes;maans;maan;manen
asleep at the wheel	yes	asleep/ADJ at/ADP wheel/NOUN	wheel	rad;wagen;autos;roer;wieltjes;stuur;wielen;wagens;radertje;wiel;raderen;wieltje;auto
at a canter	yes	at/ADP canter/NOUN	canter	kantines;galop;galoppers;verdovingscrème;veldfles;canters;gallon;galvaniaan;canter;verdovingsmiddel;slang;galoppapillen;galoppeert;galoppeerders;galoper;beer;cutters;cantaar;galopop;verdoving;serpent;galg;beademing
at a loose end	yes	at/ADP loose/ADJ end/NOUN	end	afloop;einden;eindes;eindigt;uiteinden;leven;doel;eindpunt;eindje;einde;eind
at a loss for words	yes	at/ADP loss/NOUN for/ADP words/NOUN	loss words	mislukkeling;schade;verlies woorden;woord;tekst;paar
at a pinch	yes	at/ADP pinch/NOUN	pinch	knuppels;knijpsels;knijpen;prikje;knijpt;kneep;knijpje;kneuzingen;pink;snufje;kneepje;knijpertje;snee;prik;kneltjes;knuppel;knepen;knijpertjes;knuffel;knijp;knijper;knijpjes;snufjes;kneepjes
at a snail's pace	yes	at/ADP snail/NOUN s/PART pace/NOUN	snail pace	slakkensoort;slakjes;slak;slakken;slakje;slakkenkop tempos;passen;snelheid;passies;trapje;rits;stap;trappen;trap;ritme;stappen;pasjes;stapje;snelheden;gangen;pass;tempo
at a stretch	yes	at/ADP stretch/NOUN	stretch	zich;uitrekken;rekjes;rek;uit;stretches;rekken;reksels;weg;strook;stukken;strepen;strekjes;stretchs;stretch;uitreksel;spanning;strekje;strek;stuk;rekje;eindje;uitspansel;strekt zich uit;strekt
at cross purposes	yes	at/ADP cross/NOUN purposes/NOUN	cross purposes	kruisje;kruis nut;doelstellingen;doelen;reden;doel;bedoelingen;doeleinden;bedoeling;redenen
at daggers drawn	yes	at/ADP daggers/NOUN drawn/VERB	daggers	dolkjes;dolk;dolken;dolkje
at death's door	yes	at/ADP death/NOUN s/PART door/NOUN	death door	moorden;afloop;leven;dode;sterfgevallen;vallen;dood;sterfgeval;doodsoorzaken;slachtoffers;doodsoorzaak deuren;poorten;poort;deur;deurtjes
at full tilt	yes	at/ADP full/ADJ tilt/NOUN	tilt	tilts;helling;kantelhoek;kantelingen;kantelt;hoek;tilt;kant;kantel;kantelen;hellingen;kantels;kanteling
at loggerheads	yes	at/ADP loggerheads/NOUN	loggerheads	houthakker;lokkerhoofden;kappers;houthakkerskopje;houthakkerhoofd;lokkerkoppen;klaploperhoofd;loggerheads;kapper;lokkerkop;lokkerhoofd;klaploperkop;houtsnijder;houthakkerskop;hoofden;hoofd;houtkap;koppen;houthakkers;houthakkertje;houthakkershoofd;loggerhead
at sea	yes	at/ADP sea/NOUN	sea	zees;zeeën;wateren;oceanen;zee;oceaan;zeeen
at sixes and sevens	yes	at/ADP sixes/NOUN and/CCONJ sevens/NOUN	sixes sevens	six;zes;zestjes;zesen;zessen;keer;zestal;6;zesjes;zesje zevenen;sevens;zeven;zevens;zevental;seven
at the coalface	yes	at/ADP coalface/NOUN /PUNCT	coalface	kolenflank;kolenbanken;kalfaces;kolenlagen;gezicht;kolenfronten;kolengezichten;kolengezicht;kuipruimtes;kolengevels;kolen;kolenwand;kolengevel;kolenkant;kolenvlakken;kolenkappen;kolenkap;kolenkop;kolenkanten;kolenhoofd;kolenkoppen;kolenschaar;kolenface;kolenfront
at the crossroads	yes	at/ADP crossroads/NOUN	crossroads	kruispunten;kruispunt;kruising;tweesprong
at the drop of a hat	yes	at/ADP drop/NOUN of/ADP hat/NOUN	drop hat	drops;drop;daalt;val;levering;drupje;dropping;dalingen;daling;druppels;druppeltje;droppings;druppel hoedjes;hoeden;muts;hoed;hoedje;pet;petten
at the end of the day	yes	at/ADP end/NOUN of/ADP day/NOUN	end day	afloop;einden;eindes;eindigt;uiteinden;leven;doel;eindpunt;eindje;einde;eind dag;dagen;dagje;tijden;paar;aantal;tijd
at your fingertips	yes	at/ADP your/DET fingertips/NOUN	fingertips	vingertipje;één;vingertip;vingers;vingertop;vingerstip;vingertopjes;vingertoppen;vingerpunt;vingerstoppen;vingertopje
away with the fairies	yes	away/ADV with/ADP fairies/NOUN /PUNCT	fairies	feetje;feetjes;elfje;elfjes;nicht;feeën;sprookje;fee;elfen
babe in arms	yes	babe/NOUN in/ADP arms/NOUN	babe arms	vrouwtjes;dames;dametje;schat;babys;babes;babe;babbels;kind;liefje;schatje;kinderen;schatjes;baby;dame;meisje;meiden;ding;wijf;meisjes;kindje;meid;vrouwen armen;wapen;armpje;armpjes;arm;wapens
back to square one	yes	back/ADV to/ADP square/NOUN one/NUM	square one	hoeken;vierkantje;pleinen;vierkantjes;pleintje;kwadraat;velden;plein;pleintjes;vierkanten;vierkant eentje;die;één;een;degenen;paar;enen
back to the drawing board	yes	back/ADV to/ADP drawing/NOUN board/NOUN	drawing board	trekking;trekt;trekjes;plaatje;draws;trek;trekkingen;teken;trekje;tekening;tekeningen;trekpleisters;draw;trekken;tekenen;gelijkspel plankjes;plankenbord;bord;planken;borden;plank;bestuur;raad;boards;surfplank;plankenkast
bag and baggage	yes	bag/NOUN and/CCONJ baggage/NOUN	bag baggage	zakje;zak;koffer;bagage;tassen;zakken;tasjes;zakjes;koffers;tas;tasje;spullen bagages;bagage;baggage;bagging;bagge;baggages;koffers;tas;koffer
banana republic	yes	banana/PROPN republic/NOUN	republic	republikein;republikeins;republikeinen;republiek;republieken
bang for the buck	yes	bang/NOUN for/ADP buck/NOUN	bang buck	klap;ponys;knal;bangs;pony;knallen;knokpartij;knaller dollars;eentje;bokken;cent;ballen;geld;bokje;piek;centen;schuld;prijs;poen;bucks;dollar;bal;bok
bang to rights	yes	bang/NOUN to/ADP rights/NOUN	bang rights	klap;ponys;knal;bangs;pony;knallen;knokpartij;knaller rechterkant;rechten;rechts;rechtszaak;rechterhand;rechter;recht
bar none	yes	bar/NOUN none/NOUN	bar none	tralies;streepjes;tralie;cafés;reep;bar;bars;kroegen;repen;kroeg;café;balken;staven;kroegje;stang nietsnut;eentje;geene;geen;één;niete;nul;nijlen;nultjes;nietsnaties;nieten;nonen;nietsnutten;nones;none;nietsen;nietjes;niksnutten
