a hair's breadth	yes	hair/NOUN s/PART breadth/NOUN /PUNCT	hair breadth	haren;haar breedte;breedtes
a little bird told me	yes	little/ADJ bird/NOUN told/VERB me/PRON tells/VERB	bird	vogeltje;vogel;vogels
a penny for your thoughts	yes	penny/NOUN for/ADP your/DET thoughts/NOUN	penny thoughts	cent;stuiver;muntje;munt gedachte;gedachten
a pretty penny	yes	pretty/ADJ penny/NOUN	penny	cent;stuiver;muntje;munt
above board	yes	above/ADP boards/NOUN board/NOUN /PUNCT	boards board	raad;bord;borden;plank;planken raad;bord;borden;plank;planken
above par	yes	above/ADP par/NOUN	par	
across the board	yes	across/ADP board/NOUN /PUNCT boards/NOUN	board boards	raad;bord;borden;plank;planken raad;bord;borden;plank;planken
act of god	yes	acts/NOUN of/ADP god/PROPN act/NOUN /PUNCT	acts act	handelingen;handeling;daad handelingen;handeling;daad
add fuel to the fire	yes	adding/VERB fuel/NOUN to/ADP fire/NOUN add/VERB /PUNCT added/VERB fires/NOUN	fuel fire fires	brandstoffen;brandstof vuurtje;vuur;branden;brand vuurtje;vuur;branden;brand
add insult to injury	yes	adding/VERB insult/NOUN to/ADP injury/NOUN add/VERB adds/VERB added/VERB /PUNCT	insult injury	belediging;beledigingen verwonding;wond;letsel;blessure;verwondingen
against the grain	yes	against/ADP grain/NOUN /PUNCT	grain	graantje;graan;granen;korreltje;graankorrel;korrel
ahead of the curve	yes	ahead/ADV of/ADP curve/NOUN	curve	ronding;kromming;bocht;bochten;kromme;rondingen
ahead of the game	yes	ahead/ADV of/ADP game/NOUN /PUNCT	game	spel;spelletjes;wedstrijd;spelletje
all bets are off	yes	all/DET bets/NOUN were/AUX off/ADV are/AUX	bets	weddenschap;wedden;inzet;weddenschappen;wedde
all hell broke loose	yes	all/DET hell/NOUN broke/VERB loose/ADV broken/VERB breaks/VERB break/VERB	hell	hell;hel
all in a day's work	yes	all/DET in/ADP day/NOUN s/PART work/NOUN	day work	dagen;dag werkt;werk;werken
all over bar the shouting	yes	all/ADV over/ADP bar/NOUN shouting/NOUN /PUNCT	bar shouting	bar;tralie;tralies;café;kroeg schreeuwend;geschreeuw;schreeuw;schreeuwen;schreeuwt
all over the map	yes	all/ADV over/ADP map/NOUN	map	kaart;plattegrond;kaarten
all over the place	yes	all/ADV over/ADP place/NOUN /PUNCT	place	plaats;plek;plaatsen
all over the shop	yes	all/ADV over/ADP shop/NOUN /PUNCT	shop	winkel;winkeltje;winkels
all over the show	yes	all/ADV over/ADP show/NOUN /PUNCT	show	show;voorstelling;toont;tonen
all the rage	yes	all/DET rage/NOUN	rage	woedt;razernij;woeden;woede
all things being equal	yes	all/DET things/NOUN being/AUX equal/ADJ are/AUX /PUNCT	things	dingen;iets;ding
an englishman's home is his castle	yes	englishman/PROPN s/PART home/NOUN is/AUX his/DET castle/NOUN /PUNCT	home castle	tehuis;huis;woning;woningen;thuis kasteel;kastelen
an old flame	yes	old/ADJ flame/NOUN flames/NOUN	flame flames	vlam;vlammen vlam;vlammen
and all that jazz	yes	and/CCONJ all/DET that/DET jazz/NOUN	jazz	jazz
any port in a storm	yes	any/DET port/NOUN in/ADP storm/NOUN /PUNCT	port storm	poort;poorten;haven;bakboord storm;stormen
anyone's guess	yes	anyone/PRON s/PART guess/NOUN	guess	gokje;gok
apples and oranges	yes	apples/NOUN and/CCONJ oranges/NOUN apple/NOUN orange/NOUN	apples oranges apple orange	appels;appeltje;appel sinaasappel;oranje;sinaasappels appels;appeltje;appel sinaasappel;oranje
argue the toss	yes	argue/VERB toss/NOUN argues/VERB arguing/VERB	toss	worp;gooien
armed to the teeth	yes	armed/VERB to/ADP teeth/NOUN /PUNCT	teeth	gebit;tanden;tand
around the clock	yes	around/ADP clock/NOUN	clock	klokken;klok
arse about face	yes	arse/ADJ about/ADP face/NOUN	face	gezicht;gezichten
as a rule	yes	as/SCONJ rule/NOUN rules/NOUN /PUNCT	rule rules	regels;regel regels;regel
as luck would have it	yes	as/SCONJ luck/NOUN would/VERB have/AUX it/PRON	luck	geluk
as the actress said to the bishop	yes	as/SCONJ actress/NOUN said/VERB to/ADP bishop/NOUN	actress bishop	actrice bisschoppen;bisschop
as the crow flies	yes	as/SCONJ crow/NOUN flies/VERB	crow	kraai;kraaien
ask for the moon	yes	asked/VERB for/ADP moon/NOUN	moon	maan;manen
asleep at the wheel	yes	asleep/ADJ at/ADP wheel/NOUN	wheel	wiel;wielen
at a canter	yes	at/ADP canter/NOUN	canter	galop;galoppeert;verdovingsmiddel
at a loose end	yes	at/ADP loose/ADJ end/NOUN /PUNCT	end	eindigen;eindigt;einde
at a loss for words	yes	at/ADP loss/NOUN for/ADP words/NOUN word/NOUN	loss words word	verlies woord;woorden woord;woorden
at a pinch	yes	at/ADP pinch/NOUN /PUNCT	pinch	knijpen;knijp;prikje;knijper;snufje;kneep;kneepje;prik;kneepjes;knijpt
at a snail's pace	yes	at/ADP snail/NOUN s/PART pace/NOUN	snail pace	slakken;slak tempo;trap
at a stretch	yes	at/ADP stretch/NOUN stretches/NOUN /PUNCT	stretch stretches	stretch;uit;strekt zich uit;zich;strekken;weg stretch;uit;strekt zich uit;zich;strekken;weg
at cross purposes	yes	at/ADP cross/NOUN purposes/NOUN	cross purposes	kruisje;kruis doeleinden;doel;doeleinde
at daggers drawn	yes	at/ADP daggers/NOUN drawn/VERB	daggers	dolken;dolk
at death's door	yes	at/ADP death/NOUN s/PART door/NOUN /PUNCT	death door	sterfgevallen;dode;dood;sterfgeval deur;deuren
at full tilt	yes	at/ADP full/ADJ tilt/NOUN	tilt	kantelen;kanteling;kantel;kantelt;kanteel
at loggerheads	yes	at/ADP loggerheads/NOUN	loggerheads	houthakker;houthakkers;houthakk
at sea	yes	at/ADP sea/NOUN /PUNCT	sea	zeeën;zee
at sixes and sevens	yes	at/ADP sixes/NOUN and/CCONJ sevens/NOUN /PUNCT	sixes sevens	zessen;zes zev;zeven;zevens
at the coalface	yes	at/ADP coalface/NOUN /PUNCT	coalface	kolenfront;kalfaces;kolenkop;kolengezicht;kalface
at the crossroads	yes	at/ADP crossroads/NOUN crossroad/NOUN	crossroads crossroad	kruising;kruispunt kruising;kruispunt
at the drop of a hat	yes	at/ADP drop/NOUN of/ADP hat/NOUN /PUNCT	drop hat	daalt;dalen;druppel;druppeltje;druppels hoedje;hoed;hoeden;hoedjes
at the end of the day	yes	at/ADP end/NOUN of/ADP day/NOUN /PUNCT days/NOUN	end day days	eindigen;eindigt;einde dagen;dag dagen;dag
at your fingertips	yes	at/ADP your/DET fingertips/NOUN /PUNCT	fingertips	vingertop;vingertoppen;vingertip
away with the fairies	yes	away/ADV with/ADP fairies/NOUN /PUNCT	fairies	fee;feeën;elfje;elf
babe in arms	yes	babe/NOUN in/ADP arms/NOUN babes/NOUN	babe arms babes	schatje;schat;baby arm;armen schatje;schat;baby
back to square one	yes	back/ADV to/ADP square/NOUN one/NUM /PUNCT	square one	vierkantje;vierkanten;vierkant een;één;eentje;degene;degenen;ene
back to the drawing board	yes	back/ADV to/ADP drawing/NOUN board/NOUN /PUNCT boards/NOUN	drawing board boards	tekening;trekken;trekt raad;bord;borden;plank;planken raad;bord;borden;plank;planken
bag and baggage	yes	bag/NOUN and/CCONJ baggage/NOUN	bag baggage	zak;tassen;zakje;tas bagage;baggage
banana republic	yes	banana/NOUN republic/NOUN	banana republic	banaan;bananen republieken;republiek
bang for the buck	yes	bang/NOUN for/ADP buck/NOUN bucks/NOUN	bang buck bucks	pony;knal;knallen bok;dollar bok;dollar
bang to rights	yes	bang/NOUN to/ADP rights/NOUN	bang rights	pony;knal;knallen recht;rechtse;rechts;rechter;rechten
bar none	yes	bar/NOUN none/NOUN /PUNCT	bar none	bar;tralie;tralies;café;kroeg nul;geen
bark up the wrong tree	yes	barking/VERB up/ADP wrong/ADJ tree/NOUN	tree	bomen;boom
basket case	yes	basket/NOUN case/NOUN cases/NOUN	basket case cases	mand;manden;mannen;mandje zaak;gevallen;geval;koffer zaak;gevallen;geval;koffer
batten down the hatches	yes	batten/VERB down/ADP hatches/NOUN battened/VERB hatch/NOUN /PUNCT battens/VERB	hatches hatch	luik;luiken luik;luiken
be all ears	yes	were/AUX all/DET ears/NOUN	ears	oren;oor
be left holding the baby	yes	been/AUX left/VERB holding/VERB baby/NOUN was/AUX	baby	babys;baby
be my guest	yes	be/AUX my/DET guest/NOUN is/AUX were/AUX are/AUX /PUNCT was/AUX guests/NOUN	guest guests	gasten;gast gasten;gast
bear fruit	yes	borne/VERB fruit/NOUN bear/VERB bore/VERB fruits/NOUN bears/VERB bearing/VERB born/VERB /PUNCT	fruit fruits	vrucht;vruchten vrucht;vruchten
bear in mind	yes	bearing/VERB in/ADP mind/NOUN bear/VERB borne/VERB bears/VERB born/VERB	mind	geesten;geest
beard the lion in his den	yes	bearding/VERB lion/NOUN in/ADP his/DET den/NOUN beard/VERB	lion den	leeuwen;leeuw studeerkamer;hol;holen
beat about the bush	yes	beat/VERB about/ADP bush/NOUN beating/VERB /PUNCT	bush	bosjes;bos;struik;bosje;struiken
beat swords into ploughshares	yes	sword/NOUN beaten/VERB into/ADP ploughshare/NOUN beat/VERB swords/NOUN ploughshares/NOUN	sword ploughshare swords ploughshares	zwaard;zwaarden ploegendeel;ploegdeeltje;ploegscharen;ploegschaar;ploegdeel zwaard;zwaarden ploegendeel;ploegdeeltje;ploegscharen;ploegschaar;ploegdeel
beat the clock	yes	beat/VERB clock/NOUN /PUNCT	clock	klokken;klok
beat the daylights out of	yes	beat/VERB daylights/NOUN out/SCONJ of/ADP beats/VERB	daylights	daglicht
beat the meat	yes	beat/VERB meat/NOUN	meat	vleeswaren;vlees
beat the rap	yes	beat/VERB rap/NOUN	rap	rappen;rapt;rap
bedroom eyes	yes	bedroom/NOUN eyes/NOUN /PUNCT	bedroom eyes	slaapkamers;slaapkamer ogen;oog
beer and skittles	yes	beer/NOUN and/CCONJ skittles/NOUN	beer skittles	bieren;biertje;bier kegelspel;kegel
before you can say knife	yes	before/ADP you/PRON can/VERB say/VERB knife/NOUN	knife	mes;messen
beg the question	yes	beg/VERB question/NOUN begs/VERB questions/NOUN begging/VERB begged/VERB	question questions	vraag;vragen vraag;vragen
